class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Nov 24 2006 	 unbelievably incompetent service get angry complain 	 stay three night September ( Friday Monday ) . customer service experience scary : bunch personnel conspire cover mistake escalate matter instead simply apologize . remember even relatively upscale hotel like , deal group individual know keep work together leave . collectively act cover even lie . especially , watch team hotel . they make mistake reservation tell come registration check second day check back accompany key change 7 Sunday ( back - to - back meeting day ) . not underestimate Crown Inn Customer Service , hotel manager , front desk manager , receptionist , security . people , mixed order , tell problem shut complain . first , take long time explain morning receptionist problem previous receptionist explain day . , apologize people behind checkout line insist problem . remark first apologize complain wait fifteen minute already due uncalled check - out check - in 7 Sunday try catch meeting . give could overcome complexity reservation system , call manager . front desk manager arrive solve problem . say problem . tell apologize mistake , accuse throw pen -which put desk sign new paper – call security . security came tell shut would call police . course , late meeting . afterwards , come back room midnight , properly make . contact Crown Inn Corporate stay , apologize briefly ( well fellow hotel apologize ask ) imply ok rude raise voice incompetence . also say room properly make oversight retaliation ask whether contact room service time . on positive , Allerton right Michigan Avenue middle Magnificent Mile . room small nice clean fairly good sound isolation age building . elevator wait long , though . however , area bustle lot nice hotel . think risky deal hotel threaten call police complain mistake . 
 Nov 13 2006 	 great stay 	 old hotel , number area small new hotel part charm . suite 22nd floor view three side build . everything work well , wait elevator short , room service quick good , facility clean . return . 
 Oct 28 2006 	 okay Small Rooms 	 hotel location excellent proximity transit good . staff friendly however really contact check . state review room tiny . luckily travel alone , otherwise would small two people . adequate clean . housekeeping efficient . having take elevator lobby take another room odd not bother much . room overlook Michigan Avenue bit noisy not bother much . other would say work quick weekend away not think would feel compel stay unless get another great deal . 
 Oct 20 2006 	 small room Rude Front Desk Rip . 	 hotel good location , one nice helpful employee help we bag . however , room hotel size matchbox . arrive early husband feel well , front desk curtly tell we could check 3 pm - leave we walk around four hour cold . finally check - ( stay lovely hotel need take two elevator room - busy , take forever ) get room , tiny . view would great window small . Chicago business need use computer check email . internet connection room work , husband call ask assistance tell someone would help we . minute later call back say connection room work could come use free wireless connection Lobby . lug computer elevator ( another long wait ) 21st floor 3rd floor lobby . free wireless lobby work . ask person front desk assistance ( busy - husband people lobby time least two employee lobby area ) person behind desk tell we say , four time . ask desk clerk tell we use white phone call someone help we . person come help we tell we exactly thing person behind desk . give we password information input - never work help offer . go business center least check print boarding pass . business center charge $ 20 / hour ( $ 5 / 15 minute ) internet use .35 / page printer . use computer check flight print boarding pass . clerk business center charge we $ 8.50 5 minute computer 4 page print . ( word , over - charge we ... $ 6.40 ) stay kind hotel hostel 5 - star hotel world one bad experience ever . 
 Oct 19 2006 	 probably will not stay 	 would not stay , location great staff friendly hotel little run . room funky smell need general updating . problem leave evening door would not lock , take hour get fix course mess evening plan . breakfast buffett good ! not horrible experience well place stay money . 
 Oct 14 2006 	 room like closet 	 arrive 3 pm , tell room ready . however , want small room , could check immediately . decide wait large room tell would ready 1 hour . 1 hour later , go back tell would take time . half hour later , give room key . even wait , small room . barely enough space room full bed . tell front desk room small . however , look floor layout ( near elevator fire safety ) well talk other stay , get small room floor . also , make room 3 - 4pm every day stay . 
 Oct 3 2006 	 Allerton Awesome 	 Nice hotel staff heart Magnificent Mile ; easy walk distance John Hancock Building Contemporary Museum Art ; room smallish , clean ; great stay would book hotel . 
 Sep 28 2006 	 Disappointed 	 husband & amp ; stay town conference . reason not leave check b / c stay prepaid office . front desk woman , believe Khyla , tell room not pay & amp ; not try look notation say otherwise . call office , & amp ; book company get sort . aparently note computer juste scroll instead tell wrong . corner room tiny ! small person angle foot bed get & amp ; radiator . window not function , neither open able shut way . therefore cold air traffic noise Michigan avenue quite loud . toilet stick , flush five minute time use . front desk send & quot ; engineer & quot ; afterwards , toilet flushed minute time . room appear worn noticeable stain capet , chip wall paint , sadly , curtain not close , would nice block light . one thing hotel going concierge , 2 extremely helpful nice people great advice . 
 Sep 20 2006 	 lovely hotel great location 	 stay two night fly uk , travel america . think hotel nice , staff helpful friendly . room clean quite adiquate size . not know one complain hotel find perfect need , people hard please like place . location ideal sight see chicago . also little bit history hotel make appealing . 
 Sep 12 2006 	 Great Hotel 	 check review hotel staying bit worried . hotel staff could not nice doorman , front desk , housekeeper . nice helpful many question . room king size bed ( request ) quite spacious , view overlook Mich. Ave . location great right Michigan Ave within walk distance bus train . definitely would stay . 
 Sep 8 2006 	 make sure get good room call ahead 	 book last minute getaway Priceline Labor Day , $ 110 / night quite happy experience . base decidedly mixed review read , call ahead time able secure one non smoking room queen bed one king . yes , room huge . perfectly adequate bed , cleanliness , etc . fine . actually room quite close elevator , 9th floor , bother noise . location fantastic . wait 10 minute second set elevator , service call fix plug shower deal promptly check - in / check - out smooth efficient . sure call ahead get good room , 
