robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Jul 10 2009 	 Imperial Palace start year ago 	 like 6th time 15 year wutever . will start good , like room really nice , Delux , 2 queen balcony , great price thru Expedia . auto collection 5th floor , always , kewl . location great . now good . parking horror . change could drive main elevator 15 minute parking register . end back 40 take like forever get registration . whole place maze corridor sign , different level , unknowe employee confusion general . registration use valet left car . bath sink stopper break water could flow . Front desk say would like 2 hrs . three girl .. one sink ... figure . use nail file ( break nail ) pry could continue . go Emperor Buffet 2:30 pm use 5 buck coupon . close 2 . open 8 . whoever hear casino buffet close 2 pm ? decide use coupon Rio , free shuttle find . 3 different employee send we 3 different way 45 minute stupidity get taxi outside 10 buck later arrive Rio . ( good buffet know catch shuttle back Palace ) . Breakfast Emperor pretty bad , wait omelet , dry tasteless . finish , rest food sorta blah wutever . still like 9 buck even coupon . 1/2 employee deal nice , thank goodness half make . $ 5.60 & quot ; resort & quot ; surcharge per room per day know collect check desk , pay cash . go thru Expedia room pay advance plastic refund . imagine surprise get home see $ 80.00 pende card . call .. push 1 , push 2 routine , spanish / English , go thru front desk mgr . be like $ 40.00 day hold card even room pay . OMG , take like 3 day get credit back still keep $ 5.60 , call claim second day & quot ; resort & quot ; tax . come ppl , get real . would collect 1 day check be book two ? plus remember 11 change give . place use happy , easy go , friendly , make feel home personal . point 1/2 ppl idea right hand well leave . house buffet convenient overly appetizing . feel like ' ve lose friend . Goodbye Imperial Palace , fun . 
 Jul 10 2009 	 Disappointed 	 ' ve stay Imp / Palace four time past time disaster . a great location hotel dump . place need blow . service rubbish , two day not get room clean ask tell staff finish 4.30 . casino mime artist joke , surly barman serve drink personality byepass . bed linen old fray room stink . emporer buffet use good more . much well food round Mirage . sadly will not go . 
 Jul 10 2009 	 worth stay ! ! 	 stay five night good time live . hotel need renovation , staff , casino surrounding bad . beat location heart Las Vegas Boulevard . good place money ! ! ! ! 
 Jul 9 2009 	 date clean good slot machine - get pay 	 arrive allocate room 5th floor overlook swimming pool . get tot room noise loud approx 2 pm advise could contiune 9 pm show night . mind move mini suite 16th floor balcony view rear hotel mountain . room bit date cost $ 30 per night extra well worth evrey penny . massive round bath bedroom well bath really powerfull shower bathroom . Room clean well every day hear noise . american complain wait lift wait 5 minute throughout whole stay , usually minute two . access car park strip difficult busy find could exit enter around rear hotel Staff friendly quite bit slot machine . next time stay Monte Carlo late booking although hotel date thoroughly enjoy holiday . 
 Jul 9 2009 	 good bad 	 wife stay 4th July weekend Luv tub compe room . that s choose IP . stay Vegas , first time IP . first room give clean still item belong people . call desk , send bellman bring we key new room . the second room much nicer , large lay well . balcony . elevator bad point property . figureout use back elevator walk little bit , beat stand around . the gaming great . good minimum , good dealer . dealertainer well think . Billy Idol cool Christina a. hot . short walk o'sheas casino next door . great gaming also good music play . also see outside table . we eat Tearoom one time breakfast . good , great . eat place every night . stay budget , prepared elevator wait busy time . staff delaer nice check breeze . also compe pool cabana leave early . . 
 Jul 8 2009 	 IDEAL LOCATION 	 stay hotel seven night never find anything complain whole time . reception busy day like every hotel vegas patient roughly 30mins wait time check find staff cheerful helpful time . put 5th floor much view quite that s want worth ask floor . we maid eve4ry day complaint well worth $ 20 tip . hotel may one new one right price complain . the location right bang middle strip big well know hotel short walk away . 
 Jul 8 2009 	 cheap cheerful great location 	 opposite ceasar palace , middle strip.the room clean staff friendly.the casino bit old need bed sleep.ask room back hotel one front could really noisy . 
 Jul 7 2009 	 Great Location Bad Service Value 	 outside place look old . check - in take 45min . the room decent size . great view pool . room service prompt . convience every want go great cause location ( hotel right middle strip ) . bad $ $ $ . 
 Jul 7 2009 	 stay 6 time ! ! not listen review 	 come Vegas stay luxury stay Wynn ! hotel one fav 's ' m canadian Vegas 15 time ! ! yes hotel date , want stay action stay , be central everything need , be locate middle strip via footwalk anywhere like , night gamer safe relaxed place 3 am . highly reccomende & lt ; 3 
 Jul 6 2009 	 Centre Strip good location 	 really good hotel , clean friendly staff . draw back queue lift . , large room , 2 double bed . food good Embers Restaurant . Buffet breakfast buffet dinner main restaurant good value money ! ! casino fair size . bit dark , plenty choose . good pool outside bar . , walk distance Carnaval Court live music day ( night ) . like keep fit , small gym beauty room also available . big sport book strip alsoHave stay 3 time plan stay least twice 2010 . 
 Jul 6 2009 	 Perfect Hotel need base enjoy Vegas ! ! ! 	 return 4 night stay IP , problem hotel . let us face , go Vegas hotel facility , go casino , nightlife etc . the hotel dead middle strip , problem check , ok , could wait minute elevator , .... hotel huge . the casino big , cheap table limit , nice start gambling antic , staff friendly helpful time . I personally think , look , look , leave $ 10 tip first day maid , room spotless every day afterwards , maybe Americans bump need learn basic manner ! ! thing would say , go back wife , would probably spend extra quid stay luxury Ceasers , hey , be different kind holiday ...... 
 Jul 5 2009 	 could pay stay place . 	 fool use ! old wise . two hour wait check welcome work way past meaningless directional sign . like cruel hoax , sign wrong . next morning give wait elevator decide take stair , know way stairway without open alarmed door ( lie sign ) , even ground floor . luckily , run 20 guest stairway also give elevator , door floor open hallway pretty often problem return elevator ..... wait totally full arrive . almost 20 min . time leave room ( right next elevator ) get downstairs . would always rather take stair , hotel not allow . thing go late day ...... line way casino guest wait get onto elevator . miserable joke hotel . can not believe not intentional . mgt . incompetent accident . monkey well job . next time go Vegas , sure drop garbage Imperial Palace . 
 Jul 3 2009 	 excellent value money cheap chip ! 	 get well location hotel strip . would recommend hotel anyone not posh stuck 's earth emphasis fun luxory . room stay spacious comfortable cost button . check give we room pool view 1st timer book voucher nice touch . think room come balcony rare vegas big plus point . the pool nothing fancy nice go hotel pool Harrah 's chain , 7 total , Flamingo , Harrah 's Paris , Ballys , Caesar 's Palace Rio . take free shuttle bus Rio Harrah 's spend day lush pool ! casino great atmosphere real buzz walk . dealertainer great fun would recomend play table way back night well Vegas Spirit ! 
 Jul 3 2009 	 value 	 stay , cheap clean perfect mid strip location . money fun elsewhere ! 
 Jul 1 2009 	 dirty grubby tired dated hotel . 	 stay hotel . bitterly dissapointe . spend hour travel Las Vegas , eagerly await holiday , arrive airport get rip taxi driver take & quot ; scenic route & quot ; hotel . arrival check speak abrupt member staff registration desk . one hotel ever show we courtesy find ignorant . enter hotel room could believe condition . carpet filthy bed even sweet previous occupant . thick dust back top unit floor bathroom dirty . corridor filthy evry smell smoke stale alcohol , stay somewhere else ! ! ! ! ! 
 Jun 30 2009 	 location location location 	 good value , clean , middle strip previously stay ti across street modern nice twice price . go back november already book ip . less two hundred dollar five night . 
 Jun 29 2009 	 another great Stay ! 	 stay 5 night luv tub room love ! request smoking room make reservation arrive check Sunday night tell not available night could change room next day , first room 9th floor view except parking garage , second room 18th floor great view pool . stay many time definately return . 
 Jun 28 2009 	 Basic Noisy 	 Old fashioned hotel locaterd middle strip , room face swimming pool noisy due disco bar 3 am . room basic , queue lift common . tea / coffee faclitie . good clean linen towel , good maid service , pleasant staff . lifts good walk casino front desk . 
 Jun 26 2009 	 never stay 	 would never stay . book online , price not tell bowel hotel , far back look end garage . the room never make , towel replace use one , soap , shampoos anything .. leave dirty finger nail leave counter arrive . difficult find way around place staff friendly .. 's expensive would rather stay venetian pit . actually like old strip well room easy access ... nope would not recommend place anything .... oh y , weigh 190 lbs , will not fit bathroom . 
 Jun 24 2009 	 please read REVIEW get back ! ! ! ! 	 get back Vegas stay 3 night 2 week stay IP . leave , read review horrify . review wrong . thing difficult elevator place huge ! otherwise tell staff whole place awesome , enough . want make special mention TIM bell man , give we extra treatment lot help , navigate hotel . room service get 3 morning elegant , hot delicious ! ! keep try figure everyone trying say really negative . room clean , clean , plenty towel need extra blanket time housekeeping come smile . place great hurt people casually say negative thing place like . think IP own ... beautiful well run place say go see self .. CLEAN ... 
 Jun 23 2009 	 Rennovate ! ! ! ! ! 	 hotel serious need rennovation tear . & quot ; deluxe & quot ; room stain carpet , cigarette burn bed , carpet counter top , box spring bed look like pick street . bath tub sink area chip stain . hair bathroom floor previous traveler . glad bring Lysol ! ! ! balcony standing room . elevator extremely slow experience get front lobby parking area room really frustrating . flip side , casino , gift shop area corridor nice appear clean . 
 Jun 18 2009 	 good value money 	 get pay , queue elevator time , room service alaway order , overall cheap feeling compare big hotel . , 's good part , $ 30 night , get good spot strip , bang right middle . everything within walking distance . ask top floor room strip view , get room right top balcony amazing view strip mountain . see sunset mountain light night gorgeous . also see bellagio fountain far corner balcony . , stay room come noisy price , tower , there s Harras door party tent play loud music afternoon till 4 am morning . night time noisy total nuisanse , think change first night , be trick , leave AC fan , reduce noise considerably . stay whole 10 night way . tower choose stay fussy view . perfact budget traveller location , can not beat , extra dosh go elsewhere like caesar palace right opposite . 
