fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Jun 21 2006 	 favorite hotel New York 	 ' m spoil . can not stay another hotel New York anymore . fan European , specifically . italian luxury hotel , yet appreciate service , place want check . Michelangelo U.S. hotel own group hotel throughout Italy . location convenient see Broadway show : 51st & amp ; 7th . however , still convenient business shopping expedition . one word caution laptop user : last stay , still wireless internet room . bar , side lobby , typical european style . bartender remember regular visitor . , yet drink without get conversation someone interesting ( place go want drink talk anyone ) . last visit , hotel restaurant still close construction ( 2 year ? ! ) , enough great retaurant near short cab ride away not find problem . people might put 18th century italian painting furniture ( ornate ) lobby . room beautifully decorate ( i.e . anyone except fan ultra - modern ) . want quieter room , request one face 7th , since busy street hour . Michelangelo expensive hotel New York ... however , inexpensive either . be look & quot ; cheap & quot ; New York attire consist short , t - shirt fanny pack ( shudder ) , definitely hotel . 
 Jun 18 2006 	 Noisy ! 	 hotel great location - could not noisy ! room nice enough , nothing spectatular , could not sleep traffic noise . speak manager , unhelpful , say room like give we foam earplug ! could not beleive ! originally book say 12 night , check 3 lack sleep ! also , reception staff useless local knowledge , James Concierge - know - 11.30 day . nobody seem know anything . 
 Jun 12 2006 	 great room sleep soundly 	 husband spend 7 night hotel love . great location , large room , nice bedding , turn service , clean staff friendly . yes air conditioning loud not bother we ( not use much ) . wish would selection breakfast - pastry coffee . ' m going start every day eat pastry find great place across street grab bagel . would definitely stay hotel . 
 Jun 10 2006 	 comfortable bed 	 daughter return home Wisconsin 3 day 3 night stay Michelangelo NYC . beautiful hotel great location . close theatre TImes Square well restaurant etc . room spacious bed comfortable ever hotel , like home . service excellent . could not choose well . bit pricey , worth . restaurant close renovation stay , get sample cuisine . we even experience ride laquardia singe cab driver , , say , frequently pick client Michelangelo , many repeat guest . all , trip make special special hotel staff . 
 Jun 1 2006 	 Average 	 stay hotel late May Memorial weekend . get good price nice hotel pay normal rate ok value money . claim 5 star hotel certainly , good 4 star hotel . room big New York standard bath tub extra large . room double glaze interior window soundproof street noise like NY 4star hotel . room overlook street hear traffic siren etc sleep issue . also air conditioning mention review noisy switch rather constant . migh not think much ignore factor really noisy wake leave . also fitness room non existant machine extremely old not work . location great first time visitor NY near Times Sq , Theatre district etc . however nice stay bit toward park 5th ave bit nearer park like 53rd high . Broadway Times Sq bit grimy . 
 Jun 1 2006 	 Lovely Hotel 	 recently stay Michealangelo Hotel please whole experience . hotel location good , room large clean want hotel room . staff friendly helpful door man polite always willing hail cab you . breakfast serve downstair lobby , nice relaxing setting , plan day ahead . a lovely hotel , great location , would recommend . Gary & amp ; Sarah , London , UK 
 May 30 2006 	 Memorial Weekend Stay 	 stay Michelangelo Memorial Weekend . room clean , unbelievable much space Manhattan hotel . location great easy access Broadway , park , Times Square . Doormen desk staff responsive approach , particularly helpful general . would neutral ok regular rack rate , package / discount rate excellent experience . breakfast coffee service lobby comfortable . 
 May 21 2006 	 Old World Style Hotel 	 Wonderful & quot ; old world & quot ; style hotel . room big nice soak tub bathroom . staff friendly helpful . great location . 
 May 9 2006 	 Loved Michelangelo 	 stay anniversary base Trip Advisor review . lovely ! room huge - upgrade king suite ( call confirm non - smoking mention anniversary - never bad idea ! ) . bathroom gorgeous -- love . actually prefer room room Mark 3 time price . slight negative breakfast buffet crowd go , price ( free ! ) good . park lot street ( drive 51st hotel ) reasonable NY standard . 2 subway nearby , easy get cab . GREAT location . amazing value ! stay . 
 May 7 2006 	 great 	 stay often due business . hotel great , quite , personable . hotel busy feel mega hotel . service excellent . room size pretty good Manhattan . 
 May 4 2006 	 Exquisite 	 stay five night , April 26 - May 1 . absolutely fabulous , beautiful furnishing immaculate . room large , understand , huge New York standard . service impeccable , friendly pushy . serve nice complimentary pastry / coffee breakfast morning . complaint come place surly waiter tend breakfast . one , other nice . see guy snap couple guest different occasion . care , place nearly flawless . 
 Apr 29 2006 	 great hotel 	 book hotel week celebrate Husband 's 40th birthday , start staff accomodate , arrive early room not ready , wait hour get upgrade also . room spacious comfortable meet expectation . true safe room box available reception 24 hr access pose problem . all great hotel would hesitate recommend it . tip : want really good view Manhattan forget Empire State building , go top rock Rockefeller centre , way get impressive view Empire State building photo ! also use subway cheap relatively easy use . 
 Apr 22 2006 	 Bad 	 stay Michelangelo begin April . serve quiet retreat hustle city . staff friendly enough maid service excellent . view room important , sure check ahead . not room much big deal . good thing , since 2 foot away brick building thing see . in - room safe . & quot ; complimentary & quot ; breakfast certainly nothing write home . big selection La Quinta . would consider get good enough rate . great location . 
 Apr 21 2006 	 comfortable welcome retreat 	 stay Easter Weekend ( 13th-19th April ) find Michelangelo perfect NYC base . although centrally conveniently place many attraction , restaurant etc . walk entrance door lobby like embark voyage sea tranquility . public area exude air restrain luxury , coolness restfulness . the front desk staff could fault concierge James Jollis true gem even locate dentist willing perform skill good Friday . oue suite spacious , elegant accommodate everything one need . at night lobby bar fill air relax live piano music - ideal precursor evening gastronomic discovery nearby . highly recommend hotel . 
 Apr 17 2006 	 Loved Hotel 	 stay hotel 4 night March love . elegant old - world charm location can not beat . away noise crowd Times Square , yet close enough able walk 5 - 10 minute . not sample Continental breakfast , speak . entire staff pleasant helpful . room large immaculate . iron & amp ; iron board , deliver promptly request . overall , pleasant experience . would definitely stay rate good . 
 Apr 4 2006 	 great hotel 	 do not one complaint make hotel . room first class , great size clean . staff great , really helpful . breakfast cake coffee good start day fantastic location . never get use gym , busy elsewhere see sight . would definately stay check site get good deal standard hotel 
 Apr 3 2006 	 2nd time around 	 second trip wonderful hotel . amonly give 4 star time large room 1st time around . hotel room extremely clean roomy ( 1st time ihad walk closet . ) sure receive anice box godiva chocolates returnclient everyone get . love ammenitie also . location absolutely good nyc location major walking traffic , yet close action . would stay again.love place 
