perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Dec 2 2003 	 WI CT visit 	 stay Fitzpatrick October 2003 absolutely love ! ! pick fiance o'hare arrive Chicago 9:30 a.m. know check 3:00 . plan check bag tour city , surprise room ready able check immediately . desk staff friendly everyone else encounter . room perfect ... typical layout . would agree bit small side , plenty room weekend stay need room could upgrade . bed way compfy .. cd player nice addition love sit area . also mini treadmill right room . lunch pub downstairs .. food fantastic , reasonably price server excellent . parking may seem pricey we use pay parking ... Chicago , reasonable . mention could come go parking ramp downtown offer perk . flight leave 6p.m . able leave car well past & quot ; parking & quot ; limit charge . whole love Chicago defineately plan visit . midwest , still impress friendly , helpful , pleasant everyone encounter .. fiance , East , stunned , could get . def . stay Fitzpatrick future . thank great weekend ! ! ! 
 Oct 11 2003 	 die ! leave speechless ! 	 look hotel downtown wife 's birthday . base review read decide go fitzpatrick . get excellent price thi website , keep touch Tim Hienz work front desk . could not imagine nice , kindness upgrade room Standard , King Suite ! wow , room die ! cozy , well decorate , clean , everything imagine ; much well four Seasons . staff meet every need , put cake freezer , give we complimentry champange finger food , importantly freindly . also hotel right downtown . much say , would definately stay , look great deal , keep touch Tim Hienz . 
 Sep 13 2003 	 definitely worthwhile place stay . 	 stay Fitzpatrick hotel July 4th weekend , choose base Tripadvisor review . not disappoint . staff , without exception , friendly , accommodate staff hotel stay downtown area . location perfect . room well equip large , comfortable bed one could hope . Fitzer 's Pub charming . breakfast room quiet , welcome respite mad rush eat breakfast bakery street . valet parking extremely prompt . however , hotel , not perfect . queen suite bathroom small . problem we , cramp like large plush bathroom . roof top pool sound novel small shade . tv , although two , large selection channel , probably smallest see numerous hotel stay . last thing crazy call ice ice machine floor . having say , fitzpatrick still definitely worth visit ! pro far outweigh con . 
 Sep 4 2003 	 great Stay Fitz 	 base long weekend stay positive comment site . could not happy stay Fitz . Queen Suite wonderful . far large normal hotel room , segment enough rpvide little privacy ( someone sleep another want watch tv living room area . wonderful service concierge bellman . bag bring immediately upon arrival . Suite nice Brookstone cd system much nice turine tv spending time room . perfectly close Mich Ave . one side 1 bellman help nag Sunday morning . prime departure time , would ' ve think 2 3 would appropriate . 
 Sep 2 2003 	 Fitzpatrick pleasant 	 husband & amp ; book Fitzpatrick Orbitz look quality well good price . happy Fitzpatrick 's room staff . Beth Johnsen concierge make reservation we could not get restaurant , valet helpful get we cab , everyone friendly interested making stay pleasant . location could not well , negative us $ 33.00 day parking . know 's pretty standard probably park elsewhere next time go plane forget car . not really need . 
 Aug 23 2003 	 Fitzpatrick Fitzperfect ! 	 return business trip Chicago stay Fitzpatrick base review read . love hotel . generally one boutique hotel , think Fitzpatrick may changed mind . travel quite bit business ' ve stay type hotel must say Fitzpatrick really feel like home road . stay probably one small room , request room view upon check . staff desk lovely , bellman always nearby help . sleep area room sink , walk two step get bed . make room appear large delightful change ordinary room . bed awesome , huge almost climb , love . canopy gorgeous lighting hide within . view fabulous minor problem water pressure , problem place hate water save shower - head . room immaculate maids sweet . fact everyone encounter Fitzpatrick warm delightful happen upon one employee irish accent charming . location terrific walk art museum ( go ! ) love walk , 15 block not bother tribune wrigley building like cathedral architecture , grab opportunity walk gawk . conference hold Palmer house , grand lovely , happy choose intimate Fitzpatrick . 's Fitz - perfect ! 
 Aug 23 2003 	 elegant touch right Michigan Ave 	 17 story beautiful bedroom view ; friendly staff ; great room service ; need slightly big bathroom . romantic gorgeous night Chicago ... America 's City . 
 Aug 13 2003 	 Refined 	 four day stay great . suite tastefully do ... staff friendly breakfast buffet also good , reasonably price ... one block MagMile ... near Neiman Marcus two block Red Line & quot ; El & quot ; /Chicago station . workout room okay need take separate elevator . next door Bennihanas new pizza place mountain ice cream sundae dessert . block corner bakery . nice hotel upper roof pool .... small nice . would stay . 
 Aug 13 2003 	 find pot gold .... 	 totally agree Fit Princess 's review ! would like add fresh flower would nice . well easy access pop machine . ice machine would also nice ... ecspecially kid . kid love get hotel ice ! must say , breakfast terrible . egg serve US Army much well . coffee ... arrive within 30 minute close breakfast buffet , forget get fresh pot coffee . hot water also empty upon notify so - call server , bring cup hot water , nevermind guest enter dining facility . back coffee ... another guest arrive server ask would like coffee ? say yes pick use carafe empty table beside ( could not see ) , walk behind bar straight coffee urn tip get lose drop coffee sludge . let us hope previous patron inadvertntly dispose something carafe ! actually sit Lobby desk ? never say warm body assume conceirge desk ! beware ... Benihana Restaurant next door open , may want dine . stay closed Mayor Daley 's Dumpster Patrol ! really love hotel . great people , great location , great bed , perfect date want impress significant little low cash ! 
 Aug 11 2003 	 Fabulous Fitzpatrick fit princess ! 	 sister take child Chicago visit American Girl Place . read many review see AG Special ( $ 219 night , breakfast $ 50 AG certificate ) deciede stay Fitzpatrick . when pull outside hotel rather plain unimpressive . irish american flag let we know right place . bellman doorman right ready assist we bag . inside lobby pretty , although small side ( mind expect grand lobby ) . cool spiral staircase lead hotel bar . arrive noon know room would ready . valet park car bellman hold bag we could go shop . we come back 3:30 room still ready . wait bar order kid food . son order grill cheese nasty . ( mess grill cheese ? ) bartender friendly provide great service . 4:30 room ready . we 22nd floor . worried room would small meet sister finicky taste . ( will kill saying ) get room first . open door speechless ! beautiful . door open foyer long table mirror . ( great place drop key , package , etc . place quick hair , make - up , outfit check dash door ) foyer walk closet . would make great second bathroom . nice place store luggage shopping bag , lack light . from foyer two step living area . living room feature large desk , club chair , hide - a - bed sofa ( not kill back sleep ) , coffee table two end table . ( say ) small t.v . three drawer dresser share living area bed area . ( Room need two t.v . 's ) also live room nice radio / cd player . living room small closet safe . the living room lead bedroom area . bed well ! huge king size comforter good sheet . three fluffy bed pillow along toss pillow big pillow sham match beautiful bedding . bed canopy ( full four poster style , still lovely ) reading / mood light dimmer . bed fit princess ! bed area two step closet large dresser . side area half wall bar , cabinet refrigerator ( microwave would nice ) .The bathroom area . do black , white gold . other say small , small . one downside outlet alcove mirror . great spot make - up , move bar hair . the window look office building , could still see city . ( slightly entertaining watch people meeting , know watch pay attention go around ) rooftop pool small , kid not seem mind nice view city . we use two fluffy bathrobe , slipper Fitzpatrick umbrella ( nice touch ) . staff friendly ( snobish employee ) . everyone seem glad . gentleman vacuuming hallway pool even stop wait elevator chat we . hotel clean . location could well . doorman always right help door , stroller , bag hail cab . bellhop load pack auto even tie extra baggage onto roof rack . staff go beyond wonderful service . love Fitzpatrick . would stay heartbeat . some thing learn may help : get AG Special . get one $ 50 certificate regardless many night stay . get room around $ 150 night . not get gift certificate breakfast ( nothing special , need look improve food quality ) .If want spend $ 5.00 soda deliver via room service take guestroom elevator din room floor take elevator ( quite trip Coke ) excercise room soda machine snack machine . eat dinner rooftop italian restaurant door hotel . great food , ambience service ! double Decker bus tour neat , bore little kid . tour guide funny advertised . 
 Jul 23 2003 	 somewhat disappointed Hotel 	 reading review Chicago Fitzpatrick could not wait stay July 19 - 21 , 03 visit Chicago . arrive late - 7:00 pm - quite tired tour Oak Park . much surprise , tell room ready . tell large group check . ( be problem . ) Desk personnel try pacify we two free drink coupon . around 7:45 pm - check room status still ready . insist two drink coupon reluctantly get . room finally ready around 8:00 pm . previous review mention bathrobe - suppose get bathrobe ? none room . stay hundred hotel never wait hour past agree upon check - in time - usually 3:00 pm . , either give upgrade fruit / cheese / wine basket note apology management . positive side , room quite nice . small , nice . exception bath robe - room well stock . even umbrella available use town - nice addition travel without take one buy one road . prepay room consolidator - wonder reason get room late . prepay rate include taxis 14 % - would additional $ 42 . add check total . not know oversight hotel 's way apologize delay . also , know $ 33 parking charge - outrageous - , go rate neighborhood . find $ 23 rate several block away corner Ontario Lake Shore Dr . 
