sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Feb 20 2007 	 great location quiet comfortable bed ' ve ever sleep 	 week prior departure U.K. , make last - minute switch Sofitel St James base positive review high rating TripAdvisor . know would nice property however hesitant due cost stay ... not sure whether extra expense would worth it . having return tell regret spend extra $ 100 per night planning pay elsewhere . early check - in ( yes , could accommodate we 8 am ! ) departure , visit exceptional . quality superior room book high , wonderful shower head furnishing . bed comfortable ' ve ever experience anywhere . comfortable travel companion would joke not want start talk excursion around London fear would abandon sightseeing head back bed . room extremely quiet housekeeping invisible . three day never see housekeeping cart . fact encounter rang bell inquire everything do satisfaction . idea clean room without see . evening would return room turn , trash empty , weather forecast leave , towel freshen . nice system flip switch inside door indicate whether disturb indicate housekeeping require . location Waterloo Place Picadilly Circus end Pall Mall . great jumping point west end beyond far enough Picadilly feel close action not deal noise crowd . fact , traffic light London standard location . be look quiet , high - quality property great location , Sofitel St James can not beat . 
 Feb 9 2007 	 great room / service small gym 	 wonderful hotel staff , beautiful room , great location . not really like gym , SUPER small w/ 4 machine ... guess acceptable . stay meridien would return never meridien . stay one night , though , not really get see restaurant anything else . staff nice give free paper . ask two bed check - in not give we not nice . 
 Feb 9 2007 	 true 5 star experience real value money 	 great hotel experience ! room bathroom beautiful , perfect condition , period feature mixed modern touch . room elegantly furnish , comfortable bed completely soundproof . bathroom spacious , separate shower , black white marble tile , luxurious . the hotel 's restaurant , Brasserie Roux , one Michelin star . lovely pre - theatre dinner , adition absolutely delicious amazing value money . doubt one good pre - theatre option town . we find great deal one travel website , 137 £ per night . hotel good value money even 200£.the location perfect well - 5 min walk near tube station ( Picadilly ) , walk distance many London attraction theatre . 's beatiful period building , unlike many faceless chain hotelsI would recommend hotel pleasure business . true 5 star experience . 
 Feb 7 2007 	 top - class business hotel 	 unbeatable location . addtiion , Sofitel deliver excellent service . although interior style - lovely spacious bathroom exclude - may seem bit dull , top - quality every customer need seek . try afternoon tea . 
 Jan 27 2007 	 Second stay mar unpleasant experience 	 post & quot ; fantastic & quot ; review hotel back 2005 . recently stay hotel think fantastic negative incident occur . advice flag cab never ask Concierge arrange cab . 
 Jan 22 2007 	 Absolute Perfect Location Great Room - great price ! 	 husband stay Christmas holiday would highly recommend hotel anyone . book directly hotel website get awesome deal - $ 120 usd night . hotel locate metro stop Picadilly Circus block Trafalgar Square one block St. James Park . walk National Gallery , West end theater , Westminister Abbey , Big Ben Buckingham Palace . easy ride metro everywhere else - walk want exercise . hotel confortable great fluffy bed , modern bathroom satellite TV . staff friendly concierge helpful . Perfect London tourist want close , confortable place rest night ( even sightseeing ) great price . 
 Jan 15 2007 	 Brilliant hotel . highly recommend 	 one hundred pound include taxis , steal , courtesy Priceline . Cosy ( tiny , ample ) room , luxorious fitting , ultra comfortable bed pillow sink , black white marble / granite everywhere olive green tapestry , heat towel rack , cd clock radio , generally well design room . this old bank convert hotel , step away Picadilly Circus 3 - 4 minute walk tube stop . bus stop outside . British London Tourist Centre across street , Tesco supermarket 2 minute walk . convenient theatre going crowd tourist general . concierge helpful basic request . doormen cheery . walk place , one feel grand . slight inconvenience : ( wonderful ) rainshower adequately warm hot setting , . probably one time anomaly . 
 Jan 12 2007 	 Elegant Hotel 	 book 2 Classic room cost we 175 GBP + 17.5 % vat , 4 adult 2 children , include breakfast 3 night stay . its stunning hotel locate former home Cox Kings bank heart London , England . right corner Pall Mall Waterloo Place , within walk distance St. James ' Park . the good , experienced breakfast award win Brasserie Roux restaurant offer first class french brasserie cuisine every single morning . beside food , service excellent . classic room get , comfortable accommodation extensive amenity . stylish chrome fitting elegant black marble marvelous . extra bed kid settle arrive . attentive request . our room view , offer deluxe room view overlook Waterloo Place Pall Mall . front office concierge helpfull . look around , find Rose Lounge , traditional tea lounge pretty , feminine décor subtle colour scheme pink cream , deep wool rug fifty chandelier , create delicate fresh ambience complement stunning display fresh rose sound harp . & quot ; wow & quot ; hotel . love .... 
 Dec 29 2006 	 smart central 	 smart , clean , modern hotel , characterful , everything work 's comfortable . bathroom particularly well equip , fabulous shower . staff polite helpful friendly . location wonderful , west end one side St James park Westminster other - London doorstep . breakfast £ 20 continental version look laughably bad value like reviewer skip . 
 Dec 14 2006 	 wonderful experience 	 arrive hotel 9 pm height Xmas party season . I hold Gold card book online fairly short notice . arrive 9 pm follow drink party tell record reservation . look printout realise book January mistake ! Front desk manage find last room hotel , impressed . lovely meal Roux Brasserie ( salmon follow skirt beef ) 
 Dec 13 2006 	 Nightmare service 	 partner attend separate work Christmas party evening think would wonderful cap night hotel stay London - well safe trying get home late night . book Sofitel booking website 5 star hotel choose choose Sofitel lovely stay Beverly Hills Sofitel couple year ago . what mistake ! call ahead explain would check late separately would prepare . arrive 9 pm , know nothing . explain , write partner 's name teh form receptionist ask retire teh room . awoken call shortly midnight say partner reception okay send . send without key get bed let int room . much restful night ! next morning staff member burst room without warn washing get ready . naked time . find 1 bath towel bathroom share . find room quite grubby - curtain stain . view other mention - look back alleyway . room tiny compare glorious space LA . shower screen not work break . toilet roll holder attach angel roll slide every time touch . order newspaper checking deliver . in - 5 star service . complained offer measly 25 % £ 195 + vat room rate . now find authorisation ask debit card still show despite room charge deduct ! can not get money account clear . absolutely hopeless service . needless say , trust another Sofitel . be ever Berlin - try swissotel whcih reviewing ! 
 Nov 16 2006 	 Peter - Pan like eyrie rooftop 	 hotel win virtually count . first , location - five minute walk Trafalgar Square - central many area London - include National Gallery , National Portrait Gallery , Leicester Square , West end theatre , Charing Cross bookstore , Houses Parliament London Eye - within easy striking distance Sofitel . second bonus comfort place . yes , central heating lobby might little overpower . , norm , bedroom come complete adjustable thermostat , choose degree heat meet particular comfort zone . lighting room superb wide range different lamp spot lighting make place warm inviting . many middle - aged people find difficult read light provide hotel . two small spotlight headboard bed really help read ease , thirdly , room ( cost £ 160 sterling + 17.5 % vat ) full engage small touch add lustre . two piece original artwork main bedroom bathroom respectively quite striking . also like small potted cactus plant grow bathroom vanity mirror illuminated surround , like artefact might expect find part plotline Agatha Christie murder mystery . also , make like easy jogger , ' ve thoughtfully provide small map delineate different jogging route vicinity river Thames St. James 's Park . fourthly , room sixth floor afford great view rooftop London . ' ve see many view London year . perspective bring back childhood memory Peter Pan rooftop environment invent J.M . Barrie opening stage eponymous book . also remind scene Mary Poppins half expect young Julie Andrews tap window sixth floor eyrie drop breakfast Sofitel . , nutshell , top floor hotel capacity turn seasoned guest back child , albeit imagination . finally , breakfast Brasserie Roux tasty , full range English , Continental Healthy eating option available buffet style . staff great provide efficient service unobtrusive elegance . also check - in staff certain charm manner , seem spring genuine desire help customer ( oppose artificial bonhomie affect staff major hotel ) . snapshot , Sofitel take care high degree professionalism empathy moment enter portal . this second time ' ve stay Sofitel . stay Presidential Suite Sofitel Washington document elsewhere ( tripadvisor Washington page ) . although room Sofitel , London bit modest , love place ' m truly sell Sofitel way thing . wish bring someone share experience ! 
