way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Apr 24 2006 	 Clean Small Basic Great Location 	 anxious stay read review mention roach could problem bring food room . , not bring much juice . will never know make difference , absolutely problem . stay 7th floor seem spotlessly clean . room real character , even seem quirky spooky - really feel like be film . staff seem constantly clean not know good bad oman . room tiny , Manhattan - 's much see . lay head room 's . creature comfort need . Gramercy Park area , other mention , second none . Union Square 5 minute foot . breakfast available hotel mean get chance check local eatery find awesome one Broadway . 's much worth scout local area foot . 17th Street be beside tourist trap attraction . provide respite noise experience midtown hotel . rode subway day cab night work perfectly . we find hotel staff great - hold luggage we , arrange taxi airport return even send we email thank we stay . nice touch , Hotel 17 
 Apr 13 2006 	 Perfect ! 	 first skeptical stay Hotel 17 , due mixed review site . two girlfriend stay 8 night , perfect . location perfect , especially price ... CANT BEAT ! room small , get triple room , space . bathroom always spotless clean , never problem get one free , anytime day . staff helpful friendly . curfew , come late want . taxi come street time , problem catch one . use cab trip , never cost we 6 - 10 dollar one way due location . definitely stay Hotel 17 next trip ny ... simply beat ! 
 Apr 10 2006 	 place perfect .. 	 friend stay 3 day pleased . search everywhere online decent , affordable hotel . I m glad do not stay hotel ( forget name ) actually book , call week CONFIRM CLOSED . I m glad find Hotel 17 . first thought would problem woth share bathroom everytime one we go shower way dry clean inside . besides fact hallway elevator confine , definelty hotel book next trip New York . price great service .... Good Job Hotel 17 
 Mar 24 2006 	 Hell deal . 	 99 buck safe clean , comfortable room NYC ? can not beat . sure share bathroom , be clean hell , place generally quiet . budget - could bad . great safe location , 
 Mar 20 2006 	 surprisingly good 	 two friend stay hotel 17 five night . expect pretty bad consider low price , really surprised see really good . condition room ok . share bathroom clean plenty 's quee shower morning . would say hotel 17 great place stay want clean nice place reasonable cost . neighbourhood safe Herald Sq subway station nearby really convenient . stay neighbourhood , go really nice bar / restaurant , Mumbles , nearby . serve excellent pasta staff really friendly ! 
 Mar 8 2006 	 great budget hotel New York 	 really like hotel great value expensive city . able drop luggage go see city . spend night room small neat clean . bathroom hall probably share couple room clean feel like shower friend home . next day leave luggage till ready leave city . we like lot especially price . little way subway , maybe couple block , big deal . 
 Feb 22 2006 	 good deal dollar 	 stay Hotel 17 twice future . location top , great n'hood lot good place eat around corner . room good , basic . sheet blanket see well time , though . single room sink , ask one . staff friendly helpful . cheap hotel , ' weird ' guest , believe ` permanent ' variety , think located wing . hotel 17 good deal young heart . 
 Feb 8 2006 	 Excellent value 	 Hotel 17 excellent value Manhattan hotel . room small fairly basic plenty character keep spotlessly clean . staff member extremely polite , discreet helpful . finally , location second none . will definitely stay . 
 Feb 4 2006 	 basic good price 	 small room , clean comfortable , fine come home day 's sightseeing . share bathroom across hall spotless , never find wait turn use ! really glamourous option , great price certainly back . 
 Jan 6 2006 	 HAPPY new year ! 	 girlfriend stay hotel New Year 's holiday could not happy ! freindly helpful staff . room bathroom always clean tidy . pleased area hotel , nice area . treat close Times Square , center attention New Year . 3 block , one subway . would recommend hotel anyone look clean , friendly , place stay want sincerely thank staff Hotel 17 make New Year 's pleasant joyful occasion . 
 Nov 20 2005 	 nothing special 	 stay twice Oct 2005 , 13th 31st Halloween . location great , room tiny ( NYC hotel ) price somewhat high ' ve ( $ 120 share bathroom , $ 150 private bathroom ) . wall thin hear everything ( yes , include annoying pigeon , lol ) staff seem serious time , never crack smile . anyways , will probably look elsewhere next trip City . 
 Nov 17 2005 	 Fleas Hotel 17 	 ' ve stay Hotel 17 several time , time , flea eat dinner . bite neck arm . maybe be pillow . hope fix problem . room look ok , other bad news . choose carefully 
 Nov 7 2005 	 up down Hotel 17 	 Hotel 17 perfect locale , relatively quiet East Village street near Stuyvesant Square , Grammercy Park , Union Square , village - good & quot ; walk - to & quot ; location need . problem cockroache anything resemble food room . fridge coffee maker , bring bottle juice , visitor result . say , get pay . ( online $ 99 per night , phone $ 110 . ) architecture hotel big plus , room large ( unlike experience another hotel , walk door knee hit bed . ) hotel well populate largely young international crowd . smoke nonsmoke wing , clean communal bath problem we get whenever need . also dampness carpet room make uneasy . so long food room - 's bearable . next time , think will take step price amenity . 
 Nov 4 2005 	 Appalling Service 	 Hotel 17 locate beautiful , safe , residential neighborhood near Union Square . though visit backwood Florida - I actually allow 17 year old twin girl explore neighborhood alone ( even night ) . hotel beautiful - the share bathroom always clean . management - I still believe way treated- complain sink room leak night , soak daughter backpack camera within- . instantly tell politely complanied : leak- & quot ; daughter leave bag floor & quot ; yes - that quote . although two plumber send quickly ( sink obviously leak leak many time ) -We tell leak floor impossibility due configuration plumbing - I even offer call plumber husband Florida . stay room - and eventually girl figure could not - the water able make floor faucet base mysterious leak occur - pool sink spile side onto floor - dash theory leave water run night ( inch head ) towel leave sink . kind enough inform upon checkout . 
 Nov 3 2005 	 gem ! 	 hotel great find ! choose price location . hotel locate quiet street nice neighbourhood . 10 minute walk subway Union Square . hotel nicely refurbish give feel boutique hotel / pensione - cosy , dark wood , solid door etc . room small side adequate need . go New York spend much time room ? concerned share bathroom aspect hotel problem . 11 room share two bathroom side floor . bathroom clean . see anyone else way bathroom . ( wonder everyone ? ) minuse hotel ? room lighting could well , tap in - room sink air conditioner noisy . also , bed new squeak ! ( honeymooner aware ! ) minor matter consider convenience Manhattan room price . will definitely stay next come back New York . 
 Sep 23 2005 	 nice place ! 	 friend stay , two room . first night check , book room 2 . small ( 3 we ) , fine ! stay room 2 nite . come back couple day later check 3 person room . huge ! big enough 7 people ! really like stay hotel . even though share bathroom , not problem . bathroom always free ( never line ! ) always , always clean . hotel staff good job keep place clean nice . hotel nice area not far sub . sooo ... would DEFINITELY recommend place . 's affordable lot fun staying . would stay ! ! 
 Sep 21 2005 	 nice price ! 	 stay 8 day hotel may 2005.it nice plan price . it clean place . hotel easy visit new york lot nice street near hotel . the problem noise room inside hotel . room noisy .... must ask front desk change room . not perfect reaal good plan new york . 
