great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Jun 4 2004 	 not summer hotel great ! 	 stay June 2003 - first week open ! stay long weekend attend wedding , want something bit hipper usual suspect ( though W oriental nice , expense account ) . good : staff decor . room layout great , friend drink - nice couch / seat 4 - 6 people . location convienent . yes , neighborhood borderline , lot place go neighborhood ... go SF 1x year worst see neigbhorhood look 8 year , unexpected . much different major city ( i.e . NY ) . staff friendly . the bad : RECORD HOT , 2 day a / c ( overlook , like other board - point , think hotel POINT ) . totally suck , first night stay late not go back room ! , go summer stay away ! another annoying thing - since first week point sort thing wrong ( internet , not get bathrobe etc . ) say someone would call discuss - one ever ! not say not ! lastly , time room service available - luxury wife occassionally splurge holiday . 
 May 23 2004 	 Boutique 	 wife stay 2 night late March 2004 . full mark honest description website , see get . book pamper package nice although include breakfast was'nt much breakfast . room spacious , bed devine wife love Aveda bathroom product . ample tea supply tea lover however coffee drinker enough supply . first time San Francisco originally think stay Fishermans Wharf area glad choose stay close proximity Union square . homeless people , sure every street corner find friendly polite . 
 May 15 2004 	 hello think Trading Spaces 	 walk lobby , think look like Rob Laura Petrie 's livingroom Dick Van Dyke Show . know Trendy , 60 's , come folk work , UGLY , UGLY 60' . the Wi - fy , less pleasant . could not connect morning . the WATER presure bathroom bad SUCKY . none ! bathroom sink nice look , need owner manuel work faucet . safe store laptop , would accomodate mine . the ice machine frickin BASEMENT . signage hotel visable unless look . neighborhood really sketchy night . 1 block wrong turn bad part tenderloin . lastly , airconditione ! ceiling fan mind , come , understand remote control room activate ceiling fan 1 - 4 room away . 
 May 7 2004 	 nice ! 	 husband ( late 30 ) stay Adagio find great pick . room quiet staff wonderfully friendly . room look like picture website comfy . do nice job modern renovation property . hotel close many major bus subway connection also close Powell Mason cable car . ton homeless area certain street avoid - look dicey we tough New Yorkers . however , noone hassle we . many quality breakfast option nearby Starbucks block away . also Walgreens vicinity . great bonus : hotel two Windows workstation main floor browse internet free even print page need . perfect last minute travel reservation ! 
 Apr 10 2004 	 aware 	 hotel surround homeless . People keep ask money enter hotel . lobby really nice , disappointed bad attitude front desk clerk . room A / C , think odd . anyway , will try another hotel next time . 
 Apr 5 2004 	 chic cheap friendly 	 not pay attention previous negative comment . unfounded perhaps different Hotel Adagio . wife stay February 2004 40th birthday enjoy every minute stay Hotel Adagio . put proper perspective travel frequently work stay good hotel country Soho Grand Le Parker Meridian NYC well Mondrian Shutters L.A. choose Adagio consider several other clift ( across street ) , Rex Monaco . could happy choice . Hotel Adagio rank term accomodation helpfulness staff . upon arrival ask would like upgrade suite mere $ 25 extra per night . bargain . hotel compare Phillip Stark design hotel , however , without attitude . long day sightseeing shopping look forward return Adagio couple glass wine stylish ( albeit beautiful people scene ) bar relax room . return San Francisco tomorrow would stay Hotel Adagio heartbeat . favor stay wonderful hotel . 
 Mar 9 2004 	 so - so 	 let clear ... new hotel ! 's refurbish old high rise close & quot ; Tenderloin & quot ; district . 's close Union Square alright , be also close lot shady place town . immediate neighborhood look dirty . overall , hotel receive nice face lift , definitely issue : water pressure god - awful , furniture - though stylish - look bit cheap ; elevator take awhile ; parking really suck . staff nice , frequently overhear casual conversation bell staff front desk employee ( subject usually car ) comment Maintenance crew ( leak ) . restaurant great . loved bar ! busy , , make sure call ahead reservation . 
 Mar 9 2004 	 sure look hip care 's 100 degree 	 husband stay Hotel Adagio open last year . terrible stay staff pourly train could even begin help make experice well . know hotel opening , expect last minute work complete . expect show room room work fan ( yeah need fan AC ! ) , wrong size bed , power , etc ... hotel attendant finally show we room small floor ! corridor run right room . little room walk even stand room , real closet bath room remodel ! besides heat ( could open window risk fall , hear lot street traffic every bug SF infest room ) , could hear every sound comme elevator poor patron . interior design bath accessory postive mark give hotel . would expect large & quot ; Boutique style & quot ; hotel developer . 
 Mar 3 2004 	 Perfect Tempo Hotel Adagio . 	 arrive pour rain greet cab door Bellmen graciously extend umbrella . inside lobby ease state relaxation warm lighting , comtemporary inviting furnishing accommodate hotel staff pleasure meet . theme continue room clean contemporary design incorporate deep tone fresh idea . travel industry pay close attention datail come hotel look thing evident Hotel Adagio ! 
 Feb 27 2004 	 ` ` warm cool '' 	 find hotel warm welcoming , cool decor . location perfect theater , shop Union Square , fantastic restaurant , Cortez , totally yin yang experience . highly recommend ! 
 Feb 24 2004 	 leave heart ... Adagio 	 stay Adagio along wedding party , together take 15 room . location perfect , bar lobby excellent informal hip meeting spot ad hoc group , room fresh overly fussy , staff incredible , respond group 's need direction , recommendation , special request , etc . will back ! 
 Feb 23 2004 	 Excellent 	 next time visit San Francisco must stay Adagio . great location , good food , extremely friendly staff . very modern , trendy affordable . forget rest Adagio BEST . 
 Feb 19 2004 	 Hotel Adagio Fabulous ! 	 room gorgeous staff outstanding . great location Union Square afforable rate . simply incredible ! even Bay Area resident like stay romantic special occasion . two word summary : absolutely fabulous ! 
 Feb 18 2004 	 great hotel 	 boyfriend recently stay Adagio must say one pleasant hotel experience ever . accustomed stay high end hotel Four Seasons ( travel expense account ) decide give Adagio try new experience . satisfied modern decor clean comfortable room far exceed expectation staff . FANTASTIC . staff member contact go way ensure pleasant stay we . 
 Feb 18 2004 	 Fabulous 	 stay Adagio twice time experience excellent . pleased decor , location staff hotel . recommend hotel everyone head California . thank opportunity comment . 
 Feb 18 2004 	 spacious friendly comfortably hip . 	 stay Hotel Adagio provide opportunity experience good San Francisco . within short walking distance Union Square , excellent dining , shopping theatre Hotel Adagio wonderful retreat . 's spacious room , wonderful view , hip decor professional , friendly service make hard leave . atmosphere Cortez , Adagio 's restaurant fabulous food even well . look forward next visit ! 
 Feb 17 2004 	 Super hip hot bar ! 	 LOVED BAR ! WHITE HOT ! great location business shopping ! cool room hip staff know ... 
 Feb 15 2004 	 Favorite City Favorite Hotel 	 every year bring sale team San Francisco offsite meeting/ retreat . team discern well - travel people . year , select Hotel Adagio high recommendation corporate meeting planner . high expectation meet , exceed . hotel hip , hip . staff gracious knowledgeable . meeting room former penthouse apartment owner 1920 ? , incredible view San Francisco . George , hotel ? onsite event specialist , awesome job organizing meeting include wine tour theatre ticket . successful , enjoyable productive meeting ever . Cortez , hotel ? restaurant , amazing . make sure make reservation , ? one San Francisco ? new hot spot . thank Hotel Adagio make success trip . ? preferred hotel Bay Area . 
