poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 Jun 19 2009 	 great stay Paris 	 last year marry top Stratosphere BigShot ride would recommend anyone want thrill wedding ! first anniversary visit . overall great stay Paris . last time Excalibur nice two teen almost stay , review seem good Paris mid - strip location good get good deal Alligent Air . time we two first time Paris . get late plane problem 5:00am non - smoking room unavailable gripe . hotel seem first come first serve room wrong ! ! accept smoke room change 11:00 . smoke room upgrade Red - Room , get low rate Luxury room , almost nice # 731 . separate nice shower ( bathroom appear ) , 27 & quot ; tv , watch Vegas , maybe little news ( try adult movie , lol ) overall atmosphere wonderful Paris many shop eaterie architecture detail great along Eiffel tower ! ! Casino lay good plenty room walk . although win great time . Bally 's next door also nice , think fun walk north stop place . every casino fun different ! everywhere different drink price atmosphere hard say well . beer shot house Tequila $ 6 Bills , 10 twelve road ? think people know drink strip pricey ! night spend downtown Freemont street must Vegas . great time kind entertainment people watch ! take Duece Bus $ 3 one - way $ 7 24 hrs ( good deal ) take 30 minute , ride fun good view sit top front part . another night also try monorail MGM go Excalibur , NYNY Tropicana great time $ 5 ( one - way ) also rent car 2 day hit local resort day around Vegas . next year ! Boulder Station favorite win atmosphere , also nice Sams Town upscale Red Rock Casino & amp ; Resort . Arizona Charlies great food . quite hit . take $ 6.50 shuttle ride Paris pick car LAS car center drop left town . book ahead Priceline get SUV $ 37 new car center bus airport great quick ( 7min ) plenty sign show go ! Stop & quot ; Welcome Las Vegas & quot ; sign south Mandalay Bay Las Vegas Blvd picture ! last year stop Hover Dam South rim grand canyon would also recommend ! beautiful scenery take day . so much see come back next year continue adventure . hope trip fun ! ! ! 
 Jun 18 2009 	 OUI ! Paris Delivers ! 	 wife stay Paris June . select base review find Trip Advisor . find great deal Trip Advisor ad Southwest Ariline include airline , hotel car 4 day three night . we upgrade room & quot ; Red Room & quot ; advance . want see look like , check Paris website . check hectic . large crowd traveler fill lobby . wife predict 30 minute wait . actual wait 15 minute . check - in simple . check upgrade room Strip view . cost would additional $ 55 dollar . decline . the Red Rooms high floor . indeed stunning . room crown moulding , armour , large flat screen tv , huge comfy bed . upgrade Red Room , highly recommend it . the bathroom shower seperate tub . bathroom stunning . wish tub bit large . the Paris pool . large , 3 1/2 foot deep . 's design diving . see children pool , without kiddy pool , diving area , slide , 's good fit parent look place teen pre - teen try blow extra energy . pool staff efficient courteous . check every not pushy . price snack beverage bite steep breakfast burrito ( make red tortilla ) $ 10 good , big enough wife could split it . we join player club good Bally 's Harrah 's location . whether gamble , card give 10 % discount shop Paris . Parking Paris ample . get Paris crazy find shortcut . absolutely must see Las Vegas Strip car waste time sanity , good luck . however , want actually go somewhere timely fashion , access parking garage east end property . access parking garage entrance street name & quot ; Audrie & quot ; . Audrie street , access E Harmon Ave . come & quot ; back door & quot ; save bunch time hassle . might able save money taxi use instead Strip . casino Paris ok . ' m much gambler , inside one casino look feel much like . must say however , casino well job ventilation year past . several internet kiosk locate throughout Paris . cost $ 5 use . not provide change . internet use 35 cent per minute , page print cost $ 1 . find $ 5 enough access southwest airline , check , print boarding pass . concierge desk helpful . answer question honestly fairly without try push service like time share salesman . Paris seem cater couple crowd . advertising sign say & quot ; everything sexy Paris & quot ; . Paris would ideal Honeymoon , couple try ad spark back marriage . see people child , not think Paris good fit kid . I recommend Paris . 
 Jun 18 2009 	 Electricity Room ! 	 stay Paris conference . 6:00 a.m. flight , get 3:00 a.m. electricity . call lobby tell schedule maintenance outage . explain need shower pack , would send small flashlight . call request partical refund , tell would make refund post sign state would outage . although never see sign message phone , surely receive pay - room electricity . 
 Jun 17 2009 	 Great Hotel ..... check in / out Staff need work 	 go Vegas two year ago .. Paris Hotel amazed . time ... question stay . we book get check little odd . one clerk check 3 clerk work player member . not busy . check go quick .... ask upgrade , bluntly say 60.00 night ... say room already view maybe would view .... say would check first . Got room look like someone already lay bed . view construction ... head downstair decide well view . 64.00 night well worth . got room key work ... call security put stuff .. head back downstairs get key work ... lady like , oh guess not scan ... day check .... lady check we loudly rude customer we ... smile ... thank ... nothing ... ask we nice stay say ok do .... next .... hear rough next person . other ... room spacious ... gorgeous veiw Bellegio .... bathroom spacious ... room clean ... nice .... nice . just wish check in / out staff could little kind . 
 Jun 17 2009 	 paris trip thought 	 first thank write report , love read keep juice flow next trip . first stay paris , wife start try twenty dollar upgrade work unfortunately wife smoker upgrade non smoking room cause politely decline upgrade tell check clerk keep twenty ask non smoking thing would put damper wife 's vacation . view view parking garage think room ok nothing spectacular adequate enough we , spend lot time room begin . gamble fairly good start , start roulette twenty minute trip within 15 minute $ 1000 . pretty much stay even next day little win little loss . daily gambling budget run $ 1000 per day stay last day awful ( ) take [ -- ] kick crap table bally last day . gambling total -100 $ trip . food entertainment : not venture like normally enjoy meal burger brasserie ( B+ ) , margarittaville ( A+ ) chicken caeser wing awesome , buffet Planet Hollywood yummy ( B+ ) , Ellis Island restaurant ( steak special 6.95 10 oz ribeye , baked potato , caesar salad beer unbelievable A+ ) , paris room service food good well ( b ) . bad , Paris Levillage Buffet near good remember line get crazy ( C ) , tequila bar bally 's , right next sidewalk cafe awful terrible food service ( ) absolute bad Hooters restaurant hooter casino order wing absolutely horrid could not eat . like eat grease mouthful trust say LOVE WINGS . absolute bad ( F ) . go live air one round radio show outside hooter pool fun get meet lot fighter , go UFC 98 mgm next night great time not great seat not matter cause not seem bad seat grand garden arena . also cabana rental paris pool love . first time ever really enjoy . group four would highly recommend cabana rental blast . well another trip do ' m start plan next one probably september yes probably stay paris , everybody keep writing will keep read ! ! ! ! 
 Jun 17 2009 	 Love Paris Las Vegas 	 return Paris Las Vegas 3 day weekend . belate Christmas present parent . wonderful stay . checkin quick room ready noon . call cell keep update . room red room , newly renovate flat screen tv , comforter pillow . bed comfortable . buffet great different section daily . ( go 3:30 pay lunch price change dinner 4:00 ) . crepe phenomenal . drink service casino readily available matter time . casino smoky past , attribute slightly old clientale ..... young 20 's . staff encounter genuinely helpful friendly , & quot ; fake friendly & quot ; prententious . Paris large , big , yet small quaint . absolutely stay ! ! ! 
 Jun 15 2009 	 will not staying 	 husband arrive hotel , three people work front desk . ask could upgrade room red room , tell . argue Mary ( person check we ) 30 min . , finally get room key head room . room ok , expect , view think back Bally 's . hair dryer suck , tv date , alarm clock keept go morning even physically turn . Sunday last day , search menu order room service unable find one . get trasnfere kitchen hold 20 min . good thing Ballys connect Paris , could easly catch monirail . think spend time Ballys gambling dinning . overall think need remodel standard room , check alot well line not long . hopefully next couple group friend well stay . 
 Jun 15 2009 	 GREAT HOTEL 	 stay Paris hotel . great , clean hotel . walk distance hotel . check check quick . 
 Jun 15 2009 	 fantastic 	 truly luxurious hotel situate central strip , lovely view bellagio fountain . good bar restaurant within hotel - check mon ami gabi steak house ( book ahead ! ) . helpful staff , help book ticket show , etc . room lovely big good sized bathroom . mini bar bit pricey . overall great place ! 
 Jun 14 2009 	 Red Rooms SCAM - service terrible 	 please not bother Paris . lure cheap room special , get upgrade ( $ 100 ) exact room book -except red headboard . mention 40th b - day give front desk $ 20 , still nothing special . Carpet wet , room smokey ........ please go four season 
 Jun 13 2009 	 great place stay 	 good hotel yet . ' ve stay couple last 2 year Paris well . deco , shop , boulevard lead Ballys great . service good accomodate even though early checking . room clean spacious . express check handy . great place central strip . would defo recommend .. 
 Jun 13 2009 	 good hotel minor irritation 	 stay two night May 2009 . previously holiday stay Luxor . room good strip view overlook Bellagio fountain , wireless internet . on checking , want rollaway bed kid . four we two bed wear thin time . purchase upgrade packade basis , tell subsequently could not rollaway bed . go reception request original room low price bed , eventually manage clarify could one rollaway room , two fire regulation . keep room get extra bed . first receptionist could explain , didn't . the upgrade package purchase strip view include access special lounge include continental breakfast two free alchoholic drink . not tell time upgrading drink available 8 pm , 7.45 book . know , upgrade would less value may . go complain not tell loiunge would shut time get , response basically & quot ; Tough & quot ; .We next suite room , two day clean staff leave breakfast tray outside corridor not remove . also , old towel kicking around lift lobby entire time . complaint cleanliness room though . I not want comment put people upgrade , stay . glad upgrade well view despite irritation reception desk staff . it be Vegas take Paris . cobble street shiny replecate look wet street dusk . like buffet , although Parisienne would dress costume staff wear ! Moldovan national dress think . good attempt authentic version Paris without flaw . mind work well . view top & quot ; Eiffel Tower & quot ; great , good place watch Bellagio fountain . go day , queue evening quite long - like real one . so would rate hotel good place stay . experience reception staff not good , probably not norm . unlucky 
