Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Feb 21 2008 	 Perfect Location 	 book Donatello timeshare company portion room . location 2 block Union Square perfect wander sightsee SF . room clean , spacious well appoint . detail could update minor . small kitchenette nice , frig / microwave / coffemaker dishware get we leftover appetizer . breakfast / lounge area nice , though not anything coffee . nice outdoor deck fireplace , people use area . desk staff friendly helpful , bar upstairs nice . not try restaurant . downside view rooftop behind Donatello . wished have ask street view . 
 Jan 22 2008 	 good 	 courteous reception staff - Evita especially welcome helpful . spacious room kitchenette good dressing area ironing board .. poor lighting sleep area . excellent bed . quiet . continental breakfast complete disapointment - little seat available quality food poor . Coffee thermo flask adequate acceptable . little effort satisfy guest aspect . otherwise , lovely stay convenient hotel . 
 Jan 16 2008 	 great stay Donatello 	 Donatello great hotel right middle thing San Francisco . walk shopping , restaurant , etc . hotel staff wonderful ! ! valet , maid , Front Desk staff , find quite helpful knowledgeable . the room quite large comfortable . great Club Room upstairs large fireplace sit watch tv want get hotel room , spend time see site around San Francisco . lot see . 
 Jan 14 2008 	 pleasantly surprised Donatello 	 well celebrate birthday 12th want find cheap hotel nice enough 3 female 20 's . read review Donatello seem like go decent hotel . arrive park 28 dollar valet ! really enjoy . one night stay packed lot clothe , everyone friendly moment get joke around check . staff amazing . hotel great area , club Ruby Skye literally right across street , right Union Square Market / Westfield Shopping Centre right well quick walk . also ' ve request top floor room hotel actually do Donatello put we 9th floor 14 . way well hotel . plus room massive ! King Bed pullout sofabe ton room . bottom line amazing ! stay ! family even though club right , window close really do not hear people talk loud music , course occasional horn honking really loud . 
 Jan 9 2008 	 Great Location noisy ! ! ! ! ! 	 read review look photo , expect . ok , room street , not expect get much sleep unless crank room 's force - air fan . at 4 am noise sound like tractor , get back sleep , delivery truck idle noisily sound like window- 8th floor ! could hear every word worker say . go window find latch not close way call front desk , not seem interested . next night turn fan drown noise , end irritated sinus feel dry air . the breakfast offer not worth money , restaurant not open early , eat across street another hotel . room large expect read review . kitchenette area come handy . bathroom another story . look like not remodel since 80 's shower area look like motel 6 . get excellent rate 172.33 per night Travelocity group rate , not feel like complain . the lounge area nice , coffee , tea muffin set . jacuzzi order , small gym ok . staff nice enough . not much contact stay , week call concierge ask fun stuff New Years email 10 page suggestion . the location great shopper . Union Square street , Macys , H & amp ; course mall great shop Post St. walk Chinatown , not far . cable car close mall , line long . great trip tell , large family group well , San Francisco New Years ! ! ! 
 Jan 4 2008 	 good location passive - agressive service 	 location terrific - block cable car , 2 block Union Square . room well decorate , though noisy small side . upstairs concierge ( ) say hello , use speaker phone talk return department Macy 's ( spare ! ) , request miss newspaper answered & quot ; will get & quot ; . breakfast area tastefully decorate smelly garbage bag day Christmas . 
 Dec 30 2007 	 Great Deal ! Best Staff ever ! 	 ' m DJ travel world gig various club venue . spin @ Ruby Skye right across street , perfect location . travel never meet professional fun love staff Donatello . Jesus @ front desk entertain . entire front desk really make feel welcome . bell staff really always welcome back smile . request smoking room place 6th floor say maid room delight need anything get right away . fact sweet feel guilty service room . keep late hour get try breakfast include instead go Max 's right corner Dottie 's couple block away , great recommendation . actually checkin hear other complain noise club across street think partially fault , really expect peace quiet be city great nightlife ! ' ve read review place top list . 
 Dec 19 2007 	 nice Donatello 	 friend stay Donatello week , conference . must say 4 give we Presidential Suite , great complete flat , kitchen , 3 room ( good size ) , 3 bathroom lounge . still presidential suite expect quality . decoration old fashion , low point room . rest superb ! staff friendly , room clean , bed confortable ! view window great . the location good , next Union Square cable car . service great , helpfull bag , taxi , bill , room . hotel old fashion decoration need renovation . the low part hotel breakfast , say include price , poor . really , orange juice , coffee pastry . milk , cereais , fruit yogurt , bread ... nothing . pastry sweet .... one get sick one day . would prefer breakfast include , least would go nice place street feel like pay twice . 
 Dec 13 2007 	 would excellent decent soundproof 	 spacious room , excellent bedding . all equipment perfect condition , everything clean . my criticism would noisy traffic even 8th floor , sleep earplug . price range would expect double - glaze window would guarantee decent soundproofing . the breakfast ok nothing amazing consider price range hotel . 
 Dec 9 2007 	 Frequent Donatello guest 	 live hour half San Francisco season theater ticket . except JW Marriott , Donatello favorite hotel spend night . ( across street . ) go hotelres.com look & quot ; parking breakfast & quot ; package , usually get around $ 165 , less , depend upon season convention city , etc . since hotels city charge $ 40 parking consider bargain convenience . grant , & quot ; breakfast & quot ; orange juice , coffee roll , serve top floor lounge three terrace view free newspaper fireplace . floor also fitness center guest , time . besides hotel - type accommodation , also kind & quot ; resort & quot ; property people own time share accommodation . not know work , irrelevant , really , stay there . the room average 425 square foot include sit area , wet bar , coffee maker , sink , fridge microwave , electronic equipment like dvd player , etc . also grant , corner room Mason Post , early morning noise problem . simply ask room away noise . the hotel well run , good restaurant , locate block away Union Square . 
