trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Nov 27 2005 	 great experience ! 	 intially , reservation book hotel reading review , must admit , glad make decision stay Thanksgiving weekend . arrive hotel short cab ride Penn Station well - light bustling entrance . enter hotel , knew make right decision 2 story saltwater fish tank friendly front desk bellhop ! problem check - in .... take 1 minute ! anticipation get elevator expect sleep shoebox ... yes , room bit small , sufficient , girlfriend , luggage ! ! knock room comforter sheet like sleep paper everytime move sound like someone ball paper ... sleep fine ! bathroom perfectly clean ! choice 2 bar restaurant hotel ... be NY ... want stay ... explore ! explore 4 block away Times Square ... close plenty restaurant , bar , show ! want close Times Square , comfortable , relax spot reset long day town , not want spend extra 200.00 4 block Marriott W ... trust , will not disappoint ! ! would not recommend mother father stay , weekend getaway be 20 - 30 sure ! 
 Nov 13 2005 	 nightmare dream 	 one bad experience ever . room , bill non smoking suite $ 499 night , directly beneath club 14th floor noise music come right floor extreme bass . call desk 11:30 p.m. assure music end 1 a.m. , 2:15 a.m. music still go strong . 2:15 call say go front d first thing morning would gladly change room . go front desk first thing morning assure would give another comparable room , tell pack bag enjoy day pick key come back . return 4 p.m. ready shower change dinner room change . send we back room , soon reach room call we . send we new room small , consider suite price . tv anchor wall around corner , could see bed smoking floor . tell room available . option go back original room , since Friday night want take chance . call another hotel check . give half price rate evening stay . side note concierge rude almost seem annoyed ask question . heating system noisey rattle time . 
 Nov 3 2005 	 thank wonderful weekend ! 	 would like thank Dream Hotel one amazing weekend ' ve long time ! know choose hotel right arrive . front desk staff bellman could not nicer . room ! website picture not justice . flat screen tv incredibley comfortable bed , could hope . concierege huge help . get us ticket Broadway show reservation restaurant almost impossible get . love meal hotel 's restaurant , Serafina . pizza pasta delicious great wine selection . the location perfect well . able walk theatre night Central Park day . my weekend truly & quot ; Dream & quot ; come true ! 
 Oct 29 2005 	 Pleasant Stay 	 boyfriend stay Dream Hotel say pleasant experience . aside room extremely small ( already aware ) , clean , staff helpful friendly , location awesome ( right heart midtown near Times Square ) . bed WORLD ! never feel comfortable hotel bed ever ! would definitely recommend stay hotel .. next time , definitely want upgrade space . 
 Oct 27 2005 	 not stay Dream Hotel 	 glad not one pay stay Dream Hotel . sorry anyone . complete rip . room teeny tiny ( king room $ 400 night ) lack charm warmth , service staff rude , air conditioner not work ( despite 3 request front desk fix ) . television turn two night row ( remote control nightstand ) . not know hotel might appeal -- possibly teenager poser 20 's . Ultraviolet light bed white contemporary desk ( everything room stark cold white ) little freaky long hard day NYC . take several minute figure get goofy light regular light . lobby tight lay poorly stupid column tube aquarim completely way . location good . oh also , encourage read Book Buddha bedside table instead traditional Bible . call old fashion . I would never ever even contemplate stay -- even pinch . 
 Oct 27 2005 	 please stay nightmare ! 	 stay Dream two week ago ( mid October 2005 ) dreadful - none gadget work room [ although advertise & quot ; late technological delight & quot ; ] , room service nasty adventure food poisoning top - & gt ; often sewage would come tap turn . latter , maintenance would show every time fix issue cite rain problem think yeah right - live London , England happen really rain ! management seem think cite boutique hotel gloss issue . also great pain state serafina room service contract hotel part - i.e . take responsibility department . Chopra Centre open still look likely ! really bad experience . please stay . Belinda 
 Oct 25 2005 	 Dream Hotel -- - stay away ! 	 Boston area travel agent -- - make mistake book separate client poor excuse hotel ..... dirty room , poor service , bard closed time , etc -- - worth 1/2 star hotel booking system .... sure spread word way place treat customer next IATA conference ..... yike ! 
 Oct 17 2005 	 Dream dream ! 	 get back one night Dream skeptical staying reading review . stay enjoybale , complaint ! yes , room small true general New York city . room clean , staff pleasant , decor chic bed comfy ! 
 Oct 13 2005 	 night dream 	 read many review worried stay Dream . friend come town need good midtown location want stay typical chain hotel , want stay trendy & quot ; New York & quot ; hotel . reservation Dream small , trendy pretentious - find none concern . staff friendly helpful hotel pleasant surprise ( matter fact never leave hotel night much fun lobby lounge Ava ) . book medium room also extra large room . medium room bit small side ammentie would want short stay NY ( stay much small room NYC ) . stay 3 day extra - large king would well worth extra money . x - large king room great - huge bathroom cool tub / shower combo ! ! ! many review state bed comfortable - never big concern mine stay Dream huge factor - bed unbelieveable ! agree Hautel Couture everybody look fun unique hotel stay hotel perfect - definately back . 
 Oct 10 2005 	 Disgraceful New York Boutique hotel ! ! 	 absolutely horrible ! ! ! rate hotel one scale five , 's rating zero option ! ! ! girlfriend stay Dream Hotel two day past weekend . first will start positive . bed extremely comfortable turndown service excellent . bad . room booked & quot ; large room king size bed , & quot ; would love version small room consider large room . closet bathroom outragously small . flat screen television outdate work half time . booked room wbsite notice not many pic entire room , little deceive pic desk chair . obviously not proud room . check bag check walk around Time Square flight cam back idea bag take . run around 15 minute look luggage find . stay many top boutique hotel NYC , Parker Meridien Plaza close , say big disappointment ! ! like small room , bathroom , closet high price tag , place . 
 Oct 6 2005 	 Dream Nightmare 	 Hip trippy lobby lead room small inside cabin low deck cheap cruise line . ' ve see small , cramppe room NY , beat . closet space , room even chair , glass & quot ; bench & quot ; desk , bathroom small reach across room toilet paper , noisy AC , bad service , view concrete wall 2 foot window , thing positive say public area & quot ; interesting & quot ; . would stay New Jersey stay ! 
