great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Apr 6 2008 	 Great London Hotel 	 one night stay , definitely return lovely hotel state reviewer , hotel minute walk Tower Hill tube station whilst exactly central , within easy reach major attraction . the room although large well appoint bed comfortable . complimentary water nice touch especially fridge chill . decent coffee also provide well tea hot chocolate . the bathroom well ' ve London ; separate power shower especially impressive . lovely toiletry cute rubber duck welcome we ! standard cleanliness excellent staff meet polite , friendly hepful . as another reviewer mention , also wonderfully quiet aware noise night . unseasonally warm , good air conditioning work well almost silently . I would hesitate recommend hotel . 
 Apr 3 2008 	 great Find 	 return spend 3 night hotel overall stay absolutely fantastic . definitely ' fault hotel staff anything . the hotel literally five - minute walk Tower Hill tube station . flight early , way check - in time , front desk staff happy help check we straight away first available room . room immaculately clean stated modern well equip , especially toiletry bathroom . breakfast fantastic quality food offer superb . hotel extremely quiet – never hear door bang another guest floor whole weekend , despite breakfast room full morning ! ' glad research Tripadvisor book anything . definitely good find ' hesitate stay London . 
 Mar 31 2008 	 Best London Hotel 	 book hotel last September brilliant website Londontown.com . stay 29th February 3 night . travel London every spring cousin hotel good hotel ever stay . everything hotel fantastic , every single member staff brilliant . look forward return next spring . 
 Mar 25 2008 	 clean modern friendly 	 spend 3 night Apex . forget check exact location leave home - know address alight Tower Hill . however , consult map station , hotel really easy find 2 minute walk . arrive Friday 10.30am . unfortunately , could check yet able leave bag concierge . receptionist friendly expect , bit disappointing . room average size city hotel nice bright . bed really big really comfortable decor modern cosy . bathroom bath separate walk shower . excellent toiletry course , rubber duck ! full length mirror wardrobe tea coffee make facility . complimentary sparkle still water - nice touch . the breakfast excellent . get cook breakfast first morning , continental ( include ) sufficient . staff restaurant professional friendly - especially maitre ' . bar area comfortable relax great cocktail menu ! dine hotel get room service excellent . on check , receptionist much friendly , would judge hotel rather previous one ! hotel City , therefore business feel alot restaurant bar closed weekend , easily hop tube bus go wherever like far walk St. Paul 's cathedral alot restaurant opposite . next time London , definitely stay Apex would consider sister hotel whenever Edinburgh result stay . 
 Mar 12 2008 	 Quiet London 4 Star 	 unusual find quiet 4 star hotel London , Apex exception . 5 minute walk Tower Hill tube station ( buy Oyster card - worth ) 10/15 minute Tower Bridge Thames walkway . hotel modern converted office building City suggest aim businessman great weekend break . room comfortable tea / coffee make facility , dvd player ( really want stay room watch one ) , room safe necessity . superb walk shower well bath bathroom lovely toiletry . criticism find flush toilet difficult push magnifying mirror bathroom full length mirror . continental breakfast excellent . fresh fruit , ham , cheese , yoghurt , smoke salmon , selection bread cereal nice toast . even coffee good . another £ 5 would got we cook breakfast look good not need . staff pleasant helpful - break hairdryer replace quickly . pleasant place stay good substitute Guoman Tower Hotel use stay . 
 Mar 9 2008 	 exceptional stay 	 stay hotel 3 day romantic stay London . our experience fantastic . everything lobby room perfect . receptionist staff gentle , friendly professional . room calm , warm , comfortable nicely decorate . breakfast tasty include fresh food ( fruit , bread , .. ) quality . hotel close transportation , tourist spot restaurant bit center . I would definitely recommend hotel would enjoy stay . finally , price ( internet rate ) fair . 
 Mar 4 2008 	 Fantastic London Hotel 	 stay Apex weekend can not fault hotel . give cost small room London hotel , Apex pleasant surprise . hotel modern everything would need . locate 5 minute away Tower Bridge . breakfast simple service also excellent . room , small modern clean . in light relatively low cost room , would recommend hotel weekend visitor . problem find hotel tuck away . say , be close tube station , bar restaurant . 
 Mar 3 2008 	 usual pleasant stay ! 	 ' ve stay 3 time Apex City hotel , London go back sure ( mouse ) get hotel 12 pm ask could leave bag check later , friendly staff member say room available could check straight away . follow morning , go take shower 1 bath towel , call get another . go get hairdryer , realise spare towel press .... check first ! staff always friendly hotel , check check , room service , bar , concierge , etclocation great . Turn leave Fenchurch St station minute walk , turn right |Tower Hill tube , Tower Gateway DLROh , 1st time , proper explore around St Katherine 's Docks . be beautiful , highly recommend tour Tower Bridge 
 Mar 3 2008 	 great Find 	 need book number room central London family attend brother wedding . location fabulous , tuck away close Tower Bridge Tower London . within walk distance attraction , restaurant , bar cafe . I book weekend enjoy good rate ( one third week night price ) .Hotel modern , classy design funky - chic ambience . room small , member group spacious room . not problem quite lot . Widescreen tv fantastic bathroom bath walk - in shower , complimentary toiletry nice rubber duck ! perfect city weekend break . breakfast typical London price ( £ 13.00 continental £ 20.00 fry ) not bother , short walk find need fiver . I park 2 min away underground carpark . weekend rate good ( £ 2.50 sunday ) £ 2.00 per hour time . all , highly recommend . 
 Mar 2 2008 	 deserve rating 	 excellent hotel well deserve plaudit receive reviewer . staff thoroughly professional helpful : room well - appoint attractive hotel good location . it business centre plenty historical site interest area . transport part London straightforward add bonus Thames Clipper stop Tower Pier , across main road . 
