great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Jun 13 2007 	 would definately go back . 	 return 4 night stay hotel go , bit apprehensive reading review . must say complaint would recommend anyone . it be location handy 59th Street subway Columbus circle . reception bit dimly light , clean enough . the hotel consist two tower . one 18 floor overlook 57th St , 10 story overlook 56th Street , pool top . my room 7th floor 18 storey . 's true traffic noise , NYC . would think bottom floor block may keep awake time . noise within hotel , door bang etc hotel say . noise water system . think room flush toilet , pipe must run behind wall , not really bother . a / c work fine , although fan quite noisy . also scaffold cover 57th Street frontage buliding work go day . my room large enough three adult group . bathroom not massive adequate . important thing room clean . room paintwork little chip coat paint , expect . the area around typical NYC , be work city full character . run building ultra modern . always people around feel perfectly safe walk back 11pm . do not eat hotel , go 57th Street 8th Ave , turn right couple hundred yard eat breakfast deli call Bread Factory . allsort choose reasonably price . friendly . load around . 3 starbuck , late night coffee . plenty supermarket too . it would interesting know negative report tower . say , 7th floor tower overlook 57th . 
 Jun 2 2007 	 Noisy noisy noisy 	 second time ' ve stay hotel . & quot ; librarians ' & quot ; hotel Book Expo . last time room back tower face onto 56th St . time front building look 57th St. 57th St busy , two - way street get lot truck traffic , even late night . 12th floor still loud . plus hotel room door , like many , slam really loudly . seem ease door close much ask 99.99 % hotel guest , get constant slamming door hour . even worse , room directly across hall ice machine , inexplicably , sit right hallway instead little alcove room . even folk asleep , machine keep make ice noisily dump hopper . we lunch lounge first day . food ok somewhat fairly price , beverage outrageous . flat Diet Coke , maybe 4 oz worth , $ 4 . small bottled water . add 15 % gratuity . understand add gratuity bill large group , add bar small group deny patron opportunity express level satisfaction service , therefore guarantee poor service . we try breakfast hotel restaurant one morning , wait 25 minute waiter , despite ask one 15 , see few 4 bored waiter wander around pitcher coffee juice , get leave . Pitiful service , doubt know guarantee 15 % come matter bad service . the hotel process renovation , will not comment cleanliness , although not bad . room decent size , bathroom sink separate shower / toilet room . take note anyone think sharing room ; little privacy shave / brush tooth , etc . counter around sink small keep toiletry floor sink . would rather slightly small room full bathroom . 
 May 29 2007 	 bad 	 Stayed , second time six month . HI give fairly decent military rate ( $ 212 ) be satisfied get . yes , hotel outdate , room quite large price . AC , tv , water / shower work fine . breakfast meal eat , decent . service quick , nice get & quot ; & quot ; way . like location ... right near Central Park , block Columbus Circle metro stop , lot restaurant store within walk distance . one thing strike odd ... buy bottle wine shopping , take back hotel . ask lounge two wine glass take room , charge we $ 5 glass deposit ! seriously , folk , going run cheap wine glass ? take glass downstairs front desk checkout get fee take bill . big fan . overall , probably choose hotel snag decent price . 
 May 21 2007 	 unpleasent 	 Staff helpful , room clean downfall air conditioning never work though promise everytime ask . New York Humid time uncomfortable without A / c . telly keep turn ? annoying . carl ticket desk fantastic want book anything New York person see . 
 may 17 2007 	 average comfortable 	 Stayed April . good holiday . room large comfortable . location ok depend want . reasonable walk time square close central park.only breakfast hotel twice ok . pleased noise temperature problem , find reception staff either helpful otherwise . the concierge helpful fact quite patronise one time ask question . miss fridge able make single cup instant coffee . consider prce lack extra disappoint pay store bag hour post check out . be sorry stay consider price would stay could afford something central . 
 may 15 2007 	 excellent location problem air conditioning 	 stay early May find location convenient restaurant , subway Columbus Circle , Central Park , theater . many restaurant 9th Avenue , couple good reasonably price local diner . first time New York year , first pick like Doubletree Hilton , room expensive date . book HI base price location . do not expect much , think room fine , like standard Hampton Inn type room . seem way date , think hear someone talk 2 tower , maybe one renovate ? negative air conditioning lack thereof , stay . front desk say whole building due fluctuate outside temperature . sleep window open two inch ( would open ) ongoing problem , would recommend staying summer . 
 May 14 2007 	 Great Location ; -- Lame Accommodations ! 	 good part holiday Inn West 57th ? truly fantastic location ! ! close shopping , theatre , Central Park , great restaurant ! hotel also great concierge ! Friendly & amp ; extremely knowledgeable concierge staff ! free wireless another treat ! good : please note : book hotel online ( ) , please read fine print . turn , get great cheap ( $ 250 night deal , really cheap ) online deal , be completely nonrefundable ! ! whole hotel stunk , literally stunk ! & quot ; tinge & quot ; throughout hotel & amp ; room . air conditioner break .... hey , nearly 80 degree 2 day air conditioning ! truly suck ! stay ? maybe place hundred buck night , might consider .... 'cause great location . $ 250 per night -- expect pleasant smell hotel amenity .... Ta Ta Holiday Inn ! 
 may 9 2007 	 $ 250 not pay much . expect ! 	 location concierge staff wonderful : close time square , central park , theater , shop restaurant . however , everything else pretty substandard . this fist visit big city want stay central place . trip work relate , want hotel functional low price- employer will not pay $ 250 per night . arrive hotel non smoking room . one elevator break 20 people wait line . room small stinky- buy lysol candle . bathroom small- enough counter space toiletry . fact , bathroom door could closed without whack toilet seat . closet also small- 12 day need room stuff . skip restaurant : arrive starve , eat club sandwich . expensive pretty awful . during stay incident floor . someone keep yell call security , call security . well call security ! ! ! ! next morning try complain say computer show report incident . manager , want file complaint wait next day . $ 250 not pay much big city ! ! ! think stay beautiful resort Cabo half much . glad employer pay bill- 
 May 7 2007 	 Location Location need RENOVATION 	 stay hotel least 5 previous occasion . last ! although location ideal , physical plant , guestroom , common area restaurant desperate need renovation . build makeover since late 1980 's . suffer three day without air conditioning . ( apparently , frequent problem hotel . ) hotel blemish upon Holiday Inn name . company give franchisee , HI57 LLC , boot ! 
 May 3 2007 	 good money ... 	 take hour Trip Advisor find hotel Manhattan $ 300 per night yet decent review . hotel meet requirement . ( $ 250 / night ) . hotel clean , well decorate room , big room , friendly helpful staff . location great . walk everywhere hop subway block two away . great little restaurant around corner . one previous writer mention dark deserted . side walk never empty even walk home play . 
 Apr 19 2007 	 thank ! 	 group stay April . room small dirty . book double , mostly single . group arrive not double available put rollaway room ! ! almost $ 300.00 per night expect well . front desk rude really not seem care . contact management get response . employee charge group never even return call . poor hotel , poor customer service . 
 Apr 17 2007 	 good place base ! 	 could not fault place 's location attraction NYC . staff friendly , especialy porter times reception view undermanne struggle group - ( 13 man 60th stag ) . bar service good , although little pricey , offer draught beer . though food offer adequate something quick simple . hotel room , functional facility would expect find - room ready re - furb . bathroom basic , wash basin outside main room odd reason - handy though be share room . room option connect door next room , sound travel quite alot . hope pray not get noisy people next door . real gripe fact book bed breakfast deal , wich voucher offer $ 5.00 breakfast . , big come - 's offer lead person room - case , 3 hence think short change . complain moaning feel rough deal girl behind counter issue we voucher apiece . recommend Detroit omelette way ! enjoy stay hotel would likely use . 
