disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Oct 26 2004 	 ready love Amalfi utterly disappoint 	 reading glow review , eagerly book Deluxe Corner King Room , expensive room type . call ahead let know would late checking , also confirm request crib . emphasize important crib set ready would arrive late night . front desk staff reassure would not problem . we arrive 11 pm Friday night , exhaust 4 - hour flight , toddler sleepy ready bed . fear , crib set ! call front desk say would find one & quot ; right away . & quot ; forty - five minute later , midnight , ( & quot ; right away & quot ; book ) , someone finally arrive PLAYPEN . note Amalfi management : playpen crib , adequate substitute . add insult injury , give we BROKEN playpen ... leg support loose unstable . apparently , hotel run crib . next : mini - fridge BROKEN . not discover find not leave we key fridge . call housekeeping . anyway , fridge imperative , store milk food toddler . immediately report housekeeping , never fix acknowledge problem 2 - night stay . end buy new carton milk yogurt twice day . room : book Deluxe Corner King room , expensive supposedly large . utter disappointment . sure , soft linen silk comforter wonderful , spotless clean , nice touch magazine selection , CD , Aveda product , book , , place * * dark depressing * * . expect fairly decent - sized hotel room , instead , open door , see long , dark hallway stretch around corner tiny room . guess long hallway make & quot ; deluxe & quot ; somehow ... ? pay pretty & quot ; deluxe & quot ; rate , would expect least view street , something . one window , get great view BRICK WALL . window adjacent corner , another panoramic view BRICK wall . needless say , natural light room . & quot ; deluxe corner & quot ; room ? ? another problem air conditioning . loud . not prevent lay - back husband sleep , even admit bother . definitely prevent get quality rest . bed . warning : back problem prefer sleep firm surface , be go like Amalfi bed . soft , least supportive bed ever sleep . grant , ' m 6 month pregnant ' m little achey day , even husband complain it . breakfast buffet : read review , think would really . turn small table set front elevator , basic assortment danish , croissant , muffin , bread . yes , nice pastry one would find Holiday Inn breakfast buffet , much nice ! bowl apples banana . tea coffee serve pretty urn . basic continental breakfast , be . nothing fancy . strangely , provide plate either morning . spread napkin across serve tray ( open basket bottom ) bring food back room , dribble crumb way . ' ve save well last : horrible , horrible concierge -- oop , sorry , & quot ; Experience Designer . & quot ; miserable rainy Saturday morning husband , friend , son , look nearby brunch place drive . concierge say , & quot ; lot place walk within 2 - 3 block . & quot ; say , & quot ; not umbrella would prefer drive . & quot ; & quot ; say , & quot ; be go lot trouble find parking . & quot ; say , & quot ; be ok , be use . recommend place nearby ? & quot ; say , & quot ; drive around will find something . & quot ; WTF ? ! concierge tell & quot ; drive around & quot ; find restaurant ? tell bad parking ? ? uh , lady , job ? ? demeanor incrediby curt impatient , not crack smile even . talk useless , rude , incompetent , unprofessional concierge . bottom line hotel : try really hard certain area ( little personal touch room , nice doorman , hip mod decor lobby , clean room ) , lack professionalism standard procedure painfully apparent . room anything like dark , depressing , tiny & quot ; deluxe corner & quot ; room , would truly well elsewhere . not get wrong , ' m prissy 5 - star hotel princess , fact - usually stay simple hotel inn , supposedly upscale boutique hotel , shocked sub - par compare less trendy chain - type hotel . 
 Oct 22 2004 	 Great Place stay Chicago 	 wife get back 3 - night stay Amalfi enjoy much . staff great ! free breakfast coctail evening unexpected pleasure . stay Intercontinental ( one Chicago 's good ) two night preceede stay Amalfi , although room intercontinental large , Amalfi much enjoyable stay due excellent service little extra . also appreciate fact cost room Amalfi $ 100 per night less intercontinental . great place stay Chicago ! 
 Sep 19 2004 	 love place 	 stay hotel June 2004 take nephew chicago 16th birhtday . not think ever stay friendly hotel . right check check staff could not nicer . the room fantastic everything cd / dvd player large collection cd 's could use . breakfast serve foyer floor great , huge fresh muffin , plenty fresh fruit coffee etc . the reception hold hospitality room every night 7 pm superb great snack complimentry drink . thing would say , not let someone get control remote plasma screen tv ! ! seem forget people room ! hotel fantastic short walk Magnificent Mile , would definately stay time Chicago . 
 Sep 6 2004 	 can not say enough good thing ! 	 get back Amalfi - great ! not spend lot time actually & quot ; & quot ; room , comfy , decor unique , bed AMAZINGLY comfortable , especially pillow ! happy hour miss - top shelf drink eat 5:30 7 every night . zuchini bread breakfast tray die ! staff helpful kind well . 
 Aug 24 2004 	 ` ` one Chicago 's secret '' 	 Amalfi Hotel one secret spot Chicago . central location put walk distance Chicago ' major attraction . hotel rate reasonable compare chain hotel " claim " well offer lot less Amalfi . customer service really great friendly . hotel offer convenient amenity yet ' see hotel . example , offer free continental breakfast serve lobby floor . convenient since walk room ' floor lobby bath robe , get breakfast , bring back comfort room . room offer dvd player couple cd music set enjoy room . room also offer book selection enjoy room . room chic contemporarily design . bed heavenly soft linen ( 330 thread linen ) , plush pillow , super comfortable mattress . room well area hotel clean impeccable . stay 3rd floor could hear street traffic noise . ' unavoidable stay heart major city like Chicago . definitely hotel choice next time travel Chicago ! ! 
 Aug 17 2004 	 Unassuming yet full surprise . 	 two night stay Amalfi lovely . small , unassume 4 star hotel set 6 floor large high - rise River North , we convenient love walk , something every direction -- north Michigan Ave explore , south bridge toward Art Institute Millenium Park , etc . room comfortable enough size crisp , modern decor . cd player cd 's use nice touch double shower head Aveda product bathroom . surprise include continental breakfast floor every morning . could help , return room , cute tray dish load fresh pastry , large mug coffee , etc . wear , course , robe room . return evening enjoy sumptuous manager 's party nightly . friendly relaxing , server terrific , tasty buffet drink . impressed , hope continue offer quieter setting ( almost like city & quot ; doorman building & quot ; ) elegant extra . need lot coming going , hotel may small quiet , know head , enjoy pleasing service , might good place stay ! 
 Aug 10 2004 	 not understand big deal 	 ' m chicago spend night wife get away home . overall hotel quite nice unique not think worth $ 140 / night . room nice contemporary small thought would . plus , quite walk want go shop mag . mile . unique decor , hotel really not awesome find . 
 Aug 10 2004 	 Loved love love Amalfi ! 	 stay Amalfi 5 night absolutely love ! room clean comfortable outstanding amenity extra - like cds books dvds use stay . breakfast plentiful beautifully lay . evening reception unexpectedly top - rate . definitely recommend Amalfitini ! staff extrememly courteous helpful . highly recommend Amalfi look forward return . 
 Aug 9 2004 	 Great Place Excellent Service 	 spend weekend Amalfi find room comfortable service excellent . also , location hotel ideal spot busy easily accessible Michigan Avenue . enjoy breakfast buffet convenience floor room . thank Amalfi ! 
 Aug 6 2004 	 Amazing Amalfi 	 read wonderful review Amalfi find terrific rate , book room 4 night mini - vacation Chicago . Amalfi modern & amp ; clean , staff friendly accomodate . aveda product , comfortable bedding , magazine , book cd 's provide big plus ... mention free continental breakfast italian goody manager 's reception . recommend hotel definitely stay . 
 Aug 5 2004 	 great hotel ! 	 stay 24 27 July enjoy stay . room 4th floor face bar opposite Sat night , could hear loud noise come area . the staff level friendly . particularly like breakfast buffet available floor dress go downstairs . still plenty hot coffee pastry leave 10 minute breakfast finish . evening reception equally good nice snack drink . congradulation staff make place special hope continue good work ! 
 Aug 3 2004 	 Loved Amalfi 	 hide gem ! small boutique hotel , service exceed popular well - know hotel chain . morning continental breakfast feature fresh fruit , pastry coffee , along daily manager 's reception add bed & amp ; breakfast type feel . experience designer extremely helpful add special touch experience . would definitely consider stay Amalfi ! 
 Aug 2 2004 	 terrific find 
 Jul 29 2004 	 5 star hotedl 
 Jul 8 2004 	 great hotel 
 Jul 8 2004 	 great boutique hotel 
 Jul 5 2004 	 nice surprise 
 Jun 28 2004 	 great ! 
 Jun 20 2004 	 Hidden Gem 
 Jun 6 2004 	 great wonderful Chicago location ! 
 May 19 2004 	 Wonderful 
 May 3 2004 	 incredible ! 
 Jul 12 2009 	 Viel Komfort idealer Lage 
 Sep 13 2008 	 Assolutamente da consigliare ! ! 
 Mar 19 2008 	 Una buena opción ! 
 Jan 16 2008 	 Davvero molto deludente 
