North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Apr 18 2009 	 great stay location 	 first time stay Bally 's pleasantly surprised . wait check - in , friendly opted upgrade room North Tower . one quiet hotel ever stay Strip . clean room . we see room service trays hall remove timely manner . do not use pool . coffee maker room . this hotel excellent location strip like much . stay Bally 's July . 
 Apr 17 2009 	 great Know Expect 	 enjoy resort thoroughly . nice , clean , good area lot nearby . weather not cooperate we still real good time . short walk everything strip . tennis court , restaurant , monorail within 2 minute walk . middle strip far activity . 4 night think car necessary . our room decent size , clean well equip . bathroom bedroom great , room fully equip . the north build one good , lot room , workout room , casino , large sit area , snack bar , lot activity , info computer . all nice place would go back , definitely well suit well weather . 
 Apr 17 2009 	 nice place great central location ! 	 stay Bally 's 2 night April , compe . book King Room nonsmoking place North Tower Room partial view Bellagio Fountains . spacious ; hallway also spacious . hotel obviously old - believe old MGM Grand - room decorate light color lot lamp . stain chair seats window smudge eye level , otherwise room clean . casino small compare Strip ; not play much . try Al Dente Restaurant dinner special $ 19.99 include salad , pasta entree dessert . try Cappellini Pomodoro like much come back later week . service restaurant also good . get 2 1 ticket Jubilee comp , go see . show entertaining , dancer great costume dazzle ! also see Anthony Cools , hypnotist , Paris . fun show , cheap seating - bunch chrome plastic chair push together row . $ 45 bit steep consider audience volunteer supply laugh stage , Cools merely guide voice . also , line outside theater 20 minute get . warn , show indeed raw uncensored , easily offend profanity . Bally 's , would stay location great . tip good food great price : Ellis Island directly behind Bally 's Koval Lane , maximum walk 10 minute . not look great outside dark interior well , wait staff friendly . steak egg special often $ 3.99 great rib steak dinner special certain night . check . 
 Apr 16 2009 	 nice room great view . 	 stay Bally 's March 30th - April 3rd 2009 . get hotel around 1 pm line check room available we right away . offer upgrade $ 20.00 night say , want fridge , would cost $ 15.00 night say would stock ice . travel friend , North Tower 18th floor 20th . ice machine floor , go floor get . way room dirty dish hallway , not get pick day half , not anything grumble . room need renovation , clean quite large . bathroom big tub / shower combination , water pressure good , drain quickly . two queen bed , comfortable . dresser lot drawer closet large lot hanger . quiet floor . extra pillow lot towel , hairdyer work pretty good also . view really nice , could see strip Paris hotel next door , & quot ; Eiffel tower & quot ; directly window . Bellagio water show visible also . Maid service great staff deal friendly . see show Jubilee play Bally 's . typical old school Vegas show , entertaining . eat Bally 's eat several site . nice little keno lounge casino great assortment slot machine , table always busy . stay pleasant , know ahead time room old , upkeep good . would stay , location also plus . stay hotels strip downtown would say Bally 's good place stay price , may posh end long day serve 's purpose . 
 Apr 16 2009 	 clean Courteous Convenient Contageous .. Bally 's . 	 husband stay Bally 's 5 wonderful night . room huge . room clean spacious . hotel staff helpful available time . casino clean ton fun . hotel short walk casino adjoin Paris . convenient , would not stay anywhere else . shop restaurant within hotel delicious fun . monorail stop Bally 's ( one 5 stop along east side strip ) , quick ride casino north south end strip . memorie Vegas one fun adventure . Jubilee show fantastic , classy glitzy . Hertz rental car conveniently locate right guest elevator . Bally ' ! 
 Apr 15 2009 	 great stay great deal BAlly 's Hotel 	 return week ago 3 night stay ... pleasant complaint room .. compe 3 night stay ask , nicely , upgrade give room North Tower friend .. 3 room floor .. casino abit small compare hotel easy walk hotel inexpensive cab ride other .. enjoy show Palazzo , Jersey Boys , also impressed casino .. would certainly stay Ballys room large clean . stay Belliago last year feel room nice Ballys year . can not beat location .... 
 Apr 15 2009 	 please Clean Carpets 	 stay April 5 - 10.north Tower . compe . the location choose hotel . the room spacious . the bathroom large compare strip hotel . the vanity granite top room toiletry . Hair dryer well . tub / shower combo . the shower great water pressure tub drain well . the shampoo , soap lotion provide Gilchrist & amp ; Soames . nice fragrance . the closet mirror door would size would home . lot room hang clothe . safe closet . we also clock radio nightstand . the bed comfortable . it not plush pillowtop plain mattress . they feather pillow sometimes night would get stuck face feel like quill porcupine ! ouch ! ! plenty lamp ample lighting . two desk , one granite top . the view AC unit rooftop not view . the window could use good cleaning though . the carpet filthy . we use towel walkway room . the upholstery desk chair stain dirty well . cover towel too . problem solve . our housekeeper nice . do not forget tip woman . they work hard . $ 5.00 day really make happy : ) coffee drinker , coffee maker room . what think Holiday Inn ? ? every hotel starbuck coffee counter close by . this Vegas . 
 Apr 14 2009 	 price location worth alone . 	 even though last trip 4 month ago figure well late never . stay 3 friend 4 night period mid December . first odd reason love Bally 's . ? still know . value ? location ? 5 hour early check leave luggage guy charge luggage , whomever . sit bar put $ 5 video poker basically drink free 45 min . 3 night compe 1 night pay . make sure buddy request North Tower room . thing hate book North Tower room online charge atleast additional $ 30 night . basically room new modern . well speak honestly , South Tower dump trully outdate , smokey , lack anything past date 1979 . book South Tower room expect bed shower ... picky mind . start charge additional charge North Tower would request one check . well course make pay . 3 stay Ballys course 5 year never bad service , bad food , bad drink , bad plumbing .... sum get everything pay complaint . love pool bc big quiet . love fact connect Paris . favor .... go Paris lunch buffett $ 17.99 . I ve 8 time lovvvve . food selection great . hell crepe station lady make fresh crepe order fresh fruit . bakery across buffett charge $ 13 alone crepe . yes , budget stay Bally 's ! ! ! 's great place right price . 
 Apr 14 2009 	 terrific Time ! take 21yr old 	 Ballys great . offer upgrade south tower additional fee say - since 2 room 3 night . glad not . view room spectacular ! ! brother sisiter law put south tower view car ramp . although thi shower update - fancy cabinet tv - big deal ! hotel perfect location - pool open weekend - cold - 9 year old fine it . plan ton walk ( matter stay ! ! ) want pass slot machine ! go price right show - pretty fun - none we get call , entertaining ! Doug Davidson Young Restless host . cute ever . go secert Garden Mirage - impressive . buy $ 36 & amp ; 's & amp ; factory ...... watch Water show Belliago ( sometimes room view ) . wonderful trip . happy take 9 year old - not someplace would return . maybe turn 21 - like old son . Vegas heaven 21 year old ! 
 Apr 13 2009 	 great value ! 	 super fast check . give we great room view Bellagio fountain Paris Eiffel Tower . nice sized room bathroom . bit outdate comfortable bed clean . complaint coffee pot room . great location ... connect Paris short walk Miracle Mile Shopping Caesars Palace . Comps good Paris , Caesars , Rio , Harrahs , Flamingo , Imperial Palace . would stay sure . 
 Apr 13 2009 	 excellent location coffee POTS ! 	 stay Bally 's April 6 13th return lovely trip . land terrific deal book room 1 1/2 month ago use Harrah 's total Rewards program ( four night compe three night $ 40.00 per night total hotel bill week well $ 150.00 ) . really steal price even South Tower Room . check upgrade nonsmoke room 14th flooor , extra cost new North Tower , stay August 2008 . can not compare South Tower Rooms , North Tower room starting also show age due wear tear imagine . room clean properly last guest ( use shampoo , razor head , use bar soap leave shower glass water lavetory sink ) . Tip like really really want coffee pot room convience . Bally 's remove coffee pot hotel room , get room service either . Walk Walgreens past Planet Hollywood purchase inexpensive 4 cup coffee maker $ 10 , arrange small fridge room cream / milk , happy camper . cost Grande cup coffee $ 4 , add hurry . along strip hotel stand alone restaurant terrific special deal foodie type . top pick 1- Eiffel Tower Restaurant Paris Paris ( amazing view Bellagio Fountain display 5 star wait staff service food ! ! ! OMG ! ! ) , 2- Spago Ceasar 's Forum Shops ( meatloaf dinner die ) , 3- Bon Ami Gaba ( breakfast dinner terrific .. ask outside cafe table ) . impressed Bally 's Steakhouse ( escargot terrible , crab cake nice ) La Dente experience awful several level would really pass price fix $ 19.00 three course meal .. ( waiter clear large table dessert stack dish nearby four top table diner see . meatball horribly season white pepper ) . broadly speak stand alone restaurant service food wonderful , casino / hotel run restaurant seem understaffed diner type wait staff . final tip - rent car day Hertz ( locate North Tower elevator ) explore Hoover Dam without tour guide pop Laughlin , small town several casino 90 mile south Vegas . 
