's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 Sep 14 2003 	 see review beforehand 	 come across Hayden Hotel internet see room display website happy stay . decent cleans room affordable price thought . book double room private bathroom friend due arrive later day . young couple ahead check already upset arrival give indictaion expect . pay room find double book nowhere stay , lucky escape might say . pay arrival give price $ 79 per night find going pay $ 99 hey thought be still cheap expect . website impression would get newly refurbish room private bathroom , tv HBO movie general amenity might expect . get tatty room stain , dirty thread bare carpet , mirror cover mould , ceiling fan clean since time begin , dirty sheet , pubic hair toilet seat , shower hang wall , tv 2 channel , remote work , wonky table 2 metal fold chair sit , paint peel dirty brown wall view window wall . complain tell top 2 floor refurbish yet would move next day . fair good word give we marginally well room freshly decorate wall , clean bathroom half decent furniture . however lock door room difficult say least do not shut properly maid service dire bed linen change could expect rubbish take away occasionally clean towel . room obviously one time big convert two paper thin wall . mean couple next room whip chain could hear clearly hour . location excellent fairly quiet close sight easy hail taxi . come back one evening sight seeing add curtain rail curtain window could privacy . unfortunately plumbing also leave lot desire awake one morning someone else 's excrement block toilet . report deal promptly . check charge $ 421 worth phone call three 10 min conversation . grant international call think extreme . decide stay hotel specific require hopefully may get . lot shout persistent get price room discount call charge drop 
 Sep 5 2003 	 stay away - they cheat ! ! 
 Sep 4 2003 	 kid fame 
 May 22 2003 	 not Ritz ok 
 May 5 2003 	 dump ! 
 Mar 31 2003 	 stay away Hayden Hole ! 
 Mar 11 2003 	 alright 
 Feb 5 2003 	 horrible 
 Nov 18 2002 	 Small Charming ... 
 Nov 12 2002 	 bad ever 
 Sep 8 2002 	 Hayden Hall Hole ! 
 Nov 15 2009 	 5 - Tage New York 
 Oct 27 2009 	 Un poco lejos . Pero lindo 
 Oct 14 2009 	 sehr nett Hotel 
 Sep 1 2009 	 Top Lage 
 Sep 1 2009 	 Pas génial ! 
 Jul 26 2009 	 buon hotel gestito molto professionalmente 
 Jul 25 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Jul 3 2009 	 san plus 
 Jun 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 May 11 2009 	 hotel très bien situé excellent rapport qualité prix 
 May 2 2009 	 un emplacement idéal 
 Apr 24 2009 	 Sehr gut Preis - Leistungsverhältnis und gute Lage ! 
 Apr 13 2009 	 Volvería repetir 
 Apr 3 2009 	 perfetto 
 Dec 6 2008 	 Excellent hotel 
 Oct 13 2008 	 Excelente perfecto para nosotros 
 Sep 4 2008 	 está muy bien 
 Aug 28 2008 	 Essenziale Pulito Accogliente Posizione Strategica 
 Aug 25 2008 	 Très bon hotel ! ! 
 Aug 19 2008 	 personnel odieux 
 Aug 13 2008 	 Trés bon hôtel 
 Apr 4 2008 	 Justito pero bien situado 
 Mar 4 2008 	 Un hotel à recommander 
 Dec 14 2007 	 Ottim asistemazione NY 
