ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 May 14 2007 	 nice room close Grand Central- great experience 	 Pros - Close Grand Central Station ( 3 block ) locate beautiful , fairly quiet neighborhoodnice luxury touch room- jacuzzi tub ( nice long day work / sightseeing ) , plasma tv ( barely use , nice ) , even little battery powered cadella light ambience . free computer use lobby ( always occupy though ) wine reception every evening helpful / friendly staffcons- tourist , Grand Central nice hub travel , red line subway system would even convenient ( opinion ) major sightseeing . that . really thing would make stay perfect . 
 May 2 2007 	 great deal $ 200 night 	 book king bed deal Travelzoo $ 199 night . ask upper floor room little noise get room 16th floor . room clean comfortable . love 42 & quot ; plasma tv , ipod clock station dvd player extra charge . bathroom small water not drain fast shower . neighborhood nice , close Grand Central Ternimal jump Metro take every part Manhattan . walk distance within Empire State Building , New York Public Library leisurely stroll towards Midtown . great deal romantic weekend Big Apple . 
 Apr 20 2007 	 nice little place 	 stay 70 Park Avenue Hotel weekend April . book hotel travelzoo $ 219 night ( room two double bed ) . hotel nice spectacular . lobby look nice hallway little shabby - nothing little paint could not brighten . staff wonderful anytime call front desk anything prompt get we . room small nothing less would expect boutique hotel NYC . room nice , large flat screen tv bose speakers dvd player . mini bar surprisingly well price actually cost less ordering drink room service . bathroom small long not need one person time will fine . asked & quot ; quiet & quot ; room one perfect . away elevator alley . not great view alley least not traffic noise either . hotel quaint area NYC call Murray Hill . be far thing yet relatively residential area lot foot traffic . complaint maid service leave little desire - never replenish glass room even clearly dirty - staff bring stuff room upon request tendency try walk without knock . obviously be habit deadbolting door be room would issue . safe room worry leave something room safely . need leave bag hotel check happy store thing without extra charge . also laptop available lobby use want hop check email look something . concierge also friendly helpful . overall happy hotel would definitely stay . 
 Apr 12 2007 	 Great Boutique Hotel 	 love hotel , write review pity staff state previous reviewer . people seem forget BOUTIQUE hotel go less amenity less space big hotel . looking stay big chain Hilton Sheraton . say though stay Hilton New York last year much small room recieve 70 Park Avenue . room stay ( 1610 ) spacious , well present bathroom adequate 6 ft 1 in boyfriend fit time ! receive room service order promptly nothing much bother . free internet make real difference able book ticket various attraction print ticket night before . the location great , easy walk major attraction shop , number good option breakfast dinner nearby . we lucky receive great deal $ 199 night travelzoo , would happy return hotel subsequent visit . 
 Apr 11 2007 	 King Night 	 single traveler , fine place stay . one , though , King room necessity . two assign small room full - size bed . ask large bed , hotel sell out . an upgrade available next day additional $ 50 night , not want pay . fortunately , third night front desk manager able give we free upgrade junior suite King bed . help ease concern stay make great last night hotel . I might mention stay Doral Park month . two bed able comfortable , even dog . I stay alone last year happy room , King bed . so , short , try make sure get least King size bed two . unless close couple ! 
 Apr 5 2007 	 nice price 	 stay January sister , annual & quot ; sister & quot ; visit City eat great restaurant see show . get great price -- $ 200 -- agree leave would come back . boutique hotel , never line ; always hello ; never problem get cab ( need , use cane walking week ) ; meet enjoy visitor . room fine ( nicely outfitted , etc ) , although bath small , fine , too . I stay location , really like -- lovely neighborhood , close enough walk theater ( could not year injury . ) 
 Apr 4 2007 	 ok - I expect Kimptpn 	 ok - I ' m huge Kimpton fan 70 Park Ave seventh Kimpton visit , high expectation . caliber 9 - 0 ( Boston ) Hotel Monacos . disappointed find window air conditioning unit block 1/3 Park Avenue view . ( second day ask take out - which ) . furniture scratch ' ve never see maze extension cord wire ( although enjoy flat screen tv , dvd player stereo ) . know NY room small , bathroom 70 Park tiny- ( think Paramount NYC ) -only one person time . King Deluxe ( Room 1607 - beside elevator ) $ 199 Travelzoo rate book Kimpton . request high floor street traffic noisy week - but Sat / Sun quiet . room 1605 corner room category ( big window two side make huge difference ) . although location great , expect attention detail Kimpton . lobby convivial - the space chop up - divide big table computer . free wine - not want linger . front desk small staff assist one two guest time . ask coffee maker room lobby coffee empty . $ 199 not feel like complain much , spend $ 350 go Soho Grand W Tuscany . Kimpton think music theme ( see website - the theme 70 Park Ave music ) ? ? evidence theme frame sign elevator floor proclaim Peter Gabriel Sledgehammer widely play music video . Kimpton put attention detail something else ..... 
 Mar 30 2007 	 Honest Truth 	 get back NYC stay 70 Park Avenue Hotel 3 night . standard room King $ 325/ night . the staff terrific , extremely accomodating . nice bar attach hotel . wine taste every night coffee bar set - up morning nice touch . centrally locate 2 block south Grand Central Station use train . however , Hotel tiny . say tiny , mean everything downright liliputian . lobby beyond small . front desk could not 5 foot long . elevator , two , extremely small , fit 3 people bag . hallways dark , gloomy extremely narrow . corner room king bed . say small would understatement . feel like sleep closet . bathroom calustrophobic . fit two people King room night adventure contortion . share bathroom sink morning question . door bathroom slider .... always bad sign ... save room space . funniest thing huge 40 & quot ; Plasma bolt wall absolutely dominate room . unfortunately opposite door , rather bed swivel arm could never watch straight . closet ? well , none . armoire hang clothe . the upshot can not keep place neat orderly 's nowhere put anything . bag sit open floorspace get trip , clothe get strew room . back dorm room college .... well least good laugh . thankfully , top - rate hotel staff always come neaten day , must expert storage solution . the linen nice , mattress feel like need replace . great control air conditioning heat , hot shower morning . but , would stay ? absolutely ........ unless shrink half size . ' m really sorry say ... staff good . almost feel sorry make hotel , ahem , & quot ; short & quot ; coming . deserve well hotel work at . anyone give hotel great rating , assure , pity staff . almost nothing else like . 
 Mar 29 2007 	 ok 	 overall design building nice , construction terrible . example , toilet flush metal heater long use , sit use restroom entire side leg expose cold metal . ' m scratch head try figure man heavy person would use toilet ' m small . it dark hallway , carpet pretty gross towel hole stain . the staff nice doorman great . actually like location like sleep night nice quiet . get room service breakfast one morning quick . overall , not horrible , pretty average . if get good deal price like would recommend , pay full price would consider elsewhere . 
 Mar 28 2007 	 Great Staff Great Location ! 	 excellant experience ! got great deal Travelzoo.com $ 199 per night . Belong Klimpton Touch Club Membership receive upgrade King Premier Room free demand movie . 40 & quot ; inch plasma tv bathroom jacuzzi large bedroom home . hotel old ? yes , room need renovation pay $ 300 ? yes . price place great staff hotel . request place housekeeping , front desk room service fulfil within minute . location perfect . three block Grand Central Station six block Empire State Building . quiet peaceful evening 15 minute six block away Times Square . issue noise learn March heating system work open window warm day visit . go 12 year old son end four day , staff welcome us first name . first experience Klimpton Hotel promise last . make sure get back hotel 6:00pm enjoy complimentary wine beer . great diner one block hotel call Moonstruck favorite eatery stay . hotel dining room lounge appropriate son . two computer plus printer available lobby charge great asset checking last minute plan stay . end four day New York , ask son remember visit say nice people meet hotel . look hotel treat 's guest four star service matter much spend room not hestiate try establishment . 
