absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Jan 18 2005 	 great location space ... little date 	 Hotel Beacon locate great location New York , right Upper West Side , close lot great restaurant , site shop . room HUGE New York standard - 4 time size room stay W. stay 19th floor , view gorgeous , old building make we feel like Europe look window ! big downside furniture somewhat old date , stay not seem luxurious . , family kid - need kitchenette - 's great choice . 
 Jan 17 2005 	 great stay 	 stay Beacon last year September 6 night . the room descripe . location also good - 300 m next metro station . we book hotel local travel office pay 86 € room cheap comparsion hotel ny.nereby will find excellent coffee shop need stay . go ny next time book Beacon . 
 Jan 13 2005 	 great ... 	 stay December 13 6 night . Upper West Side great , hotel nice location . could relax . final day , get call reception . woman staff say & quot ; come reception check ! & quot ; . said & quot ; go check tomorrow & quot ; . said & quot ; & quot ; . said & quot ; confirmation e - mail & quot ; . said & quot ; wait minute ............. ok , will check tomorrow . Thank & quot ; . never apologize . ask name . suggest please keep confirmation . 
 Jan 10 2005 	 average 	 Stayed 6th jan till 10th jan 05 , use site originally find hotel read quiet bad review expensive hotel . the hotel room spacious , website show two double bed . stay 8th floor overlook broadway , not noisy , light sleeper sleep well . hotel clean , room bit could do new coat paint , use base camp . not bother I . the small kitchen come handy array restaurant nearby . reception friendly nice arrange taxi early morning pickup . I bout 20 minute walk top 5th avenue , subway three block down . I would recommand beacon , spacious clean else need ? 
 Jan 10 2005 	 highly recommend 	 stay Beacon December 26 January 2 really recommend stay . follow review Beacon online travel book 18 month ago started plan trip must say always sure make correct choice book stay January last year . , however , duly impressed Beacon . stay room 21st floor lovely view Central Park . room clean arrive service daily people Beacon always friendly helpful . find rate affordable family 4 , even South Africans exchange rate R6 per $ . good feature Beacon location , close excellent food market , subway bus route ( even 24 hour pharmacy one block need ) . H & amp ; H Bagels ( think good bagel NY ) 4 block away definitely worth 5 minute walk . therefore highly recommend stay Beacon . 
 Jan 4 2005 	 unimaginable find ! 	 Read review skeptical . disappointed . stay nine night 12/24 - 1/2 . room ( one room suite ) huge New York standard . family comfortable . room friend wine cheese living room kid hung bedroom watch movie . Kitchenette perfect staple . area convenient subway , central park , museum , gourmet shop , restaurant .. anyway need ! back sure ! ! Lobby redecorate beautiful . staff professional pleasant . great find NYC ! great price . 
 Dec 30 2004 	 Hotel Beacon - great 	 Stayed Hotel Beacon six night sister daughter early December could not fault hotel . especially consierge young feller helpful nothing ever much trouble , supermarket across road great , especially upstairs breakfast ( well ever ) Manhattan Diner road good cheese cake ( die ) super position super hotel - would definitely stay recommend . 
 Dec 16 2004 	 Hotel Beacon - fulfil Expectations ! 	 Reading TripAdvisor comment book hotel reservation provide good insight establishment . however negative comment add question mark stay back mind . arrive hotel , little apprehensive . enter small nice lobby area , doubt leave mind . lobby area look like renovate nice clean . 3 elevator small rustic , expect old building . hotel room describe TripAdvisor comment : suit large full kitchenette , two large tv 's , temperature control AC , cable channel , etc . negative thing room carpet change - worn . restaurant ( Viand ) locate next door hotel lobby entrance comprehensive menu good food , faily price consider quasi connected hotel . the hotel conveniently locate 1 short block subway , hard navigate study subway map map journey beforehand ( Hawaii people use subway , anyone ) . neighborhood comfortable lot good restaurant , two gourmet type grocery store specialty store within walking distance . feel pretty safe walk street night ride subway . our excellent rating Hotel Beacon four star hotel base price , location , neighborhood accomodation , excellent experience . would definitely stay Hotel Beacon ! 
 Dec 16 2004 	 Great Neighborhood . 	 great size room price pay . Stayed Hudson last trip Hotel Beacon 's room 3 time size ! nice able walk around room use kitchen . room quiet . neighborhood great . touristy like Times Square , could actually enjoy nice stroll many shop museum block away . dozen restaraunt choose . serve 11 pm 24 hour . not worry walk back hotel late , feel safe stroll around midnight . easy access Subway use daily . stay ! 
 Dec 15 2004 	 roach room 	 stay beacon november 30 december 1 . say part room read , large clean . however , second day see roach kitchen area . needless say perturb . also , bathtub drain do not retain water . shower . neighborhood great do not spend almost $ 200 night roach . 
 Dec 10 2004 	 lovely hotel big room ! 	 stay 29 Nov 2 Dec delighted hotel . book one suite HUGE ! twin double bed bedroom along tv cable , 3 walk wardrobe , huge living room tv & amp ; cable , small kitchenette pot pan utensil etc . suite gorgeous , delighted . staff friendly . location uptown great quite quiet $ 20 taxi ride downtown Manhattan . do not mind could work pretty pricey depend town . lot cafe restaurant nearby . cafe attach hotel great , lovely breakfast superfast room service ! would definitely consider stay next trip . 
 Dec 6 2004 	 great deal great neighborhood ! 	 want feel like real New Yorker ? ex - pat NYer live LA , honestly say could not get well feel live New york really like ! hotel , situate right next door Beacon Theater , centrally locate Upper West Side . easy walk Lincoln Center , ton great restaurant area . subway 3 short block away virtually within minute anywhere city . hotel clean friendly , room huge New York standard , especially $ 160 rate get . unit come complete small kitchen small stove , microwave fridge , plus fry pan utensil take meal need . staff pleasant , consierge helpful get cheap ( $ 19 ! ) transportation back JFK middle terrible rainstorm . definitely go back ! 
 Nov 30 2004 	 Hotel Beacon good deal money 	 travel quite bit NYC , stay many different place . Hotel Beacon one clean , nice place money . kind size bed comfortable , room impeccably clean , include bathroom . gripe electronic lock keep lock , try unsuccessfully remedy . overall , great location , close subway , many good restaurant ! 
 Nov 26 2004 	 recommend 	 stay Beacon first time early month , favourably impressed . initial check - in problem ( travelocity reservation ... something hotel change new reservation system ) , able get room choice . housekeep efficient polite , room furnishing clean comfortable . kitchen equip fridge , microwave , coffee maker , kettle toaster , well plate / cutlery , come handy . drawback worth bear mind : wall thin ... likely hear neighbour talk room next door , say nothing party . also , neighbour may long - term resident hotel . still number leave . problem encounter , prepare possible cooking smell . finally , housekeeping use unpleasant orange - scented disinfectant room . hear least one new guest ask move . ( request politely accomodate desk staff ) . fortunately , window open air room necessary . ask housekeeping use stay . , would strongly recommend Beacon , plan stay next visit . 
 Nov 19 2004 	 Gem Hotel 	 taking kid New York ? not look Beacon accommodation . one bedroom suite ample family mum , dad , fifteen year old eleven year old . cost we $ 225 per night plus taxis , bargain consider would need two room ' normal ' hotel . , Beacon situate residential area minute downtown near subway station not fancy walk . supermarket , shop , cinema good , reasonably price restraunt nearby make feel though see real New York , touristy bit . hotel clean , staff pleasant much discuss lobby work complete leave - ask ? 
