smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Mar 16 2009 	 different normal hotel stay 	 stay two night Jan. Place clean.place small , like ordinary house , sort , room place , sort quaint charming might think . quiet weekend , arrive one clock morning take we age check presume night porter . would like able breakfast . walk Earls Court place breakfast great . far enough walk bag tube also . would wonder noisy crowd book , would able anything ? evidence many staff around . even though clean , good value comfortable , think would like hotel london next , central . 
 Mar 9 2009 	 highly recommend 	 complaint ... enjoyable comfortable stay hotel . be quiet , clean , new , modern . staff pleasant helpful question . spend 3 day London shop Oxford Street Covent Garden , area easy get hotel use tube . get hotel airport use tube unbelievably easy cheap take taxi . Piccadilly line take hotel transfer . arrive Earl 's Court tube stop , elevator - plus luggage . the hotel short walk tube stop ( make sure leave Earl 's Court exit , Warick Road exit ) . street tube stop numerous restaurant , pub , food shop / market , pharmacy , post office , internet cafe ... anything need . stay single room feel size right . small expect base previous review . clean cozy . love mini kitchenette- include sink , microwave , fridge , teapot , dishware utensil . also love could control temperature room . internet access movie available 2 pound . nice bathroom , good size towel warmer . I plan stay return London . 
 Mar 9 2009 	 excellent stay will back 	 nice hotel , conveniently situate Kensington , close lot restaurant , pub , bakery mini market 5 minute walk Earl 's court tube station . area safe , move foot even night . room 's e little kitchen prepare coffe , tea , fast meal . I find room incredibly clean think price appropriate service hotel provide . would absolutely come back ! 
 Mar 4 2009 	 brilliant place stay 	 spend 3 day London celebrate husband 's birthday lot time . however wonderful place base . quiet 5 min tube . small clean room , flat screen tv , little kitchen microwave , great shower bathroom- fact everything could need small space . room clean every day high standard , staff helpful pleasant . can not wait stay would recommend anyone want nice place base not want spend much time hotel room rather small . 
 Mar 1 2009 	 Nice noisy 	 stay one night superior room Ground floor ( cheap 150 quid ) event RAH . agree reviewer room quite small though well - equip microwave , tiny fridge not get cold ) , sink crockery cutlery . nice bathroom really powerful shower . location great , 5 min away Earls Court tube station load pub restaurant vicinity . staff really helpful recommend eatery , give direction etc . arrive early could let occupy room 12 noon . ( nb : advertise breakfast box long available , many money - off voucher claim guest directory . two three niggle : bed soft mattress see well day could feel spring ; find place noisy could hear footstep room late night early morning , pain ; also find room get hot . 
 Feb 28 2009 	 great base stay London 	 stay Base2stay six night February definitely clever good hotel ' ve stay far London ( visit nr 19 ) .The location great . easy get central London destination also great restaurant supermarket near . street astonishingly quiet could not hear traffic ( quiet street ) room . the room smallish well organize ( never travel light still room two large suitcase move around ) . mini - kitchenette really useful . make breakfast every morning food supermarket . hotel breakfast rating lot expensive still breakfast not usually spectacular . contemporary style furniture good clean room comfortable exceptionally clean . shower also good . sink block arrive fix immediately . staff friendly helpful . almost feel like stay flat rather hotel since not see lot people hotel corridor , lobby etc . still get benefit good hotel like could leave suitcase reception flight later etc . one good feature Base2stay get internet tv room easy use . hotel 's website really informative regard restaurant , shop etc area internet almost must travel . the staff really helpful booking seat flight etc need help . Base2stay definitely base ever travel London . reasonably price , room include need fridge microwave oven internet well comfy bed . else traveller need ? 
 Feb 27 2009 	 Excellent value London 	 Base2stay modern , clean hotel base Kensington . pick hotel base price review , disappointed . check - in easy quick , room small room London . room modern essential ( tv , kettle , fridge ... etc ) . hotel 5 minute walk tube station fantastic . stay London would hesitate book hotel . 
 Feb 24 2009 	 great feeling clever solution ( bed kitchenette ) 	 join partner London Business , weekend . know vicinity previous visit , like atmosphere , nice stroll , shopping , dining picadilly line service . search another hotel area thank tripadvisor find base2stay . clean room , small clever solution ( high bed space , kitchenette include need include even microwave , clean housekeeping staff every morning ) , proper desk , tv radio movie demand function . everything clean , modern appeal , state art . thing dislike window 19th century - blind curtain close ok . staff book table greek restaurant nearby we , great experience get 20 % discount guest base2stay . 
 Feb 15 2009 	 wonderful caring service 	 stay twice base2stay January February , 2009 . find customer service attitude everyone deal outstanding ! property clean , well keep , compact , easy stay . especially like maid service include washing dish kitchenette utensil . recommend anyone look luxurious budget hotel . 
 Feb 6 2009 	 would great airconditionning / heating work well ( wintertime ) 	 back 4 night stay Base2stay end january . great hotel exept heating : good first impression ... fact double room 116 small studio appartment , practical kitchenette . great value . great decoration , sober chic . People nice desk . good location . but careful sensitive air conditioning enjoy & quot ; plain & quot ; warm room like : big problem 2 heating system catch sorethroat bronchitus ! begin , room heat anymore soon leave keycard slot .... 's 0 ° outside ... 's cold come back room : pleasant ! tell frontdesk cold , explain keycard system . ok.but : heating come ( come ) 2 way : * air conditioning heat room , wich keep ventilate ( = throw air we ) night long , even put & quot ; Low & quot ; fan noisy . stop , cold room ... , unpleasant ! * heat even room cold bathroom , lot ( freezing ) air come window ( insulate ) heating system & quot ; hang towel radiator & quot ; .. hot enough . ( & quot ; & quot ; , check ) get sorethroat finally get ill ... not want look fussy not go twice desk . tell left tell room heat enough bathroom . ? . check .. anyway fact heating SYSTEM TURNS LEAVE ROOM BAD , of'course room go to cold end day wintertime ! ! ( + check insulation bathroom ) people problem another room ? problem like ? room ? thank you . it be really bad , , except , love hotel ! 
 Jan 31 2009 	 happy base2stay 	 daughter stay base2stay Thanksgiving week . London celebrate 16th birthday . could happy accomodation . stay bunk bed room . bit disappointed check direct downstairs . oh , thought , dark basement room . wrong ! room french door far end opend tiny courtyard , give room natural light feeling space . nice weather , table chair would perfect enjoy drink even meal heat in - room kitchenette . the room small , also well - design , make space . everything modern keep clean . closet small , area hang clothe several shelf since bureau . also desk easy chair . interestingly small room , bathroom decent size attractive fixture great shower . free internet access available via wall - mount flatscreen tv . little difficult get use , trick check email location restaurant , etc . good one 's laptop , nice schlep along ! kitchenette convenient , contain mini - fridge , sink , micro - wave , wonderful english electric teakettle remarkable array dish serve piece , even include breadboard corkscrew . great light breakfast snack . although everything need heating ready make meal available , really eat comfortably unless weather pleasant meal take courtyard . the location could not well . three minute walk Earls Court tube station , London easy tube bus ride away . Earls Court Road & quot ; real people & quot ; place , lot british chain restaurant , local pub , simply Foods Marks Spencer well basic grocery store , boot pharmacy , . even though area full converted mini - hotels B & amp ; Bs , atmosphere really touristy ... like lot visitor hang regular neighborhood . Base2stay locate far enough away busy street quiet . feel safe matter time day night out . I pay 95 pound per night room , give price London hotel room fair quality accomodation . never sure many & quot ; star & quot ; give place like . one hand , be Ritz . , not pretend ! gave four not want misleading , five term claim . say woud happily stay next trip London . 
