charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Jun 23 2004 	 Perfect Location Great Price ! 	 Perfect location - Desmonds Tavern ( irish bar ) round corner Park Ave , must ! ton restaurant road 3rd Av , 24hr deli directly opposite hotel & amp ; 33st subway station v. close Empire State building & amp ; Macys . hotel room small & amp ; absolutely horrendous dark tartan wallpaper make room dark clean tv , video , hairdryer & amp ; brilliant air con . queen size bed tiny though & amp ; hot water do not last long . Maids & amp ; caretaker v. friendly , toilet became block & amp ; fix within 30 min report . can not really can not beat hotel location & amp ; price would definitly stay ! 
 Jun 23 2004 	 great location budget Hotel 	 small clean convenient location . very close Empire State Building Times Square . share bath keep constantly clean . since traveller live outside hotel day , small size share bath big issue . price reasonable consider midtown Manhattan . all recommend ! 
 Jun 20 2004 	 Great Location Small CLEAN ! ! ! 	 Great Location safe neighborhood lot restaurant nearby . arrive person clean stairway front window entry door . take good sign . ! ! clean look tiny lobby tiny elevator .... quaint , old well maintain though . get doublebe room private bath . room little dark smallish clean ! ! ! not spend whole lot time room anyway ... be New York ! ! ! a / c work well bathroom immaculate new look good towel shampoo soap provide . hot water real hot though ( probably use peak morning time ) . beautifully old quaint room unusual wallpaper . can not beat location price ( believe , spend lot time research ) . would definitely reccommend other would stay ! ! ! 
 Jun 11 2004 	 New York 	 Hotel 31 much expect budget hotel . room quaint clean hotel New York feel . be within walk distance attraction also close subway . grand ! ! ! 
 May 20 2004 	 Great Experience 	 Hotel 31 excellent would recommend anyone . small , not need anything big . opt share bath , fine - right next door room . room clean little thing like clock radio , provide soap towel make good experience . staff friendly efficient , can not beat location , close subway stop . 
 may 20 2004 	 hot water 	 friend choose hotel good deal get orbitz ( 75USD / night ) . share bath , clean , wait 30 minute get hot water , often hot water go 3 minute . air conditioning room not work , could not adjust temporature cold hot . towel not look clean , maybe dim light room . moisture sheet make sleep uncomforably night . 
 may 12 2004 	 good choice leisure traveller 	 stay Hotel 31 three night early May . great hotel price . stay room private bath . hallway kind cramp , room decent size . clean room , clean bathroom , friendly service . $ 100 / night 's hard find well deal NYC , i.e . good room private bath . leisure traveller tourist not require luxury need clean , safe place stay ny great choice . 
 May 11 2004 	 convenient nice Budget Hotel 	 worth money . look budget hotel , good location ( wake distance Empire State Macy 's ) easy acess subway hotel . simple clean ( share bath always clean ) sophistication . 
 Apr 26 2004 	 stay away . 	 stay NYC Hotel31 7 day March 2004 . find ad gay rag paper . although ' gay hotel ' , advertise heavily gay medium . the hotel way expect . when arrive , could not find reservation anymore ; blame internet company . lucky though , request kind room still available . heating work room , freeze cold . day request additional blanket finally get . hotel staff fix heating , say simply upper floor heating system not work properly . several day elevator work . much fun room floor 8 . tv not work either , telephone problem well , due ' software problem ' , reception staff let know . most annoying guy reception desk take money credit card account AUTHORIZED . be like take cash directly pocket without ask . do not need tell refund anything . could add thing . yes , Hotel31 's rate low , not get anything bad hotel . spend extra buck go somewhere reliable . 
 Apr 21 2004 	 bargain ! 	 good certainly worth money . hotel cheap cheerfull clean . share bathroom facility fine clean regular basis . whatsmore , hotel ideally locate Manhatten everything quick reach . Definatley would recommend . 
 Apr 5 2004 	 budget traveller 's dream 	 stay Hotel 31 2 time ( Aug 03 & amp ; Apr 04 ) girlfriend come conclusion previous user 's review true : nice little hotel budget traveller . safe , quiet , clean , good location ( subway station 1 block away ) . room small good air - conditioning - importantly , good bed ( mattress ) ever experience . ( compare budget hotel stay ) . we enjoy much get good night 's sleep day explore NY foot . comfortable temperature , clean sheet , quietness yes romantic little red blind make we come back stay . friendly staff , peaceful atmosphere 
 Mar 28 2004 	 ticket 	 spend 5 night July 2003 , room small extremely functional . we share bath room , always clean plenty , rarely wait . the staff really helpful advice , transport etc , be launderette around corner ! location mean Time Square approx . 5 - 10 minute walk away , perfect base . for little money pay brilliant hotel . 
 Mar 18 2004 	 great value NYC . 	 turn Hotel 31 already check use Trip Advisor service find room sell someone else despite book month advance .... one situation ! ! good start travel 18hrs . staff offer we another room sufficient really acceptable first night US soldier . really offer form compensation inconvenience not ..... never mind thing get well . price pay stay basic room , view Empire State Building although small always clean functional , oh share bathroom clean constantly . always feel completely safe secure . hotel locate central location , dry cleaners/ laundrette , gym 24hr deli across street , fantastic japanese restaurant next door friendly irish bar around corner 3rd Avenue ( Kavanaghs ) . $ 69 night tax really could ask . would give 5 star could sort reservation book procedure prior arrival . pretentious society , wish travel comfort budget . 
 Mar 16 2004 	 job 	 Hotel 31 great . staff helpful courteous . yeah , space small , not go New York stay hotel . room clean noisy . love location , since could jump subway block two away . safety even concern since hotel pretty decent neighborhood . overall , would definitely stay . great value . 
 Mar 14 2004 	 good Hotel budget 	 stay Hotel 31 March 11 2 night overall would say not bad experience . not like old hotel small room share bath would probably good hotel . elevator bit small fitting 2 people time comfortably ; stair hallway somewhat narrow , could problem many people stay hotel . say look nice room basic tv , room sink , towel , soap , shampoo , semi comfortable bed might hotel look . room clean everyday problem staff . share bath also clean hot water need . hotel within walk distance Empire State building . subway short hike hotel . area seem safe way major traffic . stay 3rd floor room window AC summer room comfortably warm . window nice view brickwall matter . overall , give area price nearby hotel hotel good value money budget 
 Feb 16 2004 	 good enough 	 well , apprehensive first . staff nice , never little elevator pull metal gate first ! room small , rather like . hallways narrow , everything clean . look like new bedspread bed , carpet tattere somewhat tv reception poor , channel could get . bathroom clean , not share one ! second day , room someone knock door say & quot ; room service & quot ; . since not order room service say not need anything . go later return think housekeeping would change sheet , really not care , do . know room service consider housekeeping ! hotel close everything , would stay want spend lot $ . roomsa heat steam radiator , really like , air not dry . want cheap , good place . 
