excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 Nov 14 2004 	 complaint ! 	 stay five night early November . excellent location , wonderful staff pleasant room . two woman shopping trip , feel perfectly safe street around hotel , really experience good New York accommodation . even mishap luggage fail spoil stay . this first choice future stay . 
 Nov 13 2004 	 Great Location Friendly Staff Good Value 	 spend 4 night hotel October really enjoy stay . staff friendly helpful location Hotel perfect , half block Times Square . we stay one large corner room ( 802 ) good size . room spotlessly clean . free continental breakfast great , good choice food , usual danish pastry ! fruit , toast , cereal , bagel , yoghurt , doughnut cake . get busy early , never problem get seat . we choose hotel reading review Tripadvisor disappoint , would recommend hotel anyone . good value hotel price great location . 
 Nov 13 2004 	 miss something ? 	 frequent visitor New York City , always stay midtown Manhattan . must say bulk review somewhat surprising ... be border gush , find rather surprising hotel offer room rather wear ( least mine ) somewhat , um , dingy . find bathroom particular sub - par . maybe book special low rate ( like ) , get one & quot ; inferior & quot ; room . price location , nothing particularly special hotel . tight budget , would recommend place . find Red Roof inn West 32nd St far superior price . P.S . remember stay Comfort Inn ( Manhattan ) west 35th Street month February -- heat room well other . hotel gold ribbon award -- believe ? pack sweater ! 
 Nov 11 2004 	 Spotless 	 WOW ! ever surprised . book hotel group 7 + 1 infant & amp ; worry 's location & amp ; cleanliness . review Trip Advisor right . hotel 1/2 block Times Square clean ! room small , NYC hang room city fabulous . front desk staff extremely friendly , allow we check baggage & amp ; something eat prior check . ( early morning ) great coffee , bagel , yogurt ... ( include price room . ) definately stay future trip NYC . 
 Nov 4 2004 	 good budget hotel NYC 	 second review second stay . last room big faced street . time book last minute get fairly small room . still amenity , bathroom excellent condition . clean friendly staff . like place hold bag check - out . breakfast essential walk 42nd street , ton breakfast place offer great variety . overall , good place stay . definitely stay . 
 Nov 3 2004 	 great place 	 stay one room husband 3 child ( 1,2,6 ) . could not well . clean room , really friendly staff ( especially Anthony Breakfast room- nice man ) , fantastic location.we usually stay upmarket place hotel much well value everything need . definitely stay next trip . trust , fussy , wonderful hotel 
 Oct 26 2004 	 beware : easy cancel 	 would recommend chain hotel set policy cancellation . vary hotel reservation person . impossible cancel hotel able travel . call hotel transfer another group handle reservation independent Comfort Inn Choice ( Kapil Care Hotels ? ? ? ) say absolutely refund circumstance . call Choice Hotels help able travel . ( speak two different people ) say call hotel ( Kapil _ success , question say list hotel refund ever policy ( okay , state pretend call hotel help ? ? ? ) . choice would let we know tell Choice Hotels allow cancellation . say list know hotel never give refund . nice policy . note , airline give voucher future travel fee . 
 Oct 20 2004 	 good value ! ! ! ! ! ! 	 good hotel , locate centrally Manhattan . perfect starting point discover Manhattan . cheap get . whenever back NYC , definitely stat hotel . 
 Oct 17 2004 	 great location 	 Stayed sit 9th Oct thru tue 12th Oct. other mention towel bit small / thin otherwise fine . location excellent Times sq . transport ( subway etc ) . breakfast adequate include room rate . room safe deposit box reception ( chargeable . room tidy clean , NY reasonable size . bit noisy face street - big apple ! excellent Deli next street ( 115 W 45th position Comfort Inn next street ) call Cranberry Deli . self selection hot / cold meal salad ( breakfast / lunch / dinner ) , load fresh fruit , drink etc . upstairs dine well take . fantastic place . 
 Oct 14 2004 	 Best Value Manhattan 	 send overnight midtown Manhattan spot -- NYC great value ( especially one use AAA AARP discount ) -- room $ 125.99 include pretty good continental breakfast juice , cereal , bagel , doughnut , yogurt , etc . the location great , 46th St. , 6 7th ave . , block Times Square area . the hotel invite small lobby area room , somewhat small , adequate , nicely furnish new paint , wallpaper , etc . the staff go way helpful -- check luggage arrive early check leave later . towel somewhat thin , overall great place stay NYC . miss ! ! 
 Oct 10 2004 	 Great Value 	 hotel great , safe location . staff friendly . room bit small ( even NY standard ) clean nice bathroom . price excellent give central location . would definitely stay . 
 Sep 19 2004 	 Nice Place . 	 Comfort Inn Midtown great place . although room small , everything need . continental breakfast great . staff quite friendly hotel clean . well worth money . high speed wireless internet suck though . function properly . 
 Sep 17 2004 	 Excellent Standard 	 79 room hotel provide excellent value . clean & amp ; secure . Rooms TV & amp ; coffee maker . complimentary breakfast , available 7 till 10 bonus . ideal short visit close Times Sq . bus & amp ; subway . 
 Sep 15 2004 	 good bargain NYC - really ! 	 truly good bargain NYC present . ' ve stay several 3 - 4 star hotel upper $ 200 + range , hotel , $ 200 clean , comfortable terrific location ! & quot ; Muse & quot ; right across street $ 250 nite ! may thick towel , plusher carpet , room big . re : concern : people meet hotel really nice , staff friendly , efficient courteous , elevator , although one , come quickly , shower great water pressure . the ac timer setting , tv cable . thing like coffee maker , ice bucket , etc . , stock amenity room . downside not - so - thick towel , could live ! also , parking street Comfort Inn recommend stamp , bargain NYC.Do not forget ask AAA discount ! 
 Sep 8 2004 	 Terrific Small Hotel 	 read Comfort Inn Midtown Trip Advisor web site . receive excellent review . we disappoint . remind anenglish Bed Breakfast Inn . room spotless , staff friendly helpful , complimentary breadfast one could eat , room quiet , location hotel near Times Square perfect theatre goer . noise hear morning chime church bell next door . the room rate reasonable . also appreciate in - room coffe - maker , hair dryer , iron ironing board . guest congenial . yes , stay next trip New York City . 
 Aug 28 2004 	 take chance 	 check double check tripadvisor comment take chance hotel . never stay hotel NYC sure expect . pleasantly surprised hotel . room small comparison use Chicago Dallas , etc . , hear would case . please cleanliness . sheet white snow crisp . bathroom spotless . oh , showerhead break fix immediately , staff helpful glitch . hotel close sight . walk Empire State Blg . , show , NBC , Fox Friends , Rockafeller Center , Stores , St. Patrick 's Cathederal . breakfast offer hotel bonus morning . yes , elevator slow ... one stair , clean safe . 13 year old daughter room sufficent size we ( 1 Q bed ) would someone travel family . sure large accomodation hotel would work family . two people would comfortable size room . would also suggest sight - seer spend money Hop Hop Grayline New York Sight Seeing Double Decker Bus tour . spend $ 72 Essential New York get Statue Liberty , Ellis Island , Seaport Museum ( Concord display ) , Ticket United Nations , night tour Brooklyn via safe bus ride . good decision make . go front line site able see everything great vantage point top double decker bus . tour guide knowledgeable NY Revolutionary War time present . jumping want visit Battery Park grab slice pizza pie wonderful . another bus pick dropoff point twenty minute go somewhere else ! would stay Midtown Comfort Inn visit NY , price reasonable , room , clean , breakfast great heart everything make NYC , New York ! irish Pub next door fabulous establishment , fabulous food great irish Cider ! 
