feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Mar 25 2008 	 good stay Barclay 	 4 night stay Barclay middle March fine . hotel excellent location , couple block 5th avenue & amp ; grand central station place New York , within access taxi , bus etcWe upgrade executive room arrival ( check easy although see long queue stay ) , good size huge bed , like people , agree bathroom small ' m going give negative score not effect holiday anyway . we breakfast morning find comfortable & amp ; relaxing , choice food huge coffee & amp ; OJ constantly fill , staff find helpful & amp ; friendly . the one negative external noise , even 13th floor hear everything outside , include particularly annoying cool / heating unit appear locate roof reception , quality double glazing poor do not really reflect need city centre hotel . , everything fine would stay Barclay . 
 Mar 25 2008 	 mixed feeling 	 stay hotel wife four night Easter weekend . check 5 pm quick , albeit do rather surly way ; walk front desk two agent phone , man check phone laugh guest 's room dirty ... put phone , say would like check simply bark ' credit card passport ' -then tap keyboard minute , say ' sign ' ' thank .... next please ' -not great start hey . as royal ambassador member InterContinental Group loyalty programme , receive upgrade ( surprise Mr grumpy reception not mention ) one bedroom suite . lounge , small pantry / kitchen sink , fridge ( minibar item ) , hospitality tray cupboard space thing . bedroom door , comfortable king bed . bathroom let extremely small poorly lay out- bad water pressure shower . two tv room , bad picture quality , not really problem . fifth floor , not imagine street noise would issue , wife wake every night -i sleep . housekeep efficient hotel extremely clean , little outdated . we eat evening ' Barlclay Bar Grill ' Barclay burger fantastic -seriously ! not eat breakfast hotel day can not comment . overall , would say bathroom small poorly equip , reception staff seem passive staff friendly , lot street noise , hotel need money spending . hand , conceirge helpful , place clean , bed comfortable location pretty good . the hotel also lank certain ' edge ' place quality -oth InterContinentals feel exclusive , IC feel overcrowded ( restaurant lobby ) . 
 Mar 20 2008 	 one street 5th Ave Shopping ! 	 definitely stay hotel - upscale near many point interest ny . 5th Ave , Park Ave Lexington within block . room extremely nice comfortable nice workout facility . pay 130 night priceline auction . 
 Mar 20 2008 	 Great Hotel Great Location 	 Excellent stay Intercontinental Barclay , problem check cause travel agent , hotel could helpful get free upgrade ! excellent . actual hotel modern comfortable convenient location 5th Avenue , Times Square , restaurant course shop Lexington Ave . thoroughly enjoy stay would recommend . 
 Mar 19 2008 	 nice hotel - recommend 	 stay 4 night early March 2008 . impress Intercontinental hotel , quick easy check check , nice impressive lobby . room 14th floor , really noisy per describe review . big ( well gigantic ... ) double bed , comfy . bathroom adequate , bath , overhead shower , sink toilet , hairdryer toiletry etc ... clean overall . Coffee / tea facility room . very central location , 10 min walk Times Square 5 min walk Grand Central station . I fault hotel . recommend ! 
 Mar 16 2008 	 average hotel nice ambiance small room 	 nice , classy hotel , centrally locate Midtown East Side . staff pretty nice courteous , though not much interaction . room NYC - standard small . stay 1.5 week quite content service ambiance . move another hotel ( Grand Hyatt Grand Central Station ) . boy , miss Barclay 's ! noisy door slam shut continuously , be light sleeper , doomed . Barclay be nice , quaint , classy hotel . 
 Mar 15 2008 	 Nice Hotel 	 book awesome deal hotwire.com hotel already arrive NYC . originally plan stay Seacaucus , NJ duration trip arrive many problem travel city one night decide move city . lobby hotel beautiful . furniture nice inviting . staff extreamly friendly helpful providing direction , get we cab , cleaning room everyday , store bag , etc . staff general friendly compare service people NYC , always speak we smile wish us & quot ; good morning & quot ; , etc . 2 double bed room travel young daughter sister - in - law . bed comfortable ! location nice . subway station 3 short block away ( buy metro card good subway bus , $ 7 daily $ 25 unlimited weekly ) . walk distance 5th Ave , ESB , MoMA , Central Park , St. Patrick 's Cathedral , Rockefeller Centre , etc ... bathroom nothing brag . find not enough counter space 3 people toiletry . light dim . water presure fine . soaps shampoos etc Floris brand , nothing spectatular . room size spacious , small closet wood silk cover hanger . plenty drawer space . desk sit chair . television average limited amount channel choose . computer available use charge $ 7.95 per 15 min ! ! ! also locate front elevator privacy look personal buisness ; bank account , email , etc . right around corner Red Stone Pizza offer breakfast , lunch , & amp ; dinner reasonable rate ! also deliver allow deliver room must meet lobby . also deli general store around corner sell snack & amp ; thing might need . room alarm clock connect i - pod . choice light , could not bedside lamp without light . room mini - bar & amp ; snack purchase item way price even convience . $ 4 .50cent chip , $ 7 bottle water , $ 15 small bottle liquor . movie available view $ 12.95 , Room service available , not even look price . use cell phone not know charge phone call . overall experience money spend room excellent . 
 Mar 13 2008 	 Fantastic Hotel Great Location 	 stay Intercontinental Barclay four night 1st & amp ; 5th March . read numurous review quite apprehensive expect , come conclusion negative comment make american vistior expect much . comment post people UK favorable fall category . hotel reception area grand beautiful . room eleventh floor wonderful , although small side , comfortable fantastic bed . although many people make big issue street noise find room peaceful could however , benefit situate high floor . room service perfect staff pleasure deal helpful curtious . downside would cost breakfast , roomservice , mini - bar expensive . would recommend use Longwood situate accoss road hotel corner Lexington . eat hot & amp ; cold buffet 24/7 reasonable cost taste good . popular people way work Taxi driver , can not bad thing . would like drink would recommend P J Morans situate two three block west along East 48th Street ( ie turn leave leave hotel come ) . Tom manager Dublin helpful great person talk . location hotel ideal many shop like SAKS ( 5th Avenue ) & amp ; Bloomingdales ( East 59th Street ) also within easy walk distance Cental Park , Rockefeller Centre , UN , Times Square , Empire State & amp ; Broadway . overall fantastic hotel great location . can not ' go wrong book Barclay ! 
 Mar 5 2008 	 great 	 ' ve return long break ny , intercontinental one hotel stay in . on first impression , hotel impressive - particularly lobby 's old world charm stunning flower arrangement . desk staff courteous helpful , location good . the room , however , complete let . small average although problem cleanliness , , shabby need complete refurbishment . the bathroom tiny scruffy . small thing would expect hotel rating gown / slipper / water etc miss . perhaps bad aspect hotel noise - stay 3 night not sleep wink . noise incredible - constant horn road traffic building site opposite , impossible get decent night 's sleep . ask move , tell possible . the intercontinental good location , want bed night frill , hotel fine . be ok , nothing . 
 Mar 3 2008 	 exceed expectation 	 find ! stay hotel 3 night business . ideal location . staff friendly . room typical hotel room - nothing fancy great place crash night . bed fabulous ! really not complaint . plan park car , aware cost - $ 60 per 24 hour . take car within 24 hour period & amp ; bring back , $ 60 charge start . 
 Mar 3 2008 	 nice hotel excellent location 	 stay wife two teenage daughter Barclay 24 28 February 2008 . initially choose Barclay stay location intercontinental hotel , always full satisfaction . however , read review prior departure , get little nervous choice time . arrive Sunday around noon mention , staff extremely friendly , efficient helpful . request via travel - agent , get two nice adjoining room , one double bed one king . room 12th floor , almost disturb outside noise . people ' forget , decide book nice old hotel like location , busy will / might disturb noise outside . part game want stay downtown New York . arrival one room already available second , due late check - out , would available 16:00hrs . store luggage available room , refresh ( indeed , bathroom little small stay long time bathroom anyway ) go first strowl . unfortunately short city - break know , everything hope love every minute stay , complaint compliment . indeed , price food drink hotel much high since centre thing happen easy find affordable nice place food , drink etcetera . marvellous stay definitely return hotel visit New York . 
