Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 Sep 15 2008 	 Customer service not include stay 	 navigiate parking lot maze get hotel , find 15 minute check - in parking well past main door hotel . sidewalk use walk across poorly light driveway avoid speed taxi . ' m guess way force people pay extra valet service . I finally enter hotel greet long line check - in counter . good wait , get desk check - in quote rate 50 % high reserve on - line . communicate front desk tell mistaken offer rate would happy give & quot ; show - up & quot ; rate could even give 10 % AAA card ( ' m overcharge 40 % ) . tell would rather pay amount agree reservation already pre - charge credit card tell show - up rate rate rate quote exist . want show proof rate claim offer pull computer , suddenly find correct rate not offer sort apology act like favor give rate agree along . after get room , find internet $ 12.99 per day ( per laptop , travel group ) call front desk see business center could use 2 minute send daily update job . hold 15 minute , tell business center open business hour ( good anyone actually business ) welcome use internet access room whatever need . tell not really interested pay full day internet service need 2 minute say policy everyone pay service . choice pay figure could speak manager follow day would reasonable situation use minute . wrong . wait line 20 minute ( ! ) check , tell charge could reverse since internet functional . call speak manager tell exact thing . ask way willing remedy situation say . ask walk away unhappy post experience online tell guest . in closing , room passable nothing special . much comfortable LV hotel price range also much close Strip . furniture bit date Hilton bathroom stain , poor water flow drainage , appear need major remodeling . experience difficulty along every step stay Hilton nothing positive experience everywhere else stay Las Vegas . 
 Sep 8 2008 	 Nice hotel bed comfy 	 book vegas.com $ 97 / night . buy package include airfare . cheapest rate could find * * * star hotel strip hotel site . convenient conference MGM Grand monorail hotel . also use Monorail go Ceasar 's see Cher . not convenient cuz go Flamingo cross street get , sure beat walk 103 degree heat ! anyway , Hilton clean amenity usual Hilton except bed -- comfy heavenly bed westin start hilton adopt although may call name . bed hard usual , bed clothing heavenly bed , really heavenly bed . coffee maker find advance tell fire hazard hotel vegas . bring ! want pay several dollar pot coffee . recall correctly , $ 6.00 plus room service fee 1/2 pot $ 14 plus fee full pot ! starbuck hotel , bakery sell coffee / cap . , etc .. Pizza Hut . check quick fine . internet access $ 12.99 . free breakfast not eat breakfast there . I eat buffet lunch / dinner not good . next day eat MGM breakfast buffet . get line 8 a.m. , get $ 10.00 rather 13.99 , think good deal ! wonderful buffet . long line go fast . long cuz cashier time , wait people finish eat . over , good stay Vegas Hilton . 
 Sep 8 2008 	 GREAT HOTEL VALUE money ! ! ! 	 book stay Hilton purely one ' main ' hotel Vegas good deal go week want go . not really matter 's strip monorail station hotel easily access ' main ' Vegas hotel within minute cost we $ 28 three day unlimited access pass . be actually nice 's strip not thousand tourist bombard casino / lobby / resturant 24/7 feel lot safe . room lovely , great standard decor clean ! can not complain all . only real thing bug we pool cold ! say still get sit endge cool . consider be Vegas pool not end anyway ! show / tour recommend Vegas:1 ) Dirty Hyponotist2 ) Las Vegas Mob Tour 3 ) Mystere @ Treasure Island get half price ticket tix4tonight show ! - oh , would avoid Hawaiin Luau Imperial Palace , be ok food not nice show entertain . 
 Aug 27 2008 	 good service 	 choose stay Hilton child attend Sony Fanfaire . crazy stay strip convenient conference . arrive 9 hotel airport actually let we check 1 room . never stay anywhere let we room early . great . second room available 11:30 . room connect good family want privacy . casino crowd strip cocktail come fast . access monorail good ride couple time . mainly rely taxi 's line hilton never long even though weekend . view large window room nice , bed comfortable flat screen tv good . internet connection $ 12.00 day ( little spendy ) overall good place stay . staff go way friendly accomadating . ( stay year venetian priceline package treat we like scum earth ) . 
 Aug 27 2008 	 reason stay proximity Convention Center ... 	 start review property , interest fairness , let disclose really really like Las Vegas . else world , least ' ve travel , part large sum money return get mediocrity inconvenience . 's assume not get burn big gaming table . ok Hilton . ' ve stay Mandalay Bay , Bellagio , Treasure Island Vegas . Hilton property not even mention breath . Hilton location go next door Convention Center . 's world away Strip . let tell , not golf 's little away Strip Vegas . although hotel Monorail line , be convenient . monorail drop Strip be usually look 15 - 20 minute walk get final destination . fun , huh , 100 degree plus summer heat ! room Hilton particularly large comfortable . food exceedingly poor . term service , well , let blunt - Vegas be not service unless be serious high roller . constantly line hotel get cab ( not allow pick street - scam ! ) tip doorman nothing dollar not service book . 's freebie , comfortable little extra . constant dig pocket money run . people want Vegas thing , 's Strip . otherwise bother ? Hilton business traveller low expectation indeed ! 
 Aug 25 2008 	 stay somewhere else ! 	 group friend decide meet Las Vegas visit & quot ; Star Trek : experience & quot ; one time close door forever September 1 , 2008 . attraction locate within Las Vegas Hilton ( 3000 Paradise Blvd ) decide stay right convenience . turn convenience Star Trek : experience good & amp ; reason think justify choose LV Hilton . Star Trek exhibit closing , 's reason GO LV HILTON . will choose another hotel visit Las Vegas . 's : hallway filthy , bit & amp ; piece dirt dust & quot ; stuff & quot ; carpette . wonder Hilton even own vacuum ? not good carpet primarily dark , burgundy color . also dirty dish room service sit sit hallway hour . fact , not sure room even vacant , dirty dish outside door arrive ! 11 pm . wonder long dish sit . shock think dirty dish remain previous guest check time noon practically middle night arrive , . speak housekeeping -- room clean enough upon arrival Friday night . carpet room clean -- least look like vacuum , unlike hallway outside . bed comfortable . bathroom counter top ( black ) water stain faucet . could not tell regular state give complexity maintain dark color counter top , not really clean . guess ask ................. anyway , real fun return room late Saturday evening housekeeping come . 's found:1 . dirty towel still bathroom floor ( hotel guideline ask guest put dirty towel floor want fresh towel ) new replacement left.2 . dirty glass night remain , clean glass leave . 3 . bed & quot ; make & quot ; , pillow not put back place . would never recommend Hilton family friend .vegas many well choice . be go spend $ $ go vacation , go nice property really enjoy . 
 Aug 24 2008 	 could well 	 might sound trivial , lady room near table game important . first day one lady room main casino floor working order . next day order . 10 minute walk lady room . brush inconvenience first day restroom order . remain order next two day ... excuse ! ! leave hotel come back home . know be still & quot ; order & quot ; next problem run check ... 12:00am one would think could quick simple check . , not work way Hilton . long line ... mid - night ? ? ? yep ! ! ! not seperate line check check . inconvenient . 
 Aug 24 2008 	 great first 	 arrive Hilton midnight , long day flight , tired cranky . get pretty quick check , king bed reserve available , stick 2 double bed . get room find key not work , pretty irritated go back downstairs . woman front desk super nice give we free upgrade buffet . get room please bed cleanliness room . staff nice happy . second morning hotel , walk buffet fall stair break foot . begin end . hotel treat like fault , defensive , totally consume cover rear . help get cab ( pay cab ? ? ? ? ) go hospital . would think someone would concern , . come back make we put 100 dollar deposit wheelchair , ignore rest stay . upset way treat . everything could let know fault fall concerned liability comfort . stay , truly shocked company Hilton would treat guest like . 
 Aug 23 2008 	 Decent Hotel 	 wife stay Las Vegas Hilton July 25 - 28 , 2008 . main reason choose Hilton attend event theater want close . check go smoothly . pay extra superior room view strip . upon arrive assign room find mainly superior view Airport small portion strip visible corner window . front desk helpful quickly reassign we new room complain . however ... view second room marginally well . , not waste extra money strip view , worth extra $ 30 per night . view , room fine . comfortable bed / pillow , decent sized bathroom , every thing clean well keep . thing miss room coffee machine . hotel pretty large several restaurant choose . one try mexican restaurant decent , nothing special . pretty much standard Hilton hotel gambling . want commend staff helpful needed assistance . due injury need wheelchair wife . hotel quick provide we wheelchair use remain 2 day stay . everyone delt friendly helpful . 
 Aug 22 2008 	 comfortable Beds Relaxing Pool Torn Dining choice 	 ROOM : room 1409 overlook set tennis court pool . potential connect room room bit l shape ( possibly near Emergency Exit ) . bed comfortable not want get morning . tv nice despite complaint other review , enjoy channel choice - decent reception NBC Olympics Discovery Channel . although date , bathroom large step - in garden - size tub . Standard Hilton toiletry . INTERNET : internet $ 13 / day . hallway : complaint review hallway not vacuum , see hallway clean there . SPA / FITNESS : Silver Hilton Honors status give we free access spa fitness center otherwise cost $ 20 / day . , addl fee w/ fitness center , spa service cost extra . pool / hot tub : pool area nice . lay back w/ various type people & quot ; meat market & quot ; find hotel . various age type people pool . particularly enjoy hot tub area . like 3 large hot tub connect 1 , surround gazebo - type structure w/ sun screen block direct ray still allow get tan . surround gazebo cool mister spray contemporary music play . cabana not busy , could watch tv one nearby vacant cabanas cushy lounger next hot tub catch sun . compare place , tell other cabana reasonably price available 4 - hr 8 - hr increment . dining : try breakfast 24 - hr Paradise Cafe . comfortable , food good reasonably price . however , , sandwich / coffee shop , food court choice , decent food choice hotel , like nice Benihana Village , open 5:30pm . bummer ! want late lunch Benihana attach Noodles place never could . finally , day leave , go Quark 's near Star Trek area lunch cheeseburger . terrible . probably draw place - ' m guess - $ 20 - 25 2 - or - more - person drink like Warp Core Breach drink . food like burger , would not hope much .... could see definitely pre - form frozen patty , taste like burger find convenience store . hardly cheese sandwich despite fact $ 9.99 price burger , pay $ 2.99 additional 3 topping , incl . cheese , lettuce , etc . $ 13 + , 99c Kwik - E - mart burger . booth put we uncomfortable , sore left . convenience : nice location Monorail stop . monorail $ 5 / trip , plan round - trip , might well pay $ 12 24 - hr pass . price obtain buying ticket Concierge . tell someone buy ticket elsewhere would make expensive , ' m sure be true . Monorail arrive every 5 min stay . 
 Aug 20 2008 	 Nice Rooms Awful Service 	 hearing read Las Vegas , always hear wonderful customer service bend backwards help . guess never stay Hilton . stay Hilton Star Trek ride , clear . arrive Hilton early Saturday morning awake 26 hour explain staff front desk response , & quot ; well room take 3 hour , least . & quot ; top , thing seem concerned sell we upgrade room . go breakfast , look around come back see progress make different lady front desk , equally , , rude . explain story receive , & quot ; take 3 hour room ready maid start 9 am . & quot ; guess suppose know maid ' hour . explain extremely tired room available would appreciate . say we , major attitude , & quot ; room available two twin bed ( request 1 king ) either nothing . & quot ; first people meet enter business nice , especially city like Las Vegas . 
