go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Dec 5 2006 	 like 	 Bit walk start , strip get use . room massive ! love shower bathroom great . little problem noisy party guest next we one day hotel deal immediately . eat complaint , food service excellent . casino small many Casinos visit , be like would spend whole time . great thing ... wife ask leave casino say not look 21 . nice compliment , be 42 ! ! would go , problem . 
 Nov 26 2006 	 average large room . stick early check - in 	 like place , nice room , large clean . nice place breakfast open 24 hour . nice location quiet . a lillte pricey like . 
 Nov 19 2006 	 good 	 stay business colleague book first- conference strip . think book carefully , stay premium property instead much money . the villa set not great , especially first floor , get noise . air conditioning unit old extremely noisy . mexican restaurant ( La Cantina ) slow mediocre . the crowd bite low - rent , casino somewhat rinky - dink . also , be really hard get cab . 
 Nov 6 2006 	 room dark cave 	 even light inside room , room dark like cave . pool area nice lot roudy young - adult , smoke cursing . good environment child around . almost leave change hotel time . would stay . 
 Oct 31 2006 	 room cheap enouth would . 	 Location bad , long walk Strip . recommend use car , merit location . bed condition terrible . room two full size bed , queen size . mattress seem old two person one bed roll center , low point mattress . bathroom old style , microwave kitchen even though sink refregirator . room size almost double normal hotel room . if room rate cheap enough , would . , would choose hotel . would rate hotel grade less three star , i.e . maybe two 1/2 star . 
 Oct 23 2006 	 quiet place practically Strip ! 	 review husband 's business trip Oct 15 - 19 . review , mine . I one bedroom suite . king size bed , small sitting area , small dining table , work desk , small kitchenette . coffee POT ROOM . bathroom seperate bath tub stand alone shower . everything clean . air conditioning work well . hot water take minute kick . complaint . over hotel quiet , clean , relaxing . 2 block strip . walk strip 8 minute . go pool , feel cold open . look nice . lot child . casino small . finally learn play roulette low minimum . go 3 hour life . roulette dealer quite helpful explain rule game . new gambling , definately start small casino like go early morning . one table gain valuable knowledge . drink casino bar $ 2.50 - 3.50 really reasonable not want wait waitress bring one . Marilynn 's Cafe eat breakfast twice . get contential breakfast one morning type standard breakfast fruit plate . good . decent price breakfast Vegas . Tuscany Gardens pricey . nice atmosphere , expensive . get chicken fettichini alfredo $ 15 salad even include . overall really enjoy stay would recommend other . good romantic / couple . location ideal business traveler may need go Vegas surround city easily Flamingo rd easily accessible interstate / highway . 
 Oct 23 2006 	 Great Hotel one minor exception 	 stay Tuscany Oct 19 - 22 . new hotel small casino . 1 1/2 Las Vegas block strip . room huge cleaning staff friendly . prepare one unexpected expense . here : hotel check Tuscany 3 pm . arrive early time get room - price . the Tuscany charge 10 $ ' early ' check . even though room ready , still charge . flight arrive early expect land 1030am . reluctantly pay fee get room freshen long flight . problem hotel . everything else great . 
 Oct 20 2006 	 mix feeling 	 concierge , Tara , Tuscany 's shine star ! print boarding pass genuinely delightful person . need customer service training unlike front desk staff -- one particular quite rude perhaps due limited communication customer service skill . room large clean however walk strip long -- 20 min -- definitely want take cab night safety . sport bar good friendly staff . general decent place stay . 
 Oct 14 2006 	 Disappointed 	 sitting room N103 write , disappointed . big room . almost big hotel room ' ever . bathroom also large separate toilet , tub shower . room also kitchenette . facility , pool , restaurant , casino good . tuscany well locate , couple block away " Strip , " East Flamingo Road . regretfully , come Las Vegas , look another hotel . start , door toilet room ' close fact must hold ( knee , less ! ) jam , want privacy . large tile missing ( 6 x 6 ) baseboard . ' hard figure supposedly good hotel would allow slide . shower head place midget ' unusual . closet slide door track although put back extent , problem track bent loose make unserviceable . ice machine three floor build work arrive . room service offer send ice charge . Guest service send maintenance man send plastic bag ice . first floor ( floor ) ice maker still work second floor machine , now . the furniture really cheap begin room , dirty stain . friend ' room ' identical except ' dirty notice . tv standard 19 " 12 cable channel , 2 hotel ' use . pay - for - view , however . the bottom sheet fit , flat sheet tuck . tend rate motel . fit sheet stay bed without shift well expensive less versatile motel , bottom sheet . really sub - par hotel suppose level . last night ' dinner Tuscany Gardens , hotels main restaurant good . get busy make reservation . morning Sunday Brunch Buffet Cantina also good accomplished omelet chef station . say , sit disgruntle want dish send room Tuscany Gardens room service send food snack bar ! menu exactly – snack ! ' typing , menu pizza place shove door deliver ! ' get build without key questionable get shove menu door , ' . disgruntle go furious ! try call pizza place ' get outside line . ' unbelievable . operator come say ' get outside line try local call , get error sound – busy sound . place street . call back tell ' want listen hang ! speak manager front desk offer send repair man room . clearly , problem ' room . hopeless . go car get cell phone ( seldom use ) . course ' roam . must fair admit Marine Officer , voice somewhat " forceful . " still , issue bring " forceful " never occur . say , regretful recommend hotel could great facility . on positive note , last night take " Folies Bergere " Tropicana . one old original show Vegas . great . funny thing , lot people seem sit hand . performer dance heart . highly recommend . 
 Oct 14 2006 	 love 	 Oct 14th 2006e.g.m . MassachusettsMy sister , neice stay last night 2 week trip Utah Arizona head home next day . strip 10 minute walk strip , price $ 129.00 AAA 600 sq foot room 2 queen bed , sofa , chair kitchen area small refrigerator , microwave , coffee maker coffee sink . bathroom large seperate shower tub . bathroom big motel room . staff helpful direction airport . not mind short walk strip place stay . wish stay long . 
 Oct 13 2006 	 Beware Customer Service problem 	 book prepaid reservation online agency Las Vegas ( IforVegas.com ) . arrive Tuscany , reservation cancel . ( say ) stand check - in counter hour request see manager never he / she come talk we . instead , humuiliate front guest tell reservation cancel per fax room $ 239 per night want pay amount . mention , prepay 2 night advance considerably low rate . pull reservation confirmation girl counter still insist room unless pay additional $ 239 per night . 2 phone call book agency , still manager talk person , hour later , get room key hand we explanation problem apology time take straighten mess . room fine , get , never treat poorly hotel personnel past . clearly mistake make hotel least , receive apology unprofessional mannor treat . 
 Oct 12 2006 	 okay Slip Ups 	 choose Tuscany lot reasearch weigh minus plus . let state temporarily live internationally stay lot U.S. abroad hotel . past experience confirm reservation day arrive avoid unwanted surprise . sister 's first visit , want really special , hotel would comfortable . overly price like strip hotel , opinion . unfortunately , upon arrival tell room assign we occupy . instead poolside one look forward , tell , N available . go N walk , another building look disappointing . first thing notice a / c bathroom fan extremely noisy . good tip : bring flashlight will not wake anyone use night ... annoying ! good sized room microwave refrigerator nice . queen bed , dish utensil would even well . odd thing - our room one end building , could exit end close street pool , enter get third floor side . make many back forth length building upon come back room . slow service Marilyn 's Cafe eat , okay food . pizza place pizza so - so ... cheesey , rather bland luke warm . gift shop necessity forget expensive . AM / pm 7 - 11 also next door odd end . enjoy pool area immensely every day ; warm water busy . another snufoo cocktail waitress never ask want something drink pool , not sleep eye close either ! someone else not job , one morning gate still lock pool 10 a.m . take quite awhile someone get let we wait . Sun time clock we . ground parking lot time trash broken glass pick . build huge pile tear carpeting sit five day bottom stair right would exit .... tacky . always hope would pick leave , unfortunately never . vend machine dispense bottled water , try get pop twice . get taxi airport Ceasar 's colliseum run approximately $ 10- $ 15 . otherwise , not find walk strip overwhelming , be use walk travel , woman luckily not bother 2 a.m. get ask change see homeless person sleep . Celine Dion 's show totally awesome , pricey like high end venue . tip : be really bad seat house , however typical nosebleed section cheap price seat . sum would say ground nice room easy get parking lot . price affortable . ' m lean towards try another hotel next time go back . 
