great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Aug 5 2009 	 Mirage treat we like Queens 	 check mirage mess reservation . , post money send room someone else 's account . compe 4 buffet , amazing . find ant bed be upgrade different room , receive 4 compe meal $ 250.00 restaurant Mirage . Manager also go comp $ 84.00 room rate , take $ 150.00 credit could use spa , bar , place . slot be good 2,000.00 two night play slot machine . restaurant wonderful , room service excellent . would highly recommend Mirage anyone look nice , relax vacation . also , jet nightclub awesome . 
 Aug 5 2009 	 great place 	 light never shut place . great atmosphere , grandiose architecture , bit pricey , overall good . 
 Aug 4 2009 	 amazing superb ! ... 	 parent stay Mirage hotel & amp ; casino 2006 , recommend hotel highly ! . situate middle Las Vegas strip , mirage home erupt volcano , dolphin , elephants Sigfreud & amp ; roy white tiger . hotel large nearby resort MGM grand feel like walk Lakeside get room pool ! mirage truly breathtaking ! , check greet incredible aquarium indoor tropical rainforest amazing . walk casino leave hotel get room Vegas 's way try get flutter machine . mirage home one famous show world - Sigfreud & amp ; Roy magic show ! unfortunately get see show around time Roy nearly head bite ! resort many bar restaurant feel like venture onto famous strip . surround area hotel fabulous enclose dolphin , Sigfreud & amp ; Roys secret garden house african elelphant tiger name ! room spacious yet cosy , television hairdryer etc . overall , thoroughly enjoy visit Las Vegas Mirage definently plan return husband near future ! 
 Aug 4 2009 	 Excellent Stay Mirage - plus review trip ! ! 	 travel : July 25th - August 1stage : 4 adult ( 24 - 60 yrs . ) check - in : excellent - wait 10 minute request adjoining room find one us problem ! ! room not ready early check - in leave bag Bellmen go shop . get back 5 pm room ready bag bring . bellman tell we hotel everything need know strip ! ! check - out : take we less 5 minute check - out morning leave ! ! room : bed amazing ! ! ' m still think ! ! room beautiful , clean everything need . view mountain freeway great ! ! nice wake look mountain everyday . bathroom perfect - people comment small - ' m sure many people try fit one person perfect ! ! pool : Beautiful - 's big waterfall really nice . get early lounge chair nice place little break ! ! Cirque Du Soleil ' love ' : wow ... be say ! ! go see ! ! casino : be perfect size good range thing play . 's smokey win money ! ! BLT Burger : super great burger fry ! ! ! service great price reasonable get . Carnegie Deli : cake one night service little bit slow go breakfast service food great ! ! Side Trips : Grand Canyon West Rim ( 2.5 hrs . drive one way ) - totally worth drive price admission ( $ 45 ) .Red Rock Canyon ( 30 minute drive one way ) - gorgeous ! ! ! ( $ 5 ) Disneyland ( 4 hour drive one way ) - fun experience worth drive . ( $ 65 ) Freemont Street : Fun experience LCD show one kind ! ! fun time ! ! Las Vegas Monorail : convenient decent price ! ! take end strip . shopping : Fashion Show Mall - tonne great store reasonably price , great locationmiracle Mile Mall - similar Fashion Show Mall , great storesprimm outlet - nice mall store outlet VegasVegas Premium Outlets - good selection store , convenient location * * FYI - watch Taxi Cab driver ! ! zero patience people not feel make enough money driving - take . actually leave stand cab drive away door openwhen tell want go . experience take every mode transportation ! ! sum .... excellent trip Vegas hotel beautiful ! ! 
 Aug 3 2009 	 MIRAGE become MIRAGE 	 stay Mirage least 6 time 2 bedroom penthouse Mirage always clean . sound stupid glass front door would clean 24 hrs day . front door look like 100 dog rub nose . filth not stop . tell penthouse redo . yes . new furniture rug seem take one full soak tub stall shower replace small tub shower combo . call say never 2 full master bathroom . say must see mirage last 6 time stay . not goint argue phone . room $ 330 per night use pay $ 500 plus . redo room never get penthouse run money . sell treasure island time . MirageMGM group run trouble city center project . add 2 bedroom tower suit 2 bedroom penthouse title . room give confirm clean woman . room not dirty worn musty smelling . tip girl $ 100 left note deodorize room something . credit leave note say thank spray coconut air stuff leave spray . leave $ 100 next 4 night . go downstairs complain room show floor plan book like mirage show 2 full master bath . manager walk away quickly leave young girl deal . give $ 20 say not worry . 2 year last stay mirage visit last . feel bad use like Mirage . quiet right middle strip . enjoy play table game 4 am . loud music place not clean . start cater young party people . maybe . casino be not much debt cater gambler . mirage debt free Wynn . maybe cash flow liquor hard give government good count . know . know Vegas Vegas year ago . . oh way one party girl look really hot bikini throw pool cause close 21/2 hour early . parent would proud . also give shout 20 young people cheer throw pool . good job Mirage bring fun crowd . 
 Aug 1 2009 	 Fab ! 	 reserve awesome rate directly Mirage www.mirage.com use promo code 35VOLCANO . get room overlook volcano Strip make we pretty pleased well : ) stay regular King Bed Room bed huge uber comfy , room enormous , flat screen TV iPod dock . bathroom kind tiny side consider size rest room , still enough space we . everything spotless check - in check - out go smoothly . help right away time ( although one really stand line imagine could cluster busy ) . 's huge aquarium behind check - in desk . food casino kind pricey go across street Harrah 's eat ( tell difference casino though ) . Mirage locate next Caesar 's across street Harrah 's . be opposite end Strip New York ticket see something , recommend either stay get taxi . see Jubilee able walk back forth ( Jubilee Bally 's ... 5 minute walk ) . also walk Bellagio watch fountain Mirage Volcano erupt every hour start 8 pm end 11 12 ( can not remember ) . 's good location construction be go Vegas right , would suggest stay 's casino ( like New York ) 's kind cut rest everything . 's also concierge help plan sight day trip . not recommend hotel kid 's nude pool everything 's gear adult . overall , good stay ! ! ! 
 Jul 31 2009 	 Quite impressed ! 	 girlfriend & amp ; stay Mirage & amp ; really enjoy ! prosclean , modern room . really comfortable bed & amp ; pillow ( think might buy one pillow website ! ) . friendly , helpful staff . great saltwater ( think ) pool feel great 100 + degree heat . lot see & amp ; , overwhelming ( get lose walk around Caesar 's & amp ; Venetian ! ) . PERFECT location . really amazing volcano show night . CONSCheck - in need severe organization ( need put roped line people can not cut & amp ; move line move fast . frustrating . ) . pool crowd & amp ; people save chair even be use . housekeeping come every morning 9 am ( although told come back later b / c still bed , & amp ; ) ! VEGAS GENERALThis first time visit , be expect 're & quot ; Vegas virgin & quot ; like : - expensive food & amp ; drink almost everywhere ... & amp ; food eat average . next time might take cab dinner strip & amp ; see be well - least cheap ! - bring comfortable shoe b / c LOT walk . nothing close appear ! - way crowd expect . lot family - & amp ; stroller ! leave kid home . Vegas adult ! - not miss Bellagio fountain ! could ' ve stay hour . - Mirage volcano show truly amazing . another & quot ; not miss ! & quot ; - skip treasure island SHOW ! incredibly boring & amp ; massive amount people . , one leave one could move ! worth . - not know much gambling , be okay ! sit table friendly people & amp ; will help . dealer , . blast make friend blackjack table ! ( tip dealer buck / chip leave be win ... be win . ) - pure nightclub FUN ... get ! 3 girl get bracelets guy door & amp ; walk right ( well , almost ... 10 min . wait ) . Tuesday night , though - may generous weekend . still , pack fun people & amp ; great DJ ! - be go week & amp ; want go club see show , check & quot ; dark & quot ; day beforehand . thing want see might close random weeknight ! overall , Vegas hot , crowded , expensive ... let loose & amp ; know expect FANTASTIC time ! can not wait go back . 
 Jul 31 2009 	 A - M - a - z - I - N - G 	 one good hotel ever stay . would go back flash could ! love everything . could not fault one thing ! room amazing , swim pool amazing , everything amazing . please please please go try ! 
 Jul 30 2009 	 beat 	 find deal online Mirage could pass . stay Mirage renovate always find flawless , quite interested see renovation . even see room , impressed check process . arrive Monday , particularly crowded , still time observe check - in process awhile quite impressed desk clerk , include Jackie Pennsylvania check . must say initial impression room particularly strong , remember well general aesthetic room renovation . renovate room seem bit small less decadent , overall quite nice , importantly , room quite clean quite comfortable . surprised see bed feature Mirage ad , make mistake , bed unbelievable justifiable enticement . quest right find , least pillow . mirage solid . would always first choice , especially attractive price , believe easy offer room streamlined bit . potential flaw barely worth mention . example , one four night , ice machine floor 11 - 16 stop work several hour . 112 degree temperature , clearly tax beyond capacity . would enough deter next visit . mirage room beat . 
 Jul 29 2009 	 aware ! 's ` ` Mirage '' 	 start good note , 2 great thing : Location & amp ; ' love ' show . but 's stops.~ Hotel way crowd . ~ walk casino get elevator . ~ horrible window view not get Strip view ( highway rooftop ) . ~ ask king bed , instead get room 2 queen beds.~ Clueless staff~ Overpriced meal & amp ; drink . ~ tiny bathroom basic crappy soap , shampoo conditioner . ~ impossible regulate water pressure shower ouch hurt trying take relax soothe warm shower.~ bathrobes.~ coffee maker.~ refrigerator ... bunch thing . it great waste time money . we recommend place sane person .... smart stay away hell hole .. go okay negative ! : ) 
 Jul 29 2009 	 great price great location great pool ! 	 get back bachelor party Las Vegas . second time stay Mirage . room look great , pool scene highlight group . main pool fun check Bare Pool , defiently worth money . nice selection food option would like save little cash food court right across street . 
 Jul 28 2009 	 WOW - get upgraded ! ! 	 stay , know room would comfy clean .... not realize ! ! ! check get upgrade ( $ 70 prepaid ) gorgeous one - bedroom suite ! ! shock minute upon arrival room . double french entry door , living room two sofas , dining room , bar , beautiful bedroom pop - up tv marble bathroom jacuzzi tub . toilet room ( yes , separate room ) toilet bidet . good part wall windows overlook strip ! ! ! pinch good fortune . guess run double room something quite pleased . thank Mirage ! ! ! know treat customer right ! , far casino , well , ' m Beatles fan place great Beatles Love show Revolution lounge . slot pay nicely ( anyway ) eat Carnegie Deli . bit overpriced . $ 12 , son get two piece white bread 9 piece bologna stuck - chip anything ! eat Cravings love . one good buffet around ask . lot choice . lobby immaculate garden nice . would highly recommend Mirage even not get upgrade . : ) 
