money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Oct 7 2008 	 pleasant experience despite misgiving 	 3rd trip NYC three year . first trip stay Milford Plaza - nice , central location noisy night room tiny . next trip ( May 2008 ) choose Courtyard Marriott - Midtown east . excellent hotel , quiet business district 7 - 8 block Times Square . planning stay fear noise Times Square last moment check rate switch Doubletree not want hear teenager complain walk ( LOL ) . also , Doubletree 's rate $ 200 less whole trip ( 3 night ) Courtyard . the first requirement us king size bed pull sofa teenage son . Courtyard DoubleTree . many hotel room NYC small , old cramp . get two - room suite Doubletree $ 300 night . perfect ! room modern , large clean . pillow , refrigerator , microwave , granite counter top , flat screen tv . lack nothing . my second requirement room quiet . large city visit traffic noise night keep . ' ve also experience Rome , London Sydney . learn experience stay high floor . when book Doubletree , option pay dollar high floor . 41st floor great . noise could hear occasional siren . Times Square central everything NYC . location can not beat . side , crowded hour day night maneuver crowd go hotel little daunting time manageable . my complaint leave , doorman ask we need cab airport - . tell we would $ 40 try steer we towards private car driver . say , ' no , $ 32 LGA way ' - know lot ' faux taxi ' not follow NY Taxi Commission fare rate . doorman say , ' well work - $ 40 ' point we yellow cab . rate airport , fact , $ 32 . not appreciate doorman 's fib fact steer we towards private car . could explain choice - private car $ 40 taxi $ 32 let we make decision upfront . other , excellent service visit . 
 Oct 2 2008 	 work .... 	 stay doubletree business trip . facility ( lobby , entrance , bar ) heavy construction , make get around difficult time . despite construction room nice shape . hotel & quot ; works & quot ; business trip , sure would go family construction complete . 
 Sep 30 2008 	 right Heart Times Square / Broadway Theater District 	 great , clean hotel right center action Times Square Broadway . 's perfect stay visitor , everything right outside door . there 40 + floor , street noise issue . instead , will get SUITE , rare thing Broadway area . suite small fridge microwave separate living room bedroom , plus tv bedroom one living room . the lobby currently undergo renovation , stay not affect . get lobby , enter street level take elevator lobby floor . really not much lobby anyway . we not eat hotel ... would anyone ? ton restaurant Times Square neighboring Restaurant Row / Hell 's Kitchen area . take pick . if be look awesome location , center Manhattan , suite ( plus Doubletree 's fantastic chocolate chip cookie upon check ) , place . 
 Sep 17 2008 	 nice location room . . . 	 husband stay King 's Suite Doubletree Guest Suites Times Square 22nd floor ( alleged upgrade ) . Hilton Honors Gold member , receive complimentary continental breakfast offer daily Center Stage Cafe restaurant wireless internet service suite . hotel locate midst Times Square - great location like hotel Times Square , hotel driveway great magnificent lobby ! hotel accessible subway . there , however , kink associate stay . although internet service free , connection terrible ! intermittent ! frustrating . king - sized bed comfortable except airconditione vent blow straight head could repositioned ! minibar system room sensitive even slightly touch soda can , instantly charge item even not buy ! charge 4 item purchase 2 . restaurant , Center Stage Cafe , 5th floor alright - nothing great . bar / lounge next restaurant pathetic ! cocktail elsewhere - many nearby local bar far well worth walk . hotel lobby refurbish there . probably would return hotel - bad really like size suite ! 
 Sep 16 2008 	 great stay 	 staff double tree welcome helpful check check . find band - aid , get extra blanket , easy baggage storage last day . room great work kid tow . great stay . 
 Sep 16 2008 	 would gladly stay 	 husband stay first time New York City 3 night . hotel right action Times Square , sure good idea . however pleasantly surprise Doubletree . plan renovation start morning checking . issue noise , dust etc . 35th floor night sleep well . never hear guest , traffic , staff etc . great bed , 2 room suite , clean , huge bathroom update decor . loved microwave , free room safe wet bar . able & quot ; dinner & quot ; one night suite shopping Whole Foods . hotel restaurant provide tableware we without issue . hotel fast elevator town ! spectacular rate hotel website get pay . ever return New York want Times Sq . , would choose hotel . 
 Sep 7 2008 	 Great girl ' Getaway 	 be look spacious room girl ' getaway weekend , . two comfortable queen size bed , not mind sharing . sofa bed sit room good old gal ' back . two sink vanity one wet bar provide person space . situate right heart thing . memorable ! 
 Aug 30 2008 	 good location family stay 	 stay week wife three teenage daughter . hotel clean , quiet ( upper level room ) . think good value money . one tip- use sofa bed follow instruction exactly not remove sofa cushion prior fold will not comfortable . not stay NY hotel would guess room large average . 
 Aug 29 2008 	 really nice ! 	 three we check 4 night August 23 . 2 double bed , sofa bed living room , wet bar large bathroom double sink . clean good layout . staff excellent ! . everyone well please ! corner 7th Ave . 47th St. walk hotel subway right next door great ! 
 Aug 27 2008 	 busy quiet crazy calm ! 	 yes , yes , yes ! hotel great . clean , quiet next chaos NYC ! room two bed sofa bed decent size fit four adult . sofa bed little soft well sharing ! 42nd floor , also quiet . the bathroom also good , shower really good ease long hour walking do . the concierge helpful , able book bus tour outlet store excursion without problem . also offer theatre ticket , could find tourist centre locate close hotel offer well variety thing do . the laundry service little expensive considering clean ( underwear , etc ) .The breakfast expensive , save money venture many place locate around hotel . when step hotel welcome frenzy Times Square , madness , love every minute it . ideal location , ideal hotel , ideal holiday ! 
 Aug 26 2008 	 action 	 comfortable , clean hotel warm choc chip cookie , great king size bed , adjoin living space ( smallish manageable ) sofabe large screen tv ; locate heart Times Square ; 
 Aug 25 2008 	 convenient location 	 parent adult son stay three night August . recommend hotel want central location , walk distance many attraction shop literally top subway station . hotel work happy large impersonal clean efficient experience type location reasonable price .. however , expect form personlise service . expect room staff respond write request leave enough non - decaff coffee sachet number party anything else non - standard . expect concierge give help not involve sell something , expect breakfast restaurant without queue least 30 minute inefficient system . also aware one downside location time enter leave building fight way hoard people queue theatre next door get ground floor lobby accost security guard take first two lift get room . 
