quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 May 25 2004 	 almost excellent 	 arrive 1 am front entrance ( i.e . face station ) distinct lack staff help we get baggage hotel . room overlook atrium good size beautifully decorate . bed little hard sheet bit starchy , otherwise comfortable room . no tea make facility room ( essential Brit ) although housekeeping provide we kettle , cup ask remove every day resort hiding draw ! pleasant ambiance - would recommend Landmark . 
 May 19 2004 	 Landmark Fantastic 	 amazed anyone could write negative review incredible hotel . my husband stay Landmark ten day March 20th March 30st . stay many fine hotel , Ritz , etc , find hotel first - class service warm friendly staff . PROS : superior room overlook Atrium . ( american standard ) wee bit small , sumptious nonetheless . bathroom marble separarate shower tub . bed comfortable . food ( room service ) restaurant atrium downstairs ( forgot name ) good . remember , expensive , London , America ! say bit money , get water soda put room 's refridgerator . squeeze lot stuff try . wait staff wonderful , curteous bent backward cater every need . Maid service excellent . live entertainment Atrium every night ( pianist , string quartet ) prefer nap 6 - 9 pm , might difficult room face atrium . sit atrium dinner midnight talk day 's event ! ! hotel shop nothing spectacular , lot perfume . con : honestly , & quot ; con & quot ; encounter fact hotel bit far remove main area Londen . attraction near hotel Madam Tussuad 's museum ( ugh ! ) Sherlock Holme 's house . need take cab subway see thing like Tower London , Parliment , Beg Ben etc . say , cab ride qucik , subway clean easy use . several fine restuarant within walk distance several nice pub well . bottom line : sumptious hotel cater international traveler . good luck - please feel free email questions- 
 May 17 2004 	 nothing special 	 high expectation , base review site . disappoint . arrive , receptionist claim record reservation . much search luggage , find print - out on - line booking . reluctantly allow check . get room , manager already leave message say need pay . call back US , finally able convince credit card already charge advance . throughout stay , find service neutral hostile -- smile . room nothing special cheap little way -- hairdryer attach wall , example . London far well offer . 
 Apr 25 2004 	 absolutely First Class ! 	 absolutely wonderful hotel terrific customer service ! room lovely -- spacious first class . interior courtyard beautiful , provide great backdrop dinner late - night drink . location little beat path , tube stop locate across street . quite expensive , budget allow , Landmark can not beat . 
 Apr 4 2004 	 wonderful place coffee room over - price 	 good thing hotel wonderful winter cafe atrium form heart hotel . away morning beuatiful relaxed surrounding drink coffee two .... hold informal business meeting . however , stay overnight Hotel really disappoint . service terrible . not allocate room type request . keep wait reception 10 minute . room service food ok outstanding . room long thin . it be ok , clean , 5 * parking ( rare London ) .... much well service number 4 * hotel London half price . 
 Mar 27 2004 	 Great Hotel ! 	 travel London Mar 19 - 21 2004 50th birthday celebration . book 2 room via www.gb-hotels.com 200 pound per night inclusive full english breakfast upgrade deluxe room -- huge w/ sofa / seat area wonderful bath . hotel luxurious ; hotel staff accomodate ; spa / fitness center top notch ; Marylebone tube / train access back door ; breakfast plentiful . staff courteous 16 year old son friend husband . although expensive , would HIGHLY recommend special occassion . several fast food ( KFC , Burger King ) within couple block satisfy teen ; variety small restaurant area ; small grocery store tube station sell snack / wine / fruit / sandwich . 
 Mar 18 2004 	 definite recommend ! 	 use stay four season Ritz Carlton Hotels , hotel . clean , elegantly furnished , convenient get around central London . also stay Four season Grosvenor House London , far nice three . big concern book hotel keep hear beat track . find case . near hotels embassy surround Hyde Park , total walking distance ( maybe 15 - 20 minute walk ) . also Marylebone tube Station directly across street . two add bonus nice pool hotel Marks Spencer grocery store right next door pick last minute item ( great baby like we ) . 
 Mar 3 2004 	 p.r . well real thing 	 make decision stay Landmark base largely review read tripadvisor , want add mine point . plus side , hotel clean , pleasant room large . however , negative side , real character . room overlook inner atrium . atrium could anywhere . similar view hotel Maryland . look distinct London feel , hotel . be nice enough place stay , feel get review would lead believe much find . also suffer locate particularly interesting pretty exciting neighborhood . 's pleasant enough place stay , certainly one great hotel world , opinion . extra something make sum part . 
 Feb 8 2004 	 good hotel London ? 	 stay weekend - wish long . arrival give room upgrade even though 2 hour check time . room HUGE ! lovely decor bathroom good service . excellent location . Breakfast delicious cellar bar nice . could not fault anything . definitely intend stay next time London . 
 Feb 5 2004 	 great hotel 	 stay Landmark London May 2003 love . comfortable beautifully decorate marble tile bathroom . everything seem clean except carpet , need shampoo , ' m picky people thing . 
 Jan 28 2004 	 lovely room well other 
 Jan 18 2004 	 no.1 hotel London 
 Jan 12 2004 	 Landmark Hotel surpass expectation 
 Jan 5 2004 	 Good Place 
 Dec 24 2003 	 Great Hotel 
 Oct 12 2003 	 Outstanding 
 Oct 5 2003 	 Landmark Hotel 
 Aug 24 2003 	 truly Amazing Hotel 
 May 29 2003 	 love ! ! 
 may 7 2003 	 take back 
 Nov 3 2009 	 désartreux ! 
 Aug 12 2009 	 Endlich ein gut Londoner Hotel 
 Jun 9 2009 	 hotel haut de gamme 
 Apr 18 2009 	 Un trés bon hôtel magnifiquement bien situé 
 Mar 30 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 1 2009 	 MAGINIFIQUE HOTEL 
 Dec 7 2008 	 Ottimo Hotel vicino Baker Street 
 Aug 28 2006 	 Perfekter Aufenthalt 
