nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Sep 18 2007 	 top ! 	 return five day break Millenium Hilton NYC can not wait return . look fantastic hotel breathtaking view great comfort look far . we junior suite fifteenth floor ample space family four . consist two room connect small hallway bathroom . read negative comment staff prepare attitude , would like say every staff member come contact polite , friendly could not enough we . like shop Century 21 next door Starbucks . highly recommend breakfast stage Door Deli next block . room service fabulous huge portion quick service . I really not want leave . 
 Sep 17 2007 	 Loved 	 stay Millenium Hilton Sept 14 Sept 17 . get excellent price $ 249.00 per night Hotel website . arrive 8:00 14th give room despite fact check 3:00 pm . hotel lobby although impressive clean functional . hallway well light clean . room excellent . generally feel comfortable hotel room however case . notice dirt spot carpet . bed great . room well appoint flat secreen television . staff deal friendly helpful . would definitely stay . negative , loud construction WTC site hotel right across street Ground Zero . issue awake 6:30 Saturday morning noise . also locate financial district conveiniently locate Times Square . really problem thing though . try restaurant bar hotel . hotel definity worthy four star rating unlike many & quot ; four star & quot ; hotel NYC . good Hotel stay NYC opinion . 
 Sep 15 2007 	 stay ! ! ! ! 	 tell title much enjoy stay hotel ... everything go amazingly smooth ... room fantastic ... view could not believe ... overlook WTC site ... clean lot room spread relax ... staff excellent question ... concierge great resource ask many question answer everyone ... eat ... thing be not crazy distance Times Square main attraction ... taxi cab ride 15 - 20 dollar do not mind man subway would cheap way go around city ... really can not say enough good thing hotel ... everything hope stay visit NYC ! ! ! ! 
 Sep 11 2007 	 room ( superb ) view 	 stay two night begin USA holiday . visit NYC many time recognise area good location Manhattan , know convenient public transport .The weekend rate fantastic book corner suite arouhnd £ 160 per night . room 51st floor look onto Ground Zero , Statue Liberty Ellis Island one aspect , Brooklyn Bridge . view fabulous make stay special ; could foregt city ! room also good size , nicely appoint , flat screen tv conmfortable big bed . decent bathroom . would highly recommend . 
 Sep 3 2007 	 great 	 town family wedding . excellent accomodation . room super clean . bed comfortable max . use pool , sure look good . 
 Aug 31 2007 	 Fabulous hotel 	 great hotel good access Battery Park Statue Liberty . downside little far midtown could end cost fair bit taxi . pay $ 20 get time square rushhour . 
 Aug 31 2007 	 romantic New Year City Break 	 now - husband then - boyfriend visit New York first time New Year choose hotel due 's down - town Manhattan location star rating . upon arrival , reception busy , little dissapointed staff , perfectly professional efficient , result - overly friendly . aside , service excellent , smile . the room comfortable size , full length ceiling floor window one side , wide screen tv cable plenty storage well lovely bathroom . we room 29th floor ( think ) spectacular view overlook ground zero site . one first thing go visit site , emotional experience , wache awful event live news day unfold . we city day , New Year period , find hotel excellent home home travel around city seeing sight . century 21 right next door full great bargain , soon get use subway system , city easy navigate . walk Wall Street , Statton Island ferry port ( get ferry go Statue Liberty ) well . 5 minute walk , like 20 - 30 , enjoyable , even December . New Year 's eve greatly anticipate event we , choose traditional NY way go Time Sq . receive advice get early , think 6 pm would early enough . boy wrong . finally make pen 10 block back Time Sq , unable get food , drink toilet break . stand 6 hour little idea happen centre , time ball drop , ready drop ! party atmosphere little jaded point , still cheer , hug poeple have meet crowd , husband propose . make lot bearable , course ! recommend NY New Year anyone , would say book hotel Time Sq , book restaurant nearby , make much pleasant experience ! , probably need arrive mid day get spot centre , ' m sure would worthwhile . all make wonderful return hotel , hungry cold find NY truly city never sleep . room service able order pizza parlour road . deliver room 1 must good pizza ever eat ! meal buy outside hotel , ' m afraid experience room service , must say excellent . 
 Aug 28 2007 	 good quite price 	 stay one night cross country flight , sail ny follow day . staff competent friendly property nice look clean . restaurant fine , stellar . room small , much like London hotel room high price NY property . overall , perfectly fine , cost expecting . 
 Aug 25 2007 	 Great Hotel 	 first visit New York . many possibility city , end , opt Millennium Hilton right southern tip Manhattan Island - near Wall Street overlook former site World Trade Centre . great location 1 ] attraction door step , 2 ] quieter manic Midtown 3 ] great connection anywhere else city use Subway . also walk much think base - financial district , Battery Park , Ground Zero , China Town South Street Seaport . short taxi ride Greenwich Village . 5 - 10 minute Subway could Grand Central Station even Central Park . preconception New York entirely shatter . never feel unsafe 5 day find local hospitable , friendly helpful . Hilton , clean , modern good atmosphere . check corner room 42nd Floor overlook Ground Zero ( onwards Financial District Liberty Island ) one side Brooklyn Bridge . beautiful see illuminate bridge night full moon shine . truth , concerned whether direct view Ground Zero would ideal family holiday sad reminder terrible September day 2001 . however , find plus . New Yorkers open happen 9/11 inspiring ability see , close quarter , new phoenix arise ashe . staff hotel excellent although not use facility much . comfortable bar near lobby great atmosphere enjoy extensive buffet breakfast every morning . also indoor pool okay exceptional . room fit well large plasma TV daughter thoroughly enjoy . certainly return soon New York Millennium Hilton . 
 Aug 24 2007 	 Excelllent Downtown Hotel 	 stay directly across street World Trade Center site bit sober ( noisy certain time day since Site active construction zone ) hotel 's service amenity make pleasurable stay . get anywhere NYC via subway location mid - town 10 minute subway ride away . Taxi 's plentifull give 's downtown location . good dining Tribeca , Soho , Village 15 - 30 minute walk away 5 minute taxi subway . Battery Park Ferries Statue Liberty Ellis Island 10 minute walk . 
 Aug 18 2007 	 fantastic hotel excellent location 	 : Thurs Aug 9 – Mon Aug 13price : Priceline $ 150 / not ( $ 178 / not taxis ) . rack rate $ 202+taxthe Hotel : fully renovate 2001 . hotel new looking , clean staff excellent . bed pillow comfortable ever sleep . room 42 " plasma tv see HD tv channel ' really take advantage . small bar fridge ' use full item move anything electronic sensor bill . ice container would fill keep leftover cheesecake good next day . elevator crazy fast , 50th floor never wait long 20 second elevator full trip 30 second . pool fitness room quite reasonable . check time 3 pm quite rush time . arrive 11 am simply drop luggage pre - reserved room ( ask one side away Church St. lovely view Brooklyn st bridge avoid near 24 hr construction WTC site . parking super expensive hotel drop luggage park parking lot FDR drive Brooklyn Bridge ( take Frankfort St toward South St ) ' miss . $ 21 / day taxis include parking fully insure monitored car lot . location / activity : hotel Church street SOHO Financial district right across big hole ground world trade center . Metro entrance 2 min walk hotel another 5 - 6 min underground get line . ~15 - 20 min metro Times Square great area . 10 min walk Staten Island ferry fast cheap ( free ) take boat past statue Liberty . financial district much quieter night midtown wife never feel unsafe walk street hotel midnight broadway show . cheap way eat area . favorite nearby 24hr buffet ( $ 5.74 / lb food ) Fulton St William St. also nice bistro grocery store Liberty St William St. bring cereal bowl simply buy liter milk pharmacy Fulton east Broadway morning way TKTS booth super cheap breakfast . TKTS booth corner John St Front St 10 min walk hotel . TKTS booth open 11 am evening next day matinee show . aware ticket pretty much $ 60 Broadway show ( really discount expensive seat ) tend popular show ( Hairspray , Rent , legally Blond , Mary Poppins , ect . ) . also note really Broadway show Sunday night . however see Chorus line , Curtains , Phantom Opera Drowsy Chaperone . TKTS booth Times square sell day matinee evening show tend well selection long line . also open later ( 2 pm ) wreck day . food broadway show cheaply Eighth ave 44th – 45 th st ( Subway , burger pizza joint , ect ) highly recommend " junior " 45th St west Broadway . $ 10 sandwich burger good cheesecake world ( $ 6.50 ) – recommend devil foodcake chocolate mousse cheesecake . takeout counter want sit show early . over : excellent hotel . worth 4 star great location ' mind little hustle bustle Midtown . 
