affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Feb 7 2006 	 Decent bargain 	 fiance stay hotel week August 2005 . be one least expensive downtown hotel , budget , go it . the lobby beautiful , nightly wine taste nice touch staff helpful . be look nice room , might want spend little look elsewhere . our room * tiny * . nice job aesthetic -- bed wall colorfully decorate furniture nice , bed not comfortable . get couple standard pillow ( one per person ) two small round pillow decorative functional ( totally useless sleeping ) . time call front desk ask couple pillow , say not any . it little hard sleep , city noise ( can not hear ) , pipe make lot noise . seem like anytime someone room we use sink toilet , pipe wall ping loudly . I not think would stay hotel . be budget , next time might try Club Quarters . 
 Jan 19 2006 	 Luxury affordable ! 	 experience Allegro overall excellent ! sister marry stay . treat like king queen staff . anything need accomodate . hotel immaculate , tasteful fun ! warm invite matter . 2 great bar restaraunt . GREAT place special event . regular room bit small , nice . suit beautiful ! highly reccomended ! ask Carlo planning event ! ! 
 Jan 11 2006 	 one favorite hotel Chicago 	 Hotel Allegro one 3 Klimpton boutique hotel Chicago cheap 3 . location wise northwest corner loop diagonally opposite Thompson Center . make convenient get O'Hare Airport ( Clark / Lake blue line ) . also walkable distance State Street ( department store ) walkable Michigan Ave ( would catch cab walk red line State Street ( block 2 away ) ) . food restaurant fantastic diner opposite serve great , cheap breakfast . hotel also wonderful . decor art deco . like Klimpton hotel , free wine hour 5 - 6 weekday . staff also super friendly helpful really make feel home . 3 Klimpton hotel , Monaco nice ( expensive ) close Michigan Ave ( block away public transport ) . Burhnam close State St great restaurant area around get bit & quot ; rough & quot ; night ( lot homeless people hang around State St night shop close ) . however walkable distance Grant Park . 
 Jan 6 2006 	 good boutique style conveinence price 	 spend day Xmas 2005 . good location decent room . use transient hotel sort get gut rehab treatment . stay standard room $ 99 rate enjoy get . clean room , comfortable bed warm environment . yeah , be necessarily grandiose space , enough get since usually not want spend day locked hotel , right ? be free wine reception every day 5 - 6 lobby nice next fireplace all . what be nice location proximity restaurant , theatre , shop even rental car . rent car Hertz OHare spend time family Indiana . come back day city , drop car Hertz city location literally around corner . overall , good boutique style convenience resonable price . 
 Jan 4 2006 	 Loved Place ! 	 fantastic kitch swanky boutique hotel . staff excellent close everything good Chicago . 
 Dec 29 2005 	 Lobbyservice special ; room barely average 	 wonderful staff ; beautiful lobby good restaurant . room smallish , like NYC hotel . room update - free wireless internet . could tell modernize tight budget . Hallways nicebut not sleep hall ! big complaint- loud toilet flush noises world . know someone upstairs use toilet - believe . bathroom bice toiletry reasonable size . location good theater - next door Cadillac theater . reasonable value - Klimpton hotel , like Burnham much well . pay $ 179 pre - xmas Sat nite stay 
 Dec 22 2005 	 Loved ! ! 	 think Allegro great , gorgeous hotel ' wow ' factor . room small everything need gorgeous big bed friend . ideal location , 10 min walk Michigan Ave , close theatre great . hotel staff friendly helpful , plus get free wine evening 5 6 ( would recommend get early seat busy great atmosphere ! ) overall do not complaint love every minute Chicago hotel would recommend anyone ! 
 Dec 5 2005 	 great stay 	 hotel okay . nothing spectacular . wall thin , noisy . train run right beside hotel - loud . 's old hotel . many plug in . Windows seal shut . small room . , clean & amp ; serve 's purpose . fairly long walk Michigan Ave . noise big issue far ' m concerned . 
 Nov 28 2005 	 Tons Character 	 good thing hotel service . staff welcome , friendly courteous . moment walk door make feel home . room small well equip decor cool . sorry time enjoy hotel . highly recommend place ! 
 Nov 27 2005 	 nice Quaint clean ... smallish room bed comfortable 	 ( brother , sister - in - law , husband ) recently spend night Allegro Hotel Chicago . go John Williams concert CSO , get good deal hotel online . match deal contact directly , offer late checkout reserve directly . room small two double bed . one tight one wall , tight heater / air conditioning vent . adequate outlet , plenty towel , lack space put personal item vintage bathroom . , clean , quaint art deco would stay , preferably two room , one large bed center room vs wall . 
 Nov 24 2005 	 good hotel south loop 	 stay hotel twice October - first husband conference hotel . queen - bed room husband pleasant average size . old hotel nicely update , staff helpful . located theatre district near El state building , convenient . second stay conference , large king - bed handicap accessible room . meet room conveniently one floor , vary size quite good . main banquet room lobby good general session meal . food good , free wine hour newpaper weekday nice extra . the hotel good value Chicago . would stay . 
 Nov 20 2005 	 helpful staff 	 impressed staff Hotel Allegro . six - year - old son become sick go sleep make big mess bed . call front desk ask clean sheet , plan change bed . instead , 10 minute later two member housekeeping staff door ( 10 p.m. ) . came clean son 's bed clean bathroom sleep area . also leave extra clean towel . gracious quick help , able get kid back bed 10:30 . go way help grateful . way , room nice much large expect . bed comfortable . bathroom tiny downside find . 
 Nov 10 2005 	 Fabulous Pet Owners 	 perfect place stay Chicago pet . 's smack middle downtown , surround great restaurant , shop attraction ... within walking distance . hotel 's decor nice room tastefully do art deco ; however somewhat small . staff welcome pet go way make feel home . add bonus wine taste hour take place every evening 5 6 p.m. my complaint place designate dog use bathroom . drive Grant park every morning evening dog could take care need . 
 Nov 9 2005 	 would recommend 	 reading review , bit tentative Hotel Allegro experience might be . here be rolled:14th floor non - smoking floor . room small , manageable . bed comfortable heavy shade allow we sleep past sunrise . light poor . toilet flushed loudly- overlook use Aveda bathroom product everyday . although non - smoking room / floor last night , smell smoke strong woke . not call complain , find quite disturbing glad leave next day . concierge extremely helpful . ask assistance several time request handle promptly efficiently . check - in / check - out without issue . restaurant nice . although limit menu , pleased selection . apple pie sorbet unexpected highlight meal . overall , would recommend . 
 Nov 9 2005 		 let us start big plus : location . heart loop , close El . character , overall , be plain date . small room , tiny welcoming bathroom . service friendly , though , wine hour nice touch . would appreciate big tv . 
 Nov 2 2005 	 expect average 	 allegro average place stay , adjectif apply every point interest travel : location wise , hotel theatre district , make quite comfortable go back show close shopping museum area , many people 's main attraction stay Chicago . room comfortable quite agreable inhabit , lack little touch could make real interesting . view window , not visit whole building . restaurant experience good diner , much expensive delicious breakfast . room price & quot ; reasonable & quot ; large city hotel , even though Travel Agency make large benefit have appreciate sharing ... 
 Oct 10 2005 	 great Stay ! 	 enjoy great long weekend stay Allegro . Chicago marathon please find large , quiet room comfortable bed . concern small bathroom , easy tall people use . hotel staff friendly polite willing answer question offer suggestion . hotel ideal location help make stay Chicago pleasant one . 
