worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 may 27 2007 	 average $ 	 anything , positive negative stay . start positive : - comfortable bed , lot pillows- closely adjacent Union Square Muni / BART / Cable car lines- nearby multiple excellent restaurant ( highly recommend New Delhi , Siam Thai , Westfield Mall food court - never spend $ 30 two food court lunch , well worth ) - really nice toiletries- comfortable meeting space third floor , make pleasant conference- ground level , convenient enterprise car rental - hold renting car three day conference easily pick one last day escape citythe negative : - really tired decor room bath - bathroom wall paper peel weird stain next toilet , one expect see high - end hotel- dinky , dinky room minimal space two adult stretch - & quot ; deluxe & quot ; room upgrade- $ 40 day park - although street find $ 15 day lot- lack mentally ill and/or intoxicate homeless people frequent panhandle behavior ( although one occasion see interpersonal violence folk - corner right next hotel ) - within 2 - 3 block - be tenderloin , careful see sightsand neutral : - dirty fingerprint bathroom door get , call area clean came clean . overall , 's relative . think $ 200 night lot money hotel room , be apparently low end go rate area , accord friend live San Fran . 
 May 15 2007 	 worth money 	 stay Nikko hotel San Francisco May 2007 . horrible . room small . coffee maker old coffee pack leave previous customer . disgusting ! ! ! coffee pot also dirty . addition , make 7 minute phone call San Francisco LA charge 47.06 dollar ! ! ! ! ! ! regret much stay hotel . 
 Apr 19 2007 	 great place conveniently locate 	 visit San Francisco dozen time last year ( sister live city ) , keep watch hotel may acceptable next visit . dine Anzu Hotel Nikko notice impressive decor cleanliness figure price match usual go - to accomidation 3 star Fisherman 's Wharf . discover Easter weekend visit sister , minor price checking . find Hotel Nikko competitive usual hotel , cheap deluxe . especially close proximity BART & quot ; & quot ; hotel Wharf . the room touch small bed wonderfully comfortable nice sheet lot pillow . giagantic big screen tv great love shower detachable head ... way important nifty upgrade . the complaint frige room item may wish cool hyper sensitive ( read review ) choose leave . overall , happy stay stay , especially arrive via BART . 
 Apr 6 2007 	 well - than - average business - class hotel 	 stand , reviewer note , comfort room . huge bed , high - quality bedding , large flat - screen tv welcome . staff friendly knowledgeable . conference , would happily stay money . only niggle : can not open window large american hotel ? infuriate ( Nikko certainly not alone ) . Aircon not necessary San Francisco winter , yet seal window . room uninspire view , guess standard downtown . 
 Mar 13 2007 	 comfortable bed ' ve sleep 	 family stay San Francisco 4 night enjoy much . Nikko Hotel one nice hotel ever stay . 4 we ( 2 couple ) share room two massive bed one massive bathroom walk - in shower . would go back San Francisco stay Hotel . 
 Mar 7 2007 	 come Hotel 	 defiantly come back hotel . first time San Francisco could not pick well hotel stay . check get grade high floor room type book internet disappoint . open door long hall walk reach rest room . good view city room clean , two queen size bed bathroom big room bed . massive shower massive bath sink . swimming pool massive not shop sight see relax pool . the hotel situate middle San Francisco shop walk distance tram station bottom hill place like Alcatraz small tram ride away . if look brilliant hotel stay San Francisco stay . 
 Mar 5 2007 	 Great Location Unique Features Competitive Rates 	 Nikko Hotel sport great location block underground metro quick arrival departure airport . around corner Union Square , far enough away comparatively quieter . literally skip away sort good restaurant ( try Santorini be across street excellent , reasonably price Mediterranean food friendly service ) , bar ( bloody mary draught beer starter Foley 's Irish Pub ) shopping area . close Tenderloin , contrary other write , cause concerned homeless people suspicious type . the front desk people , maid , concierge friendly . lobby huge full marble tranquil sound run water . the room vary floor floor , depend category location . always book deluxe category . never disappointed . like particularly floor - to - ceiling window . room great CD sound system build ( somewhat dated ) furniture complimentary cd 's , new furniture , coffee maker wet bar ( beware move anything wetbar / fridge trigger automatic electronic debit ) . bedding , bed pillow comfortable . bathroom , humongous , could definitely use upgrade . , fact , spring update room special linen , fluffy robe , breakfast funky entertaining television build bathroom mirror , overall find decor date extra money well spend . one Nikko 's unique attribute indoor pool jacuzzi fifth floor ( specially people kid ; beware people seek solace ) attach enclose walkway modest gym , turn connected man 's woman 's locker facility sauna . never charge use facility , would take aback charge . the room rate Nikko traditionally varied season season room room , promotion offer occasionally , pay keep one 's eye good rate . give chance book deluxe room near rate $ 149 , would hesitate stay recommend Nikko . 
 Mar 2 2007 	 comfortable bit pricey 	 hotel locate conveniently access town San Francisco - couple block Union Square . unfortunately quite homeless occupy street around hotel begging become annoying . I stay 1 night . general access area hotel ( lobby , bar etc ) really plush . room stay fairly small comfortable , good flat panel tv . could not believe charge extra internet access ! not try restaurant . 
 Feb 20 2007 	 ultra - sleek hotel San Francisco 's Union Square 	 pro : -great location - right middle Union Square -ultra - sleek , hip decor ; lot marble , water feature , japanese decor , orchid , stone , glass , etc . -upscale bar friendly bartender , japanese beer sake -tastefully - decorate room , glass - wall marble shower , plenty counter space , wall - mount blow - dryer , etc . -On - site valet parking available -knowledgeable friendly concierge - great suggestion lunch , dinner , entertainment , etc . con : -NOT cheap ! -depende room , small price -lot bum Union Square ; never - end panhandling 
 Feb 6 2007 	 Clean Modern Hotel Great location 	 stay business three day ( Tues - Fri ) Nikko Floor room $ 178 / night 21st floor . give breakfast voucher ( never time use ) free internet access . rate special 15 % 3 day stay . work Oakland want find hotel city , close Bart could get work quickly , lively evening area . location : hotel locate great spot . two block walk Powell Bart station , five minute walk . take 20 minute ( 4 stop ) Bart reach Oakland 12th Street Bart Station / City Centre . hotel Bart pass typical store find mall . Urban Outfitters , Aldo shoe , Sephora , Forever 21 , etc etc . powell station also entrance mall Nordstrom Bloomingdales reside among upscale store . be look shop , place . store close around 9 pm people walk around late . scatter around restaurant late night pub . three four block away Union Square even shop restaurant . Hotel Room : check rather early 8 am . king room request ready give room two full bed say room would large King room . upon enter , small hallway end mirror slide closet . bear leave short hallway , find large bathroom leave , vanity mirror end bedroom right . bathroom huge yet bit outdated . much bathroom bad , certainly not match scale rest room . tile like high school gym tile . tub shower separate walk shower pretty large glass incase . bathroom little travel pack toiletry first evening . pack away never replenish . the vanity mirror cool addition . pull stool three way mirror . great girl makeup . the room modern despite early review , carpet look new . keep mind high level room probably renovate regular room . bed extremely comfortable . turndown service every evening Nikko chocolate place bed small fortune card . flat screen tv ( think 42 inch ) pivot stand could turn watch bathroom morning . hd reception not really care since barely watch tv . also date 5 disc cd changer receiver room pump music solo speaker wall speaker system . not sound great well clock radio least . room directly across elevator never hear noise . might two hallway pass room get bedroom . arrive clean room side elevator room not hallway , open room like typical hotel room . noticed room King bed . view city building not know overlook bay . lobby : lobby appear modern , bright , clean . personally like modern look opposse lacy floral decor taste . waterfall run along stair lead Starbucks connected Nikko lobby . as female , never accost bum around hotel other mention . obvious though go one direction lead busy street fill people , towards BART , direction lead dark desolate street . overall : would definitely stay rate good receive . recommendation : stay Hilton Financial near Chinatown . great modern , clean update hotel great view Coit Tower decent walk BART . 
