love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Oct 8 2004 	 Disappointing hugely overhype 	 think twice book hotel ( , least , arrive expect much ... ) expect queue check check , not expect smile welcome greeting . reception desk staff rate cold , dour hotel staff meet ( man , people realise work service industry ? ) .I book Deluxe King room 15th floor . room large standard room , still feel * * small . air conditioning unit noisy . tv poor reception . room dark . view unimpressive ( sure room available well view ) . mini - bar stuff past expiration date ( much like hotel ) . bathroom clean , basic . bath product cute suitably high quality . the concierge staff generally helpful , offer good advice . not get warm fuzzy feeling talk , however . the location good - intend spend time around Soho . , find spending quite bit money cab since see show , visit museum , shop eat restaurant not area . ( subway close hotel - save money catch subway ) .I would * * reluctant stay hotel , look fwd stay somewhere else next time ' m NYC . 
 Sep 24 2004 	 Stylized Getaway SoHo Grand 	 stay SoHo Grand Hotel New York attend IFP Market . decor use lot metalic hue - copper , nickel - take couple minute realize distressed look intentional . notice velvet curtain feature counter industrial feel create warm ambiance . I book room Turon Travel , locate Wooster Street , ' m glad ! check , realize accomodation give agree reservation . say desk clerk , Jeanine , go way try fix problem , intervention Turon make difference . Turon Travel correct problem immediately . correction put high priced room , Turon make difference . believe problem occur SoHo Grand side . kudo Turon . the room comfortable , bed comfortable . maid service excellent . high ceiling window make room feel large . Bliss lotion soap fabulous . great towel . nice conierge staff . I feel safe comfortable hotel . 's great neighborhood wonderful lounge , travel alone , sip tea , drink , eat meal relaxed environment . 
 Sep 8 2004 	 could great - fix problem . 	 stylish look - great location . dirty room - especially bathroom . fix housekeeping standard one two people replace front desk - hotel would ideal . 
 Sep 6 2004 	 stylish 	 stay 10/2003 hotel day . the whole place stylish . stay Grand King room ( ask room high level ) nice view . there nothing complain hotel . like hotel . 
 Sep 1 2004 	 unfortunate experience 	 come NY work trip look forward spending week Soho Grand . say offer Bliss bath product ( love ) , find mismatch brand . first disappointment . , first morning hot water . call twice guest service , answer either time . concierge nice apologetic tell someone would check . wait 20 minute , late work take freeze cold shower . go downstairs let know front desk water , said check fix . apology anything . next morning , wake late alarm clock not work . try turn tv see weather , found not work either . not really matter , b / c sound fix low can not really hear well air conditioner anyway . end , check early go Tribeca Grand ( 60 Thompson sell ) , ' ve much well luck past . 
 Aug 12 2004 	 Hip bar perfect location 	 first stay November 1999 spend weekend hang hip bar drinking meeting lot Americans . go back June 2003 staff brilliant 30th organise champagne NYC cheesecake deliver room morning birthday . bar still one good place hang SoHo although many choose from . I SATC package stay weekend deal include breakfast late checkout Monday perfect catch last flight back UK . 
 Aug 1 2004 	 ` ` Nickel '' Brit 	 last week spend 4 night Soho Grand . NYC business downtown - location superb . walk work 15 minute - fantastic ! room imagine pretty much standard great . ' m sure brit low expectation term real estate folk US guy travel alone business great . term furniture , bathroom , av kit etc great ! know bathroom stuff lately ( wife refurbish home ) top quality stuff . benchmark stay Venetian Las Vegas couple year back - small , less & quot ; luxurious & quot ; , much expensive .... tasteful , much friendly staff bonus day get part genuinely seem part NY scene . couple negative - sink not drain properly -not problem bit embarrassing leave shaving cream basin maid clean ! first morning getting charge 20 % service ( fine ! ) breakfast another 20 % & quot ; TIP & quot ; ( fine ! ) - breakfast incidentally always go & quot ; NY Grand Breakfast & quot ; $ 20 - include Coffee , Juice , Eggs , Bacon / Sausage / Ham , potato toast - order coffee , toast , juice etc separately one menu item will end cost $ 30.Finally Virgin screw Limo pick - up hour late . even though already check morning guy door offer get JFK free hotel 's limo job ! end Virgin come SUPERB service 
 Jul 22 2004 	 worth money 	 great location cool look lobby bar . Thet 's glamour stop . room overprice tiny - even NYC standard . nothing luxurious room . King Bed short ( otherwise probably would not fit small room ) . King Corner room $ 370 night ( taxis ) make price comparable luxury hotel city - room can not compare like Westin , W Ritz Carlton hotel . bathroom outdate tiny . bad A / C unit build wall ( Holiday Inn style ) warm summer night run night . 
 Jul 21 2004 	 Soho Gem 	 Hip City Boutique hotel . live Westchester County come weekend city . Great Soho location near boutique restaurant . modern clean line room ammenitie . join Grand Club get special ratesour favorite NYC hotel 
 Jun 4 2004 	 Location Location . . . 	 many conflict review hotel , think would try give reliable clinical assessment . first , unless be go shell significant amount additional cash stay Mercer , Soho Grand option downtown ( skip snooty , expensive noisey 60 Thompson cost ) . true , Grand 's room bathroom spectacular . good , average small . trip room safe hairdryer not work . counter space bathroom room light insufficient serious reader . say , staff exceedingly nice helpful , every mistake ( like room service order ) correct promptly smile . expensive get ? depend value place Soho oppose Times Square . New York experience stay downtown significantly different mid - town destination . go back ? absolutely , end , overall experience worth . 
 may 6 2004 	 Fantastic 	 disagree strongly majority review SoHo Grand . stay nothing short excellent . staff pleasant , great room , excellent service restaurant lounge , lovely experience start finish . ' ve stay 60 Thompson really good , we actually preffere SoHo Grand - especially lounge area great relax hard day shopping city . Mercer , be great , staff really rude think be far good looking actually give good service ! Soho Grand not pretention . 
 Apr 29 2004 	 hip look people dumb 	 ' ve book 3 night Soho Grand Hotel . already leave 1 night move another hotel . stuff reception hip look dumb , take time explain guy not want appear minibar charge invoice - business trip . I receive credit card invoice , include charge hotel , absolutley unreproducible . clear matter trip , take hour . I ' ve book Standard Room - really pretty small like shoe box . space keep luggage . carpet room dirty one could see old . the bathroom small - really pleasure take shower . would not recommend Hotel business traveler . wan na lunch cool cosmopolitan - place ok . 
 Apr 6 2004 	 View 	 trip , view . always love NY never stay anywhere city compare SoHo Grand . staff polite friendly , room 15th floor overlook whole Manhattan skyline , fall asleep woke view Empire State Chrysler Buildings , cd collection great , complimentary goldfish ( Geronimo ) gurgle happily corner room bar trendy . SoHo / Greenwich Village area NY definitely cool place tranquil busy day tour City . would recommend hotel anyone not put comment elsewhere unfriendly staff noise , be friendly , be friendly ! ! ! 
 Apr 6 2004 	 awful unless miss NYU single dorm room w/ small bath 	 hugely dissapointe except guy door hail cab get there . maybe like pint - sized room , bash radiator cover , poor ventliation , toilet seat will not stay & quot ; man 's position & quot ; kiddie sized porcelan potty sink . also surplus room electronic back & quot ; Uncle Steve 's & quot ; around corner lovely Canal St. , full garbage corner $ 5 counterfeit & quot ; walk Tall & quot ; & quot ; Dawn Dead & quot ; DVD 's . furntiture look 10 year worn ikea . , early next morning . like stuff self - consciiously & quot ; hip ? & quot ; environment complete w ' & quot ; Sex City & quot ; weekend package , place . if least doormen really good get subway line close . P.S . offer nothing call desk tell iwas except ask would fill comment card . tell , hop six letter word start end three letter word start end ! still not get ! , & quot ; new hip & quot ; big room big bathroom , many body stuff 180sq . ft . room , like stuff , cone ahead . otherwise , hang Balthuzar 's , Da Silvano W bar find well place stay . Jim Zisson , Palm Beach . Fl . 33480 
