small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Dec 23 2008 	 theater trip hotel 	 book super special deal , $ 129 / night , price right -- get pay ! room 2 double bed quite small desk table . could hear neighbor talk . italian , make intrusion charming otherwise . room old , perfunctory clean . bathroom small , clean . view cheap NYC apartment , Central Park hotel . club floor amenity really great . one good , fresh , large selection continental breakfast ' ve ever see modern , pleasant dining room computer , newspaper television guest . also nice access drink snack midnight . hotel smack middle neon theatre district , lot , convenient well locate we . hotel security good internet pretty good , great . price , would come back theatre base vacation . 
 Dec 22 2008 	 dubious ..... 	 book trip 12 month ago see conflict review hotel , really wish stay Milford Plaza . first impression great yes , go renovation still .. book two room - one husband twin two boy . arrive not even room allocate - see remain . surely book far advance room allocate . separate one level boy room ok - bit small not seem mind . room different story . awful right generator back 5th floor . manage one sleepless night ask another room get one 25th floor . lot roomy whole lot well first one . overall , adequate . room keep clean although shower head could look at . location good thing hotel sorry say . trip plan time ago really wish stay different hotel also pay nearly £ 1,000 per room - certainly worth kind money . 
 Dec 20 2008 	 need revamp 	 hotel perfect location New York sight seeing theatre , short walk attraction . however , hotel need revamp . room small comfortable clean sheet towel daily . security second none . the shower room like Firemans hose wich go unrepaire spite complaint . there bar restaurant indeed anywhere even get coffee mid day . very little seating lobby check noon like we long wait airport pick , would nice able relax somewhere . if revamp take place hotel great place stay . recommend drink , Charlie Os bar across street Juniors restaurant round corner breakfast & amp ; meal . 
 Dec 13 2008 	 Flea pit 	 daughter stay 5 horrible night . first night bite arm . compaline another hotel guest come desk exactly problem . move we another room different floor night daughter bite . also bathroom never get clean bit dubious sheet ! although location great inconvenience dirt bite take away greatness location . decide stay hotel avoid 11th 17th 22nd floor ! ! 
 Dec 8 2008 	 Excellent Hotel see everything New York 	 location good thing Milford plaza - 2 min Times Square lot pub / restaurant immediate vicinity . Club Room worth extra cash not big breakfast eater - pastry , fruit yogurt juice , coffee 's etc . room standard size Manhattan . bathroom small - radiator extremely hot steam come . room service clean sheet towel every day . staff hotel extremely friendly helpful . review would read place like Trip Advisor , expect dump . hotel middle renovate would one complaint -there 's bar hotel yet ! security fantastic hotel - 24 hour security guard elevator can not access without key card . overall good stay would complaint Milford Plaza . 
 Dec 7 2008 	 Great Location Lousy Hotel 	 location hotel great room , small dirty need update . bathroom crack sink , black mould bathtub tile , hair bathtub , hole wall bed . would recommend pay little staying elsewere . friend cockroach crawl across sleep ! ! 
 Dec 4 2008 	 great location ! 	 hotel great location not expect luxury . first room allocate dark tiny , complain move slightly big room . bed comfy room clean need renovation . bathroom okay also need attention . reception staff friendly concierge security staff helpful quite friendly . would stay doubt . also compare rate offer hotel direct travel agent feel pay odd £ 1000 per room five night ! ! maybe NYC rate ' m sure . finally not use room phone unless phone bill $ 60 2 call UK total 2.5min . 
 Dec 1 2008 	 Thanksgiving 	 stay Milford Plaza 5 night staff helpful , room clean , bed comfy locate Time Square need stay New York ( plus rain last day ! ) 
 Nov 29 2008 	 pleased Milford Plaza 	 stay Milford Plaza November 13 - 16 . location perfect want close Times Square theater district without pay $ 300- $ 500 range , many hotel area cost . number restaurant within one block walk inexpensive good food , Celtic Pub , Tuscany Grill , John 's Pizza , Smith 's Restaurant . the hotel feel secure , show room key hotel staffer get elevator . elevator plentiful never require long wait . request quiet room away street noise front desk staff willing comply . room indeed quiet bed comfortable . room small clean . bathroom fine , except cold water faucet put noise like fog horn handle turn . real drawback lobby snack area limit choice ( mostly cold food snack ) public access computer check e - mail unless book Milford Club , access business center breakfast room . problem , 1 queen bed Milford Club room need 2 separate bed . over - all though , can not beat price great location , comfortable sleep feel safety , would definitely recommend Milford Plaza . 
 Nov 28 2008 	 not expect luxury 	 anyone want luxury break hotel . Milford Plaza , good , 2 * establishment small room desperately need update . we give tiny room nowhere hang clothe first check . tell reception room suitable request complimentary upgrade . first tell would pay extra $ 30 per night refuse standing ground , eventually give large room free charge . room clean beds comfortable 's say . as week go soon find lot staff quite rude ( especially concierge desk ) apart one two individual . also , Garveys Irish Pub ( advertised web - site ) non - existant hotel 's coffee shop close 2 afternoon . anyway , be enough negative ... one thing Milford 's favour location . 10 10 , right top everything . Times Square literally around corner hop , skip jump sight . one tip : go side entrance building , turn right keep go 100 yard get Juniors ... great place breakfast . great surrounding , friendly staff , huge portion ! usual tourist site besides . take subway Ground Zero ( cost 2 dollar one way ) . site re - developed visit Tribute Centre St Peter 's Church open rescuer 9/11 . small display inside church whole thing quite emotional . whilst ' down end ' Manhatten go Wall St , Pier 6 grab sightseeing Helicopter ride , go thru ' Battery Park catch ferry Liberty Ellis Island . well worth . try grab show New York . pre - booked ' the Lion King ' get seat 2nd row front . show fantastic . New York ' in - your - face , large - than - life ' destination everything see movie . 's place experience lifetime . whole , people friendly surprisingly easy get around foot . go enjoy ! 
 Nov 24 2008 	 great location clean compact 	 return long weekend celebrate partner 50th birthday . hotel scaffold outside first floor although far could see building work take place . room en - suite plenty big enough 2 especially inform New York hotel tiny anyway old building . room clean daily bed make . bed queen size really comfortable room quiet even though situate next lift ... location superb everything close hand . really could not fault would definately go back . 
 Nov 23 2008 	 good value price 	 hotel well locate price right . although room small , spend much time except sleep . find comfortable adequate need . free continental breakfast free internet big plus . would stay . 
 Nov 22 2008 	 Milford great 	 stay 4 night Milford Plaza one Milford Club room . mean access lounge breakfast availiable , free internet usage . hotel renovate room old roomy clean . great view room 8th Ave ( corner ) . ny standard good value money , would recommend pay extra Milford Club . location terrific , couple block Time Square . would highly recommend . 
 Nov 22 2008 	 Fantastic Location 	 spend 4 night 5 day Milford Plaza New York - first time New York disappoint either hotel City . RoomI little sceptical start read many bad review Milford Plaza need - arrival greet helpful recpetion staff , even ask floor want , request 20th floor wth view , two double bed ( 3 girlfriend ) , disappointed . yes , room not massive plenty big enough three we , bag shop etc . view brill room clean tidy . day maid came clean make bed etc ... Location say .... location fantstic - close theatre district , time square , empire state , grand central bus tour .... day settle realise close everything easy get place - blow away ... New York busy , lot go true do not think city ever sleep . plenty restuarant , bar delis near hotel - carve great breakfast . one place would avoid though Roxys Times Square good meal , price food greasy stale ugggh .... careful electronic shop along street , get dupe buying think IPOD turn MP4 player , hotel really good give we advice right go try get money back , thank ! manage exchange right good may brave enough try hotel reception staff helpful . security hotel great - staff hand ensure unathorised entry lift , need show room key time pass ... end stay leave bag baggage hold room $ 3 bag arrange collect want , great night flight do not want carry luggage around city .... doorman even arrange cab , do not forget tip ... one thing find strange take little get use price thing , price show tax top , get till pay add 8 % onto price ... always add surcharge restaurant tip , although do not pay do not want to . must visit usual sight , Emprie , Rockerfella Centre , Central Park , bus tour also great show where / what place , sign tell anything , guide book , also visit Grand Central Station Craft / Christmas Fayre really fantastic shop , hand make jewellery etc well worth visit Christmas ... would definatley recommend stay - yes hotel place could lick paint , go New York stay room , location die staff friendly - good day would definatley stay . 
