excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Sep 1 2004 	 disappointing 	 sister stay Sheraton , disappoint . room update , probably recently , beautiful . great view , bed comfy . picky sleep , everything excellent area ! think location good , walk everywhere , feel safe even late night . would recommend hotel would stay . 
 Aug 23 2004 	 room worth four star rating ... 	 sheraton boast four star rating , room stay well cheap motel . besides small size , fact tv remote one wall 's drywall partially cave , reason stay room without demand new one 5 we stay fortunately get online deal much much less normal & quot ; go rate & quot ; ( plus plan spend minimal amount time actually room ) . lobby nice location beautiful view river lake .. be plan pay price four star hotel expect quality room , definitely go across river swisotel . 
 Aug 22 2004 	 wonderful weekend ! 	 stay Sheraton Chicago tower four night holiday weekend attend wedding . staff , location , service decor impeccable . friend family stay different hotel , visit couple other ... guest visit we Sheraton . absolutely comparison ! staff attentive friendly , make we feel much home . gorgeous view river , proximity Navy Pier comfortable room really make super weekend . I will look excuse visit Chicago ! 
 Aug 19 2004 	 average good 	 Stayed Sheraton Towers long weekend wife three child . location great , Lobby main floor amenity impressive get room . I ' ve stay roadside , mid - range motel well room . dingy , stark , small par hotel class . ' m sure reviewer accustomed accomodation look thing site , hotel bad history date back quite . still great time Chicago MANY hotel downtown Chicago deliver whole package . Sheraton . 
 Aug 12 2004 	 Sheraton Great ! 	 book Sheraton Hotwire short notice . wish could stayed long . room beautiful , bed comfortable never want leave , location wonderful , river lake view . Sheraton would first choice - always . 
 Aug 10 2004 	 Great Time 	 wife son spend long weekend Chicago Sheraton Hotel Towers . trip read review suggest hotel problem , report see nothing would keep come back future . staff courteous efficient , room clean ( entire facility ) . thoroughly enjoy stay . 
 Aug 9 2004 	 Great Hotel ! 	 fiancé stay quick weekend . absolutely love hotel . bad review read must come people like complain everything nothing could make happy . get room 31st floor wonderful view lake city . room big , clean bed comfortable . hotel GREAT location , walk distance Navy Pier block away Michigan Avenue . food Shula 's restaurant ( hotel ) ABSOLUTELY WONDERFUL ! ! yes , pricey , worth every penny . staff nice attentive . overall , wonderful stay go back . not hesitate ! 
 Aug 5 2004 	 Excellent stay 	 Sheraton Hotel Chicago perfect . give poor review hotel , say want 5 star hotel 4 star price , good luck . begin front door , valet service plentiful , polite , ( hard come large city ) completely accommodate we , want park car . price parking $ 24 24 hour , seem average entire city . lobby Sheraton Chicago , will see large , romantically light dome lounge chair . modern - look waterfall fountain dot escalator area , will walk order arrive elevator . upon enter suite , will find simple room , basic tv armoire , bed choice , case , outstanding view . could see John Hancock building poke top skyline Lake Michigan glory East . bathroom , , basic , pretty , deep maroon wallpaper white marble sink countertop . night scenery amazing , happy able get great nighttime picture new camera . Sheraton place frequent trip Windy City . well do , Sheraton . 
 Aug 3 2004 	 Sheraton Wonderful ! 	 stay Sheraton wonderful experience ! concerned reading review , great room view Navy Pier 19th floor . room comfortable staff excellent attitude . room , food / drink , parking bit pricey , guess 's part Chicago experince area . would stay . 
 Jul 30 2004 	 not ! 	 one bad experience ' ve long time ! check - in take nearly hour , ( 3 ) room bed request . parking situation separate set elevator horrendous take forever get car wait long line elevator . $ 8 charge use hotel 's fitness center . room so - so . bad rude , unhelpful , & quot ; get outta way & quot ; staff . ' m faithful Starwood customer , one cross list ! 
 Jul 14 2004 	 well thought 	 Read bad review website , little worried arrival . but turn much well think , clean room , nice view , great location , reasonable price : $ 119+tax+self parking $ 24.we stay 7/4 weekend , family like hotel , . 
 Jul 13 2004 	 average hotel superior service ! 	 make frequent trip Chicago , stay numerous hotel , four star well . rarely stay place twice , say price , would definitely stay Sheraton ! friend arrive early , time ENCOURAGED check early valet ( everywhere else ' ve , ' ve check bag & amp ; return check time ) . front desk service quite slow , incredibly polite , make lack speed . bag promptly send room , man bring bag extremely friendly helpful . whenever left room , staff member encounter throughout hotel make point stop greet we . never incredible service friendliness hotel ' ve stay , around world . room & quot ; okay & quot ; , nothing great , clean adequate . decor style ( however , informed change leave weekend ) . not food , can not judge . overall impressive stay , simply base level service staff commit ... well around ! ! ! 
 Jul 12 2004 	 stay often 	 stay hotel often business . room clean include ammenitie . property & quot ; sweet sleeper bed & quot ; EXTREMELY comforable ! location safe 2 minute walk & quot ; Magnificent Mile & quot ; Plenty shopping movie theatre directly across street provide rainy day fun plus ! wireless internet available free lobby room type high speed connection . 
 Jun 8 2004 	 Great Hotel 	 find hotel nice clean . location good . staff helpful . check - in breeze . view hotel great . would highly recommend stay . 
 Jun 8 2004 	 great room great location 	 get room Sheraton Priceline . read terrible review Trip Advisor worry . call hotel ask could pay extra upgrade room avoid problem . tell would wait arrive see available . worried ! arrive lobby beautiful . line check long , 10 minute . get counter treat well . ask want upgrade room decide . give corner room little small BEAUTIFUL . bed big comfortable soft comforter . would happy stay Sheraton . 
 Jun 6 2004 	 stay ! 	 wife stay Sheraton past weekend extremely disappointed ! hotel run , room dusty , old , bed plain awful ! check check service poor take long time . remdeme factor location , great . however , , would stay ever would recommend other follow advice . 
 Jun 1 2004 	 Bad experience 	 bad hotel experience ever . check tell hotel overbooke . half hour give room , warn might little odor carpet clean . get room odor pungent floor still wet . short time room call desk ask another room . tell none would relocate Westin . agree despite fact 1 morning . another 45 minute find we room Sheraton finally 2 A.M. room ( use rollout room king size bed ) . change room second time next day get two full size bed . see three room mediocre good . Holiday Inn less quality . Sheraton consider 4 star hotel ! fitness center small rip - off ten dollar parking expensive although somewhat expect downtown chicago . good thing say hotel staff pleasant despite difficult circumstance hotel good location block Navy Pier . recommendation go someplace else -- -do not get suck Sheraton name . would never stay . 
