MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Sep 16 2009 	 silly sad place 	 3rd time Vegas - 1st MGM Grand - Stayed Labor Day Weekend West WingThis place mad house . absolute drunk flop around hour day . lucky clothe . seriously . check - in miserable . line . mass people . mention everything reservation wrong . wrong room , wrong amount bed , wrong promotional code . try argue promotional code b / c owe $ 25 slot play , $ 35 food , 2 free drink @ pool . lady behind counter say , promotion book . prepared pull online reservation clearly state promotion come . suddenly lady speak English . thing not time argue . least give 2 free inner tube rental almost value slot play . sweet . never use thank MGM reparation . the majority male drunk one many protein shake steroid injection . want tell work probably include leg workout well , figure toothpick snap tremendous weight HGH - infuse upper body . rest post call Beef . the woman drunk - not get wrong cutie stumble around hotel , majority absolute trash chest hit chin . many 30 + woman think enormous plastic chest give right walk around hotel swim wear . thong . flabby butt , chunky thigh , cellulite galore . nearly throw table numerous time . pool area nice , infested beef man skank high heel w/ much makeup . take dip waterfall pool nobody not want ruin hair . water nice , crisp , refreshing ! go around lazy river Beef brother stand hour time drink give high - five . water feel 15 degree warm . lot less blue . begin speculate . add restroom pool area clean , unused . nice . good part hotel room . many people complain West Wing . think awesome . small yes , great use space . stand shower great . water pressure adjustable shower head chord wash hard reach place . tv mirror great idea . also bed one Heavenly bedset ' ve Westin hotel . amazing . good bed ' ve ever sleep in . go Trattoria restaurant . little pricey great . got table right next walkway pool casino area . eat right around time pool close drunk come back . true hilarity good enjoy people - watching . food court good look cheap quick eat . especially lose money table . dollar menu . I already see Ka previous trip . flat - out awesome . go see . ' ve see many Cirque show include overprice water one Bellagio . one favorite . cut lot time - waste lame clown comedy incredible action . stage mind - blowing . by way hotel BIG . Marco Polo trek like make , walk hotel ' ve ever see . hallway go mile . elevator service horrible . fourth floor try go suck gut fight squeeze overcrowded thing . probably need 3 time many elevator have . overall , nice bed cozy room save 1 star rating . will give 2 . would stay get insane deal . like fully compe pay . 
 Sep 15 2009 	 Great 	 stay 1 night , treat family holidaying . not disappoint , room fabulous , hotel expect . husband lose credit card staff could not helpful . be large hotel busy , take time help make we feel problem big we . congratulation . 
 Sep 15 2009 	 bad Las Vegas Trip ever 	 one bad hotel ever life ... send complimentary 3 night stay would tell keep .. badThe hotel huge loud annoying drunk runnne around everywhere . leave tip bell man look do not even say thankyou .. internet waste money $ 14.99 24 hour .. channel Tv mostly MGM chinese rest advertising something Casino . some dealer plain rude .. waitress take ever get drink ( even tip ) comp laugh lucky get one , Grand Buffet one bad buffet ever never ever eat , cold food . the thug street give card girl company totally annoying however Casinos fault . convention weekend nightmarethe ignorant person meet Ontario sad since I m wellthe good : room service well . attendant sweet . craftsteak great . hotel clean overall . 
 Sep 14 2009 	 Good Budget expect 	 RoomWe stay 15 - 324 Grand Tower . room average . mirror room go bathroom . outlet work . not book room talk hotel amenity . bed great though . get great night sleep comfortable . two complaint room . one , could hear people outside next door . like room . go bathroom could flush tiolet . say someone room go bathroom could hear everything . sound proof plain bad . room clean ask extra towel bring 5 min . Good Value . not bellagio palazzo know go . poolthe pool nice . several pool hot tub . drink service good . get get drink couple people serve . plenty chair problem find one . casinothe slot kind wound tight drum . slot plentiful pick . table little crowded . cocktail waitress find . economy must make get rid people far . not smokey casino . could still smell fragrance put . ValetThe Valet prompt every time use . never wait minute . Food CourtWas fine lot line . seem like people eat food court regular restaurant . BuffetBuffet 15.00 breakfast . everything could think buffet . never long line . continuous string people . efficent get people . food quality fine . studio 54nice Club nothing special . house music play . 10.00 drink . club . good amount people Friday Night . overall nice trip . plenty restaurant choose . plenty activity choose . many slot play . crowd mean . 
 Sep 14 2009 	 alittle rocky start pick 	 arrive saturday night aprox 8 pm tell room pull bed available 3 year old daughter ! however say could come follow morning room swap . sunday morning move different room within main hotel . 1st room west wing lovely do not get wrong , new , clean fancy tv 's bathroom view room loading bay ! new room great bell boy move thing . room really clean , alittle old look enough room pull bed arrive half hour get room ! staff helpful , cleaner love daughter always say good morning , staff buffet nice polite , really can not say anything bad honest . the pool good , float cup pool do not bother much I m honest . I ve read alot review bad service thing good time little kid really problem , walk casino floor 3 year old without problem long do not hang around near machine table fine , never ! lion encloser great real must see baby cub too.the mgm alittle main hotel strip walk hotel require Bellagio Paris enough walk even 3 year old ! tell quality hotel walk hotel MGM high quality casino 's ! go 3 star see massive difference quality ! bed fantastic , I ve never sleep anything comfy life ! would go back take child slow thing restrict thing ! take do not stress plenty see ! Ps thunder alittle bit let I m honest ! see Evander Holyfield hotel ! 
 Sep 13 2009 	 great fun ... good value 	 visit Vegas 4 night/5 day schedule MGM Grand . read MGM negative Trip Advisor prior trip -- think criticism nit picky ( room & quot ; old & quot ; ; plumbing could heard ; room door far elevator , etc . etc . ) oh . spoiled folk become traveler . great time overall -- fair price . summary tip great visit , opinion , Vegas MGM : consider go 4 night instead standard 3 . ( 5 night would much . like 5 helping favorite sundae . much fun thing . ) 4 night take rush - rush Vegas visit . feel day night every day . right amount visit time . rent car . allow maximum mobility freedom go strip -- hopefully site casino save money compare Strip destination food , casino , etc . rent Mustang convertible ( 25th anniversary ) , find cruise Strip adjacent - to - strip thoroughfare memorable experience . Las Vegas , , candy eye night . MGM : expansive , yes . big 5 minute walk front desk pool casino ruin one 's stay . ( many critic say much post . sorry , disagree . be 63 . ) stay 18th floor room Grand Tower . KIng bed . ( yes , bed comfortable ' ve experience . can not buy bed comfortable store home ? ? ) bring alcohol ( one bottle . ) purchase water -- two bottle -- Strip dollar . refill bottle room keep ice bucket replenish ( principle pay MGM price bottle water . ) pool : relax experience . Lazy River especially . ( tube @ $ 16 bad ... especially & quot ; sell & quot ; half - price another guest leave pool area . one couple offer we $ 20 take . ) gambling : much variety MGM machine ... run tight . ( not casino like MGM loosen string bit , return time 10 year ago sound winner slot good advertisement ? nowadays , & quot ; sound & quot ; people getitng hammered bandit . , way , table game player . ) much well luck strip , way . , good gambling fun luck Texas Station ( strip ... car ride ) , Palazzo / Venetian ... NYNY.MGM Staff : helpful cooperative . attraction : Liberace Museum . Milwaukee . worth $ 15 admission . down Tropicana 5 min car . Larry Jones , & quot ; Impersonator & quot ; -- Royal Resort strip block . ok entertainment . bill impersonator . fact , parody . do not go expect Frank Caliendo experiende , fun night $ 40 . obviously love work . tix store -- along strip . half price -- like 30 % . good saving . food : plenty option MGM ... include food court easy find . avoid breakfast Thursday Friday . convention crowd . ( suggest scope entire first floor yoiu first arrive , surprise end visit . one poster discover food court til final hour visit ... presumably pay premium basic breakfast lunch ) Buffet : dinner one night . memorable . I guess sum perspective . way , spend $ 2500 total -- $ 700 gambling loss . subtract gambling convertible rental , be $ 1300 memory . hey ... be Vegas . one - of - a - kind fun decadence 24/7 platter . enjoy . 
 Sep 13 2009 	 expect ........ much 	 get fantastic rate celebrity spa suite MGM 's website - good true ! upon arrival tell number suite go & quot ; line & quot ; unavailable weekend . hotel pack , memorial weekend UFC event night . suspect sell room much high rate . check -in almost hour arguing staff , less helpful . attitude much take leave , consider book suite 6 month , less impressed . friend arrive follow day , suite & quot ; offline & quot ; - coincidence ! ! ! ! hotel go really young crowd , lot drunk bikini clothe girl Casino floor - literally ! may dream come true - something expect high end hotel - travel Vegas regularly . there lot hotel choice Vegas - stay somewhere else ! oh - stay - get ear plug get wake every night , maybe room next drunk bikini wear girl ! ! ! ! 
 Sep 13 2009 	 nice HOTEL VALUE money - west WING RECOMMENDED 	 stay 3 night west wing , sllightly small room usual casino style room modern faciltie . wife love gadget , like lamp touch turn , tv build bathroom area ( seperate room like part main room begginne away bedroom part . ) area seperate toilet shower wet room style . it compact compare room , small little desk , tv , BOSE speaker / dvd system . I enjoy stay , bad location virtually airport end - good new york , new york , mandalay bay / luxor / excalibur far miracle mile shop . huge THOUGH ! ! ! eat grand buffet , fine - cost $ 15 prefer new york new york chinese buffet breakfast ( price ) .It many facilite , many room , many place eat . everything need cost . 
 Sep 12 2009 	 last stay 	 stay MGM many time past receive good rate . rate quote rate charge however ; charge rate high . explaining never resolve . room shabby ; miss picture wall , old bathroom , miss lightbulb . ask different room give well accomodation . hotel go young , drunk guest pool general area full loud messy twentysomething place great spot watch get young less attractive year last trip , even great rate ! 
 Sep 12 2009 	 Great Place Relax ! 	 great time MGM . staff nice helpful . stay Celebrity spa suite great . room really clean housekeeping staff keep way . problem drain shower back tub draining . call maintenance fix problem . go spa . spa o.k . plus size woman robe not fit . ' ve spa robe fine . massage get wonderful . complaint hotel far walk room pool , something minor . lazy river pool complex wonderful . use monorail , cost $ 5.00 1 trip . price cheap take taxi . great time celebrate 14th wedding anniversary . back . 
 Sep 11 2009 	 Trendy Hotel 	 Hotel trendy meaning pay dress nice hotel . look like slob chance good staff ( crowd ) ignore . hotel busy hour . good value price . room ( get pay ) ok , cheap room long walk , lovely view wall , A / c unit . fridge , coffee maker room comfortable , quiet , clean , safe . complaint . casino nice clean drink come right area right time . lot high limit machine find low limit near front desk area . Grand Buffet terrible . good quality food . would pass pay pick package deal option . find much well quality elsewhere . go cheap eat ......... go next door nyny.i choose hotel location price . location figure would cruise strip south north . double decker bus ( aka : duece ) horrible experience . never . $ 14 day pass two . take hour get downtown another 1.5 hour get back . suggest cab rent car plan go downtown value time . go strip , would suggest monorail . ( cuz do not go downtown ) night , traffic strip gridlocke . overall , would stay . 
