good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 May 12 2008 	 Standard 	 three friend back 5 night stay Wellington Hotel . stay stay suite comprise two bedroom , small bathroom kitchenette , cup , plate etc . sheet bed crease musty / smoky smell room . third day trip return hotel day leave shop back room . one girl go room ( 12th floor ) could get room credit card type key . come downstairs go room try key ( time consume ) , avail . proceed reception desk give 4 new key , still could get room new key . furious stage return reception , yet , tell move room due maintenance work ! ! ! barely get apology manager ( rude ) . give piece mind state standard practice note pin hotel bedroom outlining problem , would save we time energy . friend pack belonging move two flight new room . whole afternoon waste . demand compensation receive breakfast voucher 2 morning . book return taxi / limo hotel shop leave one bellboy state book could gotten we cheap rate ( sound like bit scam ) .The hotel ideally locate , apart , nothing good say . 
 May 8 2008 	 Great Location 	 stay wellington Hotel December 2007 . location fantastic minute walk Times Square , shopping , restaurant etc . the hotel pretty standard - room small bathroom NYC last thing want sit room day . if great location budget would recommend hotel day long . 
 Apr 28 2008 	 ok 	 daughter ( 20 yrs old ) get home 5 night stay Wellington . everyone mention , location great . frill hotel . get bed old tv . discover take shower hot water get hot - almost scald toilet flush someone turn cold water room near . end room 2 twin bed room small . elevator ar tiny . room bare necessity coffee pot water 2 glass drink tap water . never notice ice machine . want bottled water need run across street 55th Street Deli . charge $ 2.50 bottle . little cafe lobby always busy . good breakfast coffee great . go across street Starbucks . extra note ... go city tour stay away form RED bus ( Greyline ) . big rip overbook can not get bus back hop d / t seating . take blue bus - look guy YELLOW jacket . 
 Apr 28 2008 	 disappointed 	 partner stay Wellington Hotel April 7 night . know get good deal price still feel disappointed aspect . location could not well staff nice , unfortunately room disappointing . get check tell upgrade , would like see room suppose in . our room tiny ensuite even small , width hand basin , length small bath . horrible smell stale smoke room ( suppose none smoking room ) whole time , leave window open whole time get air freshner , nothing work . lucky weather need air conditioning night room get stuffy night 24th floor , air conditioning noisy rust ride , like handle much . the whole place needs redorcoarate , hallway , room etc . back , would pay extra nice hotel , 7 night long stay tiny room , night two would not bad , would put . breakfast great busy could left wait table , clean place food service make . 
 Apr 28 2008 	 nothing Fancy Nice / Clean 	 stay Wellington week recent trip East Coast . like hotel , mainly incredible location price ( Priceline ) . room - size average NYC furnishing basic . room common area keep clean tidy . great view ( 26th floor ) look Central Park location property beat . subway entrance LITERALLY outside front door within block Park , Times Square , 5th Avenue , Rockerfeller Center , etc . eat coffee shop / diner rate , always packed . overall , would definitely recommend Wellington anyone plan spend time inside hotel room ... great someone , like , use hotel room sleep , shower , dress occasionally watch CNN . 
 Apr 23 2008 	 great find ! 	 stay 5 night without issue . request room high floor view allocate room 26th floor overlook Central Park . Staff generally efficient friendly . check problem . room 2646 basic clean perfectly adequate stay . bathroom tiny decir bit date , clean adequate good powerful shower . room tend warm side problem , good air conditioning system sort problem noise all . the location great , Subway outside door plenty dining / drinking choice immediate vicinity . criticism would tea / coffee make facility room . bed bit creaky comfortable enough . also disappointed room service first morning ( although put ' maid service request ' sign ) could ? would qualm stay hotel future . 
 Apr 18 2008 	 visit - still great ! 	 wife & amp ; stay one bedroom suite ( stay Wellington last June also & amp ; give 4 star ) , time different ( new ) section hotel . huge two room -- clean , comfortable , quiet . . yes , tad old hopefully shade , not quite work , someday replace & amp ; seal around a / c unit patch , enjoy stay -- - great location , convenient subway line , really nice large room spread 4 day stay ! helpful staff , bathroom upgrade large old section hotel -- - 10 % discount due March reservation discount & amp ; save $ 250 Priceline , Travelocity , et . al . not disappoint -- great deal ! ! 
 Apr 18 2008 	 Wellington would lost Battle 	 Location hotel superb , would sacrifice couple block well room . expect room small stuck 4th floor brick wall view , wall close impossible know time day . noisy aircon mind room bathroom desperatly need refurb . staff friendly helpfull hotel could TLC money spend . 
 Apr 16 2008 	 bad price 	 well ... let start say LOVE NEW YORK CITY ! ok ... hotel ? like would stay ! two section hotel due circumstance beyond control ( pest room ) able move new section . 24 25 floor floor 24 ... nice views city ! ! ! ! book hotel flight newyorkcityhotels.com way go ! ! ! save SOOOOO MUCH MONEY ! get New York Pass ( CITY PASS ! ! ) much well ! hotel locate perfectly Central PArk Times Square . 2 subway right outside hotel WONDERFUL restaurant downstairs . starbuck across street ! ! ! subway way go NYC ( get metro pass week ) save money . Sooo back pest room . WONDERFUL huge room old section building . room great . 2 room fridge sink . 1 queen bed one room pull couch , 2 twin bed bedroom . huge bathroom fridge sink . room amazing compare room research book trip ... way room not stink , not nasty anything ... enjoy first 2 day ! ... smell come . something die ... start look . well came find dead mouse bedroom bed . smell soooo bad could not stand . even name Marty ( sad ! ) Sooo go desk start search room . room like one ... try put we small room ( go work ! sleep couch sleeping bed Marty ) ok ... sooo end give we 2 room 24th floor new building ! nice ROOMS ! GREAT VIEWS ! ! SMALL ! ! ! ! compare old room ( Marty 's room ) two room not big together one ! ! CRAZY HUH ! ? ! fine us enjoy view ... get limo ride airport among thing . would sure stay ... sweep room critter first ! thank WELLINGTON ! ! ! 
 Apr 15 2008 	 great location 	 great 4 night Easter break 66 year old mother ! location : excellent . right 7th Avenue heart everything . less 10 min walk Times Square , Central Park , Broadway , museum modern art virtually next door Canegie Hall . shopping restaurant galore . facility : good . although busy quick easy check reception . comfortable waiting area main foyer equip sofas , large open fire , handy table , read material etc . helpful information desk , porter doorman . nice restaurant , gift shop , lift . friendly staff good service . room : good sized room , 2 comfortable double bed , warm , plenty storage well furnish . clean on - suite excellent power shower . usual facility include tea / coffee maker , internet access , phone , tv , hairdryer , iron etc . decor little old fashioned fit hotel overall give welcoming feel . overall : excellent value money . welcome good base explore New York City . 
 Apr 10 2008 	 Wellington Hotel - NYC - Absolute Must ! 	 Wellington Hotel wonderful stay husband also friend mother . first time NYC three we everything run smoothly . extremely happy friendliness hotel staff , cleanliness room , courtesy extend we three - day stay . room upgrade Queen Room additional charge , housekeeping service exceptional fact respond need timely . front lobby staff attentive daily & quot ; get ? & quot ; question knowledgeable get around nyc.the hotel locate perfect place walk literally everything . Times Square Central Park minute Hotel . highly recommend stay Wellington - pleasantly surprised first shoot NYC ! 
 Apr 9 2008 	 get spacious suite ! 	 love hotel - perhaps lucky have definately recommend already ! check quick easy - we 3 staff . young american girl check we ask suite available - tell have read review describe suite ( 2 kid we ) . lovely look lot room computer we , read description view facility . have pay $ 1000 4 night 4 we . we get suite - room 923 look 7th Ave . small kitchenette large fridge freezer , hob microwave , kettle cupboards- use fridge kettle useful . room king size bed - comfy bed ever sleep - mattress label Jan 08 . also build wardrobe next bathroom , sofa , coffee table , dining table 3 chair , tv unit 2 deep drawer , dress table mirror . kid room double single bed - argument night kick contest ! ! also large dressing table / drawer unit wardrobe tv - could not belive luck . bathroom fine powerful shower bath . the decor great - beige furniture poor quality space amazing ny , would rather space posh bedspread . place could charge lot more . all staff friendly helpful . room also clean house keep efficient , send 4 pillow ring they . we not hear pipe a.c . problem people mention . one worrying thing fact window open fully could lean right , jump want ! check 12 pm daughter ill last day ask could bit long manager let we room 2 pm charge . we not eat hotel comment food get stamp bit little shop stamp cheap UK machine . the lift small take age child race we downstairs press button could beat us - sorry shared lift we occasion ! would definatley stay - ask room could get . 
