great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Jan 31 2007 	 bed hard would camp 	 improvement hotel potential great , without though would rate average . firstly , hotel extremely hard bed even extra mattress pad provide . one thing San Francisco lot walk good night comfortable sleep important factor . when crawl bed first night notice hard mattress . try get comfortable arm rub blanket . dismay feel crusty area blanket rubbed arm . without get specific guess blanket crusty stain clean , even dirt mark . strip blanket bed see spare blanket closet , use one instead . the next day , report dirty blanket front desk , along tv continous buzzing noise . gal front desk say would talk manager situation . speak manager , say tell maid check sheet clean . tell sheet , blanket . odd reaction ( sort like disbelief ) say , & quot ; never happen before . & quot ; reply , & quot ; travel world believe never happen we either . & quot ; manager also mention blanket wash wash cycle sheet . say , would investigate blanket problem adjust room rate night . end dollar nightly room rate . move another room . the new room clean , problem bedding . ask extra mattress pad put bed , make bed comfortable sleep . two mattress pad bed , would find bed hard uncomfortable sleep would check , find another hotel comfortable bed . the coffee maker room bathroom counter right beside high powered flush toilet . sanitary considering splash toilet close . wash coffee maker hot water soap move desk tv . ' m sure place first place , plenty room desk beside TV . coffee supply room weak . think coffee supply 2 cup , 4 cup . make full pot use package coffee , taste lot well . the maid service efficient , although start 8:30am , want sleep put & quot ; disturb & quot ; sign door . rush hour start 6:00am , light sleeper wake traffic , bus cable car noise , ask room face courtyard . view , room quieter street side . two computer lobby offer free internet , lot time busy morning . find computer well availability afternoon evening . the complementary continental breakfast serve 6:30am 9:30am . consist cold boil egg , bran muffin , chocolate muffin , apple muffin , croissant , white & amp ; brown bread , english muffin ( toaster available toast bread ) butter jam . plain donut , chocolate donut , cinnamon bun , raisin bran cereal , cornflake cereal , fruit loop cereal , ( skim , 2 % , homo milk ) orange , apple , cranberry juice , coffee , tea , plus fresh fruit - apple , banana & amp ; orange . breakfast lull around 7:30am 8:15am . much busy early later . hotel conveniently locate walk distance Pier 39 . cable car , street car , bus stop close . cab ride airport hotel cost $ 42.00 . parking rate hotel $ 35.00 per day . decide forego rental car parking fee . regret decision bus service efficient , wait 5 minute bus give day include Sunday . 15 minute cable car street car . end cable car station booth purchase one day Municipal Transit pass ( Muni ) good bus , cable car street car $ 11.00 . three day pass cost $ 18.00 7 day pass cost $ 24.00 . pass excellent value , one way cable car ride cost $ 5.00 hop either . $ 5.00 ride period . two supermarket locate close hotel . Safeway Trader Joe 's . find Trader Joes brand sparkle fruit juice able hold fizz next day , fridge hotel room . plus taste good . Walgreens Cost plus World market near also , limited food selection . retail shop / mall open @ 10:00am . find souvenier cheap close hotel China Town Pier 39 . Ghiradelli square renovation Spring 2007 fall 2007 1/4 shop open . second last night trip , teenager party loud boombox next door @ 2:00am . security react swiftly put end loud party immediately . 
 Jan 30 2007 	 worth visit 	 spend two week California , touring , stay 5 different hotel , one one cheap one , nice . room clean large enough family 4 , option free breakfast morning coffee oj basic nice . hotel close lot main attraction - son wheelchair problem get around . side pay $ 20.00 per day park car , want food beer go hotel next door - bit pain , lot place eat near , sport bar across road serve food great . HOTEL GREAT VALUE money well worth visit , would go back . give GO . 
 Jan 3 2007 	 comfortable convenient 	 room comfortable warm , bathroom clean two queen size bed give one well sleep holiday ( round World , last stage tour ) . hotel convenient Hyde Street cable car ( get early avoid queue ) also lesser know route bottom Taylor Street also worth get ride old street car start Leavenworth Street . within couple block hotel . also pleasant walk Fort Mason along waterfront . , course , convenient boat Alcatraz Sausalito . breakfast hotel free also free - for - all . everything disposable - cup , plate , cutlery - wasteful . healthy stuff consist cereal , apple , orange banana hard boil egg want muffin , cake , pastry , donut , chocolate donut , etc etc , place . breakfast room busy , typically plate overfill discard eye prove big tummy , far quiet , lay back , relaxed breakfast enjoy . couple day give go Starbucks one cafés road . there restaurant hotel use facility Holiday Inn next door . pier 39 restaurant expensive captive market . likewise , Fisherman 's Wharf . catch cable car Chinatown couple time - good quality good value food - walk back , walk Columbus Avenue Little Italy also get good value meal . walk night ok usually load people around , street around hotel out sleep doorway asleep give we hassle . one welcome advantage free Internet access lobby . stay hotel Fisherman 's Wharf find one offer similar room less price other . 
 Dec 27 2006 	 Great Location 	 hotel great location . good continental breakfast , friendly staff clean room . would recommend hotel price . 
 Dec 20 2006 	 Awesome Location 	 stay sight inspection part work ( travel agent ) . Holiday Inn locate opposite Fisherman ' wharf build 2001 . lobby room feature modern décor furnish . room medium / large Nintendo ' child ' entertainment . 
 Dec 18 2006 	 great location nice room 	 stay 3 night oct 2006 find great ! location walk distance many attraction include pier 39 , alcatraz fisherman wharf ( great summer ) .rooms clean spacious , two double bed en suite bath shower . although main reception across road holiday inn find problem . staff helpful friendly give we free internet access ( un hear new york ) wendy 's restuarant site open 24hrs give great value money . breakfast especially ! money place fantastic locate good part san fran ! ! 
 Dec 4 2006 	 Superb Location great Hotel 	 stay Holiday Inn Express mid September ' 06 last minute change Union Square hotel , ' m certainly glad change hotel . Holiday Inn Express perfect location easy access & quot ; touristy & quot ; haunt Fisherman 's Wharf beyond . literally block away metro car stop go way back Union Square reasonable fare . slightly away famous cable car line city , close allow early jump start queue . feel neighbourhood safe , even less populated area , example walk back Coit Tower late evening never feel nervous . hotel good . say relocate last minute staff helpful , check check . room clean well appoint . partake continental breakfast , find free computer internet access lobby useful . overall would strongly reccommend hotel great base explore one good city ever visit . 
 Nov 28 2006 	 EXCELLENT Hotel 	 fabulous hotel fabulous location . room reasonably small clean , comfortable quiet . good thing hotel - free continental breakfast . helpful friendly front desk staff . great location - close Cable car stop , Lombard Street Fisherman 's Wharf Pier 39.reasonably price too . I would definitely stay ! 
 Nov 26 2006 	 nice hotel good location 	 boyfriend stay hotel sept 06 . staff pleasant helpful room clean spacious . continental breakfast adequate , however short walk restaurant provide large choice cook breakfast prefer . hotel conveniently locate Fishermans wharf , 5 minute walk pier 39 . public transport stop also minute walk away . return San Fran would definitely consider stay . 
 Nov 16 2006 	 bad breakfast encounter 	 five week east coast USA , stay many Holiday Inns , Hampton Inns , Embasssy Inns etc . without doubt hotel bad buffet breakfast . even allow disgraceful use disposable cutlery , crockery etc encounter everywhere USA , believe many review accept chocolate ice donut , cardboard muffin , fruitloop , sweetest orange juice ever , white bread toast , overripe banana , flowery apple & quot ; great breakfast & quot ; .Travel Australia , Italy New Zealand find good breakfast mean ! avoid breakfast go block away corner Taylor Lombardo really great , cheap cafe smoke salmon bagel , really good coffee etc , good around $ 10 head cover lunch well . 
 Nov 13 2006 	 actually prefer sister hotel ! 	 last year go Holiday Inn next door Express . read lot bad review have book Virgin Holidays actually find hotel pleasant especially room fifth floor . read much well review Express decide book year 's visit . bedroom not nearly nice , bathroom . not even bar drink evening . however , breakfast superb ! casual , much want , soon replace pastry fruit run low , excellent . not pay car park charge first hotel Express valet charge exorbitent . free internet access handy though slow . , return San Francisco , think first hotel would get custom good cafe nearby buy breakfast . ' m sure well hotel two location ideal . 
 Oct 30 2006 	 San Francisco - Perfect Honeymoon 	 stay hotel 5 night Honeymoon October 2006 . firstly , weather fantastic , warm day bright blue skys . tell SF good time visit . arrive Las Vegas first slightly disappointed ( suite Luxor spoil ) hotel perfect want . hotel boast central location , would say Fishermans Wharf ' tourist ' area plenty souvenir shop etc , also lot seafood restaurant choose well usual , Rain Forest Cafe , McDonalds etc ..... check smooth , allocate room front AC work ask move place back much well , noise . settle extremely pleased . guest hotel use outdoor pool neighbour Holiday Inn free . never get chance ! breakfast excellent , plenty cereal , toast , muffin , doughnut , fruit , tea , coffee , juice , fresh plenty available 6.30 - 9.30 . later go however busy still plenty seat . the area great catch cable car / bus would highly recommend hotel . hotel seem standard area , exclusive hotel City Centre ( Hilton , Mark Hopkins , Francis Drake , Marriott etc ) need perfect . San Francisco fab city Alcatraz must sure book advance . also find day cable car pass $ 11 worth while . shopping must pick fantastic bargain , whatever ! ! - disappointing thing gg park seem accesible , curious seem quite large area visit , hire bike cycle GG bridge , good value money lock helmet supply mean could lunch , look round souvenir shop . altogether , fantastic package would hesitate choose SF destination future . 
