pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Sep 12 2008 	 okay guess 	 sister stay start Contiki Tour . the room basic pretty old tired . room clean , bathroom despite orange / green coloured shower head mould grow ceiling . probably fan shower though , room always keep clean housekeeping . the reception area nice staff friendly . would recommend check hostel area however , price way ask . have hear mixed review place go , think mixture old update room pretty much lucky staying ! 
 Sep 11 2008 	 bad money ! 	 read review hotel tempt cancel . overall , 3 night stay good . hotel good location sightseeing . the room clean tidy decor date . the food good , although queue breakfast , ask show pass 2 - 3 time whilst collect food . I think price cheap expect get pay ! certainly would not rule another short break . 
 Sep 8 2008 	 basic bad people make 	 get bargain local travel agent ( £ 109 two night include return train journey , full english breakfast morning 3 course evening meal first night ) however , read review Trip Advisor dread visit decide keep open mind . I ' m glad . yes basic .... basic .... clean amount time plan hotel matter . day . the staff friendly . think depend way treat . friendly treat respect courtesy return . however witness people quite curt unfriendly staff staff understandably less friendly they . we can not fault food . free meal Pavilion superb . first course : Soup ( minesterone ... okay soup go ) second course : roast beef ( get huge slab tender lovely meat ) friend get Roast chicken , huge portion ... half chicken moist juicy meat ) . vegetable delicious ( hard soft ) lovely gravy . third course : Black Forest Gateau Carrot cake . nice moist . good . our breakfast also good lady serve we generous bacon . arrive 7:00am morning nice quiet queue . bedroom overlook main courtyard coach arrive hour people get coach noisy . would prefer room overlook main road instead would considerably quieter . however little noise hotel itself . well double glazing would help noise problem . also room really could lick paint well furniture . decide keep clothe case rather put drawer wardrobe rather shabby . overall , price good value money , especially central London hotel . I would happily stay ( price pay . otherwise , price beat Travellodge , Travel Inn type place cost cleanliness ) . 
 Sep 3 2008 	 stay time ....... 	 stay feburary take son London birthday . I stay know expect . yes be basic , cheap hotel , choose . 's ideally situate , close tube station . staff ( ) helpful . the room basic , clean . never stay breakfast , last morning , thought , busy , breakfast fine . it be great place budget . we go London october , guess stay ? Mel ( Ireland ) 
 Aug 31 2008 	 awful 	 thing good place location , right Russell Square tube - apart terrible . would stay vicinity , would avoid place . check fine hotel lobby look promise away rest terrible . room poky , small like youth hostel . haridryer provide - £ 20 deposit naff one iron facility limit iron room ironing board chain wall . the room warm curtain close lot privacy people stay could see right - certainly eyeful someone another floor ! ! breakfast like bun fight everyone scrabble table food , complete chaos leave seat get food mean probably would not seat got back . skip breakfast prefer pay elsewhere rest stay . Beware tell leisure facility - not hotel , leisure club road £ 8 per person per visit pretty steep swim ! ! 3 * standard hotel dread think 1 2 * would . book base would nice somewhere comfortable rest head night . expensive - hotel massive probably big downfall . 
 Aug 29 2008 	 Better Thought 	 stay Royal National Hotel one night Contiki trip , one night . not really know expect , not hear anything either way , want clean , comfortable room bed sleep night tour . would say handy location ( near Tube , minute walk ) , Contiki basement ( helped organise everything tour ) , nearness everything London ( tour bus park literally right outside hotel , many restaurant nearby , plus British Museum around corner ! ) not anything lobby practically everything organise Basement , like entire separate hotel- really wish lift lead , try drag suitcase steep stone step killer- literally nearly fall ! think confusing lobby side courtyard- never know side go , especially confusing first time not use hotel collect key ! apart , everything hotel really convienient- shop , include gift shop , hotel , restaurant , handy not much time wander around look shop restaurant . corridor dark gloomy , extremely long , inside room think really nice- not find cramp gloomy dirty . think spacious bright , like way bed opposite side end room , feel like space . also like extra table , tv coffee tea maker- one hotel stay one ! bathroom small clean , nice enough , shower get high- know people mean water pressure ! - actual problem . not problem check , although have book twin room less expense , not put anyone share first night- not make difference , think strange . last night , trip , girl sharing room , tell although have request share friend , would put different room , think bad , even though not affect . key card bit awkward- find hard open door them- maybe , able get hang . not find noisy night all- find peaceful- ' m sure next morning , Contiki traveller gather courtyard laugh roar like still drunk ! anyway- pity anyone try lie - on ! worried sleep miss coach , would make way , reception staff keep promise give wake - up call , could not fault . people complain noisy , think aware Contiki hotel , horde young people stay , especially summer . 's place go want peace quiet ! real complaint Royal National way treat one staff last day . tour finish stay one extra night- not actually realise check certain time morning , find room lock , panicked 'd late flight , verbally attack woman behind counter , rant need room ' ignorance excuse . ' well understand fault , could not blame forgetting , way woman speak . whatever happen polite guest , directly blame anything ? speak like naughty schoolgirl , scold attitude put Royal National bit . know 's year ago , think speak guest way bit uncalled - for , especially genuine mistake . other , find nothing wrong Royal National , although see people might not keen , smallness crowd . well lot hotel , hostel cabin stay trip around Europe ! 
 Aug 29 2008 	 basic fine 	 read review site almost cancel book husband say give go , I m glad listened . yes basic staff friendly helpfull room clean warm quiet , breakfast busy plenty food everyone location perfet tube amenity depend expect guess want base sightseeing recommend go 
 Aug 28 2008 	 disappointing 	 return 2 night stay ' Royal ' National Hotel . arrival 2 young child carry 2 suitcase , pram 2 tired child 4 flight stair car park . ask reception lift almost gleeful tell we ' no ! ' offer help . lift main building 2 service whole stay . staff far consistently rude unhelpful ever come across stay country visit . email hotel 3 day prior arrival request could check early leave luggage change somewhere theatre ticket matinee show , never get reply . ask reception tell we possible could take luggage another building get change toilet - 's 4 * service not ! room ok old , restaurant say School Dinner Hall 1 * . queue tray , give poor quality food try find seat row cheap grubby table . recommend hotel anyone vast number Hotels choose would difficult find one meet star rating . 
 Aug 27 2008 	 well situate great value 	 stay two night fiancee bank holiday . friendly , helpful staff . breakfast okay . room clean spacious . second thought go reading review , glad . great time : ) 
 Aug 26 2008 	 value money 	 spend one night theatre break like alot other dread walk room read review fine . stayed 2nd floor room clean , great location want base want spend time sightseeing stick hotel room fine . pay theatre ticket one night stay price good value money . bit niosy middle london expect . 
 Aug 24 2008 	 never ever 	 agree negative comment previous reviewer . arrive Royal National 18th August 4 night , husband , 2 child . wait 2 hour could check get room find door wide open , together window - carpet clean , soaken wet - inform housekeeper come room check extra bed bring , shrugged shoulder way go . room basic ( whole place could lick paint ) complimentary toiletry bathroom , 3 towel 4 us careful extra thin toilet roll ! come make cup tea , find pour kettle load brown bit come water , smell , kettle well pass de - scaling stage ready bin . hotel great location noisy night . breakfast total nightmare , room far small big hotel , could'nt find clean table anywhere , tray dish piling , staff wander around though loose end , staff hotel pleasant people either did'nt seem well train . to top day due leave , breakfast windsor room bag steal right nose , sort , never find , feel absolutely dreadful , get impression staff did'nt want bother incident , except one gentleman concierge help could . I would never stay , last hotel country . do not expect standard low hotel England . 
