Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Nov 9 2008 	 Great Hotel 	 return 3 week trip , drive West Coast San Francisco San Diego ( fly Las Vegas ) favourite hotel . stay 3 night . the location great ; hop hop cable car . the bed probably one comfortable ever sleep on . the breakfast menu extensive , portion huge taste great . the coffee cookie lobby nice touch ( even though send ' downstair ' number occasion bring back room ) .parke fine . although seem bit daunt first drive car park city ' ve arrive , really easy find ( provide map ) 2 minute walk away . money save ease access , prefer valet parking option . we would love return San Francisco one day would definitely stay . 
 Nov 9 2008 	 Great City Hotel 	 Chancellor great place stay city . right middle Union Square far enough away Wharf high tourist area , everything still close ! nice relatively quite night since store close . Cleveland time change we 6:00 . worry though - one morning beat rush Sears Fine Foods ( right next door hotel & amp ; definitely worth stop ) breakfast ( one morning pretty long line 9 am ) catch cable car local soon start run - think around 7ish ? ? hotel nice stopping ground , someone like spend time room would little cautious - room pretty small . perfect we right price . would definitely stay Chancellor next trip city . 
 Nov 3 2008 	 great location 	 really reiterate everyone else say . great location shopping , eat , drink hopping tram . yes room small european standard average size . clean room comfy bed . we catch muni train straight airport Powell Street , 10 minute walk hotel , easy . 
 Nov 2 2008 	 great place stay Union Square 	 stay Chancellor hotel Union Square 21st 29th Aug , conference Grand Hyatt really enjoy it . check : easy friendly . request refrigerator room ( base one TA review … really useful ) room : really comfortable two people . walk - in closet really expand space could store suitcase bump anything . ask topmost floor overlook Union square , base TA review glad choice . not bother traffic noise , fact find music filter every evening Union square really charming . sound cable car fire engine not bad enough disturb sleep . bathroom : slightly small size , big enough use one time . Wished use comfortable bath - tub ( rubber duck ) .lobby : hotel lobby intimate cosy enough welcome come back cool tiring day . freshly bake cookie different type bake everyday ( chocolate chip , raisin etc ) , coffee apple appreciate . infact first day , Starbucks , not really feel need coffee elsewhere . ( usually obsess coffee , really like ) .location : ( hate say & quot ; location , location , location , location ) great . right next Union square , hop across cafe , diner , small bistro , delis , cable car stop right across , convenient conference also- block across . staff : Rory , Steve , guy reception- helpful . question , use business center print boarding card , pick Fedex we call we came- helpful . luquesfille breakfast cheerful staff ( especially Nancy ) . breakfast day conference really good . Bacon usually salty eat , even occasional non - vegetarian like enjoy . wife veggie menu feel breakfast ok . smell : know somebody mention smell lobby . not really notice smell except nice smell popcorn . however funny smell passage outside room . minor point , really big issue , room comfortable , ( non smelly ) location can not beat . would come back here- yes ! heartbeat .. love San Francisco , convenience homely feel Chancellor lot . 
 Oct 25 2008 	 Location Location Location 	 return 3 night stay Chancellor . love ! location superb ; shop , cafe cable car doorstep Union Square across street . yes , room bathroom small freshly decorate spotlessly clean . bed comfy nice , soft pillow . able check - in 3 hour early , handy give quiet room back hotel , meant never hear street noise ( next door 's tv ! ) catch cab airport use hotel - recommend shuttle - bus service , Lorrie 's Shuttle , way back . would probably use way next time , cheap cab book directly hotel 's web site . the hotel facility great - small bar foyer , pleasant cafe breakfast ( lunch ) guest computer & amp ; printer flight check - in etc . find staff helpful . the one - day muni pass good value public transport give freedom jump cable car . buy tour desk $ 11 ( cash ) .love San Fran love Chancellor ! 
 Oct 25 2008 	 extra little touch make memorable 	 stay four night , final leg 3.5 week tour way finish . would let hotel know celebrate Silver Wedding Anniversary leave champagne , champagne flute photo frame room first night . lovely personal touch hotel . the room extremely comfortable great view Union Square excellent location cable car stop outside . free tea coffee available lobby day , another bonus . breakfast restaurant good value great quality . consider central location feel good value money would not stay anywhere else ' m lucky enough go back San Francisco . 
 Oct 23 2008 	 wonderful Hotel ! 	 spend 5 night Chancellor Hotel . enjoyable stay . room clean love walk - in closet ! bed linen comfortable . even though try pillow menu , great feature . ( pillow bed perfect we ) . also , option rent ( inexpensive ) foot bath massager good idea . hills killers ! 13th floor ( bad luck ! ) nice view toward Union Square . window open ceiling fan , room ok temperature ... quite warm week . remember Sept & amp ; Oct summer San Fran . staff friendly helpful . store luggage arrive early buying muni pass answer question direction etc ... thank great service . all little touch make Chancellor perfect choice ... coffee , tea , cookie , apple lobby ... candy rubber ducky room ~~ make we feel welcome ! 
 Oct 21 2008 	 Great Location Value 	 great location central downtown SF . cable car stop right corner . easy walk many restaurant attraction . comfortable clean room . free WiFi room . decent restaurant breakfast bar lobby . friendly courteous staff . 
 Oct 21 2008 	 great hotel . great price . Great Location . 	 one night spend San Francisco find great deal hotel . complaint whatsoever . block one large shopping area I ve ever see cable car run street right front hotel take directly fisherman wharf . girlfriend drink lobby bar man friendly bartender whose name wish could remember . lucky us hotel kind enough store bag checkout could explore city . ' ve recommend hotel everyone know head bay . 
 Oct 20 2008 	 Great Location Terrific Staff ! 	 stay Chancellor recommendation friend make reservation directly hotel . rate easily comparable other available . hotel locate close Union Square Cable Car line , therefore easy get around via public transportation . one desk clerk go way helpful quite grateful . receive unexpected gift leave Saturday evening , way get home . Desiree R. take upon take UPS store Monday morning make arrangement ship . think beyond call desk clerk 's duty , kind service , hope , typical employee . we would certainly recommend Chancellor Hotel friend travel San Francisco . 
 Oct 20 2008 	 Good Choice 	 great 4 night stay Chancellor August – choice base largely review Tripadvisor . room ' large perfectly adequate hotel perfect position explore city . although little interaction staff friendly helpful . well recommend hotel would also suggest eat Historic John ' Grill great view Union Square try Cheesecake Factory Macy ' . hotel also close Alamo car rental office Bush Street . 
 Oct 20 2008 	 great place stay ! 	 book surprise get away husband mid October much research choose Chancellor - mostly due review Trip Advisor . disappointed . 's great location , accomodate early arrival , welcome present us room ( know husband birthday ) , bed comfortable , room spacious enough ( really , spend ton time room SF anyway ? ? ? ) staff friendly . definitely sound city hear open window night , , be San Francisco ! bad thing would comment water pressure - shower could bit strong , would not let stop we book . wonderful time . 
 Oct 18 2008 	 Location Service Comfort 	 husband celebrate honeymoon San Francisco October 12 - 16 . arrive early check staff gladly hold baggage check - in could go explore street city . request room high floor husband prefer height hotel room ; 15th floor , high floor building . upon check room , surprised find champagne , chocolate , gift staff celebration marriage . view overlook Union Square . staff friendly quick help question need . room large walk - in closet -- rare gem dense city like San Francisco -- well - appoint . price simply could not beat extensive research book trip . bed linen nice comfortable , room extremely clean operable window allow sun wind relax we walk SF hill ! return San Francisco another visit ( would not ? ? ) definitely stay Chancellor . location Union Square lend variety dining , shopping transit option . cable car stop outside hotel Powell Station catch Muni BART couple block away . consider Chancellor , go ahead book ! 
 Oct 17 2008 	 Outstanding hotel 	 stay 3 night October 4th - 7th . trip serve birthday celebration wife Patriots fan travel see play 49er . e - mail Wes ahead time let know theme trip west staff welcome . bottle wine , throw blanket ( 49er ... 's think count ) , picture frame present wife . hotel advertise would highly recommend hotel anyone want centrally locate everything , experience customer service well . thank Wes make we feel welcome . 
 Oct 17 2008 	 Excellent location - clean tidy 	 first visit San Francisco stay Chancellor arrange via Trailfinders part drive tour . thing start well . arrive San Francisco 5 pm good idea , especially someone unfamiliar area . do several tour block trying find somewhere park unload , eventually one party go hotel ' guidance ' tour block continue . do soon ! Bell Captain come sort we , show we could park unload help we unload . check - in efficient , somewhat ' sterile ' smile two would go amiss , perhaps long day , especially hotel seem busy Oracle conference town . explain option car parking , like city hotel , attach car park . choose $ 22 / day self parking option , multi - storey couple block away , drive attendant rest . turn , good option ' public ' car parking expensive allow many out like , although public transport good cheap , leave car ' lot ' stay . the hotel ( relatively ) old building , build early 1900s class ' historical ' decoration style reflect . room 9th floor , much view ' expect city hotel . US standard room small , clean tidy well decorate . bit concerned air conditioning warm day opening window allow San Francisco noise – however turn part charm listen ' ting ting ' street car , general hub hub city life course wail siren police car distance ! ceiling fan ' get work – end day ' user error ' . even offer ' pillow menu ' choose range pillow type one supply ' standard ' adequate complement large , comfortable bed . despite local noise ( window open ) problem sleep lovely wake sound street car go . although coffee / tea make facility room , coffee available lobby would seem city hotel provide room facility . the strong point hotel location . plenty shop , diner restaurant immediate locality two minute walk cable car stop – ! choose eat breakfast Lori ' Diner couple block away – highly recommend , even two ' cop ' next table enjoy pancake – like tv ! evening meal nearby baseball theme ' carvery ' excellent value money . already trip Alcatraz book ( miss trip ! ) one full day available , try cram much possible speak Susan hotel concierge helpful . sort we day pass public transport book we three hour bus sightseeing trip city . choose use streetcar Pier 39 area benefit commentary friendly ' brakeman ' back car , point local site interest . Alcatraz bus trip good , certainly whet appetite return visit long stay Chancellor . so , pleasant stay Chancellor would hesitation stay . footnote , leave glass hotel room , realise later way Yosemite . contact hotel return , Wes ( manager ) post back hotel ' cost – ' service ! 
