excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Oct 16 2006 	 first time guest please ! 	 boyfriend first trip NYC . know hotel expensive alot bad place NY , decide research . base research , find Herald Square good deal review . addition great review , hotel guest leave great tip use stay . ( i.e . eat - Speedys , hotel take money locker super shuttle . also real good restaurant northeast Speedys . forget name restaurant , go drink one night breakfast next morning . ) , time read review , , get tip . helpful . although hotel receive good review , still little hesistant . HAPPPY stay Herald Square . safe , clean staff friendly . would stay . room : receive upgrade room . expect something small , nice something bit big . bathroom : small , cleansafe : good safe . shopping : much shopping area , maybe 2 block north hotel . i.e . Macys , H & amp ; , Footlocker , Ninewest , etc etc etc . food : Speedys , place mention also good restaurant right next Empire State Building . subway : many near hotel . 
 Oct 15 2006 	 Herald Square Place Stay Manhattan 	 stay Herald Square November 2005 November 2004 . room stay time although small , adequate single traveller , offer upgrade decline happy room . shower toilet room fresh towel provide every day along soap shampoo need . bed clean room clean daily . the location great price budget traveller great . stay expensive hotel Manhattan , far concerned want somewhere nice clean sleep . stay November would recommend hotel anyone . 
 Oct 12 2006 	 good value city ! ! 	 hve NewYork City 1 dozen time ..... alone ..... stay many differnent hotel .... high low end ....... Trvael Agent well ......... truly beleive want clean , quiet good value hotel .... ........ 
 Oct 11 2006 	 great apart rude guy front desk 	 stay Herald Square seven night till last week . the room , small , clean bed comfy nice bed linen . room service day good . 's luxurious hotel mean suit we fine sightseeing time . the bad part trip day check . leave bag locker check go buy ticket Airport Shuttle . stay friend night come back area next day convenenient we leave hotel nearby . purchase ticket clerk advise cash enough . matter , say could get later come collect luggage . we return 4 pm collect bag go front desk purchase ticket shuttle bus next day . different guy front desk time . seem harass extremely rude . inform husband busy sell we ticket right would come back hour . explain leave basically shrugged . ask simply ignore we . flaw otherwise smooth stay rudeness leave we bad impression hotel . 
 Oct 6 2006 	 expect little 	 first time NYC 24 hour . arrive train walk hotel . not bad walk , depend much luggage . good thing hotel comfortable linen bed . room plain simple furnishing . seem bit small , other compare city . guest building seem tourist country try visit city & quot ; cheap & quot ; , . hallways narrow carpet help cut noise , find bit distract . could hear people nearby room echo hall . real problem encounter run toilet ( regret fix see inside toilet tank ) one two elevator appear order twice 24 hour period . 's large place not much way amenity . nice find local delivery menus room area lobby laundry . good thing hotel 's proximity Empire State Building . round corner walk 1 1/2 block . also later checkout time , nice . 
 Oct 5 2006 	 Great Place stay minor niggle 	 love stay Herald Square Hotel . Checkin quick efficient , find one old non - renovated room small clean single bed , clean bathroom shower bath . small problem hot water reliable , run water least minute get , run , would start run cold ( sometimes ) . thing think issue lift ( elevator ) slow ! annoying hurry ! still , stay , would stay . time next year , room upgrade . management need look hot water issue though . 
 Oct 5 2006 	 treasure 	 Herald Square Hotel NYC love hotel . clean , quiet , wonderfully comfortable bed staff always cheerful really helpful , top rate reasonable . you could not find anything else like great location . thank HSH great stay see next year . J.Rosewilde 
 Oct 4 2006 	 Great Value 	 first visit NY really expect much hotel . give wonderful location value exceptional . room basic air con noisey small price pay 2 min Empire State Building Broadway . want explore NY budget place stay 
 Sep 20 2006 	 Best Value city 	 without doubt good value NYC . . .Great BuildingGreat LocationGreat RoomsNice Staff200 buck night get twin double room top floor ( 9th ) view downtown , 34 inch wall mount plasma tv DVD , big white bouncy , comfy bed , nice bathroom , load fluffy towel , prompt , friendly efficient maid service - could want ? little hidden roof terrace direct view Empire State ? oh - one well ! stay hotel room cost 3 4 time much good - Herald Square first stop want good value hotel NYC . 10/10 
 Sep 19 2006 	 great week Big Apple 	 spend great week NYC 11 - 18 Sep . Herald Square Hotel centrally locate Mid - Town Manhattan near 31st Broadway price reasonable NYC ( $ 150 per night ) . 2 min walk subway hotel clean staff friendly . room small comfortable nicely appoint bathroom , AC , tv HBO Wi - fi safe keep valuable lock be see sight . breakfast avail hotel , ton reasonably price restaurant ( mainly korean ) within 5 -10 min walk . coffee machine kick butt . 100 % columbian , decaf , hot chocolate , favorite , cafe mocha . also nice sitting room dining area find take - out meal . as tourist thing , buy 7 day Metro Card LaGuardia Airport New York Pass Planet Hollywood Times Square . ton attraction might do normally free ( well tour part cost pass ) . couple thing stand : MOMA 4th & amp ; 5th floor ( Pollack , Monet , Van Gogh , etc ... ) , Met , Daily Show Jon Stewart , Colbert Report Yankees - Red Sox game . overall great hotel plan stay vist NYC next time . 
 Sep 15 2006 	 excellent look accommodation hotel 	 would consider hotel excellent somebody visit NYC see city oppose lounging around hotel . serve purpose safe , clean , comfortable well locate hotel sleep shower in . the newly renovate room nicely decorate . room ground floor plasma tv , phone extremely comfortable bed & amp ; bedding . room black blind relax . room also extremely quiet . bathroom new clean . room size small think two adult would find tight . stay group hear room quality vary drastically old room yet renovate . previous trip , remember room upper floor spacioius lot basic . staff helpful . restaurant breakfast bar ( coffe available reception ) however , starbuck great take breakfast place nearby . the location excellent . could easily walk Times Square subway around corner . 
 Sep 10 2006 	 great place great price ! ! ! 	 read review trip advisor , book hotel mother trip NYC Labor Day weekend . extremely please . room nice ; be not small thought would . bed comfortable , bathroom clean , hotel staff welcome . location perfect , within walk distance everything worth see trip NYC . complementary warm beverage locker use store luggage . mindful however staff adamant renting policy ( i.e . locker , iron etc ) , say must cash , mean . rent iron require $ 20 cash refundable deposit , believe thing go hair drier appliance . could little nice explae policy without sound like warden , guess law law . do not let discourage , overall great place . highly recommend definitely back ! 
