awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Mar 19 2007 	 somewhat disappointing 	 two night stay use HHonors Points . great location Aldwych adjacent Covent Garden . 5 min walk Charing Cross Station , Trafalgar Square , favorite , National Gallery . where else see great art many period human history , free . lot reasonable food choice available locally . property remodel owner lease Hilton . stop short 5 * many way . 's luxury real sense . remodel look like run money ( enthusiasm ) detail like poor quality finish work , badly fitting bath fixture , noisy poorly insulate floor , overall disappointment . furnishing good quality ... bed comfortable , bed good quality . bathroom personal care product good . nice rain shower head second room . check : direct Exec Lounge check . request upgrade 3rd floor deluxe twin first night , colleague join . room : first room comfortable , bathroom fairly large . request move king second night , assign room exec 8th floor . large room open plan living bedroom area . exec lounge ok fairly typical .... selection snack , beverage , breakfast etc . use hotel restaurant bar , poke around Palm Court conference room area . one could imagine bygone age edwardian diner enjoy facility grand public area . like London Hiltons , staff european rather British . hear Italian , french spanish spoken concierge desk , two day . everyone reasonably friendly efficient . overall , ok stay reasonable use HHonors Points . US Rating : 4 * . not expect luxury will not disappoint . stay ? probably . 
 Mar 18 2007 	 Beside location factor worth ! 	 nothing special ! location perfect , hotel itlself lack atmosphere . room average . typical Hilton would say ! mostly disappointing . keen stay Hilton hotel London book Trafalgar . much well ! unfortunately difficult find outstanding hotel London affordable mean 200 GBP night ! continue search ! 
 Feb 28 2007 	 Great Service ! ! 	 great hotel excellent service facility . must say inital reaction designer room mix , however room grow we . plasma screen fantastic bed comfortable . we find service excellent staff could not enough we . executive lounge excellent nice range canape's . the proximity Covent Garden great enable we stroll around morning , go Opera afternoon . I highly recommend Hotel comfort great service . 
 Feb 21 2007 	 Excellent Hotel ... PERFECT London Location ! 	 can not get much well hotel location London ! middle theater district , 2 - 3 block restaurant pub Covent Garden square Westminster London ( site location ) . room great service excellent . clean hotel ! 
 Feb 14 2007 	 Excellant stay 	 book 2 night b & amp ; b , dinner first night , GBP299 thoroughly enjoy stay . I ask room high floor , away lift overlook front , take consideration room 330 . would recommend front face room use sleep traffic noise concern we much view India House Aldwych well roof top . reason enjoy much come two thing - staff hotel quality . staff friendly , attentive efficient . staff welcome smile friendly manner , doorman take suitcase cab deliver direct room , check - in plus bar restaurant staff . quality hotel high , bedroom bathroom fitting ( bed pillow comfortable , use waterbe often case hotel ) food ( excellant breakfast choice obviously freshly squeeze orange juice muesli 's , fruit , cereal cook breakfast ) . inclusive evening meal good . good selection fix menu need consider exchange inclusive meal GBP25 credit la carte . I slightly concern quality room read comment website , certainly problem room size frosted glass partition bathroom , provide complete privacy loo blur silhouette shower , hey share double room would embarass ? also find modern style room relax . to summarise , although find well price deal central London inclusion dinner , extra quality e.g . Thistle hotel , warm welcome attention form staff make choice would highly recommend . 
 Feb 12 2007 	 Nice London WAY overprice 	 stay two day begin Feb 2007 work . receive great discount rate via work , normal rate look crazy . way 4 5 star hotel , wold classify 3.5 star . however hotel London seem overrate overpriced . get room interesting . hotel large quite spread . go lot fire door 2 3 step up / down . joy tote luggage . the room average size , odd shape ( & quot ; U & quot ; shape ) . bed highlight room ... nice linen , great pillow ( first London ! ) nice comforter . bathroom nice , small . small shower funky multi - headed thing . seem typical London hotel , not seem understand make shower not leak floor . careful , still step show large puddle . ( sigh ) lol . room decorate ... um ... modern ? coat - rack look robot thing metal boob square wooden head . ( ! ? ) not know make . build - in iron board nice , little storage space room ( room though ) . small area hang clothe 2 small drawer put clothe in . tv nice flat screen good selection channel ( typical 4 get hotel ) .the do - it - yourself tea / coffee service provide room day nice . french press style coffee cookie , etc . try room service ( breakfast available ) . starbuck around corner . the location great ( Strand ) , within easy walk distance theater , many place eat , etc . my work get great rate , bed nice would stay . however , would pay standard rate ( $ 500 ) stay ! 
 Feb 12 2007 	 exceptional ! 	 adore stay Waldorf . first , point stay heavily reduce rate . book london town website offer £ 100 cashback offer price match find cheap rate . book price £ 315 standard room , pricematche asian room site offering room £ 240 . add £ 1000 cash back get standard room £ 140.then good bit . arrive Waldorf , upgrade executive room . complimetary access Executive lounge ! Bliss . whisk lounge checkin sit leather armchair glass wine -- obviously far important stand checkin desk ! ! ! ! luggage take we step taxi , next time see room ! room . room . sit room armchair , sofa plasma TV . bedroom , also plasma tv fantastic bed , walk wardrobe . finally , bathroom , nearly big bedroom ! executive lounge free wine , spirit , coffee etc tap -- help . also serve nibblie certain point day , eg continental breakfast , afternoon tea , canape dinner etc . free , help ! novello theatre next door Much Ado , eat Bank restaurant door . although full free food drink , hungry ! breakfast palm court next morning good breakfast ever hotel . freshly cook serve table , good quality ingredient . sausage excellent . buffet pastry , fruit , cereal etc etc -- not eat rest day ! would not change thing stay , perfect . however , ' m sure could bring pay £ 315 ( standard room -- goodness know much executive suit cost ! ! ) get good rate -- go ! hope like mad get upgrade ! ! ! ! 
 Jan 25 2007 	 really worth money 	 book one night stay Hilton Warldof boyfriend birthday treat . greet friendly door man extremly helpful also find time ask have good time London . Checkin speedy give room number 508 fifth floor . room small . queen size bed seem fill entire room ! find frosted bath room door put ! surly high standard hotel could afford adequite door . boyfriend enjoy plasma screen tv sky sport . wardrope also small . luckly not many clothe we one night , going stay long not think would enough space hang clothe , would leave clothe suitcase . ' m quite sure kind theame Waldorf try atchive . room self morden gerish light fixture middle celling ( think giant bramble bush hangge celing ) , yet outside 1920' . the location really excellent , Covent Garden around corner lot theartres street , really go wrong want central location . I would go back , puerly 's location . be worth money like Holiday Inn Hilton . standard lack ment luxory hotel . 
 Jan 12 2007 	 nothing special 	 Location hotel offer . 's five minute walk Covent Garden around corner Drury Lane Theater Novello , Royal Shakespeare Company 's new London home . lot good restaurant bar , great shopping . 's handy dinner pre- post - theater drink . as stay . . . ' m afraid will give pass next time . nothing really wrong room . be look like generic modern corporate space could anywhere . fine business ( fact , get work do handy desk provide ) , not feel like London anywhere else England . minor complaint : book room last minute , dinner include . check , desk clerk insist stay not include dinner . not check another , high ranked employee confusion clear . maybe be nothing get annoyed , first impression crucial , one not cut it . in room , not like way toilet separate sleep area opaque glass wall . know trend modern design , wish would go away . luxury equal privacy -- period ! compromise , might well give pretension offer guest experience could not get hostel . the gym close , walk around low ground floor area business conference hold . truly dreary . feel sorry anyone endure conference there . there be brochure room outline history Waldorf . reading give well appreciation hotel , also highlight Waldorf become shadow former self . restaurant serve decent food , attempt update grand room wrap column third - rate art seem misguided . hand , many guest not seem like sort notice . quite not bother change jean sweatshirt dinner . we will certainly continue drink , occasional afternoon tea . London many hotel , one not special enough . 
 Jan 10 2007 	 Golden experience 	 book special offer birthday treat partner via lastminute.com could not happy . allocate deluxe double room spacious spectacular gold bathroom ! not try amenity relatively cheap deal get , moon . 
 Jan 7 2007 	 Poor Stay 	 stay one night would not stay . staff helpful lack local knowledge . hotel also look tired place especially pool area . Extortionate price ( £ 9 small plate cheese ) . yes location good worth . 
 Jan 1 2007 	 mixed feeling Waldorf 	 spend 2 night Cavendish Jermyn Street , excellent arrive 2 night Waldorf . book hotel package deal , 2 night b+b meal first night . difference Waldorf 3 time cost Cavendish worth it . firstly arrival check - in really busy seem chaotic . arrive car tell car would take park straight away . husband sit car quite case give ticket staff park . eventually chap come key husband empty boot , member staff explain would take car , drive licence , worry damage would covered hotel . we happy eventually give key hope well . enter hotel strange mix old new . room , suppose upgrade room small bathroom integral sleeping area glass panel door separate near dear ablution ! . beware Mini - Bar computerised soon bottle lift sensore pressure pad charge make account . eat Homage grand salon first evening excellent meal . for dessert French cheese ask would like Port go . say would bill come Port cost £ 16.50 tiny glass ! majority meal include package want pay cash remainder allow tell would sorted final bill . bill morning add nearly £ 10 service charge . cavendish this . also Room Service yesterday charge £ 2.50 Tray charge . else Room Service deliver except tray ! please hotel five star accolade start insist five star dress restaurant . couple next table we wear scruffy jean wet hair . both husband make real effort diner let badly dress people . the Waldorf leave grand hotel refurbish manner completely agree previous reviewer say Homage salon look ridiculous loud , garish photograph cover wall original mirror picture panel . overall nice stay worth money definitely worth pay 3 time stay Cavendish St. James . 
