great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Jun 17 2007 	 would hard pressed find well value 	 Hotel Chandler friendly , reasonably price boutique hotel . review mention small room , far hotel subway station traffic noise distract . would like say hotel room Manhattan small comparison room hotel adequate size . near subway two block away , close train keep night . not hear traffic noise frequently sleep undisturbed morning rush hour . hotel excellently situated ; two block Empire State , short walk Flatiron district , Chelsea , Time Square , Macy 's . hotel boast free WiFi , air conditioning , gym , free morning coffee New York Times friendly bar site early late evening drink . several breakfast cafe short walk away Anthony Bourdain 's excellent Les Halles Brasserie two block east Park Avenue , will not far go something eat . sum : room spotless , bed comfy , staff friendly helpful location A1 have hard pressed find well value . 
 Jun 4 2007 	 Good Spot Murray Hill 	 give high price hotel New York City , Hotel Chandler welcome alternative . ' centrally locate . staff responsive courteous . room decent size . cost affordable . elevator little slow , since room fourth floor , take stair breeze . definitely plan stay ! 
 Jun 4 2007 	 tiny room great amenity 	 spend one night Hotel Chandler past weekend . pro : Frette linen , Aveda bath product , friendly staffcon : absolutely smallet hotel room ever see NYC ( travel NY stay hotel least every two month ) . everything need room , include luggage rack , queen room small nowhere put luggage rack . lack space put anything , hotel pretty good price . 
 May 10 2007 	 Best Hotel ! Best Price ! ! get steal ! ! 	 place clean ! room modern minute away everything ! walk Times Square 10minutes empire state buidle around corner ! ! go back sure ! ! 
 May 1 2007 	 treasure ! 	 find Hotel Chandler line get great rate long weekend NYC . not sure would find get , well expect ! great room Aveda amenity , helpful staff , relatively close subway station local restaurant . room good size bathroom dead quiet , make great sleeping .... arrive , desk staff direct we yummy night korean bbq street block awesome ! another night walk Les Halles , Anthony Bordain 's restaurant , would highly recommend . $ 10 cab drive get B'way show . secret treasure NYC ! 
 Apr 26 2007 	 Excellent 	 return 4 day trip New York stay Hotel Chandler - Hotel excellent staff could not acoommodate we 22month daughter - Super Shuttle could learn alot Hotel customer service . look forward stay near future . 
 Apr 18 2007 	 love hot chocolate 	 return girly weekend celebrate 40 great time NYC ( despite cold ) . hotel great - room stylishy decorate , staff friendly helpful . lounge invite day shop put foot grab hot drink check e - mail ! Handy Maceys , Times Square Empire State . plenty restaurant within minute walk . 
 Feb 24 2007 	 ' budget ' ' fancy ' 	 hotel look interesting web , book expedia.ca look website . neat Frette linen Aveda product , linen not great -- seem worn fabric thinning significantly almost couple hole bedsheet ! room really small , really really really really hot . although vent keep blast cold air , somehow room remain hot dry whole 4 - day stay -- right Christmas ! first thought might fridge cause problem , not close properly . however , remain way , trouble get dressed go outside room , warm . go hallway finish dress . check , ask problem , apparently due NYC by - law keep heat ... ' m sure buy completely , warmth definitely kill stay quite bit . the hotel not close subway , either . nearest subway two block away . not mind much , warm December walk outside not bad . overall , become budget hotel , & quot ; quirk & quot ; . staff friendly , plus . breakfast not great -- well place get breakfast NYC $ 15 $ 18 per person . 
 Feb 6 2007 	 love chandler 	 find hotel trip advisor review . great . clean , nice towel robe , free coffee fruit , chocolate pillow next - day weather forecast card . good location . ' ve find nyc hotel ! 
 Jan 19 2007 	 ruin memory ( fantastic bell boy ) 	 love time hotel , nyc get married choose chandler hotel prepare wedding , wed ceramony book 3 pm day departure hotel , agree give we late checkout , one booked room , think ! ! ! ! ! ! return home honeymoon florida key discover chandler charge $ 80+tax checking late . whan call question say half day , say still room 4 pm , hahahahahah . get marry 3 pm , strange . receipt limo car use state pick time 2.45pm , marriage certificate state time date marry , SIGNED minister ( must tell lie , huh ? hotel chandler ! ! ! ) 12 witness wed . member staff say room 4 pm , night ? ? ? ? ? ? ? ? ? ? receipt time , certificte time , 4pm ! ! ! ! ! ! ! ! 
 Jan 8 2007 	 second visit good 	 husband slip weekend recovery trip ( college kid home holiday ! ) stay Chandler . room small previous visit much time planning stay room be New York City ? bed extremely comfortable ; nice bathroom ; window actually open ; quiet hotel . really love location- easy walk subway , bar restaurant noisy congested . price can not beat . 
 Dec 20 2006 	 Hotel Chandler - Camera go miss 	 Left hotel dinner friday night leave camera bed . return dinner 3 hour later bed turn camera GONE.No one hotel helpful situation basically intimate lose camera . never apology ' m still wait hear back General Manager . Saturday night leave room return find ice bucket unopened bottle wine , water desert night throw ! get point not want leave room . 
 Dec 16 2006 	 Brilliant hotel . Friendy Helpful Staff . 	 Brilliant Hotel . Close Empire State Building . staff friendly helpful . nothing much trouble . room nice clean . although view window fire escape , care window view be New York ? would recommend definitely stay . 
 Dec 8 2006 	 absolutely brilliant 	 could ask well hotel .staff polite friendly location prime location . wife ever go back new york , intend , would definetly stop . two minute walk Empire state building , less ten minute stroll Times square .Thanks Chandler great weekend . would also recommend dine Anthony Bourdains Les Halles , around corner great meal . reception Chandler happy make reservation 
 Dec 5 2006 	 enjoyable stay 	 book Hotel Chandler stay NYC celebrate husband birthday . read review small room rude staff . anyone stay regularly big city know large room come high premium - not go New York spend excessive time room anyway . far staff concern really criticism . staff good . particular , door staff , friendly , courtious helpful . my husband fussy average hotel , even impressed . our last stay NYC Wardorf Astoria . can not afford stay every time , good reasonably price hotel happy stay . 
 Dec 5 2006 	 great - Great Hotel 	 ( 4 we ) stay 4 night 29th- dec3.apart one piece nightwear miss room - compensate -the hotel discribe . we lead beleive bar price high side , & quot ; Happy Hour & quot ; , well 2 precise , 4:30 6:30 Mon Thursday . beer $ 6.picky bit side . so use we ! bath product robe nice , say not ? staff fine . & quot ; face & quot ; pleasentrie . Nearest tube three block 28th ST . -- -great Place Breakfast -- - & quot ; Tasty & quot ; name . take right front hotel , take first right will find it . the walk minute , smoothie great ! plus sausage egg muffin cake ! set day . for walk : take 25 - 30mins get central park10 min Macey's3mins Empire State Building.1 min & quot ; tasty & quot ; 
 Nov 25 2006 	 Bed bug Chandler 	 hotel nicely furnish , Aveda Bath Products Frette linen add nice touch one major issue 10 day stay : bed BUGS . try avoid room 925 , . count 40 bite change another room , decide simply change hotel . naturally , concierge claim never complaint kind . 
 Nov 15 2006 	 highly recommend 	 hesitant hotel read mixed review . well arrive speak friend recently move ny , certainly glad . arrive allocate room 4th floor discover smoking floor . return front desk advise smell profuse apology give non smoking room Emma polite helpful . the Ups - the hotel excellent location . within walk distance ton restaurant , shopping district , underground transportation Empire State building.-the service excellent . front desk staff friendly , efficient polite ( especially Adrene Emma ) . never meet attentive nice staff travels.-room fine , spacious , generally well appoint . nice , comfortable bed quality linen . good bath ammenitie . -breakfast great plenty item choose -- cereal , milk , yogurt , orange juice , pastry , coffee , tea , fruit toast . Downs - Intenet access work.-there room coffee.-breakfast great worth $ 18.-valet parking include in / out . fully reccommend hotel . 
