overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Aug 1 2004 	 Beautiful Hotel ! 	 spend night Hotel Burnham anniversary . beautiful hotel top notch service . use hotel 's valet parking , $ 31 in / out privilege . never use car ! location close wonderful shopping , theatre , restaurant , new Millenium Park . walk dinner lake fireworks Millenium Park . our room elegantly decorate comfortable great view city . go hotel 's wine hour pre - dinner cocktail . also coffee tea available lobby morning . eat breakfast attach restaurant , Atwood 's . pleasant good food attentive service . would definitely stay ! sure look wall across elevator see Reliant Building change year ... ' ve do beautiful job restore ! 
 Jul 29 2004 	 Burnham absolutely wonderful ! ! 	 husband stay downtown Chicago hotel month since March . Burnham really wonderful . great corner suite fabulous view , staff friendly . plan eat dinner hotel , tired evening ( much play tourist , fun ! ! ) , eat Atwood Cafe , food service good . hard top stay ! 
 Jul 14 2004 	 Perfect spot anniversary special occasion 	 husband stay Burnham late June . first trip Chicago well 20th anniversary , could pick wonderful hotel . architecture / history amazing , location ( right across park Marshall Fields ) also plus . upgrade spacious corner suite midway stay love extra room amazing view . entire staff professional , helpful , gracious , morning Starbucks coffee evening wine hour welcome treat . can not imagine stay anywhere else next trip , hope soon . Hotel Burnham far good experience hotel anywhere . 
 Jul 9 2004 	 40th birthday trip remember 	 surprised husband 40th birthday trip Chicago . bring along 2 yr old daughter . arrive Hotel Burnham , forgot celebrate husband 's birthday awe see beautiful room 10th floor . open curtain gorgeous view include Chicago Theater , Ford Performance Center , Walgreens , Marshall Fields name . chocolate evening jazz music definitely impressive . Atwood Cafe inside hotel awesome . wine reception 5 - 6pm include chardonnay zinfadel really good . history hotel must read . hotel beautiful , clean decorate king queen . go back Chicago , would stay anywhere else , Hotel Burnham . location hotel put short driving walk distance almost attraction desire spot . stay Hotel Burnham , leave without visit Navy Pier , Magnificant Mile , thousand museum art gallery , Oprah Winfrey studio course Sears Tower . near Hotel Burham . enjoy stay . love . 
 Jul 8 2004 	 one good ! 	 stay hotel week July26th,2004 . use hotel solely regular visit Chicago . lovely ! location perfect shopping , touring , theatre , Grant Park Lake . free city trolley stop corner . ambiance wonderful help truly make outstanding choice . hire well available every position ! 
 Jul 6 2004 	 Highlight trip ! 	 Hotel Burnham wonderful definitely highlight trip ! charming room beautiful . take boyfriend 30th bday love . honor every request make ( upper floor , NEast corner = good view ) . turn service chocolate nice touch . even turn classical music ( stereo room ) dim light ! complimentary wine hour also treat . definitely get much money hotel . definitely stay hotel ! ! 
 Jun 30 2004 	 Hotel Burnham terrific ! 	 terrific stay Hotel Burnham Chicago . email ahead time bring daughter Chicago 12th birthday , ask could anything special . ! Jenny book we room overlook park . Tracy acknowledge daughter , promise would something special room evening . come back popcorn , pop , cookie evening . daughter think turn - down service ( chocolate ) awesome . attraction ( American Girl Place , Field Museum , Navy Pier , Shedd Aquarium ) , Hotel Burnham highlight trip . room not big , decorate like one web site . quiet feel safe . sleep sound . 
 Jun 2 2004 	 Best Hotel Chicago 	 staff top - notch . arrive early allow check - in immediatley . room great . nice view State St. Quiet , hear guest . staff attentive friendly . hotel beautiful restore tastefully . little hotel big heart ! 
 May 11 2004 	 one good ! 	 Hotel Burham welcome refuge bustle big city Chicago . be small size , beautiful renovation , comfortable room , excellent location exceptionally pleasant , professional helpful staff would stay Hotel Burham recommend traveler hesitation . Ritz Carlton treatment price ' average joe ' afford . two thumb Hotel Burham ! ! 
 Apr 28 2004 	 wonderful stay ! 	 boyfriend stay Hotel Burnham April 24 , 2004 . hotel locate perfect location theater - goer . ticket see Phantom Opera Cadillac Palace Theater , short walk cab ride away ( Chicago , noble , Oriental Theaters ) . hotel also locate next great shopping , red line El stop practically hotel 's front door . staff extremely friendly helpful . seem eager please . package include bottle sparkle wine , chocolate , free valet parking night ( great bonus area parking nightmare ) , continental breakfast two next morning . dinner Atwood Cafe , restaurant locate lobby hotel . restaurant bit cramp noisy , food fairly good . would recommend graham cracker calamari . stay King room one top floor . room beautifully decorate ... elegant word come mind . every amenity readily available , staff come theater perform turn service complete chocolate jazz music play stereo ( stereo five disc cd changer , nice ) . bed extremely comfortable room quiet . hear guest time stay . hotel lot charm character . historical landmark one time house office . elevator lobby breathtaking . overall , would HIGHLY recommend hotel anyone plan visit Chicago . 
 Apr 25 2004 	 get back Hotel Burnham 	 return wedding Chicago Hotel Burnham . great hotel ... unique beautiful . staff friendly helpful . room elegant . take king room much small try double room . hotel complementary Starbucks coffee available 6:30 newspaper , evening turndown service ( chocolate ! ) . take CTA train O'Hare Washington stop one block hotel $ 1.75 way ... can not beat ! ! ! convenient ! shopping restaurant right . highly recommend . 
 Apr 23 2004 	 superb service ! 	 service hotel unparalleled experience . every question answer quickly promptly ; every special need address almost immediately . place service fall short restaurant / hotel ( dinner far well breakfast , way ) . room small , well appoint pleasing eye . ask advance bright room view , get it . one note : hotel bit hike Magnificent Mile Chicago . hand , be within walk distance Art Institute , be across street Marshall Fields , shopping lover . 
 Apr 18 2004 	 Great Location 	 wonderful staff . Red Line right outside door . park three short block away need walk dog . Kimpton propertie wonderful pet . never hear sound ( International Kennel Club Dog Show ) . still , be shame irresponsible pet owner bring unhappy , bark dog nice hotel . be sure dog quiet comfortable room - leave home suitable surrounding . 's fair guest , especially we take great pain properly socialize pet . 
 Apr 17 2004 	 Wonderful Place ! 	 wife return great weekend Chicago . Burnham Hotel make anniversary stay memorable one . upgrade suite , champagne prepared room arrival , everything take care perfectly . hotel conveniently locate red line , walk away blue line O'Hare . plan see show theatre shopping Marshall Field 's flagship store , really good location ! room elegant preserve heritage maintain modern touch . 
 Mar 31 2004 	 wonderful place stay 	 wife stay weekend celebrate anniversary absolutely love . service impeccable , particularly concierge find we outstanding dining . complimentary shoeshine robe , well evening turn - down service great touch . room small , bathroom plenty large . decor really cool ... Reliance Building use office building door floor look like 1920s office door - work iron trim add look . for part front desk staff kind , not seem knowledgable go concierge not available . also , concierge particular Saturday night ( oddly enough ) , be good backup possibility , ask soon arrive . this hotel rank highly list , & quot ; romantic hotel & quot ; list , etc . deserve every bit approbation receive . 
 Mar 24 2004 	 Top Floor Room 	 stay Hotel Burnham March 13 , 2004 wonderful experience . sign Kimpton Frequent Guest program trip book room Burnham Hotel website use membership number . surprise delight give top floor corner room upon check - in ( hotel 15 floor ) . room northern exposure could see State Street Chicago River ( small glimpse green ) . light Chicago Theater not work ( 's renovation ) provide great view dazzle light display nearby theater . room small side , clean well appoint . internet connection blaze fast ! welcome room note concierge chocolate chip cookie . hotel 's lobby common area clean beautifully restore ... keep building 's original wrought iron stair railing , wood trim / wall panel tile floor . amuse get elevator see quaint common area set room old fashioned & quot ; office style & quot ; window hallway door . room look like could walk private office set 1920 . although not dine hotel restaurant , generally good dining crowd afternoon evening . & quot ; loop & quot ; location excellent right next door Marshall Field 's & quot ; grande dame & quot ; flagship store . stay large Michigan Avenue hotel later week , wish make additional reservation Burnham Hotel . would definitely stay Burnham visit Chicago . 
