bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Sep 4 2007 	 great Value money staff absolutely fantastic helpful 	 ' stay hotel weekend , slight delay check , believe system failure , room spacious clean ask extra towel bring within 2 - 4 minute even wardrobe see first place , shower bit confusing operate know work fine . Food Restaurant ( Carvery ) presentable great value money even promotion 25 % , staff helpful constantly smile face . Restaurant Manager believe Arjent friendly explain we extra facility hotel explain activity interesting place around city . concierge staff organize taxi even plenty people go . definitely go back hote . 
 Aug 2 2007 	 alright surface ...... 	 arrival hotel look nice , reception area , bar etc . slight delay check give complimentary upgrade ( standard double deluxe double ) far , good . the journey room make good impression , nice lift , hallway room not disappointed . although little small London all . we specifically ask quiet room ( girlfriend operation nearby Moorfields Eye Hospital ) constant bang drilling go somewhere hotel whole afternoon . able drown put world 's noisy air conditioning unit . simpy impossible sleep unit create problem night room become quite hot indeed . we eat hotel night , take advantage carvery buffet . food pleasant however strangley gravy carvery ? overall hotel ok , unfortunately unable peaceful restful stay hope . although must say hotel convenient anyone visit Moorfields Hospital short walk away . if visit area think would look alternative place stay . 
 Jul 26 2007 	 Awful Hotel 	 arrive hotel high expectation ( 4 Stars London ) . reception / foyer give good impression hotel . get give room . standard single room small come without airconditione . complain reception staff ( speak english ) eventually upgrade deluxe twin air con room move around . the restaurant facility also poor . breakfast include booking give 5 coupon use morning . due lack communication hotel staff que 10 - 15min wait seat coupon hand . ( like back school quee lunch ) .The plus side hotel leisure facility . Swimming Pool , Jacuzzi , Sauna Steam Room good gym little small side could use well ventilation . my general impression hotel poor . staff helpful understand . be look accommodation london go elsewhere . will get well facility , service value money Travel Inn . 
 Jul 23 2007 	 say tin ...... 	 book two night weekend break hotel Lastminute pay £ 70 night twin rom . yes hotel tatty staff would benefit customer training ( especially spa team - shockingly rude ) . generally clean ( bar small stain sheet ) happy enough . want somewhere cheap , reasonably close central London not expect much deliver . one reason choose hotel pool - important would advise go elsewhere . water cold swim long 10 minute spa staff beyond surly . 's shame facility nice . 
 Jul 22 2007 	 would go back 	 book hotel top secret hotel website . happy find Thisle good reputation . however arrive overly impressed . to start reception staff slow check we . book double room try put we twin room , receptionist say would upgrade we delux double ; great thought see size room . clean good size bathroom ( good work shower ) eminitie set work stay , rest room small comparison Travelodges small B & amp ; Bs ' ve stay . air condition little hard program first little noisy ( essential room get hot ) . pool area lovely . staff , steam room , sauna , spa pool main pool really clean quiet time go . fault all . we order room serive first time ever special weekend . take 3 attempt get correct cutlery we , 2 fork , 2 knife 2 spoon . hard would think . consider add breakfast bill find £ 17.50 buffet ! whole , room clean , pool lovely hotel little way near tube good 15 min walk away staff helpful would think . will not go back . 
 Jul 20 2007 	 Lack care 	 hotel quite neglect . window need clean outside thing remain state disrepair . the kettle hide away took not work bring another one . staff fine hotel obviously badly manage . definately clean though . 
 Jul 18 2007 	 not book shabby hotel million year ! ! ! 	 dreadful . I strongly advise anyone contemplate staying reconsider . book two night stay part theatre break package superbreak & amp ; ' m currently go dispute withthem bloody awful . the minute arrive thing start go wrong . staff hotel primarily foreign ( nothing , would nice understand two word English ! ) rude ignorant . arrive fiance 's birthday find wait entrance hour half unsatisfied guest check . tell ' system crash ' . finally receive ' our ' key open door find man stand boxer short , iron shirt ! situation extremely embarrassing go downstairs get another key staff brush nothing . wewent new room trouble lock , would take least eight attempt card register , iron broke , bathroom filthy- filthy grime embed tile , shower work pathetic dribble water come tap . clean tooth bath tap take shower downstair gym change room . COMPLETE JOKE . Despiteour complaint room nothing do even promise luxury room original encounter unfortunate man underwear . the hotel refurbishment look straight eighty , dive , please not fool glossy photo like we . Yesthe hotel gym pool actually quite nice , thefacilitie filthy standard certainly disqualify . shower need rip replacing- look straight ofhitchcock 's ' psycho ' - kidding ! morning breakfast poor , believe hotel actually still water pure orange juice ? ( trampy get ! ) every juice matter . english breakfast lukewarm , rubbery bacon ' fresh ' croissantsthey put stale , mmm really appetising . location hotel extremely poor indeed , smack bang middle deprive council estate high rise flats- funny nevermention website ! ! near train station Old Street , 15 min away , good though change train walk station really swallow time ( plus could without worry getting mug ! ) needless stay stay hotel strongly advise stay reconsider stay . hope review help someone make informed decision , would do . know site blow £ £ £ s holiday would booked shabby hotel million year . 
 Jul 16 2007 	 great hotel would stay ! 	 ' ve return weekend break London feel set record straight hotel . not pick hotel part prize say next time go London consider stay ! read review went look forward stay . however , room clean perfect size weekend break . hotel quiet security pass get main door night great idea . pay extra full english breakfast , can not find fault food way , plenty choice greasy . I find Gym well equip pool / sauna area clean relax . friend also book swedish massage whilst amazing ! ! ! great value perfect day gym pool . hotel situate close underground trouble get attraction would book . eat London require bit walk nothing doorstep choice worth . location , be like inner city area see problem whilst . would recommend get taxi back hotel night , would wherever stay . 
 Jul 10 2007 	 Nice Hotel . listen review . 	 okay hotel good area , middleof Islington . that s thing wrong hotel . the area perfectly fine day . wouldrecomend taxi night . £ 10 west end hotel . whichis reasonable London price . breakfast buffet style lot choice . makesure make use free facility like sauna , steam room swimming pool . also massagewhich amazing . good value , cental Londonhotel would reccomend stay , 
 Jul 5 2007 	 absolutly Rubbish 	 total dump , nothing hotel work . absolute hole ! 
 Jun 28 2007 	 lovely hotel bad location friendly ! 	 review mad , everyone entilte opinion , not tell people ! ! ! stay hotel time past year problem . staff always friendly & amp ; helpful towards guest . room small ( difficult cope weather hot ) also worth upgrade extra £ 10.00 room spacious , locate overall building . leisure facility hard find London , swimming pool , sauna , steam room , gym . good use first thing morning quiet . overall bad hotel , stay bad , would rate 3/5 . actually 3 * * * ( AA rating ) 4 , comment suggest . 
 Jun 12 2007 	 ok one night 	 10 we stay hotel weekend 9th-10th June niece hen weekend . get package specifically hen weekend pay fairly cheap price . read review go expect horror story . honest palace ok 1 2 night . room ( 2229 ) small clean , bed clean , bathroom clean , although tile little mouldy corner . toiletry supply towel . front desk be not helpful , girl speak poland repeat time . get room card would not work go back get change . arrive back night do not work get change quite annoying . would consider stay cheap price . 
 Jun 7 2007 	 Cesse Pit 	 stay last novemeber , whilst training course work . from moment check shocked disticnt lasck customer service focus . room look like something Frank Spencer sketch , room smell damp , cold even heater , make room smell even bad ! tv signal shoddy say least . bathroom .... well old , high clean standard . even buy bottled water brush tooth tap filthy underneath ! unfortunate stay old part even , ammount money stay extortonate say least . would rather stay travel lodge next time . £ 60 top clean nice room . know get . bad 3 night ever spend hotel , could not wait check ! even staff not thank stay , rude give recipt expense . avoid cost ! 
 Jun 6 2007 	 pleasant surprise ! 	 read review hotel , seriously consider cancel stay . ' m glad not ! room large , clean nicely decorate . breakfast lovely . one member reception team particularly nice helpful ( despite abrupt snappy supervisor ) . sure name pretty young blonde girl . take we 10 min get bus bottom road Leicester Square . would definately stay . 
 Jun 5 2007 	 complete dump 	 put hotel bank ' m work . way earth four star hotel . speak colleague , room decorate , people might lucky get newly decorate room . not lucky . furniture easily 25 year old . windows noisy ( two floor could hear people cough street ) . not need curtain window dirty black . bathroom old , tile grout orange not clean . put soap soap holder wall , fall wall . avoid PLACE . staff friendly helpful , 's . 
