excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Jul 16 2004 	 moaning ? ? ? ? ? ? ? ? 	 god moan groaning ? yawnnn ! absolutely nothing wrong hotel , ok may 4 star hotel Americans Canadians say use , fine not like go find another one ! simple not ? find staff helpful enough , real problem . meal acceptable sorry disappoint room nice , comfortably furnish clean . stay combined hotel theatre break enjoyable . the room service punctual polite . ok maybe staff bit surly , remember London Orlando theme park ! pay poorly , not think . London Leeds . 
 Jun 14 2004 	 Decent hotel stay 	 Got room via priceline 4 * hotel good price . find room decent size , clean full size / queen comfortable bed , large hotel stay . step 2 stair sleep area could least walk around bed side . nice marble bathroom good shower toiletry . bit cramp area near hang clothe cabinet writing desk opposite give lot room use iron doable . Hairdryer also room . use wake call via tv work great volume increase wake . Warren St. Tube quick 1 minute walk outside hotel . 2 supermarket neighborhood across street allow thing bring room . small mini fridge room . helpful desk staff check let leave luggage room ready . however , need taxi , not use . black cab charge want . ask get car . cost 12 ? go king Cross Rail station , could probably walk 15 minute get tube lot less . 
 Jun 9 2004 	 Greta Hotel 	 stay Grafton 3 night May ' 04 . request receive king bed high floor . delighted room 450 . locate corner overlook Warren Street Underground Station . room windows ever see hotel room even open ! king size bed wonderful linen clean . bathroom also wonderful . rich marble throughout shower good hot water . room american style electric plug cell whatever . Grafton locate business residential area slow trickle night , bustle day . plenty little restaurant shop right , many close 6pm . delightful little italian restaurant right street open 10:45PM . good pasta carbonara anywhere . Grafton also restaurant bar . bar fun tender EU . veritable UN right hotel . concierge duty hour helpful informative . see negative review hotel website , experience delightful . would definetly stay . 
 Mar 12 2004 	 Nice Hotel 	 two room 6 night Grafton Hotel London March 5th 11th pleased hotel . hotel clean , recently refurbish ideally locate . Tube stop Warren Station practically next door McDonalds next door breakfast not get breakfast package . Lot 's nice shop neighborhood plenty wonderful restaurant . talk Concierge get several recommednation eat . staff pleasant nice stay 
 Mar 11 2004 	 Rip 	 Nice room , poor tv channel selection . fantastic service lobby . let poor food , appal service bar , rude aggressive -OK maybe English first language , customer face skill training require - sling . also rip , charge service charge everytime buy drink ! ! ! ! ! Rip apply ' tray charge ' service charge room service . cost fortune get bland food deliver room . top tip - stay BUY mean , ROOMS nice CLEAN - not SPEND PENNY HOTEL . 
 Feb 20 2004 	 bit way will sleep well 	 stay two night September 2003 . deluxe room acceptable size , feature step entry / bath area sleep area , could hazzard middle night . large bed quilt comfortable . happily iandian summer , air conditioning work . modern bathroom decent size . include cotton ball makeup removal , toughful feature see expensive hotel . the location not great can not walk sight hotel . however , tube stop close . large supermarket accross street . like other , ' m still pursue elusive air mile give base stay , darn annoy many month later ... 
 Feb 12 2004 	 not expect much . 	 stay Grafton 10 night , visit daughter study univeristy nearby . room allocate least 200 m away lift . get lose first time get back room . room bathroom small . window open onto enclose arcade dark . ( pay 100gbp night ) location quiet end Tottenham Crt Rd close Warren St Tube station , good Victoria Line . 
 Feb 12 2004 	 air mile ? yeah right ! 	 stay Grafton August 2003 . book online rate rate rule explicitly state , & quot ; frequent FLYER point AWARDED & quot ; . radisson one British Airways ' partner chain , expect receive mile stay . ! present BA card check - in check - out , receptionist assure mile would show account shortly . end October receive none , send bill BA together miss mile request form . middle February still mile . whole thing scam ! know 's BA 's fault Hilton ICHotels mile always come within matter day . 
 Jan 31 2004 	 bit depressing 	 Stayed last week - room quite big large bed , decoration dark depressing . reasonable location , although near many main attraction . 
 Jan 4 2004 	 avoid Radisson Edwardians hotel London UK 	 reserve Radisson Kenilworth Hotel , theytransferre we Radisson Grafton Hotel Warren Street Tube Station due hotel Christmas closure ? ? ? ! ! ! treat we horribly , fight staff Grafton make honor five day prepay reservation Radisson Kenilworth . hotel staff Radisson Grafton act could bother anything . refuse accept delay luggage airline tried cover discover fault lie we ! ! room king size bed horribly cold heater adequate room size . avoid Radisson Edwardian Hotels London cost ! ! ! ! ! 
 Dec 11 2003 	 bait - and - switch regard Deluxe room 	 hotel offer choice standard deluxe room , reserve deluxe room even though price high . check , give tiny room ( even London standard ) uncarpeted floor . walk hall , could see large room upholstered furniture , immediately suspect give deluxe room ( , remember , carry high rate ) . ask two employee room standard deluxe -- one assure room deluxe say room . really resent lie , fact two employee try convince room deluxe suggest something fishy -- coincidental slip - up . a / c not work tiny room , get reassign different room , indeed large , carpet , seat area upholstered furniture . the second room nice , except a / c sort limiter , temperature adjust slightly . even set low temperature , still 80 . problem encounter many european hotel ... forewarn European a / c equivalent North American a / c . 
 Nov 30 2003 	 dirty Laundry ! 	 stay Grafton last October . lot construction go Hotel . part refurbish nice , room shabby . stay full problem - awful thing state bed linen . many dubius brown stain bed spread physically repluse . complain tell laundry service hotel use not good . ask clean linen tell linen similar state ! put item laundry return beautfully press , still dirty ! complain tell laundry fee would remove bill , needless say checked still charge ! another complaint meet surliness staff . clearly feel fault stupid enough put clothe laundry first place . completely put we Radisson hotel ( bad experience five star Radisson Amsterdam - get wrong ? ) . would stay well clear radisson - even room free still would worth money ! 
 Nov 6 2003 	 excellent hotel cold service 	 hotel excellent , staff use good school learn nicer . stay hotel 3 time last 4 year always good stay ( last stay last week ) . hotel super good location , room nice well equip 4 star hotel . last stay room bit small still good . would stay next vist London . 
 Nov 4 2003 	 nice hotel horrible service 	 hotel nice great location , staff service shockingly miserable . problem though , be standard everywhere UK . first room simply small 3 week stay request change next room nice ; comfortable size clean . 2 , 4 day spell could not dial room laptop ... annoying give staying business . also message come tv 6 am tell bill £ 1000 pay immediately ! lift not operation day , ice machine never work , could not sort give airmile . back new world everything work ! 
