Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 Jan 18 2007 	 fantastic visit city 	 stay omni least ten time past year . year first time friend go tree light shopping christmas . everything well ever , renovation facility outstanding . staff extremely nice helpful usual , friend impress entire facility . room renovate large compare hotel new york . concierge helpful provide we reservation number club restraurant . number one place new york far concerned . location beat shopping site see . christmas beautiful city omni make well . 
 Jan 14 2007 	 Perfect Stay 	 say wonderful hotel . location ideal 5th Madison within walk distance good shopping city offer . room large New York standard luxurious spotless . stock mini bar snack basket , though bit overprice . bathroom upscale Bulvagri lotion shampoo Dutch soap quite nice . bed extremely comfortable turndown service mint pillow add touch . even extremely comfortable queen pullout sofa setup we ever night . room also include large plasma tv . concierge helpful find perfect restaurant evening help we venture city . though New York countless time , hotel leave indelible image New York luxury mind . must stay . 
 Jan 14 2007 	 Superb Location 	 stay : Jan 11th 14thLocation Hotel : Superb . Rockerfeller centre round corner , easy walk museum , perfect shopping Madison , 57th Park Avenue , Grand Central easy 10 block downtown . visit NYC four time far good location ' ve stay in . Hotel Room : good size NYC , clean , comfortable bed , nice deep tub soak . construction site rear hotel do not notice excessive noise - double glazing cut lot . room 14th Floor overlook site - be not put guess low floor would probably noticeable . staff : find pleasant helpful . Select Guest Program : everyone sign - log onto Omni website plug detail you re do . Front desk staff give request tag hang door check - Coffee , Juice , ice water NY Times arrive every morning time request - nice freebie have . would stay ? : yes absolutely 
 Jan 10 2007 	 would definately stay 	 thank mommy2cheyenne , become & quot ; Select Guest & quot ; stay . get comp . starbuck coffee - 2 pot - deliver door request time morning ( not coffee pot room ) . also mention birthday , hotel bottle sparkle wine wait us evening ( comp . ! ) .The room clean well appoint - closet , wardrobe hang clothe . really nice bath . king size - comfy bed fluffy comforter . ' ve stay Grand Hyatt previously much nice hotel , Hyatt dingy compare . 9th floor hear construction , wall thin - bring earplug ! ! ( get 4 rather 5 star ) location perfect . block Rock . Plaza , short walk Central Park Times Square . 
 Jan 9 2007 	 Great stay 	 sum hotel two word ; fantastic stay . nothing else need state 
 Jan 3 2007 	 enjoy ! 	 stay Omni Christmas . room clean , byt NYC standard , good size . area hotel locate pretty noisy , long keep thick window shut , will not hear ! loved new bar Fireside ! go night drink , bartender manager great make experience great ! 
 Dec 28 2006 	 Loved ! 	 love hotel . let we check early , give we free upgrade give daughter bag goody keep . room decorate nicely . king room sofa , desk , huge window ! bed comfortable bed ever ! ! every morning get complimentary hot chocolate coke two different newspaper deliver right door . day check give we strbucks gift card , ! stay ! ! ! thing would mention construction go outside may bothersome people low floor ; 18th floor hear faint humming noise . oh , food sevice expensive . 8 oz glass bottle coke $ 6.50 , many place close eat . choice order room service first day Christmas day lot place close . daughter get mini burger , husband get chicke breast , also get 3 coke , bill come $ 96 ! ! 
 Dec 21 2006 	 tired 	 room average small . small define impossible move around iron board out . the decor little tired room . the room one accessible power outlet part lamp suitable adapter . there major construction next door look like year go . I warn room due noise soon discover myself . ask put back wall hotel . the gym date well maintain . the miss foot strap bike replace two year . unless order USA today get paper choice . over underwhelme place . 
 Dec 19 2006 	 Omni Berkshire Great ! 	 stay Omni Berkshire ( 52nd Madison Ave ) week Thanksgiving . hotel great ! staff pleasant helpful . hot chocolate afternoon come sightseeing . bring newspaper , coffee hot chocolate room morning . even small welcome pack 7 year old daughter arrive . location convenient . will definitely stay next trip . 
 Dec 13 2006 	 fantastic hotel do not think previous person hotel ! ! ! 	 stay omni berkshire place 3 night 7th dec 2006 . staff friendly helpful moment arrive . deluxe double room book fantastic rather large . clean well decorate . bathroom large , clean well light . location fantastic fifth ave madison ave 2 miniute walk rockafeller centre , 15min time square 15mins central park . previous person say review noisy outside night long , find case 3rd floor . also say wall thin could hear people conversation find case . overall happy hotel join select guest program free tea / coffee / orange ice water deliver door specify time every monrning dot without fail . we would definatley stay hotel would recommend . thing would say need book taxi get airport , struggle 3 - 6pm taxi go duty change driver . tell book private car concierge . expensive thought would worth instead struggle get taxi . wrong . book car 5 pm not show 6 pm . pay $ 133 service get Newark airport think service poor price . never book car concierge triple price always ask doorman first car service would charge $ 75 tip , toll . 
 Dec 2 2006 	 Big Disappointment ! 	 Big Disappointment ! want sleep , fine hotel . spend three night Omni Berkshire Place last week . comment : 1 . price : pay holiday premier , $ 619 per night double - room , fine , ten - inch hole [ -- ] .2 . room condition : room need serious facelift . stain , pill - off wall paper place . 3 . bathroom : small marble bath thick layer dust lamp . may reason keep bathroom dark.4 . public Space : lobby old dirty , nothing chair cover layer grease . ' event want look . Corridor ok , old . 5 . service : General ok . make room service correct wrong twice three order . service people lobby snobby side . 6 . location : good midtown location . trade noise street run night . want wake 3:30am garbage truck , location would ideal . 7 . insulation : insulation . hear guest ' conversation next door tv . spend hotel intensely , never experience close one . stay far bad hotel experience ever . interesting thing real get angry . simply , price gorging , expectation set low , Omni Berkshire even go lower . unbelievable . 
