good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Dec 29 2008 	 cramp tasteless 	 book expedia , hotel website seem great much look forward . Hoever , upon arrival hotel , wait reception 15 minute man behind desk decide get phone . show room ( could call room broom cupboard ) supposedly 2 people , single bulb ceiling , bed barely big enough one view brick wall , mould bathroom . phone reception tell unhappy acomodation , tell staff ' our problem ' could move room . rudeness staff unwillingness help we anger , move hotel imediately Paramount heat discussion expedia . paramount 5 minute walk way , much spacious general much well hotel . would reccomend new yorker do not mind stay squalor darkness , arrogant staff act like hotel , work . never ! 
 Dec 27 2008 	 great location 	 stay Oct 07 8 night . honeymoon trip New York great overall , hotel impressive time . furniture outdate stay one old room , corridor dirty staff helpful . hotel middle renovation period work place every day . hand , location great , opposite Madissson Square Garden close Macys , metro stop hotel , view room ( 19th floor ) Empire State building magnificent . guess today , renovation room new , good choice stay New York . case , trip New York leave much time spend room ! 
 Dec 27 2008 	 wow 	 choose New Yorker Mother / daughter girlie week , see site shop . hotel wonderful , staff great good sense humour . thank admiration transportation desk prepare help give advice hour ( include 5.30am bemused brain wake we 3.30 get we move day 1 ) . room excellent , bed comfortable , bathroom provide plenty steam hot water . despite queue influx people , reception desk staff quick , efficient also sense humour . disappointed drink make facility room quick call housekeeping remedied problem provide coffee maker keep plentiful supply coffee creamer . no need comment location , , everyone stay say could well . we wait see get back quickly possibleBig disappointment , beware Newark taxi driver , take ride . next time easy take NJ transit train Penn station . 
 Dec 21 2008 	 Great Location Solid Hotel 	 stay New Yorker mid July , primarily due vacinity Penn Station ( take Amtrak Maple Leaf ) reasonable price quote on - line . overall impressed hotel . first , due weather issue , unable check - in 1130pm ... worry , hotel staff great check - in within minute . location Penn Station unreal , be block north Northwest entrance . expect huge room , well single bed , be big , since likely spend 80 - 85 % time city , be fine . room really clean clean staff address question / problem ( btw problem tap leak first night address next morning ) .since hotel top , C E subway street 1,2 3 line get anywhere anytime . able get site attraction want relatively quick time . primary reason trip see Yankee Shea stadium not bad get hotel via subway . honest really sleep hotel city rest time ( MSG , Yankee Shea Stadium , St Patrick 's Cathedral , WTC site , etc . ) . main pro con stay : pro : Location- see abovesecurity- show pass get elevator timecleanliness- clean comfortable roomaccess subway- see , be right belowaccess attractions- street MSG Empire State Building . also shopper , Macy 's 2 block westvalue- paid+location , excellentcon : room size- minor con , ' m sure people need large room .... place might youair conditioner- bit noisy really , really cold ( even low fan ) Bathroom- although clean fair size , outdated ( green tile look like sink 40 's ) Cable TV- hardly channel , NYC city never sleep , need tv , overall con minimal pro far outweigh . would definately recommend hotel anyone already parent . 
 Dec 20 2008 	 fantastic hotel 	 Absolutley brilliant hotel . 5min walk time square , madison square gardens across road tick tock diner attach hotel great breakfast.staye New Yorker hotel 4nights fiance pleasant stay . stay renovated room 28th floor comfy bed clean facility . staff members pleasant smiley . happy help time day night . cost around $ 50- $ 60 JFK airport hotel include tip . tip everything ny.anyone stay hotel fantastic stay brilliant time new york ! ! ! 
 Dec 19 2008 	 Great Location 	 return short break New York . New Yorker Hotel refurbish look good . my friend stay two double bed metro room , honest quite small slept ! room spotlessly clean bed lovely comfortable . it would nice tea coffee make facility though . attach hotel Tick Tock diner could get delicious breakfast would set day sightseeing shopping . the location New Yorker fantastic Macys Empire State Building around corner attraction within walk distance . the Christmas light stunning top snow , fantastic time . 
 Dec 12 2008 	 Great Place Great Location 	 girlfriend stay 4 night , love ! late get due weather delay flight , check around 11.30pm , problem , staff smile helpful . first one use renovated room 21st floor , roomy enough , bed heaven , everything work like suppose ! hey , NYC ! ! be not live day night room ! could walk everywhere end town , Broadway , Times Square , Central Park , plenty shopping food close ( try pizza slice 2 block - delicious ) , bus ride financial district , China Town , Statten Island Ferry , Ground Zero Statue Liberty etc . time leave , quick walk Penn Station train ! free wireless internet bonus well , high speed . , thoroughly great place stay , great value money , always feel safe ! 
 Dec 9 2008 	 fantastic holiday 	 return 5 great day new york hotel new yorker great everyone friendly helpful , tick tock dine must staff helpful food good value breakfast set day sight see shopping . room hotel clean load storage bathroom small clean . would go back hotel central sight shop need get taxis . Mollie Liverpool 
 Dec 8 2008 	 New Yorker Rocks Brigid scary ! 	 back business trip ny stay New Yorker . know New Yorker well one regular hotel use city . newly refurbish room goregous term decor flat screen tv etc mount wall room TINY ! basically 1 - 2 ft around bed ! bathroom also redone tiny .... pay close $ 300 night ! apart size room hotel amazing location midtown C e train run straight corner hotel . subway station connect line . hotel also 34th Street come handy black Friday meaning could shop till drop 2 3 block hotel drop start again . the thing annoy hotel front desk manager Brigid . nice lady ' m sorry deal past deal future . scandanavian short rude ! problem payment room i.e . not take payment corporate amex time booking never bring hotel voucher - make big stramash room be not pay would not stay unless pay £ 1600 US upfront ! angry transatlantic flight fact office UK close irelevant . eventually pay , refunded morning - try hold money check - total chancer . felt sorry staff front desk seem could without ask assistance - see face thunder come front ! ok rant ! Vile Woman lol ! yeah New Yorker rock ! 
 Dec 6 2008 	 love new yorker hotel thanksgiving 	 concerned review , ask high floor . give rooom 28th floor . small ok price pay .... think . the pipe next room little bit noisy ask change . staff helpful , move we less tah 1 hour floor 29th big room even excellent view .... without pay single penny extra.tip : arrive JFK , take airtrain , change Jamaica take LLRail Penn station.it take 30 ' thewhole journey . penn station front hotel . the diner next hotel overprice crow . the coffee shop 31 , corner maddison sq garden great 2 metre hotel.the good view empire state building sunset . allow plenty time quee . 
 Dec 4 2008 	 Excellent Place Stay . 	 spend weekend ( Friday - Monday ) think excellent place stay . thoroughly recommend . the room ( albeit bit small , Queen 's Metro ) wonderful , Art - Deco , though bathroom place look bit tired quite tall , bath bit small ! really use room place stay adequate excellent heater . the room 25th floor recently refurbish ( ) hotel general extremely clean well present . love Art - Deco style . check efficient , little impersonnal though give plenty information . also look bag ' ve check $ 2 allow last minute sightseeing / shopping . the information desk helpful give direction find thing do . the Tic - Toc diner alright food ( Breakfast ) , clean well present even get little busy time . there work go time main foyer though not really intrude overall atmosphere . 
 Dec 3 2008 	 Good Value Great Location 	 never visit NYC - perhaps not visit long time , easy blow away pricing accommodation . time end spending would high - end hotel anywhere , USA find 's matchbox hotel room might clean sheet be lucky questionably convenient location . well great thing recently renovate hotel 's great location , room actually decently sized ( NYC standard ) , upgrade amenity help stand average hotel - seal deal rate really bad . be look good value city afford comfort home great location without break bank , New Yorker good choice . 
 Dec 2 2008 	 New York - New Yorker - Fantastic 	 going say reviewer say ! hotel great location , block Macy 's , Times Square , opposite Madison Squres garden Pensylvania Station . Port Authority Bus Station also minute away get Woodbury Common , Shopping Outlet . overall could fault hotel - Clean & amp ; Modern room , room enough 2/3 girl lot shopping ! ! room 2039/2041 great view city . the reception staff helpful need , good security ( show key card get lift ) .Handy diner site serve usual american style meal , cheap option starbuck close 24hr McDonalds opposite ! ! would definatley use hotel reccommend friend . 
 Nov 24 2008 	 can not fault hotel 	 reading review , like alot other little apprehensive stay New Yorker . worried , suite 25th floor AMAZING . view stunning , decor impeccable , service pleasent . location fabulous sightseeing perpective shopping one . minor change would make , room service , would expect hotel especially tea facility room . also pay b+b breakfast spread little disappointing .. however view 39th floor dining room make ! . overall fab hotel x 
