nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 May 8 2007 	 good value 	 family four ( 2 kid 14,12 ) book two double . hotel quite big locate near Tottenham Court TUbe station various busline . also minute walk Covent Garden less 15 minute Soho ( Leicester Sq . pic . Circus ) Rooms big ( nowhere price category , small ) .very clean , good bed , good English / Continental breakfast . no noisebest value far London . 
 May 7 2007 	 Great Hotel 	 Wife stay St Giles hotel May Bank holiday week end . the first point make hotel location . tottenham court road bottom oxford st . minutes major london attraction . if decide drive london secure car park depth hotel ideal . stay hotel get discount rate £ 15 24 hour . the hotel great room double superior . quite small clean comfortable . usual amenitee room include en suite shower room , tv , tea coffee make facility etc . there hotel bar resturant nice staff make feel welcome . the conceirge helpful give advice need great stay london . all great hotel . highly recomende doubt stay . 
 May 5 2007 	 Good Base 	 4th stay St Giles Hotel Tottenham Court Rd . great , always feel comfortable , room small adequate & amp ; always nice & amp ; clean . breakfast buffet style . hotel staff always courteous & amp ; friendly . 's great location , especially Oxford St shopping . underground road , bus . 's convenient west end , covent garden , Leicester Square . reasonably price , luxurious , definitely good value . shall definitely return ! oh , add , mum & amp ; travel back hotel theatre RICKSHAW ! ! ! hilarious , fun trip & amp ; fiver ! 
 May 5 2007 	 Best London price 	 use St Giles Hotel 10 year absolutely complaint whatsoever . get pay case St Giles , get whole lot hotel pay double amount . room small , question hot noisy summer air con room open window , sound street overwhelming . 's 's good location town , right slap bang West End . stay world 's good hotel money , St Giles beat - return 2 - day stay £ 88 per night , upgrade one hotel executive room include full buffet hot cold breakfast rate ( HotelsRus.com ) . notice room offer flat screen tv , aircon full amenity , obviously price accordingly . check rate anyway be still go work cheap fleapit masquarade hotel Central London . room always clean well stock , bed comfortable tea coffee make facility every room . wonder sometimes people expect less £ 100 P.N . London ? 
 may 5 2007 	 GREAT HOTEL- highly reccomendable ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 ' ve stay hotel load times- Great Service , Clean , Got upgrade free lovely little suite , excellent location , can not believe negative comment people put .... show many awkward guest usually IMPOSSIBLE please ! ! ! ! 
 May 1 2007 	 good central accomodation 	 hiWe find hotel clean suitable need . check quick easy room suitable need base whilst London 3 day . breakfast reasonably price buffet selection anything juice , cereal , croissant , bacon , sausage , hash brown , egg anyway like long scramble . bed comfortable shower okay never really hot suitable . lift take long time morning long walk stair , room anyway . true appeal hotel would location . able walk open air tour bus stop hotel happen next British Museum . stop amazing art shop Cornellissen way make purchase . able easily walk theatre show les miserable yes Rock 2 door hotel . boot Sainsburys street , well lovely japanese restaurant around corner . ( can not remember name sorry ) . probably 10 15 minute walk Covent Gardens . sure hotel guy hold luggage checkout come back night 8 pm would give we without ticket think good thing even though take we age find . need . 
 Apr 28 2007 	 Perfect Downtown Location 	 extremely pleased hotel . room clean quite comfortable . location good part stay . able walk nightspot club worry able find late night taxi get back tube stop run . breakfast also quite good . stay hotel several occasion plan return soon . 
 Apr 27 2007 	 not bother unless bottle bleach ! 	 stay London normally 2 3 night per week , business however occasion usual hotel fully book . room available £ 250 St Giles . take clue ! check - in slow reception ugly gaudy . however finally got check really pleased receptionist explain upgrade free charge suite . step lift musty smell get close room mustiness replace stench drain , increase get close room . open door absolutely clear smell eminate toilet room . entire bathroom filthy , immeadiately call reception advise room leave hotel , housekeeping available could not even provide cleaning product clean room myself . the & quot ; suite & quot ; consist two room first marginally big double bed house room , second small sofa sit knee touching wall . having call round number hotel find availability leave choice stay , order use entire bottle perfume try mask stink . Suffice say not brave enough risk breakfast next day assume clenliness kitchen probably questionable room anything go ! seriously place hovel , whilst may £ 10 cheap hotel city , will spend cleaning product false economy . 
 Apr 26 2007 	 ideal location short city trip basic amenity 	 say review : situation hotel right centre , walk easily soho , chinatown , trafalgar square , british museum , ... 3 - store bookshop nearby close 23.00h : perfect 14 yr old son not want go bed early still young go club ... breakfast & quot ; continental & quot ; . downside : room spacious , a / c , bath ( shower ) , lift indeed slow ( take stair ) . intent stay hotel long ( London ? ) , location make . 
 Apr 24 2007 	 great ! ! 	 read review TripAdvisor think Hotel go terrible get amazed ! right near Oxford Street great shopper ! ! walk distance tourist place walk distance great pub club ! ! ! hotel room twin not small smelly clean , window bit small summer month imagine room stuffy ! problem bit noise Monday morning construction work thati enjoy stay return soon ! 
 Apr 23 2007 		 book St Giles convenient go have stay several year ago . arrival , take age check three staff desk crowd 25 want check . not seem people system process guest quickly . have provide detail ( name , address credit card ) website booking , still complete manual form . still take print card not chip & amp ; pin equipment card . check also slow . they claim big tourist hotel London , four slow lift . , seem like one two work , poor high - rise hotel . stand lift lobby floor 5 , see one lift go 5 , wait lift come . would use stair , luggage . the single room tiny , fine , warm stuffy . open window ( be air con ) , traffic street noise loud , midnight . fortunately , provide desk fan , leave run night . this hotel fine charge GBP79 per night , overprice offer term comfort service . 
 Apr 14 2007 	 bad room ever ! ! 	 bad room ever stay , small understatement , dirty , cold shower noisy ! 
 Apr 10 2007 	 okay short stay ! 	 hotel whole good , clean comfortable . twin room small ideal overnight stop . plenty wardrobe space bath . spend day sight - see walk street London would love soak bath alas shower ! big disappointment breakfast room . surprised find eat area large enough accommodate size hotel . queue enter breakfast room struggle find clean table . fried breakfast option scramble egg . toast available although plenty cereal bread roll . overall hotel acceptable would recommend . 
 Apr 9 2007 	 mixed Bag 	 - not London big place ? yes , course . pleased hear stay right center ( well almost ) reasonable price . provide choose St Giles . the hotel locate Bedford Avenue ( Holborn Camden Town ) , intersection Tottenham Court Road Oxford Street mere 100 meter away . access Tube via Tottenham Court Road Station ( Central Northern Lines ) . Oxford Street , Soho , British Museum , Leicester Square , even Piccadilly Circus within comfortable walk range . there variety restaurant snack bar vicinity , athough REALLY good meal recommend Marsala Zone , bit Oxford St ( Marshall St , Oxford Circus ) serve amazing range indian specialty competitive price . Staff St Giles generally helpful concierge service par . breakfast serve buffet - style large breakfast room unlike company cafeteria college dining hall . good choice hot cold breakfast option , cereal , hot cold drink . so give St Giles & quot ; average & quot ; rating ? simply , one word : ROOMS . , ' ve read review , know ' m kind person pay budget accomodation expect Ritz . also basically need room sleep nap , much more . however , take offense check room find previous occupant 's humongous TURD swimming toilet bowl . ok , water pressure bit low London tell room service bother look ( probably not good cleaning job first place ) . however , rest stay room service ok . maintenance staff also go way fix door in - room safe quick , too . sheet clean slightly musty smell corner room . lead something else : room feel stifle hot ( April ) . can not bear imagining must like August a / c window open way . wrapping believe St Giles good deal want central London willing spend much money . bring fan air freshener will right rain . 
