Excellent 	 much research choose stay K & amp ; K London business sightseeing disappoint . location roughly 150 yard Earl 's Court tube station . rely heavily mass transportation trip . ExCel convention center bit trip take little hour reach South Kensington area much nice area around ExCel . also use train system number trip meet client . connection Victoria several station easy Earl 's Court tube station . it quiet . hotel block main drag . addition , get room overlooks courtyard . minimal noise city within hotel . the room small ( typical Europe ) well design . internet free ( although wifi room may need connect via cable ) .The bed comfortable bed new . the bath well design plenty light . the staff attentive . case early package arrive schedule . deal concern professionally notify we promptly arrive . learn also schedule stay sister hotel Paris phone ahead , confirm reservation ensure well care . class act ! really enjoy hotel location . wide range restaurant foot hotel . use restaurant hotel look clean active morning . I stay Hotel George . 
 Jan 5 2005 	 great hotel ! 	 see review site , wife , son spend night K + K Hotel George Christmas . without doubt one good hotel ' ve stay London outshone Hilton Hyde Park corner Grosvenor Park Lane , also stay at . the hotel small enough offer feel personal attention , never overpower . staff friendly helpful throughout , provide we great recommendation restaurant road lunch check . room compact , immaculately present comfortable bed pristine bedding . gleam bathroom let slightly sink little slow drain , not cause we problem . Breakfast offer extensive selection buffet , include perfectly cook poach egg - something ' ve rarely see unless ask specifically . restaurant overlook fairly large town - house garden would undoubtedly great summer outdoor breakfast drink hard day 's sightseeeing / shopping ! hotel little gem every intention booking stay next stay London . 
 Jan 2 2005 	 excellent choice ! 	 complete 10 day stay London k+k Hotel George . travel 18 month daughter absolutely love trip England . stay great hotel make experience pleasurable . hotel staff polite highly efficient . respond quickly request report problem . room tastefully decorate wide range amenity include safe , well - stock mini - bar , wireless internet mention . shower great - really strong water pressure relax . use staying hotel U.S. , room strike small - everything else Europe ! Buffet breakfast excellent - wide range choice serve 6 11 . also , nice bistro+bar open till 1 . hotel two minute walk Earl 's court underground station put within easy reach rest London - short walk Knightsbridge Kensington Museums ( outstanding ) . recommend hotel highly definitely stay next trip London . 
 Dec 30 2004 	 Near Perfection Reasonalbe Rate ! 	 complete Dickens Christmas stay London , lodge 9 day Hotel George . select George base review find favorable holiday special price offer hotel . disappointment , George live positive review find site . room quite nice , overlook garden . large enough 2 - twin , put together form king bed , desk small table eat . nice full bath . room , everything hotel , clean neat . like free access internet ( term . ' executive lounge ' particularly nice . breakfast buffet wonderful ( sure include stay ) . lot choice , healthy sinful -- champagne ! breakfast room nice , classical music play background . rush eat , hour breakfast 6 am -11am . stay london warm season , eat breakfast garden would add treat . staff throughout wonderful - friendly , helpful efficient . hotel quiet street , minute 2 walk tube . several small cafe area ( recommend zizzi 's ) , pretty good indian take - out , open late . couple suggestion : sure check K+K 's website rate -- find hotel 's special considerably cheap ' discount ' website , hotel , hotelclub , orbitz , etc , list . contact hotel directly , ask specific room , one overlook garden , non - smoking floor , disire bed size . also , make sure booking k+k Hotel George , George Hotel . would sad mistake . 
 Dec 29 2004 	 would gladly stay 	 thank review site choose K+K . thrilled ! 3rd floor room overlook garden clean cosy . we enjoy free internet think service excellent . we would gladly stay easily recommend hotel other . easy cheap get Heathrow via tube . also , easy get around London nearby tube station . 
 Dec 28 2004 	 good experience 	 stay K & amp ; K Dec 16 19 . originally book single room friend stay upgrade room double extra $ 42 ( 21 pound ) night . front desk helpful ; although make mistake assign room already occupy . oop , good original occupant . problem quickly resolve get room 3 / f overlook garden . everything clean tidy . internet connection great , although last day , dhcp server seem problem use computer executive suite . big problem . the management quite accommodating . friend stay last night ask move back single . simply waive upgrade charge let stay original room . overall , happy K & amp ; K 's service definitely use next time go London . way , lot information provide previous review accurate helpful enough make decision select hotel . thank everybody ! 
 Dec 28 2004 	 Nice Hotel 	 hotel nice location , close Earls Courts Underground Station direct service to / from Heathrow . room clean nice pretty small . staff friendly helpful . would stay . 
 Dec 18 2004 	 gem find 	 agree good review . go business trip give hotel excellent mark - feature would expect typical businessman 's hotel much high price . room quite small small other pricey hotel . clean well - maintain . very friendly helpful staff . 
 Dec 18 2004 	 Fantastic Hotel ! ! 	 husband stay K+K George five night ( 10/30 -- 11/3 ) . find hotel TripAdvisor book directly hotel . get ' Exhibition Rate ' 99 Pounds / night include full english buffet breakfast . location hotel excellent , couple block away Earl 's Court Underground station . take Tube Heathrow go directly Picadilly Line Earl 's Court . room clean nicely decorate . quiet garden view room . bathroom small well appoint tub shower . neighborhood pub , exellent take away Curry house block away open late , late night market one could get snack something drink ( instead horridly overprice minibar ) , no - commission money exchange across street . english breakfast buffet well stock large assortment food well typical english breakfast dish ( egg , grill mushroom tomato , bean ) . room internet access well public pc lobby area . would recommend hotel excellent location value money . 
 Dec 14 2004 	 wow ! Book ! 	 spend 3 night K+K George . wow . friendly , clean , comfortable convenient place stay . I book single room Expedia manage get good deal . ' m glad . moment walk door know nice place . front door paint even painter move way welcome . staff friendly accommodating . room large ( single ) two huge window overlook road front hotel , nice light . bathroom well kitte shower incredibly powerful . free internet connection room invaluable use room & quot ; temporary office & quot ; away . decor clean contemporary feel hotel care well think out . I definitely go back - can not believe never hear K+K hotel ! think pay 30 GBP per night K+K 2 star budget hotel street away stay night later , really get good value K+K ( depend deal get , course ) . wow . wish like . 
 Dec 5 2004 	 Book one - great Deal 	 wife visit London mid - November 10 day spend half K+K Hotel George half Radisson Vanderbuilt Edwardian . K+K 10x well . sure well hotel London k+k , none price get ( Expedia ) .the room up - to - date , clean comfortable . large much small room London . closet big . bathroom adequate , large sink plenty hot water tub / shower . hotel set internet use , computer available lobby level ( though often use hotel guest ) .The location convenient Undergound Picadilly line Heathrow theatre district near Leicester square , District line Parliament , etc . many place eat nearby . get Underground dinner elsewhere . buy 7 - day pass Underground 20 - 25 pound zone 1 & amp ; 2 , well worth get around . day pass cost 4.3 5.3 pound depend whether want use morning rush hour . otherwise , 2 pound one - way trip . get airport Hotel , use Hotelink van ( 15 pound ) first stop . taxi airport cost 40 pound plus tip . my room rate include breakfast buffet , would cost 12 pound we decide . also take advantage one - time 2 1 breakfast offer hotel , since could buy coffee pastry half dozen nearby shop 5 pound we . there number foreign exchange location area Earls Court , find good rate obaine use ATM card make cash withdrawl . 
