really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Feb 8 2004 	 simply awesome 	 husband & amp ; stay week 31 Jan - 8 Feb . perfect 1st trip NYC . everything reviewer write - get room 11 am , helpful friendly staff ( Stan great ! ) , fantastic harbour view , fantastic breakfast - not need eat lunch , good transportation - prefer bus ( M20 ) subway people watch convenient uptown manhanttan , great eatery build well around area . always feel safe neighbourhood fact walk everywhere - along Battery Park Staten Island Ferry ( regular free shuttle not want walk ) , Wall Street , Brooklyn Bridge , Chinatown , Little Italy . World Financial Centre great eatery well drugstore / minimarket . room clean new absolutely love space peace . high - speed internet access great ( US $ 10 per 24 - hour block ) . definitely stay return NYC . 
 Jan 29 2004 	 ' m spoil ! ! ! ! ! 	 ' ve stay Embassy twice absolutely love every single minute ! people well ! friend incredibly spoil fantastic ! exactly hotel ! GIANT KUDOS EVERYONE WORKS EMBASSY SUITES ! ! ! CA not wait stay ! ! ! ! 
 Jan 26 2004 	 Embassy- official residence office ambassador 	 hotel definitely make reside ambassador . environment hotel breathtaking harbor view exquisite . suit great size . opt non- harbor view , room still awesome ! room include 2 tv , pull queen sofa bed , king bed , dinner- like table , mini bar , microwave , sink , umbrella , robe , Bath Body work toilette tree , attractive artworkÂ list go one . complementary drink great hike around city , well make order breakfast hit spot ! staff friendly helpful . walk subway relatively short , even though freeze outside . Uptown- Times Square 10 - minute maximum subway ride . many restaurant area . Taco Bell , McDonaldÂ , ChevyÂ ( Mexican ) , ApplebeeÂ area , well pizza place upscale dining experience . poor review write NYC downtown hotel , would astonish ! plan return asap . great trip ! 
 Jan 20 2004 	 great deal good location 	 heed advise several tripadvisor reviewer book room 2 adult 3 kid age 11 , 9 , 5 . arrive Saturday around noon get room immediately bedroom 2 full bed living room foldout couch . choice low high floor take latter top ( 15th ) floor room . view build next door bit harbor , plus bit corner WTC site . enjoy manager 's reception free drink snack like full breakfast morning . staff doorman , various concierge staff , great . park pay lot next door $ 21.95 day . subway stop nearby ( Cortland St Chambers St ) would nice 10 minute walk nice weather , slush , cold wind bit harsh . hotel nice big umbrella use . take M20 bus close bus stop ( less 5 minute walk ) trip theater district handy course let we step theater 46th street . excellend reasonably price dinner Chevys mexican restaurant first floor waitstaff friendly good kid . would recommend hotel anyone kid need room people not mind stay downtown want extra like breakfast . 
 Jan 19 2004 	 love every minute 	 start ! ! great hotel respect . book surprise boyfriend birthday impressed ! ! ! love size room breakfast wonderful , manager drink reception . great you ve shop day ! location good , although downtown , actually prefer midtown . pier 17 must great view brooklyn bridge . go enjoy ! 
 Jan 7 2004 	 Super stay 	 second time Embassy Suites super . even friend ask adress already . thank ! 
 Jan 5 2004 	 Terrific Value Accomodation ! 	 wife stay many british European Hotels first time New York . love suite really enjoy view river New Jersey spite messy building site immediately front hotel . breakfast excellent although one morning queue long . staff friendly think free evening drink great idea ! . modern art decor matter taste overall impressed hotel . quiet location nice get back afer hectic day . well do Embassy Suites . 
 Dec 30 2003 	 great place family 	 stay one night 12/28/03 love it- spacious suite nice modern decor . perfect family 5 . harbor view see cruise ship Hudson Sunday night . great breakfast buffet , even though bit crowded holiday weekend , staff able keep demand . complimentary drink snack evening great . love movie theatre Chevy 's restaurant site . short walk WTC site move exhibit St. Paul 's chapel across street there- must see . also 15 - 20 minute walk China town Little Italy , Wall st . , Battery Park nearby . staff helpful arrange early check one sick child we . 
 Dec 2 2003 	 embassy staff 	 three sister go new york first time last week absoloutly thrilled service recieve staff embassy hotel checking till departure provide we information query [ load first time new york ] smile know information want take time ring around find we make easy we find way place want see experience . hotel first class , bedroom , resturant , name could find fault anything .we definately recommend friend relative think travel newyork . 
 Nov 28 2003 	 happy family ! 	 New Yorker town family function Brooklyn . really enjoy Battery Park City wonderful view open space near water . hotel real surprise , thoughtful kind staff lovely decor . close thing Manhattan family Brooklyn . kid love , highly recommend ! 
 Nov 17 2003 	 great except thin wall 	 one major problem hotel : could hear every word people next door say , also time use bathroom . wake . may give one try really beautiful hotel . 
 Nov 3 2003 	 solid hotel bellhop try shake 	 altogether nice hotel , although relatively no - frill & quot ; * * * * & quot ; establishment . disappointing part stay bellboy check bag remind have return & quot ; might wan na leave tip & quot ; & quot ; want bag put somewhere safe . & quot ; guess not would leave somewhere unsafe ? kind service ? 
 oct 9 2003 	 could not perfect ! ! 	 take grandson New York 3 night stay 2 queen bed suite . room much , two tv 's great . enjoy popcorn every evening go bed laughed rehash early adventure . make - to - order breakfast begin morning give we great boost actually pretty good . unless want omelet skip line special order go scramble egg bar . go fast enough stay fresh . downside hotel hike subway go Times Square bus stop right front hotel . safe neighborhood ! ! ! grandson love ride bus big deal . staff , checkin checkout , pleasant , friendly , kind competent . go way make sure great time New York . stay ! ! ! be wonderful ! ! ! 
 Oct 5 2003 	 Awesome place 	 stay Embassy suit hotel mid September , 2 girlfriend , mom 's mental health weekend . awesome . usually stay Midtown , little nervous far away action . need ! area alive , clean , even residential . park accross street kid play soccer . drive west side highway , right , little city driving . valet parking steep , $ 45 , not worry car ready leave . the hotel great . walk room , see cruise ship leave right atrium window . lot activity Hudson , fun watch . the room large quite , except bathroom . seem neighbor room . shut door , problem go . the buffet breakfast great way start day . boutiful . exercise facility wonderful . even steam room sauna . ( idea happiness . ) close chamber street subway , use one close , not reopen yet . when return show broadway , area still bustle , feel fine take subway ! great place . the bad thing leave something behind , not find yet . fear will not ever get back . a great hotel though ! ! 
 Oct 1 2003 	 wonderful visit 	 spend last weekend Embassy Suites 3 child , 9 , 7 & amp ; 3 yrs old . suite large Embassy suite stay . hotel bright welcoming . Bellman let child ride luggage cart , friendly staff . able check soon arrive , 4 hour early , problem , nice . view ground zero room , front hotel look onto Hudson . Battery Park Esplanade lovely , many people walk , biking , etc ... right front door . hotel many guest participate 5k race Sun . morning , happy hour Sat . evening quite crowded , breakfast , able get table window overlook river , course 3 child , free breakfast beat . ! ! ! walk circle line ferry ellis island statue liberty , also walk subway .. 
 Sep 17 2003 	 great place stay 	 really enjoy stay Embassy Suites . free breakfast certainly average free breakfast - lot lot chow , omelet , egg order , pancake , fruit , pastry , somebody rate coffee weak - 5 day stay . bus town past subway around corner . go use bus subway , spring $ 14 dollar day pass despite brochure tell transfer subway bus vice versa charge - except use Day Pass - really make easy long run cheap . concierge staff wonderful - really lot knowledge quick find answer not . staff great - always friendly find stopper tub function fix right away . threater build great . free drink evening wonderful - limit concoction simple drink ( Dude Lebowski would unhappy without White Russians ) not serve Guinness except downstairs bar not free . water front great walking see Ellis Island Statue liberty front window . want rent bike , take lock - will not give one bike rental place assume liability get steal . pretty easy learn subway system ( surprised ) though double back not realize train skip number intermediate stop . New York wonderful - people nice could ( go lose reputation keep long - chutzpah urban legend . ) stay Embassy Suites - nice indeed . 
 Sep 15 2003 	 problem 	 major plus spacious room view harbor . room nice , although could hear people argue evening , next morning could also hear shower run . staff quite friendly courteous . major problem hotel breakfast drink . true breakfast make order , point make order pancake serve little container Kraft 's synthetic syrup ? pineapple fresh . coffee weak . Etc . , etc . situation much well drink evening -- husband 's vodka tonic fine , cosmopolitan truly unpleasant . warn hotel drawback book ! 
 Aug 24 2003 	 goin NYC ? trust stay ! ! ! 	 visit NYC twice ( 1st = marriage proposal , 2nd = U2 Madison Square Gardens ) already experience much sublime along ridiculous make filmscape city highly regard love . hotel front , ' value ' normally mean pay horrendous rate sleep bog standard room surround uptight business people upper tax bracket mob would complain front desk staff not greet every day sickly inane grin . would stay tourist trap central ( 42nd street ) have stay ' boutique style ' dump need find wracky style value money ! well look people , . situated quiet bank Hudson River ( next lay back Financial District ) within touching distance bus , taxi , subway , water taxi system jewel embassy suit crown ! will leave roomy pristine suite morning greet sunshine pour huge lobby atrium ( 14 odd floor high ) panoramic view Hudson , sit table load day FREE buffet brekkie cook order omelette . starve , save alot dosh . hard day cover vast metropolis return bar serve free beer cocktail friendly waitress 5.30pm- 7.30pm ! remember , Manhattan Heaven ! get kid tow ? problem , will ample restaurant choose burger & amp ; fry follow choice movie multi - screen cinema part stunning hotel complex will not even leave building ! sombre note , obviously worth mention 1 block across road , gape chasm Ground Zero . hopefully , deterrant staying , last memory incomparable bravery city experience unbelievable horror continue , hotel , rise ashe ! 
