seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Jan 2 2009 	 Non - smoker - beware 	 celebrate son 's 21st birthday . room pre - pay month advance stay . reserve 2 king non - smoking room . arrive late ( flight delay several hour ) . hotel registration clerk say since arrive late , could not get two king non - smoking room . offer two queen non - smoking room instead . much discussion , eventually upgrade room mini - suite ... nothing king size non - smoking room 6th floor Carnval tower . night , awaken overpowering stench smoke ... room either non - smoking floor close casino . allergy get take pill could breathe little normally . next day move room 15th floor Carnval tower ; however , someone stay floor smoke hall . can not get away stench smoke Harrah 's ... permeate room course casino . we eat Cafe - great pricey mediocre food . 
 Dec 31 2008 	 great location price 	 choose Harrah be base upon recommendation work colleague due centrally locate cheap . happy hotel accommodation staff pleasant helpful . give never room , decide upgrade stay standard room Carnaval Tower even though know not rennovate . room good condition ( Rm 2934 ) even though slightly date compare modern hotel , adequate need $ 40 night . pay fortune bed shower somewhere like Venetian get good clean simple room Harrah 's good location spend difference enjoy luxury life . we can not comment food etc hotel not eat ( eat Bellagio etc spending money save ! ) really good central location , friendly staff comfy room really good price . would definitely recommend family / friend . just watch slightly thin wall - people empty adjoining room obviously check day forget cancel early morning alarm . security quickly turn alarm clock call reception explain . 
 Dec 29 2008 	 great hotel reasonable price upgrade 	 fourth trip Vegas want somewhere bit central little & quot ; old Vegas & quot ; pick Harrahs . arrival offer upgrade Junior suite $ 50 night $ 75 top floor Exec Suite Jacuzzi view Mirage volcano . Xmas 6 night opt Exec suite . check fairly quick staff friendly helpful . location hotel central within walk distance pretty much everything strip . tired foot also monorail station back hotel . think immediate area little & quot ; & quot ; apart McDonalds next door attract undesirable ( prostitute lot flicky flicky man go ) be absolutely fine time day . in room living room small coffee making / drink station , large bedroom king bed bathroom jacuzzi , two sink seperate shower . the living room sofa tv dining table chair . also small bar type thing corner coffee min bar . window view strip look towards Mirage mountain . the bedroom large king bed big wardrobe , safe iron . also double corner window view Mirage strip towards Venetian . could watch Volcano room . the bathroom jacuzzi bath big enough two , sink Gilchrist Soames tolietrie seperate toilet shower . overall impressed Harrah 's . little sceptical Harrahs 's less well known nothing fear . I ' m sure standard room like opinion think would prefer pay Exec Suite roughly price standard room 4 star hotel . aside room hotel like many casino . breakfast buffet fairly average , big queue 's really thing anyway . also go & quot ; Toby Keiths - love bar Grill & quot ; hotel good , bit tgi be like . bring drink big jar seem wrong . good value chronic headache go not actually remember much this . overall great hotel would hesitate stay . 
 Dec 20 2008 	 Harrahs Mardi Gras Tower 	 recently stay 2 night Harrahs . book hotel website use comp . solo trip four Queens DT check room strip . room & quot ; premier & quot ; room understand remodeled room Mardis Gras Tower . check 2:00 pm Sunday request quiet room away Carnaval Court . this tower old tower balcony . stay several year ago find room time bit worn . pleasantly surprised upon enter room . entire room furnishing redo . nice big pillow top mattress , duvet plenty pillow . flat screen tv room small one bath mount wall . clean room , small balcony , nice water pressure shower . room small perfect single traveler would bad couple . room overlook AC vent could see little Venetian . not mind AC / heat noise help sleep ! would not hesitate stay good offer . staff friendly , room comfortable perfect stay . overall impressed room 
 Dec 18 2008 	 around good experience 	 spend four night Harrah 's early month happy experience . stage personal reenactment movie Planes , Trains Automobiles , include numerous flight delay , sprint across O'Hare make connect flight rental car not ... finally arrive ( many hour late ) 2 am , tired slightly cranky . upon check - in , employee front desk wonderful , go beyond polite courteous make feel genuinely welcome . head room ( Carnavale Tower - Rm 518 ) , spacious clean . view not much speak , hey , everything overlook Strip ( think view overrate , time actually notice view first arrive check see kind view ) . bathroom giant , bed comfortable , everything clean . after drop bag room , head check casino . 2:30am we d. still decent amount gaming option available , cocktail service quick happy selection high end beer . end eat one meal premise , lunch Ming 's table , reasonably price ( Vegas ) large portion good food . previous trip visit steakhouse ( Range ) , excellent . number option available pallet budget . if be interested venture Vegas , Harrah 's centrally locate , within walk distance dozen casino , shop restaurant . like casino hop , perfect . be cheap like want play $ 5 blackjack , head next door Casino Royale O'Shea 's ( $ 5 table Harrah 's weekday morning / afternoon ) , want high end experience cross street Mirage TI . would definitely stay recommend friend & amp ; family . 
 Dec 11 2008 	 great deal thru Hotwire 	 place great deal price . stay 4 night ( Fri - Tuesday ) pay approx $ 400 pretty good consider weekend . hotel pretty much right middle strip , directly across Mirage . service always good , whether casino , restaurant , front desk . quiet room . recommend hotel . 
 Dec 2 2008 	 conference Venetian stay 1/2 price . 	 ' m Vegas business ' m room sleep shower ... seem silly pay two three hundred night hotel room . room venetian great , want save cash book room next door Harrah be half less . room nice , plush expensive hotel strip . Harrah be also great location . ' ve stay 5 time past two year - every stay - hassle , room expect . 
 Dec 1 2008 	 Good Location Fair Hotel 	 stay Harrah 's attend wed Wynn . hotel fair . stay Mirage , TI , Excalibur past well Excalibur par Mirage TI . location midstrip perfect get around . casino big plenty game choose . busy overly crowded . not miss duel piano bar . good way spend time gambling . my gripe book 3 night . date get close day price go go . call adjust tell could give new total price ( up down include ) change one night . remedy ask could cancel one night ( one get cheap ) rebook new rate . seem work fine . end 3 confirmation number , accomodate well room whole stay . Harrah 's average hotel nice casino . want view need pay . look roof alley . may splurge little next time well one . 
 Nov 27 2008 	 generally good 	 generally good experience CONSTANTLY accost entrance people sell time share and/or condo . started soon check ( first booth right next registration ) continue constantly enter exist property . could swear flip 3rd day ! housekeeping alert - toilet & quot ; rattled & quot ; everytime sit , apparently something loose . catch every time clean , assuming clean . good choice machine casino , almost table less $ 25 blackjack . excellent location , close many casino want visit Sam 's Town Rio shuttle . 
 Nov 25 2008 	 good stay Harrah 's 	 book trip fiancé 25th birth day ; stay Harrah 's Las Vega 's . main reason book trip amazing discount room play Harrah 's Atlantic City . little worried casino gear towards old audience ' pass deal . first arrive type room request ( upgrade view strip ) . stay one old room first night . problem switch room next morning . upgrade newly renovate room give $ 30 meal voucher inconvenience . new room nice great view strip well mountain . say feel casino floor little small casino visit . din option limit real upscale bar club . since Vegas problem catch cab go Palms casino 's hot night life around . stay also see Price Right show receive free ticket check Classic Auto Car Show . would definitely come back Vegas , one good vacation ' ve ! would consider stay Harrah ' give another discount Harrah ' Atlantic City completely beat quality , night life , eat place . say Jersey girl fortunate Atlantic City state . 
 Nov 25 2008 	 Hip Hip Harrah 	 another great visit Las Vegas , hotel great location . check quick give room type want Carnival Tower 27th floor . clean great size decoration look modern . bathroom adequate fantastic £ 35 per night long essential fine . Maids good great job always speak . the casino not massive lucky slot check Wizard Oz Lil Lucy good payer . girl bring drink attentive never long back around ask ready another drink although give small tip trip . receive complimentary ticket Mac King show ( free apart $ 26.50 two drink purchase ) fantastic show worth price drink . piece advice get early fill up . we eat cafe special ' steak shrimp ' $ 10.99 probably nice meal much nice meal Toby Keith Bar upstairs second floor not bother unless like food cover bar que sauce pay way mark drink . another experience unpleasant , something different usual buffet . overall great stay would hesitation recommend hotel anyone . 
