agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Feb 12 2008 	 great value location 	 count we another set satisfied customer . room simple clean comfy , serve purpose well ( i.e. , eight hour break meal , show , shopping , walk , etc . ) . warm welcome , nice bar , perfect spot reach anything Manhattan via walk / cab / subway . value dollar simply can not beat , know stay around 12 different hotel Manhattan various deal past six year ( one like - Sofitel ) . certainly go back advocate Doubletree anyone would rather spend money food / drink / cab / museum hotel room . recommend addition would coffeemaker room , cart 55th perfect bagel / coffee deal anyways . & quot ; issue & quot ; noise factor - room small close , hear door open closing time - big picture not big deal . thank reviewer lead we , appreciate ! 
 Feb 12 2008 	 Fabulous Deal Manhattan 	 every time ' ve stay , ' ve great experience last visit even well . upgrade high floor room quiet ! ! room little small two double bed , be room much , be fine . location perfect walking distance Theatre District next subway stop . all employee friendly always helpful . 
 Feb 9 2008 	 great midtown location great hotel 	 stay 2 night , Feb 7 8 , weekend NYC . efficient check - in . arrive noon room ready . room small , clean comfortable . , really , much time want spend room NYC outside explore ? book hotel website AAA rate less $ 200 per night . parking $ 30 night ( good rate Midtown ) website drive direction get right garage . hotel cool retro 60 decor work - lobby bar great look space . subway stop right corner , good take - out sandwich also corner , belgian chocolate ( Neuhaus ) corner hotel entrance . NYC great walk city Doubletree centrally locate . interesting walk tour East Village , try -- -.com . anecdotal , historical fact NYC punk / rock moment entertain host ! 
 Feb 9 2008 	 nearly perfect 	 please stay Doubletree . arrive long international flight tired . front desk check we quickly efficiently . unknown reason upgrade mini suite . nice surprise . warm cookie check - in plus . room comfortable clean . checked mention good cookie give two & quot ; road & quot ; . excellent service front desk . location hotel excellent . subway station practically outside front door . one complaint . charge per bag store luggage two hour next day . never charge store luggage hotel ' ve ever stay . usually tip expect . charge per bag also expect tip . would score hotel & quot ; excellent & quot ; not baggage storage policy . 
 Feb 7 2008 	 Great Value Nice Rooms 	 build interesting piece architecture . since hotel renovate , furniture choose reflect 1960 's atmosphere . the room clean nicely decorate . above - average doubletree . I feel reception lack cosiness ( feel like train station passageway time ) . head warm cookie offer upon arrival . 
 Feb 3 2008 	 beware extra cost ! ! ! 	 stay various hotel west coast book hotel read pretty good review Trip Advisor . let say right maybe NY hotel run way shocked extra 's pay seem lot extra ... find west coast hotel stay trip . room ok , bathroom tiny decor bathroom poor ( peel paint ceiling etc ) . spend week L.A use tipping seem crazy ! list cost ........ Mini Bar break .... anything want order room service ...... tip staff ! water room ... 2 small bottle 12 dollar ! ( free previous hotel stay ) internet ... 24 hour 12 dollar ! ( free previous hotel stay ) need print 1 page receipt tour NY ... 3 dollar ! ( free previous hotel stay ) leave bag hotel later flight check ... pay leave bag pay pick ! ! ! ! ( free previous hotel stay ) say .. perhaps hotel work NY honest leave sour taste mouth feel like every turn someone want make quick buck we .The hotel great .. nice reception ground floor elevator door open level ..... different story . I know confusing Trip advisor .... one person say great ... say [ - ] .... trust ...... ny well place sure ! 
 Feb 1 2008 	 ok stay 	 service lobby nice , room small , hot , need remodeling . make price pay ridiculous . however , send email website problem deduct good amount bill . 
 Jan 30 2008 	 great location good value ! 	 hotel great value location - central within walking distance many attraction . room clean , good decor comfy bed , although small detail little shabby bathroom could update . reception area bar look great , brilliant contemporary design . overall good stay excellent value ! 
 Jan 28 2008 	 Bad 	 friend stay quick weekend trip not expect much , incredibly low rate get AAA . really surprised hotel 's appearance ( expect dump anything ) staff ( incredibly friendly helpful ) . course , get delicious cookie whenever ask -- often -- make stay even enjoyable . mention really comfortable bed incredible location . downside food ( not great truly okay ) bathroom ( pretty small update ) . actually want feel like be actually get something money NYC ? would recommend hotel . 
 Jan 28 2008 	 Laptop Stolen Bellhop Cart - Crazy Minibar - Otherwise Nice 	 drive Doubletree Hotel New York City work . unload bag onto bellhop cart , leave item bellhop park car parking lot affiliate hotel . several & quot ; ticket trap & quot ; street surround hotel ( NYC station police certain corner make corner & quot ; right turn & quot ; particular reason except hand $ 60 ticket . ) take round - about route back parking lot , half - block away hotel , go five block way avoid trap . time get back lobby , see bellhop leave stuff insecure location lobby , laptop steal cart ! security guard nice review security tape , , suspiciously , cart leave one spot lobby security camera see anything . offer file insurance claim replacement laptop , be work laptop one replace . I also bad experience minibar hotel . anytime even touch top minbar , record another charge . room small ( be decent size NYC standard , still big ) 's hard touch one large object room . otherwise , hotel actually quite nice . bed fluffy warm cookie greet great . price also quite reasonable comfort & quot ; hip quotient & quot ; hotel . think not laptop steal lobby , would stay hotel . 
 Jan 20 2008 	 great location 	 stay Doubletree 4 week business . room clean , staff friendly ( give cookie ) everything work . the bar downstairs great ! food on - site restaurant not great restaurant NYC , definitely average hotel restaurant . the location fab subway near Times Square good 20 minute walk away . 
 Jan 20 2008 	 do not beleive Bad Reviews ! ! ! 	 Fiance Parents stay hotel New Year ' 07 . read mixed review little anxious staying feeling disapeare soon step hotel . long flight long trip airport hotel exauste relieved check - quick easy staff happy help luggage , forget yummy cookie arrival . see room please size ( hear hotel room small New York ) bed enormous comfy ! birthday New Years Eve waiter even get 3 rounds drink house ! yes hotel next door Fire Department air con room did'nt need window open therefore never hear . stay wait hand foot staff . check also fast even give we yummy cookie keep throughout whole trip . do not beleive bad review hotel really nice situate nicely city . would recommend anyone , would definetly stay ! ! 
