vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Jun 19 2006 	 not let bad review scare away ! ! ! ! 	 reserve room Plaza read review . scare death check see dirty gross room would . pay $ 29 per night thought would get worst bad . suprise room smell clean . lift mattress move head board look bed bug read find none . little bit dust corner room problem . shower clean lot hot water preasure although toilet little slow flush . room fridge without request one ( fill suff local Wallgreens save lot $ $ $ ) . everyone hotel great friendly . try buffet really look great , try Main Street Station . yum . lot waitress lot free drink ( unlike strip ) . pool uncrowded , clean refreshing , even poolside bar ! overall recommend hotel people realistic expectation expect standard hotel . definitely stay . 
 Jun 19 2006 	 nice stay overall ! 	 stay Plaza June 12 - 16 . large party actually rent 2 room 16th floor south tower . room extremely large well maintain . read & quot ; bed bug & quot ; review happy report exist . problem ever ! however , buffet appeall we . selection preparation weak . nice buffet downtown , avoid Plaza 's . gamble extensively Plaza little luck . actually every seem tight . pool sundeck undergo minor construction . area clean great sunbating . construction hinder usage . definitely nice complete . real concern & quot ; arrogant security oficer & quot ; work fornt door Friday . await airport shuttle area become quite crowded . one party sit harm way near edge building . quickly tell sit permit area . guess slow day . maybe Plaza use loss install additional bench . would definitely stay Plaza return trip ! ! 
 May 30 2006 	 hate Plaza 	 return trip Las Vegas stay Plaza . book Plaza base picture find hotel - booking web page remain nameless . picture show nice looking room , luxury , nice . room give nothing like picture . room , old furniture , ancient tv , old stained carpeting . air conditioner incredibly loud . wallpaper peel one area . bathroom vanity least 10 burn mark . second room party smell . kind musty , stagnant smell . maid service mediocre . tv dust 4 day , dust arrive . inch dust screen . garbage take first day , second day take , apparently spill maid empty , pick . nice . check desk 3rd floor , main entrance actually walk room get . wonder room hear foot traffic ? staff polite , really friendly . restaurant go Plaza McDonald 's . nice burger run midnight . buffet look small . love stay downtown , never stay Plaza . not expect luxury , certainly expect live photo see another web page . 
 May 27 2006 	 Nasty Bed bug 	 room Plaza infest bed bug ! read review site realize guest dump bed bug room , ! hotel management seem denial problem . follow letter complaint ignore . get home research bed bug find menace ! leave itchy , red bite mark even cause permanent scar . spread & quot ; hitchhike & quot ; home hotel guest luggage . home quickly bree inf entire place ! almost impossible get rid establish . go Las Vegas good time , deal nasty , blood - suck bed bug . Plaza lose customer ! 
 May 24 2006 	 Plaza Hotel mold ! 	 stay Plaza Hotel bad experience life . MOLD shower head , layers dust several place room . manager unwilling move we different room . would honor coupon print , bellhop rude uncourteous . pool tiny close 5 pm . nightmare ! 
 May 20 2006 	 last time stay Plaza ! 	 stay Plaza twice problem . time , however , numerous thing wrong . week get , hot water , guess lucky subject . water shut whole hotel hour day . inconvenient . room refrigerator break , keep thing cold . check - in 3rd floor strange , know park 3rd floor ramp , be bad . front desk staff nice easy check . .. last day , load luggage come back room collect food ( keep cold fridge ) maid take throw away . not even check , yet . go round round cleaning supervisor , not get anything . unopened chip , salsa pop , be pretty sure cleaning staff nice little party breakroom day . one room party , air conditioner stop work , move really stinky room last night 's stay . morning check , AC not work , either . pool renovation , could still use pool . not understand type work not do colder month . the Plaza ok hotel cheap , Stratosphere . be new . ' ve stay , , next time go Vegas , stay . 
 May 18 2006 	 disappoint 	 34th trip Las Vegas always stay Plaza Las Vegas Club . room Las Vegas Club , stay Plaza . air conditioner work properly room hot do not get good night sleep . try fix unfortunely & quot ; broke & quot ; . ask want another room since last night decline . hotel outdate need lot work . bus station outside door valet . little scary come late night gambling . 
 may 17 2006 	 Old ok 	 read review prior stay little worried getting . first , Plaza rate two star hotel be get . find room casino tiddy clean . overall hotel need update work slow start process . enjoy pool sun deck area . Plaza remodel pool area not hinder use pool sun deck . price , can not go wrong Plaza look reasonable downtown location , would consider stay . 
 May 8 2006 	 could ' ve bad .... could ' ve well . kind scary ! 	 family acceptable stay Plaza Hotel . thing notice first front desk staff friendly accomodate . help Wanda go great length see request specific accomodation take care . room nice surprise large clean . read many review hotel worried room would tiny , filthy bed bug , none case . relief ! say , substantial room improvement hotel . entire facility date could use complete makeover . carpet dirty look tear area dirty look . bad thing hotel location . downtown Las Vegas right next door bus station . many homeless people hang around hour day night . filthy intoxicate tend congregate lounge sport book area hotel . first time many trip Las Vegas leary walk around hotel alone . security remove one homeless woman lounge show intoxicate pass chair see grope hotel guest . whether would stay ... answer would & quot ; & quot ; . not bad thought would since read many review site however not . prefer safe area update hotel amenetie one 's . ' m go stick Strip next time ' m Vegas . 's little pricey worth . 
 Apr 30 2006 	 not even consider hotel 	 go Vegas twenty year . attend convention Plaza decide would well room , even though never . BIG MISTAKE . check - in third floor lobby floor . inconvenient luggage . overall condition hotel pit ! hallway carpet huge stain walk room . & quot ; non smoking & quot ; floor smell awful . upon enter room , carpet remain stained , fade lamp shade water stain , mattress looked feel like not update twenty year . furniture & quot ; poster painting & quot ; look like something fifty . hairdryer iron . amentitie scarce . take age front desk housekeeping answer phone . linen appear clean , pull bedspread second bed , black long hair strand pillow mattress linen . needless say , demand check immediately receive credit charge . move Golden Nugget ... quite happy there . the plus hotel location ... right across Fremont experience . 
 Apr 24 2006 	 good downtown hotel 	 stay Plaza march - april 4 night .. 4th stay .. Plaza good hotel downtown .. good $ 6.95 buffet .. clean room .. good toiletry .. good reception staff arrogant unhelpful bell man .. ask one transport go town hiring car .. tell hitchhike .. amuse .. guess not $ 5 bill hand .. Phil Joste 
 Apr 19 2006 	 need Major Updating 	 first let say stay dozen Vegas hotel think fair judge good / bad Vegas . book Plaza room $ 59 - 89 per night know ' budget ' hotel downtown section . Reserved King Non - smoking direct Plaza 's website month advance . check midnight tell ' room request guarantee ' . received 2 Dbls , smoke . room run - down , smoky unclean . bed hair . shower head mold . exagerrate . overheard guest talk ' new ' section perhaps one old room . pool area tear , presumably renovation ? positive lot budget place eat / drink around hotel .... Seattle 's Best Coffee , McDonalds , Subway , etc . mark resort price . hotel also right Freemont Street , cool night . for budget hotel , find Las Vegas Club Stratosphere much nicer . 
 Apr 18 2006 	 great bad either 	 stay plaza downtown vegas begin April . room clean great view freemont street . complaint staff friendly ( exception one great bartender . ) casino bad odor gambling poor . 
 Apr 13 2006 	 ok be old ... 	 yes be old carpeting could use replace blonde furnishing date , room always clean ' ve never bad stay . ' ve stay probably 20 time last several year . wife stay ( first visit Vegas ) , 3/21 - 3/23 . love . staff friendly , many speak happy enthusiastic change take place future since PlayLV take operation . ' ve notice security , cocktail server , new carpeting casino huge improvement . would recommend breakfast buffet , 3.95 player card . buffet 's still good get early . ' m return May 8 - 11 , will stay Plaza , else ? 
 Apr 13 2006 	 great Stay ! 	 stay Plaza April 8 - 11 . check quick easy . South Tower room 22nd floor . room clean date . nice comfortable . staff excellent . deler bartender Casino friendly helpful . pool close remodeling area . showroom also close . Breakfast Buffet ok . not experience negative read report . Fremont Street area clean safe . see homeless folk strip . Strip also cramp sidwalk not directly front big resort strew garbage break glass . not experience downtown ! ! 
 Mar 31 2006 	 great place ! ! 	 stay plaza march 26th thru 30th 2006 ! great experience . money can not beat one ! third stay plaza 8 year love ! room 21st floor ( standard ) big , spacious , CLEAN . play alot plaza , slot loose table game great , one dealer little wierd big group dealer blast talk ( even though take money ! ) pit boss exceptional bunch stuff shirt . leave lot money table ( maybe lucky enough collect ! ) brother - in - law stay paris beutiful kick stay rest we ! ( high roller ) can not say enough , stay anywhere else ! 
