nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Apr 14 2007 	 great hotel amazing service 	 stay Hyatt Embarcadero combine work vaction trip . book business rate room think $ 135 - steal location fact include continental breakfast buffet . the room average size , great Hyatt bed . bathroom small , vanity outside make less problem . two work area wireless work well - always case old hotel . nice second table near door could work night son sleep . the good thing hotel : - location : right across ferry terminal one catch ferry , tolley car , bus anywhere city . also cable car line underground also stop right hotel . think another hotel stay good connection public transit . great shopping right next door , wonderful restaurant within block , street market couple day week acroos street . Walgreens Starbucks across street convenient too.- service : hotel staff , particularily concierge staff amazing . luggage arrive we staff great help airline find . - business center average . charge use computer printer . ship package back office track incoming courier willingly . 
 Mar 31 2007 	 good great stay 	 plus : great location Embarcadero 3 - night stay . cable car Muni right outside door . room clean comfortable . Balcony slide door view bay pleasant surprise . many great restaurant nearby . minus : lot cement dark , monolithic building , warm inviting . staff reflect - capable terse , particularly warm . room guest service guide omit important detail . outrageous food price room service atrium restaurant , even pricey city like SF . tired breakfast buffet limit offering run stagger $ 26 . $ 228 / night include taxis , well value SF . location hard beat . 
 Mar 10 2007 	 Happy Home Hyatt 	 generally prefer boutique hotel large corporate chain , desire low rate 4 - star hotel Embarcadero area , take chance Hotwire land Hyatt Regency . although impose facade cavernous interior atrium somewhat bizarre , room overall terrific view Bay Bridge Ferry Plaza Union Pacific building great . ( desk also offer option upgrade Bay view balcony froom $ 30 / night . ) & quot ; Grand & quot ; bed super comfy , great linen . downside , ( pun intend ) warm duvet without window open noisy ( even 9th floor ) open . heat seem able turn completely -- - common big city hotel . otherwise , room extremely pleasant . location marvelous ; love huge Saturday morning farmer ' market ferry terminal we -- -get breakfast . ferry building also house excellent restaurant shop . transport option around city , airport ferry right Hyatt 's door . other mention , mind budget , aware need parking , internet access and/or minibar service , pay premium price negate bargain room rate . need , Hyatt Regency make lovely upscale nest San Francisco . 
 Feb 2 2007 	 lovely hotel 	 stay business conference . gorgeous facility excellent conference center . restaurant nice good food front desk service ok . sizeable room room decent view bay . fault service room . average well . want get late night snack take forever ( even though 10 ) otherwise , wonderful stay . 
 Jan 3 2007 	 great usual ! 	 stay hr day Xmas . holiday decoration gorgeous . beautiful room room bay . great location a - one service . ice skating rink right outside add extra Xmas touch . right across street Ferry Building bonus . great place coffee breakfast . my complaint $ 48 day parking . ouch ! much reasonable parking garage street want pay exorbitant price . SF parking always expensive really RIDICULOUS ! otherwise , back . will not use parking ... that s sure . 
 Dec 25 2006 	 Great Hotel 	 hotel great ! bed good . breakfast Excellent ! price cheap . 
 Dec 23 2006 	 great central location - comfortable 	 stay 3 night hotel fly Australia recuperate flight well . room age , clean well maintain , bed great . location hotel great , view excellent ( water view ) - Hyatt Guest room - accommodate 3 we comfortably . front line staff bit reluctant ( may Aussie accent ) . breakfast ordinary - well option around town cost less . the location hotel allow we either walk catch tram explore San Francisco . feel good area feel safe . if be looking centrally locate , comfortable clean hotel would recommend hotel would stay . 
 Dec 14 2006 	 nice feature good location 	 stay one night last weekend get corporate rate room , make affordable ; ' m glad not pay full price . location excellent , right outside BART station close Ferry Building ( awesome bar , restaurant , fabulous farmer 's market Saturday morning ) well part Embarcadero shopping complex . hotel massive , one cheezy big - hotel atrium centre , although since Christmas decorate holiday quite beautiful . arrive late Friday night miss flight ; front desk staff efficient , friendly . decide work , gym quite good - 's open 24 hour key one . room fine , although bathroom TINY , wall paper - thin ( could hear woman next room chat soon wake , early ! ) expect expensive hotel . average furnishing & amp ; decor , nice big bed soft sheet lot pillow , slide door open outside , nice . overall , good great experience ; expect consider normally charge room . 
 Nov 27 2006 	 really Liked ! 	 husband stay Hyatt Regency Embarcadero Nov. 19 - 21 , 2006 . book hotel priceline.com get rate $ 80 . know hotel area would charge parking figure pretty good rate add estimated parking fee $ 30 . turn parking fee $ 28.50 self - park in - out privelege $ 49 valet park , inc . in - out privelege . tell we valet hotel drive . truly appreciate candor decide self park since expect use local transportation . parking garage across street next block problem . request receive king size , non - smoking room & quot ; partial view & quot ; . 7th floor could see Ferry Building bay beyond . also outside ice skating rink behind hotel could see . room large , one large hotel room . bed extremely comfortable . bathroom clean . since arrive midnight , know water wall lobby morning . lobby pretty day . hotel decorate Christmas lobby quite pretty hang light . hotel locate across street Ferry Building & quot ; F & quot ; line stop front . street car take along Embarcadero Fisherman 's Wharf Market Street . also trolley car line run front hotel go Chinatown . hotel staff knowledgeable computer kiosk print airline boarding pass . I would absolutely stay . 
 Nov 19 2006 	 Nice Hotel Location 	 recently spend night Hyatt Regency Embarcadero business conference . actual hotel beautiful , room comfortable , staff friendly helpful . not happy location . usually enjoy shop San Francisco . locate next door Embarcadero Shopping Center , shop interested . one advantage cable car stop right outside hotel take ChinaTown Union Square . 
 Oct 13 2006 	 Loved Hyatt 	 stay hotel many time past . hotel indoor feel inside atrium airy feel inside you re room . hotel staff always nice , friendly accomodating . request extra towel , bathroom amenity , room service , robe do - give accordingly . never problem . hotel signature grand bed ( ? ) guestroom , stay room 715 , little noisy side , ( 7th flr ) normally get high , bay / balcony view . happen drink dine 13 view , ask Bonnie , she s nice friendly . enjoy . 
 Oct 6 2006 	 give try ! bad review make seem . 	 read review prior visit concern . effect expectation lower bit . suprise . yes , build showplace period . love look architecture build difficult . see something different other . room comfortable good shape , water view balcony . room service ok . nothing write home starve either . bath small hotel day small worry touch shower curtain : ) would stay . 
 Oct 6 2006 	 Spectacular view 	 first experience use Priceline hesitant would get price select . WOW surprise delighted . hotel fabulous every respect particularly view room : Oakland Bay Bridge Embarcadero . location financial district make excellent business hotel walking distance many wonderful area leisure travel . the negative parking $ 43 night , discount hotel guest ! 
 Oct 5 2006 	 good business trip 	 stay hotel several business meeting . hotel nice atrium court cafe , bar small market . cable car right outside lobby entrance room unobstructe view San Francisco bay . hotel great conference , would not stay romantic weekend . room somewhat bland well hotel SF character ( Mark Hopkins , Ritz , Orchard ) . 
 Sep 19 2006 	 Loved ! 	 take wife San Francisco weekend celebrate birthday . room book Hyatt ' website , offer pretty good deal time . request , give room 17th floor , quite . bed pillow incredible . fact , arrive home , order two pillow . ' interested purchasing pillow , purchase Pacific Coast Feather Company . although end city view room , still enjoyable . opportunity , try dinner hotel ' rotate restaurant . view Equinox restaurant incredible . however , food somewhat overprice nothing write home . , be pay view . lobby ... be beautiful . ' ve read review regard hotel , especially critical one . say folk stay home forget travel . people way critical never please anything . beautiful hotel outstanding service . if be look spend time spectacular hotel , certainly put one list . 
