work 	 trip # 5 London past 3 year 5 hotel stay , feel Strand Palace work well . booked package Air Canada Vacations get reasonable rate include breakfast . assign standard single room small like London hotel room price range , clean , comfortable , functional home 8 day night . complaint . location great easy walk central London attrraction hotel within 5 minute walk 4 tube station ( embankment , Charing Cross , Temple Covent Garden ) . lot cheap fast eat handy well great dining theatre . hotel breakfast pretty standard english breakfast fare serve fresh hot . Seemed wait weekend . hotel staff friendly helpful doorman Strand welcoming . overall hotel rate well value price . would stay . 
 Jun 23 2008 	 great value hotel central location 	 ' ve stay Strand Palace many time . big tourist hotel right beside Covent Garden . ' ve recently refurbish room nicer new bed comfortable last visit . plush , busy hotel bustle staff tourist fussy 5 star traveller . good value place stay great location tick box . 
 Jun 23 2008 	 belonging disappear 	 London last week stay Strand Palace . location , hugeness quite good breakfast positive point . second day , opinion change . day , Turkish National Team match Croatia quarterfinal Euro 2008.i put national team hat ( not wear even ) chair room morning . return afternoon , go . want wear game watch Sports Cafe Trafalgar , could not . security say ask housekeeper could not blame anybody . there safety box room , disappear item even laptop camera . not want centrally locate quite budget hotel room reservation turn unpleasant perhaps expensive holiday , please think twice . 
 Jun 17 2008 	 beware little visitor 	 stay Strand Palace 1 night part hotel / theatre break . initial impression excellent able check lunch allocate triple room although 2 we . room bit ' tired ' size cleanliness offset . location brilliant - 2 min walk Covent Garden also close Embankment . also , leave London via Liverpool St station catch bus outside hotel £ 2 - beat underground every time . breakfast impressive enough satisfy taste . however , allocate room low floor beware . settle night catch movement corner eye . ' movement ' turn mouse . Maintenance arrive within 5 minute call Reception upgrade ' Club ' room 3rd floor . feel lot comfortable ! however club room , although clearly notch standard standard room warm need keep free stand fan run night cool room absence air conditioning . staff , everyone come contact ie reception / check /breakfast room staff / concierge / leave luggage staff / bar staff absolutely charming . summarise : customer service excellent , accommodation adequate long avoid standard room 1 t floor ! 
 Jun 17 2008 	 bad 	 spend 1 night . first impression good , nice entrance lobby area , corridor clean tidy . location excellent , bar nice , albiet expensive . the big let , room tiny . ' m convinced mine convert cleaner cupboard ! party 4 everyone comment small room . however , clean , tidy good order . 
 Jun 12 2008 	 ok well 	 first impression Strand Palace impressive . reception area well run clean . however slightly disappointed room . small even London standard Tv not work sort within half hour . bed ok bit small . view overlook backyard bin much time really spend look window ! ! concierge lovely direct we lovely nearby restaurant hotel perfect theatre ! Breakfast ok ' m fan hot buffet . overall nice hotel would stay money pay last time . 
 Jun 10 2008 	 bad Hotel stay 	 quite possibly bad hotel ever stay . travel daughter , sister law , daughter 2 room . first room sister law assign quite spacious could get fact smell like ashtray . 2nd room assign clean accurately describe closet . room adequate size bed hard uncomfortable , sheet scratchy , toilet break . twice . corridor extremely depressing never get wake call . redeem quality location . traveler wary ! ! ! 
 Jun 10 2008 	 Adequate 	 stay one night business trip . well - locate tourist . vast , soul - less building . room small , reasonably quite comfortable . personally prefer Premier Inn large room modern facilite short stay like - be cheap . 
 Jun 10 2008 	 Basic Facilites Central Location 	 stay 1 night early June , allocate single room clean little basic . towel , small , thin go grey ( difficult hotel get right ? ! ) . liquid soap showering provide dispenser . fix shower head ( Room 725 ) shower knee ( ' m 5'10 & quot ; ) . bed , comfortable enough one night quiet London , probable due fact overlook internal building void . room warm , airconditiong fan provide . tv limited selection channel , complimentary tea coffee , uht milk biscuit . Loacted Strand , minute walk Covent Garden . 
 Jun 8 2008 	 Ideal location- consider upgrade 	 first good ... excellent location main tourist attraction theatre ( situate directly opposite Savoy ) .reception excellent self service breakfast offer . the downside room small double bed push hard wall - exactly convenient bad bed - soft convinced room use film Silentnight advert Hippo & amp ; Duck ! general room need update . in sum ideal base would consider stay use hotel anything sleep base think twice booking - least look option upgrade club room extra space , plasma tv etc . hindsight would probably money well spend .. 
 Jun 3 2008 	 unacceptable room size 	 stay wife & amp ; kid couple night . the location great complaint staff ; corridor fairly grim ; however main problem size room ( well least one ) book two ' club ' room ( double twin ) - whilst twin room fine , double room tiny . I stay hotel around world would class room small single - shoehorning double bed single room somehow transform double ............. one side bed tight wall & amp ; maybe 12 inch space wall & amp ; bed . combined single window open 4 inch overall effect extremely uncomfortable - can not imagine would like ever get summer uk.obviously build old ( air con ) room standard size , however go charge double club room , least able get one chair ( even mean could not open wardrobe ) 
 May 28 2008 	 Ok Hotel Stay 	 stay Strand Palace year ago decide revisit London . 's process revamp give fantastic room . lovely clean nice - sized bathroom standard housekeeping excellent . breakfast also superb term food offer service staff . watch refurbishment continue .. signage either paint word wooden board floor non - existent take bit finding room . reception staff also pretty poor . check 4 . massive queue two receptionist behind desk .. seemingly three giggle back office peer queue not seem terribly professional . finally get serve , give key card not work wait queue tell abrupt receptionist : & quot ; 's fault not work . hold hand mobile . & quot ; hardly great . overall overall management training reception staff clearly need serious work great location , great room great breakfast . watch socially - lack receptionist . 
