disappoint 	 try check around noon two room close one another . seem problem find two room close hotel 1800 room . tell come back 3 pm would give we key / card . fine , hurry . come back final check clerk rude not friendly . give access / card room across hall , anticipate newly upgrade room boasting , promise , room one stay year ago . new thing flat screen tv lousy picture . bathroom small one person toilet , actually room another person room . door would knock toilet close . friend take shower find huge hole towel go dry ...... WTF ? bathroom sewer fume rise sink ... eww . maybe invest drain cleaner ? mattress shake much lay , think husband put quarter .... bad . casino nice , lie good . got comp Sunday Buffet thankful not pay , hand bad buffet ever see ... note see , take sample , not eat much . orange juice / champagne ( mimosa ) awful bitter juice , spit . keep place open ? year ago , always line buffet Nugget , time desolate . also eat house restaurant , italian one , can not remember name ... tell impressed . good micro - beer . would stay ? not think .... location good , want jump casino casino ... that s . 
 great pool nice hotel downtown vegas 	 Downtown vegas much relax strip golden nugget good place stay . free parking round back building , short walk across hotel . room fairly standard , comfortable . swimming pool highlight , go shark tank clear slide . like vegas pool bite much chlorine pool , still fun . McDonalds street 99cent pancakes buffet across road freemont good value . Most people talk like golden nugget . not gamble , enjoy one night stay . 
 great staff 	 spouse great time Golden Nugget . casino crew outstanding friendliness professionalism . key not work open room , security quick respond allow access room . one drawback , would marriage Golden Nugget RCI time share vacation . not appreciate target & quot ; sign presentation & quot ; every time pass booth way room . familiar RCI time share vacation rental , knkow seem follow promise . , go back Golden Nugget future recommend other . 
 Dec 27 2008 	 favorite property Las Vegas ! 	 ' Las Vegas local love stay hotels town see good deal birthday / anniversary . first time visit Golden Nugget fall love - the pool amazing , property maintain touch " old " mostly new update , great location ( love Fremont ) . property book get 11 10 – room really nice affordable rate ( please tell find 4 diamond resort country $ 59 night Las Vegas ! ? ! ) , amenity amazing , Food & amp ; beverage outlet impressive ( although would expect much hotel run Food & amp ; Beverage company ) . specific trip stay 2 night birthday pretty much drink pool day relax nice comfy bed . eat buffet breakfast ( 2 1- $ 10 ) great breakfast buffet ; room service - decent , eat dinner one night Grotto ( good FEAST $ 100 include drink ) . complaint property customer service receive . presently work strip property customer service reasonable expectation ( understand thing might upset typical guest try ask much time take extra step WOW ) . front desk clerk check ' friendly seem " job " say – ' explain anything ask question get anything . issue authorization card ( authorize incidental ) call front desk ask , state clerk check tell would $ 100 night ' hit $ 130 night – reply " system sometimes " . use debit family member pre - pay trip gift exact amount room & amp ; tax + $ 100 incidental . authorization debit card good cash withdrawal circumstance – ask hotel manager account withdraw due lack information give go cover withdrawal fee pass family member - they say rude situation . clearly sign $ 100 incidental night registration card , want take legal action could . luckily withdrawal fee pass fine & amp ; dandy me - but manner front desk rep manager handle situation leave sour taste mouth . positive note every dealer , server , food & amp ; beverage representative great – would highly suggest retrain front desk staff 4 Diamond Standards . incident front desk keep away G - Nug , love way much , less understanding guest may return encounter similar incident . 
 Dec 27 2008 	 bad bad experience 	 ' ve stay Golden Nugget 30 year , however visit , find put double room even reservation king valet parking self parking ! full . miserable . price object . please tell good place stay ! get . 
 Dec 26 2008 	 still good downtown even minor issue 	 Las Vegas many many time , prefer stay downtown since value much well . stay Golden Nugget , 3 year since last stay . stay Golden Nugget 2 night , Dec. 16 17 . get good deal email $ 39 night , South Tower , also include coupon book 2 1 meal , free drink , match play etc . upon arrive line check right away . walk room notice carpet hallway could use cleaning , not horrible , dirty spot , big deal . upon enter room clean , book , ( king bed non smoking room ) . room flat screen t.v . nice view mountain . South Tower old tower , North Tower update . room still nice probably nice downtown . minor problem toothpick left bed check bathroom door knob loose . real complaint . casino nice , bit pricy downtown table might , also much nice . eat buffet twice food good time . due weather use pool water slide , comment . nice hotel , nice downtown would stay . next time probably spend extra $ $ North Tower room little nicer locate close casino . prefer stay downtown see strip offer stay downtown fraction cost . want head stip catch bus cab spend day . Golden Nugget pride downtown not afraid stay . staff , hotel , casino restaurant good . 
 Dec 19 2008 	 Best Value Downtown ! 	 first trip Las Vegas love . Nugget locate Fremont Street downtown perfect location . party not want mile mile walk spot . walk right outside hotel walk 10 step another casino ! plus , Fremont street backyard light show kind activite crazy stunt go 24/7 ! plus be free ! not win money Nugget , understand great renovation -- need money ! be great ! go see ! 
 Dec 18 2008 	 friendly hotel staff 	 go recover surgery . truth tell , not gamble casino . I stay South Tower , 22nd floor - top floor . pay $ 20 extra vip check - in / check - out . go special lounge check in / out , avoid unwashed ( kidding ) . also , likely get room request . worth I . the room 22nd floor recently remodel , virtually identical room expensive North Tower . stay Nugget , try get 22nd Floor . my room fine . think pay $ 60.00 per night , stay 10 day / night . happy stay , plan return . their buffet world - delicious ! hear rate one top Vegas . I one criticism . 22nd Floor suppose non - smoking floor . fine smoking room . this great , fine people smoke common area floor ? ? , jerk partier could not smoke room , go hall , smoke come room . but understand something like would pretty hard control . anyhoo , recommend Golden Nugget ! 
 Dec 15 2008 	 Best Place Downtown 	 stay Vegas many time , Golden Nugget absolutely amazing ! ! ! new fav . , service great , food great ! check point however get upgrade due b - day , newly remodel South Tower room 17th floor include pillow top king size bed - sleep oh great ! , flat screen tv ... bed die , complimentary robe ! ! ! ! room clean , bathroom even clean . : ) easy get room , time share respect wish bother , remember face . VIC ANTHONYS die ... GREAT steak , friendly service , GREAT wine list little tip portion large enough two . room service reasonable , prompt , good - I think come Carson St. Cafe also good ; coupon book save 2 dollar person eat . husband look casino downtown far G.N . good choice ! ! ! ! ! ! ! ! ! ! ! ! ! mention night life also great Gold Diggers Club within casino offer great night life experience , cover charge great view Fremont experience . Taxi preferred choice travel strip range 20 - to30 dollar . save money travel Deuce & quot ; bus & quot ; 5 dollar day pass advise , lot rough people . G.N . great choice - less crowd , less hassle everything extreme close range ! ! ! ! ! ! ! ! ! ! ! ! : ) 
 Dec 11 2008 	 pleasantly surprised 	 stay North Tower Golden Nugget . king size mattress comfortable ' ve ever sleep , bed heavenly ... flat screen tv surprisingly huge , great room ! son get marry booked suite ; not ready GN upgrade fabulous two - story spa suite , complete spiral staircase , marble , full bar , beday ( cowboy friend get kick ! ) ' ve stay Grand Steamboat many fine hotel never see anything like suite .. casino full friendly dealer , think way friendly strip . 
 Dec 9 2008 	 Good Gold 	 thought would regret choose hotel not strip , quite pleased . hotel recently renovate elegantly decorate holiday season . check - in could little efficient happen arrive NFR week ( rodeo thing . city crawl cowboy hats acute stench stetson cologne ) , people front desk would ideal . I stay 4 day generally pleased room . large flat screen tv comfortable king bed room awesome view mountain . negative room lack coffee maker ( need java ) towel hard scratchy . eat buffet one day find staff attentive courteous . food good , sans poor excuse sushi , really expect middle desert ? strip 's advantage smack dab middle Fremont Street Experience free show happen every night ( likely due hoedown overtaken city ) beat fry oreo ? also able take Deuce daily $ 5 24 hour pass excellent opportunity get bird 's eye view city really visit lot place . check could go fast stair exit taxi stand make difficult overpacker like lug luggage . the overall stay good , promise invest softner sheet put coffee maker room , will definitely back 
 Dec 8 2008 	 Golden Nugget Las Vegas 	 room clean , bed comfy , bathroom also good . 2 room , one disabilty room . the check time ok long journey . room dissapointe much could make hot drink morning . sure Starbucks , everyone want get dress make drink everyone drink coffee ! disability access via valet area , beleive work inclusion new entrance . we 16th 18th floor , parent build noise hotel increase size . the valet excellent say , happy help direction parking free . incidently , park free main hotel strip , need tip valet guy / girl great help someone physical / mobility issue . the room relatively free patron noise smoke come room . 
 Dec 6 2008 	 Strip type hotel heart glitter gulch 	 moment check early , day catch shuttle airport , everything topnotch , mile downtown joint . pool particularly great due fact could get hot sun , shade , third diffused reflect sun north tower juuuust right . ton beach chair , blackjack three story waterslide glide massive central shark tank . also private cabanas terrace find adult sun complete waitress service . incidentally , sell aluminum bottled beer 5.75 crack , depend budget , may want pick four - pack Walgreens 9 buck smuggle .... like . show room key get , unwashed masse . lot pre - flight fully dress sleeper though , odd obnoxious smoker . casino huge ramble odd lounge , two Starbucks , good coffeshop bistro neer pool entrance . buffet crazy busy line always , take Fitz 's cheap mello buffet . always find 2 deck blackjack table 5 minimum , slot machine far eye see . room north tower average sized , flat screen plasma tv , marble bath decent pressure . bed comfy ; iron board , safe robe closet . crazy drunks hall , place polite pleasant around . leave strip one evening .... Chaos ! ! downtown need within short walk . 
 Dec 2 2008 	 Great experience 	 family close friend get back Vegas Thanksgiving holiday . happy pleased say family thrill choose Golden Nugget . everything perfect time arrive Thursday , time leave Monday . absolutely complaint . stay North Tower room nice . friend accompany we choose stay venetian . course room not luxurious , guess keep want go .... hotel / downtown . strip nice , downtown sooo much relaxed stuffy . end downtown every night 3 morning . dealer play Nugget friendly . learn play blackjack time dealer willing help learn advise play hand . eat buffet one afternoon lunch . check , give book coupon valid hotel . one coupon buy one get one free buffet . food not bad . eat 11.00 can not expect 5 star food . recommend buffet Rio . wide variety food . quality good , however 25.00 person . everyone mention , pool area hotel nice . pool heat people swim day . blackjack table pool , hang one night . really nice could hear sound water , heat lamp keep warm get breathe little fresh air . , enjoy Golden Nugget . 3rd visit Vegas always stay strip . say , definitely stay Golden Nugget . nice hotel great price . 
