Love 	 Service hotel exceptional - wonder specifically hand pick staff - great . consierge Gina wonderful Jamie gal go way please staff . room nice - lovely linen comfortable clean bean . great separate little kitchenette also . suite 18 year old dcaughter could privacy.the breakfast great - huge delicious - bar man night great buzz - great cocktail . greet lovely bottle red NSW . coincidence be great well thought .The location convenient get within easy walk distance transport action . everything within walk distance plenty see mention eat . the would say room get tad warm air con set winter temp experience several time - management however try fix wherever possible quickly . worth every cent - nothing miss hotel - ( free shoe polishing ) - professional friendly staff GM also friendly gentleman take opportunity pay attention detail - staff also really appear like n - make wonderful workplace culture ' m sure shall return next year Benjamin - enjoy wonderful city - every minute 's hectic pace - can not wait get back 
 Sauna 	 stay one night November . back - room feel like sauna . try turn heat , use AC , open window . still sleep without cover pjs ! November ! completely unacceptable . otherwise , good location business midtown east . good size room clean bathroom little microwave sink area . bed comfortable linen scratchy . 
 Mar 15 2005 	 really Good Hotel 	 could well value . Booked Orbitz significant discount rate post hotel website could please . location terrific short block downtown train connection . room extremely well appoint spacious small kitchenette . marble bathroom small functional . bed comfortable . hotel gym small equipment need conveniently locate 3rd floor . staff outstanding extremely courteous . complaint ... webtv inoperable stay room temperature hard regulate . seem marble floor bathroom kitchnette heat heat radiate throughout entire room . even turn thermostat room temperature hover low 70 's .... warm taste . spite , would definitely return hotel let freind find ! 
 Mar 12 2005 	 perfect choice NYC 	 truly great hotel . comfortable clean beautiful room . a great hot shower lot water pressure . imagine , give ten different type pillow choice ! concierge helpful . room large considering pay . will not stay anywhere else . 
 Mar 11 2005 	 good value excellent service 	 stay Benjamin Thanksgiving weekend 2004 extensive research . go New York every November year . love location . one bedroom suite double room clean beautifully appoint . staff , short notice put we floor . staff exceedingly friendly gracious . one word advice . not eat restaurant . many great place eat NY waste money . , breakfast great . also great value . book Travelocity . 
 Mar 11 2005 	 Business Twist 	 stay benjamin business trip last October . clean freindly warm invite - decide stay UK time 3 day help room service available soothng atmosphere perfectly create . ' m go back NYC day year hol guess be stay 
 Mar 11 2005 	 treat ! 	 sister , little girl ask two room floor make reservation . say could not guarantee , would try . arrive ask we want free upgrade good room ( vip suite ) 22nd floor . non - brainer 2 bedroom , 2 bath , live dining area kitchen dishwasher . walk - in closet huge outdoor patio 2 chaise lounge , seat area great view ! terrific surprise ! sign BTC package full breakfast dining room include . room not ready get , hang lovely mezzanine lounge player grand piano lot window view street . Service seem fine . clean . HVAC system bit loud hard control , window open enough keep fresh air move . could not get room Michelangelo ( another comparable hotel area ) , would certainly stay . day check receive on - line evaluation form almost immediate response hotel stay . impressive . 
 Mar 7 2005 	 great stay 	 stay Benjamin last week , disappointed . king size studio suite large New York standard , city 's standard ! kitchenette wonderful , since Cafe right next door hotel sell pastry , sandwich soup able enjoy room time . bed pillow comfortable furniture nice quality . bathroom clean nicely appoint . great fax phone number go directly room . staff nice , always greet ask need anything anytime see . not get room view , inside room quite quiet , can not hear street noise . time stay city ( 5x / year ) try new hotel , not ... hotel wonderful ! 
 Mar 6 2005 	 great location 	 Benjamin Hotel wonderful location close 5th ave shopping . room spacious enough NYC great kitchenette area microwave . mattress / bed comfortable pillow world . one lesson learn room low floor NYC noisy Benjamin exception . room next spa third floor 8 am hear kind sound . conclusion , would stay Benjamin request high floor room ! 
 Mar 3 2005 	 Benjamin Great hotel 	 stay Benjamin Valentine 's Day Weekend . first must say live NYC , treat , wife decide check good hotel . the Benjamin fall category . let let secret driver . Manhattan almost impossible find free parking . througout city parking meter , parking lot , fine double . tow truck & quot ; minimum wage & quot ; pay parking people around like shark , two block hotel find free parking . bed extremely comfortable . many hotel , bed comfort stand . staff seem professional helpful . decor beautiful good stay & quot ; Benjamin . & quot ; hotel far major shopping area ( Bloomingdales etc .. ) town like designer clothe shop like wife . take trip Woodbury Commons outlet , hour away . drive go bus , Shortline bus Port Autority . benjamin plus trip Woodbury Commons outlet make trip NYC winner . 
 Feb 21 2005 	 good review say 	 spend last two night recent stay NYC Benjamin base review post - not disappoint . everyone v friendly , room decent size , noisey bed extremely comfortible . really appreciate able go steam gym / spa third floor . bad say stay perhaps could extra lift since two . would heartily reccomend would certainly consider stay . 
 Feb 17 2005 	 even stay 	 well , excited hotel read review , hope read hotel industry could stand know customer 's first impression call make reservation try tonight , direct hotel , disconnect twice finally , third time make privy hour reservation office open , make fuss . good first impression . ' m look elsewhere . oh , , give hotel benefit doubt instead try 800 number , twice get strange message say & quot ; online & quot ; right away , proceed put hold WAY long . give place . 
 Feb 2 2005 	 great service location bed ! 	 boyfriend stay Benjamin 27 - 31 Jan 2005 great time . furniture classy , marble bathroom elegant Aveda shower product divine . sheet comfortable comforter good . walk closet give we lot room even room not big . bathrobe . view build across street , look 19th floor onto busy Lexington Ave . fun . concierge - could not nicer accommodating - and never feel look - down upon even though be young couple . answer every question kindness authority . location great , block Grand Central Times Square . come JFK , suggest take AirTrain ( $ 5 ) e subway ( $ 2 ) get Lexington 53rd instead pay $ 45 + taxi , unless be really late night . take subway ( girl alone 6.30 ) hotel JFK work fine , not ever feel unsafe get lose . public transportation city awesome ! Fin Bar hotel nothing special , 's nice place relax cold beer , excellent service nice decor . would definitely go ! 
 Feb 1 2005 	 ABSOLUTELY TERRIFIC ! 	 choose hotel check website . disappoint - staff friendly could helpful . parking room service reasonable NYC perfect distance Times Square close , yet quiet . room good size bathroom - totally love everything it . I never stay anywhere else ! 
 Jan 30 2005 	 Manhattang comfortable ! 	 ' ve stay Benjamin several time , still yet find reason pay notable dig like St. Regis . sure , glitz upscale New York hotel sound great , many wonderful experience Benjamin , pillow menu excellent service , bother ? hotel comfort elegance one need , minus pretension . room modern classically decorate . recall one sit room , include sofa bed television , adjacent bedroom / bath separate door . last room similar set feel even brighter open . matter setup room , Benjamin hidden gem Manhattan- not pass ! 
 Jan 29 2005 	 perfect 	 Stayed Benjamin first time find simply perfect every detail . hotel like figure much miss & quot ; average hotel & quot ; similar price ( especially NYC ) . 
 Jan 24 2005 	 well review 	 story . we return nyc long weekend . we arrive 20th Jan leave 23rd . we first book Dylan hotel review trip advisor . however , book review start go downhill . we change heart decide Benjamin review trip advisor get well . we disapointed.the Benjamin fantastic . from moment arrive service first class face . we offer upgrade arrival , pay , worth it . imagine terrace 18th floor New York ! ! room spacious furnish high standard . the bed one good sleep yes pillow good . what make great hotel restaurant . the Ocean 50 worth it . our first night jumbo shrimps lime sauce melt month . to follow Maryland crab cake Alison sea bass . word describe well taste . in restaurant 's bread roll , Ocean 50 small loaf freashly bake ! ! surf turf Alison third night world . Damm cost . go it . other thing say . location excellent . all major attraction walk distance even snow . finally , need anything go front desk . we struggle snow , get jfk flight . not problem Benjamin . car book , arrive time , get us airport 25 min luxury . this hotel good , backRobert & amp ; Alison SmithMilton KeynesEngland 
