perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Mar 24 2008 	 Comfy Chic Hotel Midtown 	 stay Business . chic hotel friendly staff . locate next Times Square nice location . downside : small room . arrive , basket Honor Bar snack sit directly front Flat Screen tv . heck time find another spot . speak another guest say twin bed . not see often U.S . queen . upside : room clean comfortable . back hotel quiet . hard find NY . also , fun irish bar right next door ; good , inexpensive diner across street Virgil 's BBQ block . 
 Mar 24 2008 	 special find ! 	 Josianne Lubrun top wonderful visit NYC kind enough look item leave behind offer ship . hotel room clean , comfortable terrific location . stay perfect . price right . great find ! 
 Mar 24 2008 	 top stay ! 	 stay Mela hotel 5 night , begin March 2008.everythe hotel top . top quality room , top staff top location . would certainly recommend anybody go ny stay there . a great plus also free wifi room . we discover restaurant next door last day drink , look promisse . if would discover place early would surely try lunch dinner there . after read review TripAdvisor , expect stay small room , much surprised discover roomwa not small . also plenty space put luggage ( 3 - medium sized - suitcase ) . 
 Mar 20 2008 	 fantastic stay 	 first trip ny travel short notice not many expectation hotel . nevertheless , absolutely perfect . room small perfectly acceptable although bathroom little tired . staff need always welcome . example , try use complimentary wireless internet connection one morning laptop could not find strong enough signal . get back room evening , connect straightaway . breakfast next door great start day . location little noisy sleep Times Square , expect ? New York wonderful city can not wait go . 
 Mar 17 2008 	 Valentine Hotel Mela 	 New York New York , Hotel Mela Hotel Mela Maple , Canada . word would Frank Sanatra 's say ( Song ) still around . perfect stay excellent service David staff Hotel Mela would discribe stay Hotel last month . guy helpful location ( TIME SQUARE ) perfect . room clean people clean helpful . wife come Toronto , Canada go 10 wedding Annv . hook . go every year . Hotel Mela great stay want classy place sleep hang day visit New York . 
 Mar 17 2008 	 would definitely recommend Hotel Mela 	 stay hotel Mela 5 night break find staff reception extremely helpful friendly . hotel room spotlessly clean modern flat screen tv 's , coffee make facility lovely range toiletry not need use own . the location hotel ideal 2 minute walk time square could take metro part city . Madison square garden within walk distance rockerfella centre view top amazing empire state building . we pay $ 71 taxi Newark airport include tip half hour taxi ride . $ 7.50 unlimited day pass metro great way see sight . if come hotel turn right , across crossroad leave handside great place breakfast think call red flame . we would definitely stay hotel Mela would certainly recommend friend family . 
 Mar 14 2008 	 troubled stay 	 checking , notice lobby extremely warm . guess public area air conditioning work worried room would also warm . check - in staff friendly efficient even though warm suit . wish say something obvious air conditioning problem . room ( 710 ) well appointend comfortable ( initially ) . call housekeeping one cup coffee maker , one robe ( need two ) lipstick one bar glass . response quick . return show Friday , find room warm . around 11 pm call front desk lack cool air tell work air conditioning whole hotel . around midnight , call room become uncomfortably warm . time new person phone say would send maintenance . Maitenance arrive quickly find AC not work properly even reset . ( first phone call obviously mistake hotel 's air conditioning apparently separate AC unit room . ) . 12:30 move we new room ( 1107 ) . room 1107 acceptable disappoint lose bathtub , armoire night stand side bed move . even though change room middle night , one ever apologize . AC room 1107 work flawlessly . apparently not one problem . elevator clothe hanger , encounter couple say sister third room since check . ' ve rarely change room due mechanical problem , time hotel offer apology along something else ( wine , fruit basket , upgrade well room , discount , etc . ) . sort apology would appreciate . know , door 1107 not close completely unless give good push / pull . small issue , service listing room say newspaper available 2nd floor . go 2nd floor first morning , not find newspaper , find lobby first floor . video check - out not work . button remote not always match on - screen request use menu ( & quot ; & quot ; button somewhere ? ) , good thing ! 's really like : - staff uniformly friendly efficient ( even though warm ! ) .- room well appoint quality item . furnishing , bathroom fixture , electronic feel high - end . very comfortable bed bedding.- lighting room versatile accommodate needs.- coffee maker amazing . think something wrong first cup tea come quickly . tea drinker friend coffee drinker . machine make really good beverage we without cross - contamination . ( Tea often taste like coffee hotel room ! ) thank also good green tea available.- Housekeeping fast - never see housekeeper . cleanliness good ( except comment ) .- although elevator small , make wait long.- hotel provide Times Sunday . bravo ! ( not mind pick paper lobby . ) - H2O product excellent . - provide internet access without extra charge great ( hotel ) - wonderful channel lineup tv ( yeah , BBC America ! ) - surprise quiet room . hard believe midtown Manhattan . my one regret - hope peek small room never chance . King Deluxe wonderful not know would like Standard Queen room . not bad stay , really disappointed hotel 's lack response time problem email problem manager stay . 
 Mar 12 2008 	 excellent 	 book delux room first visit hotel new york . room big think read review , comfortable bed , armchair , desk chair , safe lovely bathroom , mini bar snack expensive . two min walk times square deli 1 min , top rock 15 min , empire state 25 min walk . staff friendly helpful time . really enjoy stay return . 
 Mar 12 2008 	 nice boutique style hotel close Times Square . prepare small room ! 	 okay know going say , hotel not small room NYC ? ? right ? well one make room look large website not fool room bed somewhat large bathroom . bed take entire room . one boutique style hotel stay well NYC . good location see Times Square access one block away street busy . lobby small staff helpful . interior trendy upscale despite tiny elevator tight hallway , room late amenity . even LCD tv wet bar . nice little place stay well city birtday close action even well . literally walk block center Times Square . hotel situate midtown . would highly recommend place , warn , not fool picture . room closet . although place NYC tight , Holiday inn ( know think ) huge room half price ! 
 Mar 10 2008 	 great location wonderful Staff ! 	 staff wonderful moment arrive leave . attentive helpful . two four we celebrate 40th birthday send complimentry bottle champagne room . great location , minute walk Time Square . central anywhere want visit . walk mainly underground train cheap quick . carmine Italian John 's pizza restaurant good . St hotel . turn leave door cross Time Square . Ellen 's Stardust Diner great , sing dance . great breakfast good appetite ! think macy 's good round shop want real bargain Century 21 good . World Trade Center . like TK Maxx load bigger well . World Trade Center move , take tissue ! empire state good view . free ferry Statan Island take near Statue Liberty , great take picture . Wall Street lovely area , nice shop place lunch . Central Park good raining go . many great place visit , case prioritise difficult get around . travel two couple tear sightseeing shopping . really need ! 
 Mar 8 2008 	 Mela WONDERFUL 	 time check , hotel staff member hail cab us time departure , love Mela . staff member pleasant accomodate . clean room bathroom spacious expect . bed comfortable , great pillow fluffy comforter . excellent location walk many destination Manhattan . love quiet , elegant atmosphere Mela . 
 Mar 7 2008 	 Great Service Great Location 	 stay Hotel Mela 8 night business trip . ideal base , half block Times Square , run around meeting Manhattan , watch Broadway show walk various wonderful restaurant . I surprise pleasantness everyone front desk cleaner . everyone cheerful , always happy help clearly care facility . I spend lot time hotel room , work meeting . room service restaurant next door nice food , deliver fast plenty choose -- breakfast , lunch dinner . room everything need : iron ironing board , lot plug laptop phone charger , constant free wifi constantly tempt minibar . the hotel atmosphere fresh fun , beautiful dark wood splash colour , modern sitting room elevator chess board backgammon . I would highly recommend hotel -- stay flawless . 
