never 	 fan Travelodge ( normally ) . nothing posh usually know get say . unfortunately case one . long queue check could not happen till 3.00 sightseeing luggage ( try narrow spiral staircase Tower London . room peel wallpaper , hoover part leave room clean , mug wash properly , bathroom dingy . ask think receptionist leave , convince anything would do . weird thing Travel Lodge seem split two . new frontage see trip adviser photo along Shaftesbury theatre doubt interior new , entrance Drury lane old bit allocate . not know get allocate new end seem list separate t.l . perhaps T.L . management read explain ? . 
 Excellent Location good price 	 room 217 good , clean bed linen towel change daily . hotel budget price excellent location . five minute theatre Covent Garden within easy walk distance China town . admit place could face lift lick paint ! cafe / bar area breakfast serve cold small definitley need face lift first place see booking . would good idea screen entrance door dine cold air whips round area , pleasant eating . would stay though purely location price . 
 DREADFUL ACCOMODATION - never ! ! 	 stay ROOM 226 . stay 2 night . good thing say hotel location . room appalling - wallpaper hanging , mouldy tile bathroom , dirty shower curtain , light bulb work , furniture look like come skip . whole room smell damp musty . comment food choose eat . would never , ever stay hotel . 
 stay hotel ! 	 bad Travelodge ever stay . leave luggage facility , go Charing Cross station pay £ 8 per bag could not check hotel 3 pm . overnight traveller overnight bag ridiculous situation mention time take traipsing around underground , would not minded pay leave bag hotel . slow reception staff , room key card work arrive room 1 pm morning yomp back reception . window bedroom screw shut sort security lock no - one seem key ? Hope never fire escape window . carpet wall filthy , would say carpets stair wells vacuum millenium hole guest could easily catch heal fall . breakfast bad wait age cutlery food become cold ! would recommend hotel unless really desperate , even think twice ! ! ! ! ! 
 could lot well 	 check slow . get bedroom realise toilet paper , ask - give leave roll another room . realise one set towel 2 people ! next day return day , dirty coffee cup leave room , restock coffee , tea milk - go reception replacement . realise one set towel leave ( willing use previous day towel remove ) . back reception another set towel ( ask toilet roll ! ) .breakfast poor/ - croissant fresh . Yoghurt available one day next .. OK 's budget hotel GBP 210 2 night 's cheap . their staff polite friendly obviosly problem ensure bedroom check service correctlythey need get act together . add insult injury , online questionnaire ask one question say & quot ; thank complete survey & quot ; - obviously company interested customer think . 
 Oct 8 2007 	 brilliant location 	 hotel brilliant location . close Covent garden , oxford street , Kensington , Buckingham palace etc etc , walk EVERYWHERE go , great . still really close tube well though need it.the room REALLY basic . hairdryer , bath towel , one towel provide ( double room ) phone room . bed really uncomfortable . room tiny , barely enough space walk around bed . tv good , new flatscreen . room clean modern . pay 96 pound room . pay less would happy , feel price , facility room could better . ultimately though hardly room location place great ! ! ! ! 
 Oct 3 2007 	 Somewhere Sleep . 	 2 building , old one Drury Lane & amp ; new one High Holborn . stay new building . stay 1 night work function . book twin room colleague decide stay ask double room arrival give , however , smoking room sign smell smoke . when arrive give key & amp ; go room someone already ( good job not naked ! ! ! ) go & amp ; change key . man reception really nice & amp ; keep apologise . room odd shape long thin . good eyesight able watch tv bed tv far away . bathroom ok soap supply . I sleep window close keep get wake noise people shout outside ( 10 floor ) Breakfast ok . Eggs dry Apricot jam dry croissant . 
 Sep 28 2007 	 Fab Location clean comfy ! 	 ' ve stay several time never disappointed . always able park , find room clean comfy , good bathroom , pleasent staff . get cheap necessarily central well overall . we use base explore central london feel secure enough allow 16 year old twin stay go London . also great time issue . 
 Sep 25 2007 	 great location fantastic value money 	 stay one night September seeing show West end . two main factor contribute fact ' ve rate hotel average ; location value money . book double room three month advance bargain priceof £ 26 . stay Sunday night ( doubt one reason cheap ) book directly [ -- -- ] .security good entry lift access room key . room basic , clean . provide tea coffee make facility , flat screen tv room UKchannels radio station . bathroom clean shower bath , one night not long enoughto care . toiletry ( soap ) follow travelodge mantra guest bring anyway , leave extra low price room . they various vend machine snack / toiletry need they . the hotel reasonably price bar serve food . not eathere menu vary relatively cheap . breakfast buffet style £ 7.50 eat , add bonus child eat free pay adult . far good feature hotel location . 's 2 minute walk Covent Garden station Piccadilly line , within walk distance theatre , Leicester Square , Soho , China Town much more . all great hotel travel budget . let us face , be go to need cash drink around town ! advice , head Belushi 's ( australian sport bar piazza Covent Garden within staggering distance hotel ) cheap ( er ) cocktail 2 1 bottle Corona . enjoy ! 
 Sep 20 2007 	 Good Location 	 wife stay one night go see show . we find location excellent hotel basic nice comfy . opt breakfast good price . recommend book close date likely get well deal . the room modern clean . would problem stay long would definetely go back next London . would recommend thrill stay , look glam look market . 
 Sep 18 2007 	 's well value money elsewhere 	 stay hotel one night - thank goodness . arrive 11:00 lucky room available allow . room tired look . one towel 2 people fortunately trolley outside room take another . hairdryer toiletry funnily explanation research show guest want bre ! - not , - might say 1970s 2007 . pay £ 95 room want something money . we rest day return hotel 5 ; 00 youngster play around reception area outside . teh ground floor right outside room . let us say resident . 6:30ish walk across courtyard reception ask hairdryer . wait 20 minute turn one person check people . ask could borrow hairdryer - hotel information tell . receptionist appear astonished say not one . People allow 2 hour . ok say would get one morning . ask people doss forecourt loud . look astonished hear - rang security remove . say pay £ 95 room ask want breakfast charge £ 7.50 . already total £ 110 . sorry travellodge cheap well value money hotel around london - MUCH well . ' ve stay often . anyway not stop . night emergency alarm keep go night not even get good night sleep . follow morning entrance breakfast put sign apologise . explain health safety resident , explain keep go . aware importance health safety explain alarm keep go wake resident . , back hairdryer . follow morning asked hairdryer tell . since previous evening . mind mean long 2 hour tell . Breakfast ok £ 7.50 could get well variety one bar area . we ask could leave luggage journey home tell luggage area , could keep room £ 10 2:00pm £ 26 keep room 5:00pm could keep luggage room . seo cost mount . good quality hotel - good offer luggage hold facility . go Euston instead put luggage leave luggage - least teh area journey homewould stay - stay travelodge - yes LondonShould travelodge review customer want - yes . should start find value money mean - yes.if get bottom review suggest not book - go elsewhere . 
 Sep 18 2007 	 great location comfy clean 	 get back three night stay . other say , two travelodge call Covent Garden . stay one High Holborn . arrive correct check - in time 3 pm ( actually 1.30pm ) . however , problem allow check . room 13th floor excellent . spacious nice big bathroom - brilliant power shower . room spotlessly clean . thing say mattress bit soft we , be personal preference . fantastic view London amazing night everywhere light . can not comment food bar area not use they . all staff encounter nice amenable . pay £ 101 three night - £ 26 Friday Sunday £ 49 Saturday . certainly stay London . 
 Sep 17 2007 	 good value basic hotel 	 stay hotel 1 night work business , pay £ 115 directly travelodge website . review say 2 hotel next , stay Holborn hotel 12th floor . room clean , bed comfortable fine - would expect travelodge really . be look reasonably price hotel centre London , fine . remember hairdryer - have forget be travelodge room ( although borrow one reception ) . Breakfast not particularly appetising , would advise give miss . 
 Sep 4 2007 	 great value money 	 return one night stay Travel Lodge Covent Garden ama pleased say stay enjoyable . normally stay Athenaum might say fantastic pay , go budget disappoint pay . book family room back April pay £ 49 , two use room large sofa convert another bed however extra bedding 4 large fluffy white bath towle provide . the room fairly big clean , double bed , sofa , wardrobe ( say , area hang clothe door ) long desk / dress table . bathroom basic importantly clean . also small tv number satelite channel . we take advantage eat breakfast £ 7.50 pp quite good value London . freshly prepare nice . our room new build High Holborn cafe build busy breakfast take voucher road use Drury Lane facility , equally nice quieter . as location , great position Covent Garden onwards Leicester Square etc . less 5 min walk facility Covent Garden . in summary , not expect 4 5 * hotel facility , porter , room service etc , expect basic , clean comfortable hotel enough facility see right day . need much hotel facility London outside door . price can not beat , look hotel room booking struggle find much £ 200 location . even high rate £ 95 per night bad compare hotel vicinity . 
 Sep 3 2007 	 convenient location basic 	 stay couple Holiday Inn Express week ago , Travelodge price let . arrive late morning give choice check right away smoking room new Holborn building . take room probably new , clean , large basic compare Hol Inn Exp . phone , shower weak breakfast good £ 7.50 ( child 14 free ) good location underground car park several space £ 15 ok value central london convenient . staff helpful . guest nearby room night party inconsiderate . staff next morning say tell would sent security , phone room walk partygoer corridor , 10 flight reception might good idea drunk would know partypooper ! ! good value central London convenient might use could not find anything else . 
 Aug 29 2007 	 's 2 Travelodges Covent Garden 	 book Covent Gdn Travelodge 2 month 3 night stay . the rate get & quot ; rack rate & quot ; £ 95 night . I ' ve hear good bad thing hotel , decide give try . luckily check around 2 pm , come room 4 pm single receptionist queue 15 people check . check quick around 3 min , be stick back line 40min wait not good start break . the 2 self - service check kiosk reception break 4 day , would really grate stand line 40 minute waiting room key already pay month advance . security obviously issue key - card access require hotel lobby 6 pm time get lift . the decor public area shabby tired , place would like relax . door woodwork corridor bash , chip break . the room visibly clean feel dirty well use , double bed 4 ft 6 wide spring could feel mattress . cupboard 6 hanger 2 people inside light not work . bedside light break scorch woode headboard . the tv look good picture unwatchable fair channel due bad antennae signal . wireless internet access flaky , signal strength never low . curtain tired hard pull closed keep light out . shower powerful great job , towel seem well use hard . there be toiletry phone room ( order keep cost ) . partner make way reception wet hair borrow hairdryer reception . tip - way room avoid happen ! could book & quot ; proper & quot ; hotel £ 20-£30 night . put simply think save £ 90 3 night would worth . feel . part experience London hotel choose not make trip bad , make feel cheap tacky . feel spirit sap walk litter food strew step rough end Drury Lane towards reception . here be crux - book hotel less £ 50 night would stay night two . get rack rate £ 95 night worth money . pay little extra stay somewhere heck lot nice . London easy get around Covent Garden location need not everything . if stay , look like 2 seperate building - get high Holborn side Drury Lane one . 
