ok 	 tell cut back . know times hard charge $ 300 expect fast service . room service take way long late meeting . 
 Mar 13 2004 	 meet standard ! ! ! 	 might opinionate type discuss .. employee hotel meet standrad say & quot ; offered expect ... paved recognize they - by , give comfort acknowledge certain individual make fiance vacation spree spectacular ! ! ! doormanneil HANDED MEa ticket generous direct lobby mesmerize busy still time show , remember receptionist Lorenzo extremely kind give lovely room overlook lake ( take note without additional cost ) wish we lovely stay , right bell hop guy Marco inform we evry detail room , explain thing prompt , adore coq or - love concierge tom , recommend good dining place .. overall LOVED EMPLOYEES ! ! ! OFFER EXPECTATION 
 Mar 8 2004 	 full old world charm 	 partner stay Drake 2 night September 2003 stopover LA , read mixed review decide try . hotel fabulous , moment check fall love , ok bathroom door not close add 's quirky charm . bedroom fine fresh fruit every floor nice touch . wonderful time nothing quite like breakfast overlook Lake Michigan Oak Terrace . would highly recommend Drake want hotel bit character . return Chicago certainly stay . 
 Mar 1 2004 	 great 	 Drake okay hotel .. old .. expect mote hotel , need renovate room ... service great hotel .. employee helpful though would stay .. disapponte room .. give 2 full bed ! ! ! ! ! ! 
 Feb 22 2004 	 Loved Coq d'Or 	 spend day Drake nad wonderful . room overlook lake nad access special lounge top floor serve free drink night ! also eat drink Coq d'Or bar highlight trip . although 70 year old te ambiance service second none . would highly recommend Coq d'Or giant Martinis great service . drake hotel wonderful ... 
 Jan 8 2004 	 great hotel 	 stay 3 night Drake , 25/26/27 December whole place beautifully decorate Christmas . already pay room online well arrive O'hare minus credit card ! ! contact hotel agree pay shuttle airport could get card replace . assistant manager ( Mario ) staff excellent thoughout stay . although comment restaurant , Coq d'or bar great atmosphere food good value ..... bar wait staff terrific . one dissapointment lack coffee maker room walk though hotel complimentary drink every morning delight . hotel great location minute Hancock build Michigan Avenue would hesitation recommend other ..... especially get room little $ 99.00 night . 
 Jan 7 2004 	 RUINED thankgiving HOLIDAY 	 Drake horrible . ruin Thanksgiving stale food , horrible service . ( & quot ; hey going tack 17 % gratuity , would well earn ) 's bad management responsive complaint . 5 star hotel ? please .... make note , one write review like & quot ; DRAKE & quot ; special occassion , not depend meet need . dont SPEND MONEY DRAKE HOTEL . dinner HORRIBLE ! also go seek relief not refund money pay & quot ; meal & quot ; 
 Dec 21 2003 	 great Christmas Spot 	 always want stay Drake , ' ve hear great thing . everything hope ! classy . great place Christmas season , beautiful decoration . plus , great we , be right north side Michicgan Ave , shop day , right back hotel . service great , even give we free upgrade ! 
 Nov 30 2003 	 excellant value ! ! 	 two night Drake , read many review previous visiter see people complain . yes bathroom miss shelf , view good etc etc complain need take good look ! wish stay day later stay 19th 20th Nov . place look amazing decoration finish . giant tree loby , Chocolate Sears Tower ice winter scene chicago sweet .... absolutely stunning . complaint service , room , package book include breakfast ticket Art Institute . enjoy cocktail piano bar .. can not think anything negative say place . eat restaurant , reason prefer go elsewhere . propose girlfriend nearby signature room restaurant 95th floor John Hancock building concierge arrange reservation confirm discreetly . enjoy whole experiance glad somewhere nice go back remember . would thoroughly recommend friend family , especially go Thanksgiving / Christmas . 
 Nov 4 2003 	 Complete Joke 	 father favorite Chicago area hotel , thought would try Chicago area . however , think ol ' italianate feel place location relative interested , etc . cancel reservation , favor Hotel 71 , pretty darmn nice hotel , thus problem Drake begin . nutshell , nick $ 200 + never give cancellation number , not think get one , figure would take care not give second thought , course , credit card bill come . , argue week aq cencellation number never give wit end . short , place give poor customer service not deserve business . 
 Oct 23 2003 	 expect ! ! 	 husband stay two night Drake . october 4th 5th . expect luxury ( like Ritz Carltons example ) comfort . astonish size room , quality bed , feather bed feather comforter . towel small old , shower curtain look weary . us experience disaster book internet king deluxe get small room nice view . leave long complaint still wait response . call front desk complaint never pay attention claim . book early check leave we wait three hour . I know Princess Di like much ! ! certainly will not recommend stick Ritz Carlton eye close . 
 Jun 20 2003 	 good ' ve stay ! 	 April 2003 friend 's dad suprprise we trip Chicago birthday . upon arrival , get plane O'Hare airport board taxi . ride , friend 's dad call Drake see opening . . pull Drake friend 's jaw drop . & quot ; Wowed & quot ; . bellman take bag , give ticket stub take bag . walk hotel , & quot ; Wowed & quot ; . go stair greet huge vase full flower ! ( stand next tall , ' m 5 foot ! ) turn walk check - in / out counter . check - in quick . tell would stay one 1st floor ( one story Lobby ( l ) level ) room number would room 115 . walk elevator another bellman take we . hallways quiet . walk room , slide key door would not take card . 10 time go get someone . housekeeping come master card . door open . say sorry left . go see view : view Michigan Ave . ! bed great , two beautiful marble bathroom beautiful soap shampoo . mend kit shower cap . even . bathroom hairdryer ( would pack hair dryer , short thin hair take 45 minute dry hair go eat still not dry ! ) extend magnifiying mirror . safe , excellent closet , walk - in . open door minibar , jaw drop . stock fridge , trow - away camara , gummie , snack , cracker , candy , etc ..... mini - bar come price list , whooow . $ 16.50 trow - away camara . buy not store sell camara 15 minute away ! buy camara . tv huge . wireless internet tv like new Msn - Tv . could access e - mail fee . neat book room Drake 's history . Queen Elizabeth II stay ! free postcard stationary room . went shop . bag take room bellman , return broken door lock . housekeeping came fix again . around 5:00 go dinner Rosebud Steakhouse , short miniute walk street . food great . waiter Teddy . end meal say compliment Chef . leave , Teddy bring chef , cound meet tell personally . ( want cook grow . ) later leave see Lion King Broadway around 7:00 come back around 11:00 . door finally fix . order sunday coke room - service . sunday $ 3.00 $ 2.00 ! $ ! five dollar total snack . room - service promptly deliver . set tray outside room find wake leave hotel go home tray still . free complimentary newspaper outside door , . would love come back Drake , love , . 
