knickerbocker 	 time arrive leave , Knickerbocker great experience . staff courteous , service outstanding . room bright clean food service restaurant superb . 
 back 	 stay 4 day nothing wonderful thing say hotel . concierge super helpful nice . staff super helpful nice . like location Michigan Ave shopping . hotel lovely . booking read Trip Advisor review really like fact hotel respond even & quot ; bad & quot ; one . good hotel good customer service 
 Jul 11 2006 	 slow outdate convenient ! ! ! 	 elevator slow molasse . literally take stair fourth floor b / c slow . room small furnish antique - y way . two window , one block . view . bathroom could use update - tile little crumbly grimy . hotel old world Chicago feel inexpensive location ( $ 149 / night ) . right along Michigan Ave 10 minute lake , fancy boutique , 5 min cab ride Historical Society Art Institute . bar close early service slow . 
 Jul 10 2006 	 keep look 	 recently return 3 night stay Millennium Knickerbocker Hotel . begin problem Hotel . check process unorganized process ever see . try check 3 pm ( check time ) tell room ready not know would ready . wait another 2 hour could get room . front desk clerk ask credit card begin charge room without ever tell we much woud . room okay size double bed however room feel dirty . bed horrible curtain mirror seem like go fall head asleep . bathroom ok size beware look tub clean bathroom matter . shower drain middle floor . water suppse drain floor slant enough water sit nice little puddle . floor never mop entire stay black tint mold grow . suggest bring shower shoe . floor never get mop empty roll toilet paper two day ( another roll , would think housekeeper would replace empty roll ) . also change sheet bed every 3 day ever leave less 3 day . nice thing hotel location . almost right Michigan Ave shop , stay somewhere else would suggest . hotel worth money . 
 Jul 10 2006 	 historic small room friendly service 	 know read forum hotel would challenge . location excellent however . ungrade junior suite & quot ; overlook Walton Street & quot ; . not think . one small window view roof ... could see street . room extremely small bed set alcove . decorate old world ornate fashion elaborate canopy ornate lamp . lve area difficult two people navigate tme . oriental style hutch modern coffe table . barthroom smallest sink see life . almost impossible shut door room . glass shower door operate properly . grimy bathroom flloor small towel . Martinis bar strong .... maybe enough , think & quot ; size matter & quot ; . friendly bartender abd housekeeper . 
 Jul 5 2006 	 look elsewhere 	 small room - ugly decor . bathroom small barely shut door ! room service horrible . look elsewhere ! ( find hotel via Hotwire [ -- ] rate 4 - star . yeah , right . ) 
 Jun 16 2006 	 good location / very small room minor problem 	 stay one night . small room . slide bathroom door budge , leave open . Got stick smoking room hey , reserve Priceline . great fun martini bar lobby / lounge ( lobby quite small lobbys go ) . ton martinis live music - guitar piano player . Martinis $ 12- $ 15 big glass fill rim . big , heavy window block almost street noise . want hear city noise , open window , . fan room also help hallway noise , minimal . the bed comfortable , pillow . hair dryer room , though . probably one front desk , not ask . I wake realize leave toothbrush toothpaste home , go downstairs tiny , tiny store lobby get toothbrush travel size toothpaste $ 9.77 . hello Chicago . one tip- be go want go see show , not waste money & quot ; Blue Man Group & quot ; . dumb thing ever drop $ 60 per person . unreal . have fun Chicago ! 
 Jun 11 2006 	 Beware Glitches 	 wife complete weekend stay advertised Superior room . book AAA $ 179 night , price would complain much hotel quality encounter . plus side , hotel excellent location northern end MM , across Drake . staff courteous helpful , piano bar lobby - bar nice touch , room quiet , bed firm , shower hot . on downside , room small , even two two carry - on stumbling . bathroom even tinier -- smallest ever encounter hotel . measure floor area bathroom ( minus tub area ) 4x5 , barely large enough one person take account space occupy sink toilet . hotel bit wear one outlet work , room room - darken shade window , hair dryer barely powerful enough wife dry hair . hotel good value money , aware get get price . 
 Jun 9 2006 	 Loved Knickerbocker 	 stay Knickerbocker middle May , 2006 . never Chicago not sure stay . love stay . everyone hotel great . give we direction , map , etc . easy get around Chicago . hotel friendly locate . could walk everywhere want go . Rode red line ball game , easy direction . hotel clean . bathroom small , nice size shower , tub , however would prefer show hotel . four us plenty space room , although room much . would definitely stay . 
 Jun 4 2006 	 Great Place stay 	 month long tour USA Knickerbocker last place stay . on Arrival staff helpful need ask assistance . check - in desk give helpful advice Chicago realise USA . Staff member take bag room take time show use minibar check price also adjust air con ect . the hotel room seem little small think due amount furniture room . room CD player bonus . bathroom clean bath . bed comfortable easy fall alseep . the Knickerbocker great invite hotel stay especially never Chicago 
 Jun 1 2006 	 Awesome servce / great location ! 	 want taste " Old Chicago " place . although , " new " " hip " renovation , old - time charm hotel welcoming . husband plan nice little weekend trip go see King Tut exhibit Field Museum , well take advantage wonderful event Chicago offer , concierge aware every possible event go city … not , would get reservation right , choose ! ! happen get great deal room , $ 72 / night , fact … and ' trade experience another hotel anything = ) defiantly must . 
 May 6 2006 	 Wonderful Service 	 well , admit little nervous staying read review site . tell , honestly , Hilton . travel Chicago 6 - 8 time year work ' ve luxury try many Chicago 's fine . first , check around 9 pm . doorman pretty much trip open door . opening , bellman right welcome Knickerbocker take luggage . sweep check - in desk stay neaby finish . woman check - in desk helpful cheerful . would not surprise own Hotel way willing help make stay enjoyable possible . quick check - in take room , bellman went first turn every light , show mini - bar , tv , make sure nothing miss not want . stay room 316 , smoking , king tub . request tub checkin tell hotel look away tubs next remodel . front desk say find not tub room call put room one . Decor room little date , comfortable . personally like canopy bed , old mirror - maybe new clear . keep mind hotel build last year , be still charming . problem bed . really bad back , time ' m wake pain staying hotel , . bad allergy mold , ' m problem . always bring candle travel , smoke , room musty smoke odor . see bit lake Drake . not hear anyone next door , hear door slam guest , , hotel . bottom line , may date hotel , service get make . people really make hotel . review make seem like hotel would find third world country - 's bad . could use update decor , , not remember ever get amazing service staff hotel . 's big difference staff job paycheck , really enjoy care guest . 
 Apr 27 2006 	 good location ! nice room ! 	 stay place take bar examination . clean comfortable room . great location Watertower right across Drake . pretty good value right middle summer time . place quiet night . room service excellent . overall pretty good value put right middle Michigan Ave . 
 Apr 21 2006 	 Great Location 	 return five night stay Knickerbocker . room clean quiet -- though bit small . staff encounter friendly accommodating . good thing hotel location - right next door John Hancock building step away fantastic Magnificent Mile shopping . breakfast snack , try L'Appetito ( ground floor level John Hancock building ) . great latte bake good breakfast panini sandwich $ 2.75 ! ! Chicago , sure check & quot ; bean & quot ; sculpture Millennium Park . city skyline reflect back silver surface bean really beautiful sight . love see smile face visitor 's walk close bean . 
