stay 	 travel San Francisco every week business . like switch stay Union Sq . wharf change scenery . Argonaut definitely place stay week stay Wharf . love everything place . staff great . miss wine hour 5 minute check give voucher glass wine bar . room clean comfortable . be right around corner Ghirardelli Square , take advantage cool evening go get cup hot cocoa . next morning pick breakfast Starbucks walk across street nice morning beach go office . location great . love Argonaut look forward go back couple week . 
 eagerly Anticipating Next stay Argonaut 	 already plan next visit hotel . stay three day anniversary company little bichon wonderful experience . staff amazing , incredibly helpful , always treat little dog like value guest well . love attention doorman front desk time come . Argonaut truly make we feel home . purchase three day pass cable car / trolley car / muni system cable car turnaround right next door hotel make easy get around San Francisco Fisherman 's Wharf . we plan give Argonaut gift certificate son daughter - in - law Christmas year . can not think hotel San Francisco would rather share . 
 Jul 5 2008 	 nice location problem 	 nice place first stay San Francisco . near Pier 39 , cable car , Alcatraz Cruises ... like hotel return San Franscico , choose another one . bad Internet Access . due price per night internet access must include case ! ! ! WIFI access ! ! ! room clean come back 2 pm , intolerable ! 
 Jul 4 2008 	 excellent location Fisherman 's Wharf 	 book 3 night stay hotel . find staff friendly helpful . room furnish & amp ; decorate high standard , two double bed . even view Golden Gate Bridge Cable Car turnaround bonus . hotel host complimentary wine reception every evening 1 hour nice touch . location hotel excellent sightseeing San Francisco . would highly recommend hotel would stay . 
 Jul 2 2008 	 Fantastic Argonaut 	 wow , fantastic hotel ! one night , - spend rest San Francisco visit Omni close Union Square . check - in , everything top notch . lady check - in friendly , cheerful helpful . room ready around 1 pm arrive . bag reach room couple minute , friendly bellman apologise ' delay ' . say staff wonderful ? room whimsical nautical theme . bathrobe wildlife theme , wonderful bathrobe fit . usually hotel standard size , Argonaut supply different size . bed comfortable , L'Occitane toiletry , complimentary wi - fi . , Starbucks coffee / tea , iPod dock . complimentary internet booth lobby . complimentary wine hour 5 pm . cider , yummy . complimentary Fisherman 's Wharf tour Saturdays 10:30am . concierge menus nearby restaurant , recommend restaurant North Beach call Mangarosa ( italian / brazillian cuisine ) , excellent . samba dancer Thursdays entertainment . Fisherman 's Wharf touristy enjoy early morning stroll around pier . great location , wish could stay long . come back couple night later early dinner Argonaut 's Blue Mermaid . 's reasonably price family restaurant . food good , great service . book Expedia.co.nz , pay NZ $ 272 ( include taxis ) night . 
 Jun 27 2008 	 wonderful place stay 	 spend one night Argonaut wish could stayed long . even miss free wine hour heck , staff pleasant superficial , ' not mean ' kind way . valet top game helpful direction anything might need . roofm super clean look dirt area sometimes not get good housekeeping job . could not find much crumb ! fourth floor two queen bedded room travel two child . upgrade Cannery / Alcatraz view membership Kimpton 's Touch program really view mexican restaurant unless really , really crank head . still nice receive . also note welcome we big bottle water not drink not say complementary . overall great experience would not hesitate return whenever San Francisco area . great decor . first stay Kimtpon property going seek . 
 Jun 24 2008 	 Fantastic Argonaut 	 Fantastic hotel , fantastic set fantastic city . Loved Argonaut - homely quirky room comfortable . good view staff always polite friendly without intrusive . definitely city definitely hotel will come back . complaint . highlight trip US . 
 Jun 24 2008 	 Great stay 	 stay , great service start finish . staff beyond compare . flight late limo cancel late come contact limo company make sure . ( 25th wedding anniv ) comp'ed we room service dinner could relax service never go . expensive hotel , reason , worth . yes , marine theme room different , view Golden Gate Bridge right bed great . ' m write year late , could not let great staff get recognition deserve . 
 Jun 18 2008 	 Excellence Fisherman 's Wharf 	 5 night Argonaut Hotel happy give charming hotel 5 star review . simply put , Argonaut great location easy access public transit , genuinely friendly , courteous staff well appoint , spotless room . Fisherman 's Wharf location touristy probably suit business traveller , anyone vacation , dare think hotel beat . 
 Jun 3 2008 	 good ! 	 read review tripadvisor book hotel 5 night stay San Francisco . first good point . room comfortable , good size immaculately present . bed comfy . staff friendly good deal query eat , go etc . wine taste every evening really nice touch . what not great noise level adjoining room . trouble noise street could hear every word neighbour say phone . may interconnect room . ask noise tell hotel full . also trouble get room service chip [ fry american cousin ! ] stone cold . dont breakfast hotel . choice limited , expensive Buena Vista Cafe around corner . the location 's plusse minus . Fishermans Wharf bit like Blackpool many cheap souvenir shop . restaurant nearby aim mass tourism market cheap . say right next bay , scenery beautiful , ; handy ferry importantly cable car turnaround Market Hyde . hotel right end Wharf miss bad crowd . ride cable car great way see city unless be Sherpa hill question . I not regret stay hotel ' m 100 % convinced would stay . 
 Jun 3 2008 	 beware Certain Noisy room 	 review accurate ; however please beware per management , number room properly seal room . basically , historical building renovate interior wall meet brick need seal properly . one unlucky one . mean every voice , television channel romantic moan hear room . I unlucky recipient one room tell 's lot romance go room . three different neighbor one fight two moan exact opposite . other , great location great hotel ; however can not guarantee quiet room , avoid cost , hotel mean well 20 , 30 40 something . parent kid , please open mind weekend . 
 Jun 3 2008 	 happen right outside door 	 excellent location Fishermans Wharf everything water pier terrific staff . room good size hotel close tram links hill city . nautically theme think cute kitch time . we would not recommend place city - life , gay - life objective Fishermans Wharf bit way touristy . although say , one close point cycle Golden Gate Bridge , handy Alcatraz tour good restaurant around Fishermans Wharf general . the Argonaut love dog appear , feel free take along well . oh clam chowder restaurant repute San Frans well .... confirm . 
 Jun 1 2008 	 great option family ! 	 stay 4 night memorial weekend . SF hop ! mother / daughter trip , 2 girl turn 13 . double queen room spacious attractively decorate . really enjoy hotel choose base TA review . comment noise first . read review understand issue , busy entertain four day dog - tired return hotel never issue we . must matter expectation go ... want peace quiet , clearly would choose Fisherman 's Wharf location ! would also choose relaxation special - adult occasion . say , perfect famile ! valet outstanding , even recommend great place breakfast , direction , etc . add great deal value experience . also enjoy afternoon refreshment one day come back early bike ride -- refresh service outstanding . need service concierge ( master TA ! ) can not comment , notice several tour offer . even check - in print boarding passes computer lobby night leave free ! we , proximity attraction wharf convenience nearby restaurant make perfect location . advice would thoroughly research choice surprised . 
 May 31 2008 	 Outstanding Experience ! 	 husband stay property May 25 May 28 , 2008 celebrate wedding anniversary . thrilled location , right Fisherman 's wharf next Hyde Beach Cable Car line . hotel clean spacious accommodation , great amenity , mostly , noteworthy hospitality show we staff moment check . comment everyday glad choose Argonaut spend anniversary would never stay anywhere else visit city . impressive interaction staff occur day departure . last day , check room , realize leave behind diamond ring . bellman , Kevin , come rescue become personally involve everything possible find ring successful . housekeeping staff turn ring Kevin track . '' stay 5 diamond property believe learn thing guest satisfaction staff Argonaut . staff attentive , professional committed guest experience provide personalized service . evening wine reception lobby one sit fireplace also value - add amenity often find San Francisco ! ' ve read prior review noise level room hotel ambiance . please bear mind actually stay warehouse style building , completely remodel , much like stay apartment city . street noise may concern , request interior room . guest room side room never hear thing . we , love window view neighboring park bay . sound city part experience stay San Francisco . location can not get well . heart Cannery Fisherman 's Wharf , walk Ghirardelli Square , walk less block catch cable car downtown , chinatown various city location within minute . we never stay anywhere else visit San Francisco ! 
