nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Aug 27 2004 	 avoid crowd leave pamper ! 	 first time Vegas fiance 's second time 8 year . arrive , check review site many other book . happy stay , could not wait come back share thought site ! pay $ 250 / night $ 25 credit / day , comparable hotel like Bellagio Mandalay Bay rate , extremely crowded EVERYWHERE blatantly fancy . four Seasons hotel people not need lot obvious glitz glamour feel like be getting pay . room clean tastefully decorate original artwork quality bath product L'occitane day . room tend twice day newspaper deliver daily morning . room service also convenient taste great . not use spa , take advantage gym pool almost every day . tropical flower basket apple orange . gym clean mint condition machinery . Gatorade lemon water , headset , tv machine , magazine , anything need -- . locker room like spa . steam room , robe , locker , towel , slipper , shaver , great soap , shampoo , toner , lotion cotton ball , Q - Tips .. concierge FS helpful friendly help we book ticket , Blue Man Group George Wallace . keep captivate entire time . one bad experience restaurant , Fusia , pay package Blue Man Group . food sweet prefix meal definitely worth . love waitress though , friendly give we complimentary dessert end . last day , Monday , head Mandalay Bay area breakfast find restaurant long line ! even raffle , not good always long line ( open late night ) . ... head back FS eat breakfast third time . line , beautiful palm tree view , sound water pool nearby , amazing service food . day actually eat Verandah , since open day . previously breakfast serve next door Charlie Palmer Steak Verandah 's renovation complete . also Verandah 's opening night dinner , offer free entree one full entree . new restaurant gorgeous , beautiful woodwork , lighting , outdoor seating . even loveseat couple want sit next . food delicious waiter friendly give we great information renovation process . even people stay FS friendly . visitor elevator say & quot ; hello & quot ; ask trip run . hotel , seem like place see . visitor staff obnoxious give direction pass crowd lobby . Bellagio , Paris other beautiful , crowd everywhere generally easy get around . great able visit hotel , even well able come back Four Seasons feel leave chaos behind . PS : not forget read award FS Vegas around world Forbes ! Tip sister , another trip planner ! 
 Aug 16 2004 	 beyond call 	 give review , mine seem redundant . extraordinary property -- Las Vegas . city , would first rate hotel might seem quite remarkable . oasis grace city quality always evident . service extraordinary . sign follow : Verandah , casual dining restaurant , close renovation mid - August stay . space gather use alternative booked wedding . another hotel might simply say , & quot ; bad ! scarcity dining spot Vegas . go Mandalay Bay . call room service . & quot ; four Seasons instead set small meeting room buffet , full bar , huge wine selection , etc . , etc . doubt couple dozen guest dinner evening . ( give small room , etc . , clearly expect many . ) seem nearly many server , bartender , etc . go trouble sign way FS work . could grumble warm food buffet time luke warm ? thought count . 
 Aug 15 2004 	 Worth price 	 book standard room ( mountain view ) two night ( August 10 - 11 ) cost $ 250 per night . part & quot ; Oasis Package & quot ; include $ 25 credit per day towards incidental . appearance hotel nice , underwhelme base 5 - star AAA rating . Fairmont Hotels stay superior . room amenity good ( top quality sheet , furnishing , etc . ) room modest size - glitch like slow drain , maid service good . staff friendly helpful . think simply not compare fine hotel world . could stay Bellagio low rate ( $ 199- $ 239 ) . Bellagio crawl people visit think present different type option ( less serene though luxurious overall ) . sure cost room stay Four Seasons directly relative enjoyment stay , expect . service small pool area good , wait ice water refill first day , other automatically get ice water . tough 112f weather . great separate elevator Mandalay Bay get room quickly , still full use facility mandalay . mandalay busy , pool area pack people , lot kid . nice option quieter pool area Four Seasons . show photo ID room key card holder eat Mandalay Buffet charge expense room . find annoying . on - site car rental cost $ 59 / day intermediate vehicle ( one available ) . feel rip web rate would put rental close $ 35.99 / day . term value money , think $ 200 per night rate less would reasonable ( slightly strip view ) imagine pay $ 250 high season . another negative location , intend move strip . catch monorail Luxor / Excalibur hotter resort mid - strip . stay Ballys $ 69 dollar per night renovate room . full value money , though , entirely different experience . would recommend stay two different hotel experience difference . 
 Jul 27 2004 	 love four season 	 return 4 season las vegas . stay july 22 - july 25 2004 . arrive power entire hotel . hotel operate generator shop , restaurant pool close . greet desk Gregg Cummings . immediately upgrade we strip view room . greet four chocolate cover strawberrie . service impeccable . room gorgeous able lie bed look strip . fabulous . impress wonderful access mandalay property also able escape oasis calm smoke free sopistication . 4 season guest able enjoy good world Las Vegas . I say chaos Mandalay Bay pool similar busy day rage water . many people , many wild kid servers waitress . last Mandalay pool 10 minute . we go straight back 4 season . greet steve set lounge chair , get pitcher water , mist we relax poolside listen classical music . we massage 4 season spa . clay massuse . good deep tissue massage ever . serenity spa 's treatment room wonderful . the service , food , atmosphere make wonderful getaway . definetly go back Vegas point forward stay 4 season . 
 Jul 26 2004 	 bad power outage 	 husband stay 21st - 24th July . lovely hotel , quiet calm compare Mandalay Bay . unfortunately , power outage second day , mean pool ! even Mandalay Bay pool close real inconvenience 110 degree . great stay , even though not experience & quot ; personal touch & quot ; reviewer mention . 
 Jul 21 2004 	 good always ! 	 originally schedule Four Seasons sell , fate , desitine stay . check Hotel part Mandalay Bay . minute get cab , seem run one thing another . first bellman sight help luggage , long wait front desk wait 20 minute someone under - age ID try explain get room key room share 5 other finally leave beautiful room assign , come back hour later find right middle shampoo carpet room . consequently , tell could less room . point Four Seasons magic begin . we call plead Front Desk Four Seasons tell plight . time room come available , Las Vegas Suite offer we 1/2 rack rate . front desk manager personally come Hotel along associate meet us carry luggage Mandalay Bay check we beautiful suite . impressed personal service trademark . once ensconce , room gorgeous shortly follow lovely welcome amenity add joy . view , amenity service perfect . spend time wander around hotel could not help notice civilized oasis hectic hustle bustle hotel smoke noise . always relief come back out . it expensive definitely worth price definitely get pay . 
 Jul 12 2004 	 nothing be perfect 	 four season come close perfect vacation get . want get away luxuriously pamper , place . yes , room rate high , treat amentitie spa sit poolside attendant bring lemon water , orange slice spray evian mist , priceless . four season deliver . 
 Jul 12 2004 	 Best Hotel Las Vegas 	 letter write GM hoteldear Four Seasons , would like begin letter point , go full detail stay . proud know feel run & quot ; & quot ; good hotel city Las Vegas . Vegas five time , hotel include Bellagio , MGM Grand , Venetian . everything lobby pool rival hotel state . greet beautiful room ready upon arrival , per request early check - in . enjoy wonderful lunch pool , stay server include Katie , Chaz Leslie . Leslie wonderful , treat family care love , certainly look upon good staff . everyone pool magnificent , give personal attention , towards end stay even greet name , even check . pool attendant include Steve , Margaret , Vivian , James Moses . porte cochere Gerry valet wonderful , always greet we pleasant smile every evening . however handful name remember , say single less standard attendant , magnificent . last day stay , checking , daughter Ashli become ill , almost immediately James , Leslie , Moses , phone front desk , within minute room hour could rest away blaze heat . service go beyond anyone else would , truly set Four Seasons apart other . every single inch hotel exude level service bar none anything ever experience . truly amazed . although nothing perfect , Four season close , help get would like offer suggestion . compare hotel Las Vegas , housekeeping , turndown service extremely standard . robe slipper place near bed , something offer bottled water fruit chocolate . exception area , please keep excellent work . speak next year trip , even new hotel open , four season Las Vegas hotel stay forever . 
 Jul 8 2004 	 Amazing Service 	 stay anniversary week ago , good time ever hotel . amazing service , great restaurant , great time ... 
 Jul 8 2004 	 Best Hotel life - hand ! 	 get back yesterday 4 night stay four season Las Vegas ( July 2 - July 6 2004 ) . summarize - one year old 3 year old really important get opportunity get away perfect . honestly say ( husband critical ) would not change thing . cash mileage point could afford pay $ 120 night room worth . one issue dog neighboring room bark try take nap . call move we beautiful suite . four season staff spectacular example : leave we chocolate apology dog issue , fill ice bucket room , fabulous L'Occitane soap , shampoo lotion , house car take free within 3 mile hotel ask , print Southwest boarding pass via internet midnight could get preferred seating ... go pool escort chair choice prepare chair fitting towel , bring big pitcher ice water lemon offer drink food . fabulous - accustomed feel bit league fine we ! wonder review real - real . think stay really nice place disappoint Four season - promise ! 
 Jul 7 2004 	 good get 	 get hotel well die ..... go heaven . stay 4th July weekend blow away . service , food , decor world . the pool / spa / healthclub spectacular . Prepare spoil small touch ( treadmill tv attach , pool attendant bring fruit evian regular basis , bath tub extremely deep , dry cleaning laundry come back hour , bed soft plush , list go ) . price high get Las Vegas , reasonable standard city . hotel like Paris New York would least three time price . must stay BELIEVE good . 
 Jun 29 2004 	 hand good hotel Vegas ! ! ! 	 wife stay hotel many time . place stay Vegas . stay mega luxury hotel / casino , service , tranquility comparison . four Seasons attach Mandalay Bay enjoy action . however return four Seasons peace tranquility like immediate stress releiver . little thing add good hotel Vegas . $ worth . 
