RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Nov 8 2004 	 never ! ! 	 stay Travelodge monday 1st november one night would never stay . fact will never stay another Trvelodge ! staff rude , unhelpful room small dirty . know people say & quot ; get pay & quot ; would not pay stay . besides , manner standard hygiene not cost much . after 6 hour journey ready get room stand reception 20 minute number complaint make guest . sighs dispair staff seem stare blankly back . finally check pay room . give key card without direction , head room 228 presume 2nd floor take lift . lift 2nd floor fair walk corridor room carry heavy suitcase . ( ' m 5.2 & quot ; 8 stone ) get room , swipe key lock . . . turn round try way . way . . not work . haul suitcase back corridor lift , wait queue yet unhappy guest . speak asian lady receptionist do not say word , snatch card , swipe machine give back . ask mean would work . nod head seem & quot ; shoo & quot ; leave feel rather stupid could not use key properly . press button lift , wait come , get back 2nd floor , get , drag suitcase corridor try key . do not work . try every way possible ask pass guest right thing . say try . also say return reception get different key & quot ; always problem & quot ; . thanked go back reception . get yet group people still complain request move room refund & quot ; someone actually something & quot ; . wait , ' phone boyfriend tell safely could not get room . see lady tell still be not work hand key . look angrily say & quot ; keep away mobile phone ! & quot ; be not aware near mobile phone , however , take advice , swiped begin journey back room . put mobile phone deep suitcase ( handbag ) hold key card far away suitcase possible ( without look ridiculous ! ) . arrive door room yet see , hotel nearly 45 minute ! try key card complete utter frustration , do not work . could not hold tear long . travel alone 6 hour , 350 mile bus , train taxi yet could not manage make final step journey get room ! ! ! pull together go back reception . lady see stand back queue red teary , tired eye smirk walk slowly back office stare like be not problem . speak man check say could not get room want someone actually let time . say , another man appear next , slammed card desk demand & quot ; ! ' m sick ! & quot ; get different key let we room . without single apology might add ! finally ! could relax ? nope . room dirty smelly . chew gum wrapper middle floor crisp bag stick bed . clean miss else he / she miss ! net curtain look discusting- grey rip . carpet could not hoover last guest ( even first ever guest ) would not take shoe . sheet look clean enough mattress cover underneath . dead skin people do not like think else . shower head manky be not sure water would even get mank , dare get shower . stay alone window face back . window safety catch snap leave window sill . family room think safetly catch window would fairly standard . window even allow close properly may help . decide would make pay think get something eat . hour still properly relax . decide phone reception , realise left room , may able get back . look phone wire rip socket phone . decide risk . leave room phone take away across road . good ! yes , miracle , manage get back room eat ! concern delivery man come directly room pizza single woman alone room , find rather unnerving , especially would not able contact reception , problem . suppose would able jump 2 storey window though , thank miss safety catch ! advice .... not even book ! ! ' m put Travelodges life ! 
 Oct 21 2004 	 inefficiency rule cheap enough 	 stay Sun 17th Oct We d 20th Oct Travelodge recently acquire Thistle group . tell Travelodge not quite get grip transition yet , mixed nationality staff seem struggle times language . good point : ( 1 ) decent location , especially king x driving north ( 2 ) cheap £ 60 per room ( 3 ) erm ... ( 4 ) hmmm .... bad point : ( 1 ) may Travelodge smoking room , be point be spend last 100 year Thistle smoking room ? Cough . ( 2 ) certainly look like double / twin room two bed , clean staff not seem grasp concept mean have two people . consistently get 1 towel we ( consistently fail get 2nd request ) ( 3 ) room phone , problem miss towel , milk , decaff coffee , poor tv reception , etc etc mean lift ride 10 minute wait ... ( 4 ) ... massive queue desk . constant gaggle disgruntled look people desk , either try check , try check , try get 2nd towel room . staff invariably english speaker 1st language , struggle understand people want . maybe lot issue takeover future tight run ship . end day , be £ 60 no - one expect choc pillow have lot well Travelodge past feel bit disappointed . I guess good indicator expect come parking situation . arrival Sun drive straight car park , ask pay park meet blank expression order pay machine wall ( obviously pay end trip , use ticket barrier entry ) . try explain barrier ticket issue , get blank look point . ) 4 day parking spend entertain 10 min desk try pay could get car park , no - one behind desk could cope fact machine issue ticket could pay . , solution pay cash , go exit barrier press buzzer release . fine . except staff walked ignore standing desk pile tenner wait pay . frustrated , decide test drive exit barrier seeing spot faux pas . not . barrier went , leave £ 60 pocket instead car park fund . 
 Oct 5 2004 	 Good Value 	 stay Travelodge last month good value money . 's easy walk King 's Cross 10 minute walk bar & amp ; restaurant Islington . it be fancy clean . however , phone room alarm bring alarm clock . 
 Aug 28 2004 	 great value stay 	 ( note : review prior one refer hotel own operate Thistle Hotels . be sell own Travelodge ) Travelodge Islington represent really good value money . part hotel exceptionally clean tidy . 's two minute walk King 's Cross Thameslink station connect Underground . one two sign wear room - accord leaflet , currently process refreshing room . would definately stay . long go expect standard Travelodge no - frill facility , will dissapointe . 
 may 22 2004 	 nice restaurant friendly people 	 nice enjoy much stay hotel staff friendly nice especialy restaurant well do everybody Emiliano , Eleonora , Hakim restaurant manager 
 Apr 14 2004 	 one night 	 come back 4 day London ( easter ) orginally book 4 night Thistle Islington . fly London become aware review . know make mistake . immediately phone cancel 3 last night . relief ! - small room - lot noise elevator night - unattractive neighboorhood - pay 77 poundsThe breakfast ok 
 Mar 24 2004 	 Thistle London Godd value money 	 excellent buffet English Continental Breakfast . room fine , little small , use night . clean . cleaner not good english , job well . whole , excellent value money . king cross area nice , reflect good price . staff helpful , can not really see complaint . 
 Feb 22 2004 	 reasonable value money 	 find hotel acceptable price pay , London expensive city & amp ; hotel price reflect . room small , bright & amp ; cheerfully decorate include every thing would require include iron & amp ; board . bathroom small bath shower . Breakfast & amp ; service good , dining room large second room open . find staff friendly & amp ; concerned opinion . location hotel , city experience area around railway station quite often less glamorous . tourist destination research need do ensure location meet need . visit London tourist personally would stay central location . 
 Feb 21 2004 	 small room ! ! ! 	 stay Valentine 's Day weekend . soon open door room notice tiny . never spend much money hotel room shock size . even bathroom tiny . 6 ' 4 husband many problem get around . breakfast buffet good though . close tube . 
 Jan 23 2004 	 bad other say 	 everyone individual taste experience , regular hotel user stay twice , would say unexcite ok hotel . first choice acceptable price right ( £ 60 last stay ) . woudl imagine room overlook main road noisy though . also , whilst surrounding bit edgy , you re use urban environment dangerous other suggest - fair number people street indeed quite pleasant pub restaurant around . need observant without get paranoid ( apply smart area london also ) . 
 Dec 15 2003 	 Terrible 
 Dec 7 2003 	 Slamming Doors 
 Nov 15 2003 	 never ! 
 Nov 9 2003 	 well value elsewhere 
 Sep 28 2003 	 run life 
 Jul 26 2003 	 good bad ... 
 Jul 14 2003 	 dump ! 
 Jun 28 2003 	 would stay 
 May 12 2003 	 beware car park ! 
 Feb 3 2003 	 great hotel bad location 
 Nov 1 2009 	 Personale poco piacevole 
 Oct 20 2009 	 avete mai visto una stanza d'albergo senza comodini ? 
 Sep 25 2009 	 Aiutoooo 
 Sep 3 2009 	 Pessimo il servizio 
 Aug 22 2009 	 Kein 3 Sterne Hotel Lange Wartezeit beim Frühstück 
 May 14 2009 	 per chi non ha pretese ... 
 May 4 2009 	 Imbroglioni Ladri ed arroganti 
 Apr 26 2009 	 Da evitare 
 Mar 15 2009 	 Eigentlich gut aber ... 
 Mar 2 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 17 2009 	 Senza infamia e senza lode 
 Jan 16 2009 	 Katastrophal ! ! ! ! ! Finger weg ! ! ! ! ! 
 Nov 19 2008 	 hotel pratique 
 Nov 5 2008 	 Consigliato ? ? ? ? NI ! 
 Oct 24 2008 	 per poche notti è accettabile 
 Oct 13 2008 	 Instalaciones penosa ruidoso 
 Sep 9 2008 	 Nie wieder 
 Aug 25 2008 	 Da evitare ! ! ! 
 Aug 22 2008 	 increible 
 Aug 11 2008 	 spendere poco senza grosse pretese 
 Jul 2 2008 	 Dieses Hotel ist eine Zumutung 
 Jun 17 2008 	 mieux que je ne pensais 
 Jan 2 2008 	 hotel passable mais je n ' retournerai pas ! 
 Dec 6 2007 	 jamais plus 
 Nov 8 2007 	 Hôtel standard 
 Jul 17 2007 	 El Hotel Normalito - Bajo ; El persona mediocre 
 Jun 6 2007 	 Furto camera 
 Apr 3 2007 	 Deprimente ... 
 Feb 4 2007 	 CHE TRISTEZZA ! ! ! ! ! ! 
 Mar 8 2006 	 hotel di passaggio 
