LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Jul 27 2008 	 Best Place stay NYC 	 will keep short simple . excellent service , clean room clean bathroom ( choose bunk bed option bathroom share room floor ) , reasonable rate , excellent location ( block subway times square ) , surround restaurant , bar great cupcake shoppe . 's adorable outside courtyard serve delicious breakfast morning . be also rooftop terrace amazing view night city light . can not wait go back ! ! ! ! 
 Jul 27 2008 	 Visit roof terrace night ! 	 want central New York without high price place stay . stayed 25 July 1st night America 3 week coast coast SF . could not easier get to . take Air Train JFK ( free day travel ) e line subway Lexington 53rd $ 2 . come subway hotel less 5 min walk/2 block away . well $ 50 cab . the hotel check quick staff really friendly , want 7 hour flight . room exactly describe ... immaculately clean serve purpose . people say small go NY stay hotel ? free wifi laptop docking station ipod every room single room also wash basin toiletry towel . little light let know bathroom empty ideal asalthough 2 per floor never wait always clean tidy . shower excellent mid level jet well overhead shower . come front door hotel turn right 20 meter away intersection road plenty lively bar restaurant although travel alone 1st time NYC problem . nice neighbourhood . come hotel turn leave onto Lexington immediately hit sort view associate NYC .... huge skyscraper ! within 15 - 20 mninute walk place like 5th Avenue , Times Square etc ( although maybe seem short much take ! ) mind blow thing 1st time see go roof terrace night . walk onto terrace 2 be still really warm view amazing . nice place sit cool morning well coffee Starbucks round corner ( hotel turn right turn right ) .Checkout staff really helpful needed get Newark airport collect hire car . run shuttle $ 20 per person run every hour need book . get NY cab ( part NY experience ) Penn station catch train . if stay ny would definitely stay here . I can not think bad thing say place 
 Jul 26 2008 	 great hotel ! great price 	 start say ' m hotel snob.i tight budget pay employee rooms.i really worry quality hotel website miss lead . however reveiw right , place cool.and really clean.the double room stay might sleep two , two well real close .my compaint pillow foam and sheet towel past retirement time , , not get wrong mean horrible.small room yes , room NYC are.i stay 4 star hotel comfortable , free wi - fi huge bonus.if budget stay want cash shoe food stay . 
 Jul 26 2008 	 great place stay NYC ! 	 originally plan stay budget accomodation NYC , move towards end stay relax room . however place stay first bad leave . spend frantic morning rush around try find somewhere , eventually head Pod . explain situation ask room free . man desk keep get distracted phone , another man , presume manager , come check . find reservation say room free want . block go back bag check fine , early normal hassle . I single room share bathroom , room small modern clean . small hangar area , stainless steel sink , tissue towel , flatscreen tv , desk alarm clock ipod dock . helpful charge ipod travel home ! Esp ipod crash stay could run recharge work ! little noise guest , could hear someone tv walk coridoor could not hear room . bad young teenager other room whisper loudly coriddor . be not big deal , hotel noise ! share bathroom toilet , sink shower , modern , clean absolutely fine . play music reception nice touch , shower shower gel shampoo do not own . the staff helpful getting upset , room clean high standard , location great one avenue 51st St Subway quick interchange ( walk ) Grand central connection . couple place corner serve food drink , get breakfast lunch quite easily . good hotel , one would stay without fuss ! 
 Jul 22 2008 	 Best Deal NY 	 look clean , low price hotel NY city , look . great job renovate hotel . concept work : put room amount space , charge less per room . probably make mint , people stay Manhattan otherwise would . hotel keep clean . modern , non - smoking , chic . bad popularity make difficult book , particularly bunk bed room . 
 Jul 21 2008 	 Great Value expect .... 	 stay July 2008 . research hotel time ( peak season ) lucky get room bathroom , hotel amount money ( 269 nite ) review include bug hotel rude people . when get give room key able pay ' case incidental ' cash instead put major credit card . great do not major credit card - fiance would got do work later day . room clean , safe clean day . wall thin complaint loud neighbor . stylish cute . drape windows sun come strong morning . 10th floor great view . 6 block Rockefeller Center . like hotel definitely refer people not want spend 600 night waldorf . 
 Jul 21 2008 	 cute hotel would not fix AC 	 hotel nice , efficient , clean room great location . however , hot night stay , AC break . notify front desk , indifferent situation two night . later , write notify hotel stay ruin swelter room . never hear back . , guess not really care . 
 Jul 20 2008 	 bad little overpriced accomodation 	 hotel cute pretty clean , however , pretty inconvenient small space . bunk - bed room , honestly , next time pay cheap rate average hotel budget friendly . bathroom hall -which fine- always hot humid since people take shower hour day , manuvering room challenge especially luggage come play , elevator tiny slooooow . , look safe / budget friendly/ good location ... those . would stay possibly stay good rate & quot ; regular hotel & quot ; available . 
 Jul 19 2008 	 nice Stay ! 	 book hotel less 3 day stay . little room two bunk bed bathroom great price . though , bunk bed room bathroom , room use share bathroom . everything nickel clean , staff firendly helpfull . hotel pretty close everything , metro station right block grocery store ( quite hard find Manhattan ! ) . every room equip ipod station opportunity listen music get ready morning . also , individual tv bed , pretty cute . room really tiny , 's part hotel concept , boat cabin look , fine . I would recommend everyone ! 
 Jul 17 2008 	 great price clean ! 	 sister - in - law ( 22 25 ) want cheap , safe option weekend trip NY . book room one set bunk bed share bathroom option . arrive , pleased appearance location hotel . close everything lobby presentable & quot ; Fun & quot ; . concierge next check - in desk helpful willing tell we anything want city . we 3rd floor . room tiny , tiny , perfect us sleep get dress morning . bed tv extendable arm could watch tv night bed ! GREAT ! share bathroom clean time . 4 floor . bathroom one sink , toilet , shower . shower head big one come like rain could adjust desire temperature ! complaint one shower clog drain , particular shower fill overflow rest small bathroom . read review book hotel find people state sheet provide . true ! bed cover red blue & quot ; cover & quot ; peel back cover reveal sheet blanket . overall , excellent place stay look somewhere sleep , shower , want great location . clean would definitely stay . 
 Jul 16 2008 	 clean . friendly staff . perfect location . 	 girlfriend stay Pod Hotel July 2008 . stay four night bunk bed room , share bathroom . room small , extremely clean functional ( small desk , wireless internet , two small flat - screen tv , stainless steel sink , powerful AC ) . light room indicate bathroom open . bathroom unique ( one HUGE ! ) generally keep clean . bathroom get busy morning , expect , usually not wait use one . the location Pod Hotel Midtown East Manhattan exceptional . 's two block subway station ( mostly ride e train ) , many ( excellent ) restaurant , grocery store , bar , drugstore , coffee shop within two block radius . neighborhood clean , feel completely safe . not really spend much time room , would like room sit . day , could either lounge bottom bunk together , sit desk , not much room relax . one final note : coffee New York terrible ! coffee weak watery EVERY place try . New York need Peet 's something . 
