great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 may 22 2007 	 Vanilla 	 wife stay Park Plaza wangfuje two night - May 18 - 19 , 2007.my first recommendation hotel make certain hotel name write Chinese prior get taxi . hotel well know amongst Beijing taxi driver , least dozen ask take we Park Plaza . I hate start sour note , check simply awful . hotel clerk , friendly enough , must first day . manage get we check help colleague , refuse change hundred could tip bellman realize plain incompetent . the room fine - clean sheet , nice bed , tv , free wired internet , mini bar safe . bathroom good size towel clean . lady - bring conditioner . good part hotel housekeeping staff . room impeccably clean turn service nice touch . room service prompt food passable . 10 usd per meal per person . breakfast average serve low quality juice , asian western standard omelet stand . I recommend tour book concierge . price double would pay local tour agent . particularly annoying fact Park Plaza second nine hotel coach pick tour . therefore six hour tour Great Wall take eight hour stop every hotel Dongcheng CBD way . tour also include stop ' Silk Museum ' blatant scam . book private car tour mean . in conclusion , would recommend hotel . however , sure would merit high rank trip advisor . staff fair , room standard food average . value money fine . location good part place . Park Plaza Wangfujing safe bet , nothing special . good luck travel . 
 May 15 2007 	 love hotel 	 first trip beijing , prior choose hotel read review post . glad choose hotel ! ! ! staff amazing , hotel new , chic clean . the room large clean perfection . the buffet breakfast fantastic , breakfast choice roatate daily . location perfect , situated main road . walk distance wangfuje Street . I highly recommend hotel . Brisbane , Australia 
 May 15 2007 	 Great Location Great Hotel 	 stay Park Plaza 2 night end Trans Siberian Train journey simply blissful ! friendly staff , central location , great breakfast spank new premise . fully recommend ! 
 May 11 2007 	 Fantastic service 	 staying hotel fantastic experience . staff friendly helpful concierge wonderful . nothing toomuch trouble - anytime want go , concierge taxi arrange minute we . hotel room well equip andwa much big expect . breakfast excellent - much choose every morning . would definitely stay thishotel would hesitation recommend anyone stay Beijing . 
 Apr 16 2007 	 worth every penny 	 first trip Beijing . accident book two hotel , Park Plaza sino - swiss airport . thank god sino - swiss absolute dump . please see review hotel . the Park Plaza beautiful modern hotel . second walk cool revolving front door know special hotel . grant stay hotel Beijing , would defintiely stay again . my rate 1100rmb recieve great 2 room suite . walk enter small foyer lead sit work area . great desk look city , comfy couch , take nice arrival snooze on . the bathroom fantastic , seperate ( hot strong ) shower toilet , beautiful bath great sink . happen think important feature room good shower / bathroom & amp ; comfortable bed . hotel both . the buffet breakfast cater western eastern pallet . plenty choose . fresh egg station really good . breakfast include rate . I two small issue , one check - in take little second internet keep cut out . a quick hop taxi ( 15 - 20 rmb ) get Tian ' Men Square Fobidden City . write seperate review two must see attraction . Taxi airport run $ 100rmb.great hotel . stay . 
 Feb 21 2007 	 Great Hotel ! 	 always read review post tripadvisor planning trip . find hotel vote 3rd popular hotel Beijing , immediately check website see average price per night . get special rate $ 80 cad / night , include breakfast . really not think price , hotel compete location , cleanliness , service . concierge staff excellent provide we information tour help we get around city . would highly recommend hotel would hesitate return . 
 Feb 18 2007 	 would stay 	 staff always helpful . room immaculate comfortable . location - minute walk wangfuje street - excellent . buffet breakfast one good ' ve , lounge bar great place relax busy day sightseeing . would definitely stay . 
 Jan 29 2007 	 pleasant stay .... 	 recently stay Crowne Plaza Wangfujing 6 day 5 nights.the location superb , stone 's throw away wangfuje night market 5 min brisk walk Quanjude , famous peike duck restaurant . taxi driver know well . the hotel staff friendly top mark concierge bellboy go great length help retrieve package leave trolley whilst get taxi airport . - realise 2 hour ! ! ! could ask well bunch people . speak English although , rather basic . like 3d location map Beijing , provide hotel guest . also indicate approximate taxi fare popular tourist location hotel , order prevent take ride taxi driver literally . side lack breakfast buffet variety - do not change one bit 6 day .... 3rd day , could decide want breakfast whilst shower . : POverall , hesitate stay hotel next time Beijing . 
 Jan 21 2007 	 Perfect Location weekend stay 	 Wife stay 3 night within walk distance Forbidden City ( & lt ; 15 minute ) subway stop ( Dongdan ) . easy get shopping food ( 2 block wangfuje St ) . customer - face staff speak excellent english always make sure taxi get direction right leave hotel . great breakfast buffet well . definitely stay be back town . 
 Jan 17 2007 	 first rate hotel 	 great hotel : large room every amenity conceivable . great buffet friendly , accommodate staff speak excellent English . room overheat , however , temperature could adjust . also , lobby bar understocked like martini . 
 Jan 15 2007 	 highly recommend 	 start ? concieger superb . ( get phone card midnight . ) ( get newspaper sit lobby wait ride . ) entire staff speak English understand everyword.smashe decor entire hotel . hotel modern & amp ; clean . the room & amp ; bathroom clean . the water temperature could cook Lobster . do try japanese noodle restaurant locate first floor . affordable yummy . could eat everyday.see attachement menu selection . breakfast buffet plus . Cater toward westerner . there be traditional Beijing restaurant 2 block hotel offer good local dish . ( walk make right Wangfujing street ) Anyways , could go on . your get great hotel without heavy price tag . I pay $ 89 include breakfast . this give 5 star . bottom line : stay next time ' m town 
 Jan 6 2007 	 great place wind day walk 	 Location - Convenient hotel locate 2 bock wangfuje St. Aaround corner , 24 hour convenience store buy water snack from . Room - Fantastic suite corporate rate . issue water pressure heating . Plasma tv bonusconcierge service - Nelson provide grade service . tell local hot spot / bar place eat shop . also , trouble translate destination taxi drver , call hotel , speak Nelson help we translate taxi driver . spotty service rest concierge staff . breakfast buffet good . omellete man ! overall - would stay BeijingK & amp ; G , Australia 
 Dec 17 2006 	 nice 	 nice relatively new small 4 star hotel central location ... yet standard . 2 major complaint stay.1 . central heating work properly . temperature could adjust therefore time hot air dry ! open window get fresh air cool temperature could sleep night window open due contruction noise building site next hotel . poor people work night ( 24 hour ) ! genreal , many new building site center surround , pollution noise really big problem ! 2 . breakfast buffet bad ! food cold much variety compare hotel stay Beijing . overall would still recommand hotel other not mind mention problem . 
 Nov 22 2006 	 Nice Hotel ... got little ' lost translation ' 	 ' m pretty picky come hotel . two thing look hotel aesthetic ( modern hotel plus ) cleanliness . well hotel meet expectation area . hotel modern , room nice size room clean . service ( really big deal long aesthetic cleanliness meet expectation ) , service could use improve , perhaps front desk person assist . service issue # 1 : reservation book company clearly request king size bed . arrive room , find two twin bed . go back front desk graciously ask gentleman check honor reservation place king - bed room . change different room , course little attitude . go new room walk , notice door room across mine appear large amount mold grow . dismiss possibly cause recent flood , walk room , reeked mold smell . immediately go back front desk tell request different room . well , point extremely agitated immediately tell room ( w/o even look computer ) . tell put back original room smell mold unbearable . grow even agitated , snatch room key away exchange room . dismiss point exhausted want get decent room . service issue # 2 : first night room notice extremely cold . try adjust thermostat room never get warm . next day inform front desk , send housekeeping room ' adjust thermostat ' ( despite tell already try ) .. housekeep adjust thermostat ( way evening prior ) tell wait . well hour shiver phone front desk . tell , " well sorry nothing , bring blanket . " blanket ? ? ? ' November Beijing cold outside … want heat , extra blanket ! ! ! tell need blanket , need maintenance come fix issue . finally send maintenance heating soon fix . despite mishap service , nice hotel ' still recommend friend . whole language barrier get way time ( ' sure happen hotel ' foreign country ) . 
